707DBD4,LA TUQUE       ,QC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
707DBD4,LA TUQUE       ,QC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.4, ,    -0.7, ,    -8.8, ,   -12.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.0, 
 1912,   -30.1, ,   -20.2, ,   -19.6, ,    -7.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.0, , -9999.9,M,    -6.4, ,   -16.0, , -9999.9,M,   -20.9, , -9999.9,M, -9999.9,M, -9999.9,M
 1913,   -15.9, ,   -25.2, ,   -12.3, ,     0.3, ,     3.1, ,     6.8, ,    11.2, ,     9.7, ,     4.5, ,     4.2, ,    -4.2, ,   -11.6, ,    -2.5, ,   -19.0, ,    -3.0, ,     9.2, ,     1.5, 
 1914,   -22.1, ,   -27.3, ,   -10.4, ,    -6.2, ,     3.5, ,     7.2, ,    11.4, ,     9.0, ,     7.3, ,     1.7, ,    -9.3, ,   -17.0, ,    -4.4, ,   -20.3, ,    -4.4, ,     9.2, ,    -0.1, 
 1915,   -18.6, ,   -16.2, ,   -12.3, ,    -0.2, ,     3.0, ,     8.1, ,    10.0, ,    10.5, ,     8.8, ,     2.8, ,    -3.8, ,   -12.7, ,    -1.7, ,   -17.3, ,    -3.2, ,     9.5, ,     2.6, 
 1916,   -21.6, ,   -21.6, ,   -18.7, ,    -1.7, ,     5.2, ,    10.6, ,    13.0, ,    12.2, ,     8.1, ,     0.5, ,    -7.5, , -9999.9,M, -9999.9,M,   -18.6, ,    -5.1, ,    11.9, ,     0.4, 
 1917,   -24.9, ,   -24.8, ,   -12.7, ,    -2.9, ,     1.9, ,    10.4, ,    13.7, ,    12.5, ,     5.1, ,     0.3, ,    -7.7, ,   -22.5, ,    -4.3, , -9999.9,M,    -4.6, ,    12.2, ,    -0.8, 
 1918,   -24.5, ,   -23.7, ,   -13.8, ,    -4.8, ,     5.0, ,     6.8, ,    13.0, ,     9.3, ,     6.0, ,     1.6, ,    -3.7, ,   -14.4, ,    -3.6, ,   -23.6, ,    -4.5, ,     9.7, ,     1.3, 
 1919,   -17.3, ,   -17.9, ,   -11.4, ,    -3.8, ,     4.2, ,    12.2, ,    13.1, ,    11.1, ,     6.6, ,     0.5, ,    -6.1, ,   -18.0, ,    -2.2, ,   -16.5, ,    -3.7, ,    12.1, ,     0.3, 
 1920,   -25.4, ,   -17.8, ,   -10.7, ,    -2.5, ,     4.9, ,     9.1, ,     9.6, ,    11.9, ,     7.3, ,     3.1, ,    -8.2, ,   -11.1, ,    -2.5, ,   -20.4, ,    -2.8, ,    10.2, ,     0.7, 
 1921,   -17.6, ,   -17.9, ,    -6.7, ,     1.7, ,     6.4, ,    11.4, , -9999.9,M,    10.8, ,     7.5, ,     1.3, ,    -6.7, ,   -14.0, , -9999.9,M,   -15.5, ,     0.5, , -9999.9,M,     0.7, 
 1922,   -22.8, ,   -22.9, ,   -10.5, ,     3.4, ,    12.4, ,    11.9, ,    10.2, ,     8.1, ,     3.5, ,    -1.0, ,    -7.8, ,   -20.7, ,    -3.0, ,   -19.9, ,     1.8, ,    10.1, ,    -1.8, 
 1923,   -24.9, ,   -26.0, ,   -20.0, ,    -7.7, ,     1.7, ,     7.9, ,     9.0, ,     7.4, ,     4.3, ,     0.3, ,    -5.3, ,    -8.4, ,    -5.1, ,   -23.9, ,    -8.7, ,     8.1, ,    -0.2, 
 1924,   -23.5, ,   -26.1, ,   -10.0, ,    -5.9, ,     0.7, ,     5.8, ,     9.0, ,     8.3, ,     4.0, ,    -2.9, ,    -6.4, ,   -22.0, ,    -5.8, ,   -19.3, ,    -5.1, ,     7.7, ,    -1.8, 
 1925,   -29.3, ,   -18.5, ,   -12.8, ,    -5.4, ,     0.5, ,     7.5, ,     9.9, ,    10.0, ,     3.5, ,    -3.0, ,    -7.3, ,   -15.0, ,    -5.0, ,   -23.3, ,    -5.9, ,     9.1, ,    -2.3, 
 1926,   -22.5, ,   -23.4, ,   -18.8, ,    -7.9, ,     1.2, ,     6.8, ,     9.8, ,     8.5, ,     4.9, ,    -0.3, ,    -6.4, ,   -18.8, ,    -5.6, ,   -20.3, ,    -8.5, ,     8.4, ,    -0.6, 
 1927,   -21.9, ,   -22.2, ,   -10.1, ,    -3.6, ,     2.8, ,     5.5, ,    10.5, ,     8.7, ,     5.3, ,     2.7, ,    -5.5, ,   -15.1, ,    -3.6, ,   -21.0, ,    -3.6, ,     8.2, ,     0.8, 
