7080468,TEMISCAMINGUE  ,QC, station not joined, Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
7080468,TEMISCAMINGUE  ,QC, station non jointe, Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1910, -9999.9,M, -9999.9,M, -9999.9,M,     0.0, ,     3.8, , -9999.9,M,    11.7, ,    11.1, ,     5.0, ,     0.7, ,    -4.8, ,   -18.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     0.3, 
 1911, -9999.9,M,   -19.9, ,   -15.0, ,    -5.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1912,   -26.7, ,   -20.5, ,   -18.2, ,    -5.8, ,     2.9, ,     6.9, ,    12.1, ,     7.8, ,     8.3, ,     2.1, ,    -4.2, ,   -10.3, ,    -3.8, ,   -18.7, ,    -7.0, ,     8.9, ,     2.1, 
 1913,   -14.4, ,   -20.6, ,   -11.0, ,    -1.4, , -9999.9,M,     7.4, ,    10.6, ,    10.0, ,     5.4, ,     2.2, ,    -2.4, ,    -8.9, , -9999.9,M,   -15.1, , -9999.9,M,     9.3, ,     1.7, 
 1914,   -16.5, ,   -23.3, ,   -10.8, ,    -3.4, ,     4.9, ,     8.2, ,    13.2, ,    17.6, ,    10.0, ,     4.1, ,    -6.3, ,   -13.6, ,    -1.3, ,   -16.2, ,    -3.1, ,    13.0, ,     2.6, 
 1915,   -14.4, ,   -12.5, ,   -10.8, ,     1.3, ,     4.2, ,     9.4, ,    13.0, ,    11.5, , -9999.9,M,     4.8, , -9999.9,M,   -10.2, , -9999.9,M,   -13.5, ,    -1.8, ,    11.3, , -9999.9,M
 1916,   -13.8, ,   -19.3, ,   -13.0, ,     0.0, ,     5.0, ,    11.4, ,    15.8, ,    12.1, ,     6.0, ,    -0.4, , -9999.9,M,   -17.3, , -9999.9,M,   -14.4, ,    -2.7, ,    13.1, , -9999.9,M
 1917,   -23.9, ,   -24.1, ,   -13.1, ,    -3.1, ,     2.1, ,     8.8, ,    15.4, ,    12.5, ,     7.6, , -9999.9,M,    -5.8, ,   -19.9, , -9999.9,M,   -21.8, ,    -4.7, ,    12.2, , -9999.9,M
 1918,   -22.3, ,   -22.6, ,   -11.1, ,    -1.4, ,     5.2, ,     8.5, ,    13.2, ,    12.7, ,     7.5, ,     4.0, ,    -1.2, ,   -10.5, ,    -1.5, ,   -21.6, ,    -2.4, ,    11.5, ,     3.4, 
 1919,   -11.1, , -9999.9,M, -9999.9,M, -9999.9,M,     5.3, ,    14.3, ,    15.6, ,    14.1, ,     9.9, ,     3.6, ,    -4.4, ,   -14.4, , -9999.9,M, -9999.9,M, -9999.9,M,    14.7, ,     3.0, 
 1920,   -20.9, ,   -13.0, ,    -7.3, ,    -1.1, ,     4.9, ,    11.5, ,    12.8, ,    13.5, ,    10.7, ,     6.0, ,    -3.6, ,    -8.5, ,     0.4, ,   -16.1, ,    -1.2, ,    12.6, ,     4.4, 
 1921,   -13.2, ,   -12.5, ,    -6.1, ,     0.9, ,     6.7, ,    12.4, ,    17.9, ,    13.2, ,    11.4, ,     4.3, ,    -5.8, ,   -12.2, ,     1.4, ,   -11.4, ,     0.5, ,    14.5, ,     3.3, 
 1922, -9999.9,M,   -15.7, ,    -9.8, ,    -1.1, ,     5.6, ,     9.9, ,    12.4, ,    11.6, , -9999.9,M,     8.2, ,    -2.5, ,   -13.3, , -9999.9,M, -9999.9,M,    -1.8, ,    11.3, , -9999.9,M
