8300301,CHARLOTTETOWN  ,PE, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
8300301,CHARLOTTETOWN  ,PE, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1872, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, ,   -11.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1873,   -12.6, ,   -15.1, ,    -6.1, ,    -1.5, ,     3.2, ,     8.5, ,    14.6, ,    13.6, ,     9.9, ,     5.4, ,    -4.6, ,   -10.5, ,     0.4, ,   -13.1, ,    -1.5, ,    12.2, ,     3.6, 
 1874,   -10.0, ,   -14.7, ,    -7.3, ,    -3.6, ,     4.1, ,     8.1, ,    13.6, ,    12.8, ,    10.6, ,     6.6, ,    -1.8, ,   -10.3, ,     0.7, ,   -11.7, ,    -2.3, ,    11.5, ,     5.1, 
 1875,   -17.8, ,   -16.1, ,   -11.2, ,    -3.8, ,     2.8, ,    10.1, ,    13.9, ,    15.4, ,     8.7, ,     3.4, ,    -4.3, ,   -10.4, ,    -0.8, ,   -14.7, ,    -4.1, ,    13.1, ,     2.6, 
 1876,   -13.6, ,   -13.3, ,    -7.5, ,    -1.8, ,     2.1, ,    11.6, ,    14.1, ,    14.1, ,     8.4, ,     3.8, ,     0.7, ,   -10.9, ,     0.6, ,   -12.4, ,    -2.4, ,    13.3, ,     4.3, 
 1877,   -17.8, ,    -9.6, ,    -7.0, ,    -1.0, ,     2.7, ,    10.4, ,    13.7, ,    14.7, ,    10.9, ,     3.8, ,     0.0, ,    -6.2, ,     1.2, ,   -12.8, ,    -1.8, ,    12.9, ,     4.9, 
 1878,   -11.1, ,   -13.5, ,    -5.9, ,     0.4, ,     5.2, ,    11.4, ,    13.1, ,    14.4, ,    11.4, ,     8.1, ,     0.3, ,    -7.0, ,     2.2, ,   -10.3, ,    -0.1, ,    13.0, ,     6.6, 
 1879,   -13.8, ,   -12.3, ,    -7.8, ,    -2.1, ,     5.2, ,     8.6, ,    11.8, ,    13.1, ,    10.6, ,     4.3, ,    -3.8, ,   -11.9, ,     0.2, ,   -11.0, ,    -1.6, ,    11.2, ,     3.7, 
 1880,   -12.4, ,   -13.0, ,   -13.0, ,    -3.5, ,     2.8, ,     8.5, ,    15.2, ,    13.6, ,    11.6, ,     5.5, ,    -3.7, ,    -8.4, ,     0.3, ,   -12.4, ,    -4.6, ,    12.4, ,     4.5, 
 1881,   -13.9, ,   -12.9, ,    -5.0, ,    -3.2, ,     3.2, ,     7.6, ,    12.4, ,    14.9, ,    10.2, ,     2.8, ,    -3.4, ,    -6.3, ,     0.5, ,   -11.7, ,    -1.7, ,    11.6, ,     3.2, 
 1882,   -14.7, ,   -14.6, ,   -11.1, ,    -6.2, ,     1.4, ,     9.3, ,    13.5, ,    13.4, ,    10.0, ,     5.3, ,    -1.1, ,    -7.5, ,    -0.2, ,   -11.9, ,    -5.3, ,    12.1, ,     4.7, 
 1883,   -18.5, ,   -16.0, ,   -10.9, ,    -3.2, ,     3.5, ,    11.9, ,    12.8, ,    13.6, ,     9.4, ,     3.1, ,    -1.7, ,   -10.1, ,    -0.5, ,   -14.0, ,    -3.5, ,    12.8, ,     3.6, 
 1884,   -16.6, ,   -13.7, ,    -9.6, ,    -1.3, ,     1.6, ,     8.2, ,    11.8, ,    13.9, ,     8.3, ,     2.3, ,    -3.2, ,    -8.8, ,    -0.6, ,   -13.5, ,    -3.1, ,    11.3, ,     2.5, 
 1885,   -14.5, ,   -15.6, ,   -12.7, ,    -2.6, ,     3.1, ,     9.1, ,    14.1, ,    13.2, ,     8.1, ,     4.9, ,    -0.4, ,    -7.9, ,    -0.1, ,   -13.0, ,    -4.1, ,    12.1, ,     4.2, 
 1886,   -11.1, ,   -12.3, ,    -8.8, ,    -2.1, ,     3.8, ,    10.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.4, ,    -2.4, , -9999.9,M, -9999.9,M
 1887, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1888, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.8, ,    13.1, ,    10.6, ,     4.6, ,    -2.3, ,    -6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.3, 
 1889,    -8.6, ,   -13.5, ,    -3.4, ,     0.8, ,     7.4, ,    12.9, ,    13.8, ,    15.2, ,    13.1, ,     5.5, ,     0.2, ,    -8.4, ,     2.9, ,    -9.4, ,     1.6, ,    14.0, ,     6.3, 
 1890,   -16.1, ,   -13.5, ,    -5.3, ,    -2.2, ,     4.7, ,     8.1, ,    14.2, ,    15.5, ,    11.3, ,     4.6, ,    -0.8, ,   -13.7, ,     0.6, ,   -12.7, ,    -0.9, ,    12.6, ,     5.0, 
 1891,   -11.2, ,   -15.6, ,    -6.9, ,    -1.1, ,     4.8, ,     8.9, ,    14.0, ,    14.9, ,    11.5, ,     5.3, ,    -0.4, ,    -4.1, ,     1.7, ,   -13.5, ,    -1.1, ,    12.6, ,     5.5, 
 1892,    -7.5, ,    -9.5, ,    -6.5, ,     0.4, ,     4.2, ,     9.6, ,    15.2, ,    15.3, ,    11.4, ,     3.9, ,     1.2, ,    -7.3, ,     2.5, ,    -7.0, ,    -0.6, ,    13.4, ,     5.5, 
 1893,   -15.2, ,   -14.0, ,    -8.2, ,    -2.7, ,     5.3, ,    10.4, ,    14.4, ,    15.1, ,     9.8, ,     7.8, ,    -1.2, ,    -9.6, ,     1.0, ,   -12.2, ,    -1.9, ,    13.3, ,     5.5, 
 1894,   -12.8, ,   -15.8, ,    -5.0, ,    -2.0, ,     3.3, ,    10.6, ,    15.2, ,    13.8, ,     9.9, ,     5.2, ,    -1.6, ,    -6.8, ,     1.2, ,   -12.7, ,    -1.2, ,    13.2, ,     4.5, 
 1895,   -10.2, ,   -12.8, ,    -8.4, ,    -1.2, ,     6.5, ,    11.2, ,    15.1, ,    14.4, ,    10.2, ,     4.0, ,     0.2, ,    -4.5, ,     2.0, ,    -9.9, ,    -1.0, ,    13.6, ,     4.8, 
 1896,   -10.9, ,   -11.8, ,    -6.0, ,    -2.1, ,     3.5, ,     9.7, ,    14.7, ,    13.9, ,    10.0, ,     6.0, ,    -1.4, ,    -8.8, ,     1.4, ,    -9.1, ,    -1.5, ,    12.8, ,     4.9, 
 1897,   -11.6, ,   -13.2, ,    -7.6, ,    -0.9, ,     5.3, ,     9.1, ,    14.8, ,    14.6, ,     9.5, ,     4.2, ,    -1.5, ,    -5.8, ,     1.4, ,   -11.2, ,    -1.1, ,    12.8, ,     4.1, 
 1898,   -14.4, ,    -7.9, ,    -3.5, ,    -0.2, ,     4.8, ,    11.1, ,    15.0, ,    16.3, ,    11.0, ,     5.8, ,     1.9, ,    -6.8, ,     2.8, ,    -9.4, ,     0.4, ,    14.1, ,     6.2, 
 1899,   -12.4, ,   -12.8, ,    -7.4, ,    -1.0, ,     3.6, ,    10.2, ,    14.0, ,    14.0, ,    10.0, ,     5.0, ,    -0.5, ,    -4.9, ,     1.5, ,   -10.7, ,    -1.6, ,    12.7, ,     4.8, 
 1900,    -9.9, ,    -8.9, ,    -7.1, ,    -0.7, ,     3.6, ,    10.1, ,    14.0, ,    13.9, ,    10.2, ,     6.1, ,     0.3, ,    -8.0, ,     2.0, ,    -7.9, ,    -1.4, ,    12.7, ,     5.5, 
 1901,   -11.9, ,    -9.0, ,    -7.3, ,     1.0, ,     5.7, ,    11.0, ,    14.6, ,    15.3, ,    10.9, ,     4.9, ,    -0.1, ,    -5.2, ,     2.5, ,    -9.6, ,    -0.2, ,    13.6, ,     5.2, 
 1902,    -9.4, ,    -7.8, ,    -2.1, ,     1.0, ,     4.1, ,     8.4, ,    13.2, ,    14.7, ,    11.5, ,     4.7, ,     0.2, ,    -8.0, ,     2.5, ,    -7.5, ,     1.0, ,    12.1, ,     5.5, 
