"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1952" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -6.1" "   -17.5" " NA" " NA" " NA" " NA" " NA"
"1953" "   -28.5" "   -13.0" "   -13.4" "    -4.8" "     2.9" "     6.8" "     8.2" "     6.5" "     2.8" "    -0.5" "    -7.7" "   -12.9" "    -4.5" "   -19.7" "    -5.1" "     7.2" "    -1.8"
"1954" "   -32.1" "   -13.7" "   -14.8" "   -10.9" "     1.7" "     5.6" "     7.2" "     8.4" "     2.7" "    -1.3" "    -6.0" "   -13.0" "    -5.5" "   -19.6" "    -8.0" "     7.1" "    -1.5"
"1955" "   -15.0" "   -21.3" "   -17.7" "    -3.1" "     1.3" "     5.6" "     8.3" "     5.6" "     1.0" "    -3.1" "   -23.5" "   -27.5" "    -7.5" "   -16.4" "    -6.5" "     6.5" "    -8.5"
"1956" "   -28.7" "   -22.4" "   -13.6" "    -3.7" "     1.2" "     6.2" "     7.7" "     7.7" "     1.2" "    -5.7" "    -6.0" "   -17.8" "    -6.2" "   -26.2" "    -5.4" "     7.2" "    -3.5"
"1957" "   -24.4" "   -22.2" "   -14.6" "    -1.7" "     2.5" "     5.2" "     7.0" "     6.4" "     4.4" "    -5.4" "    -7.7" "   -17.8" "    -5.7" "   -21.5" "    -4.6" "     6.2" "    -2.9"
"1958" "   -14.1" "   -20.7" "   -13.1" "    -0.9" "     2.6" "     6.6" "     9.2" "     7.3" "     2.9" "    -0.3" "   -12.2" "   -19.8" "    -4.4" "   -17.5" "    -3.8" "     7.7" "    -3.2"
"1959" "   -29.3" "   -19.1" "    -6.6" "    -4.1" "     0.4" "     5.0" "     8.2" "     5.8" "     2.8" "    -2.1" "   -11.7" "    -6.8" "    -4.8" "   -22.7" "    -3.4" "     6.3" "    -3.7"
"1960" "   -21.0" "   -18.0" "   -16.8" "    -2.6" "     0.8" "     6.3" "     8.1" "     6.7" "     1.6" "    -2.3" "   -12.1" "   -13.6" "    -5.2" "   -15.3" "    -6.2" "     7.0" "    -4.3"
"1961" "   -18.7" "   -17.3" "   -12.2" "    -5.2" "     2.4" "     7.5" "     8.5" "     6.2" "    -1.2" "    -3.8" "   -13.7" "   -27.4" "    -6.2" "   -16.5" "    -5.0" "     7.4" "    -6.2"
"1962" "   -20.5" "   -21.5" "   -17.2" "    -1.9" "     0.5" "     5.6" "     7.3" "     8.4" "     1.5" "    -2.2" "    -7.1" "   -16.1" "    -5.3" "   -23.1" "    -6.2" "     7.1" "    -2.6"
"1963" "   -22.1" "   -17.0" "   -11.4" "    -3.9" "     0.4" "     5.4" "     8.9" "     7.6" "     5.7" "    -0.6" " NA" " NA" " NA" "   -18.4" "    -5.0" "     7.3" " NA"
"1964" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1965" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1966" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1967" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1968" " NA" " NA" "    -6.6" "    -2.0" "     1.1" "     5.7" "     7.9" "     5.4" "     3.7" "    -0.3" "    -8.7" "   -25.6" " NA" " NA" "    -2.5" "     6.3" "    -1.8"
"1969" "   -38.0" "   -25.8" "   -14.8" "    -2.4" "     2.2" "     6.0" "     8.1" "     6.1" "     3.2" "    -4.4" "    -8.8" "   -13.6" "    -6.9" "   -29.8" "    -5.0" "     6.7" "    -3.3"
"1970" "   -25.2" "   -10.8" "   -10.6" "    -2.2" "     2.0" "     7.0" "     7.6" "     7.3" "     2.9" "    -2.9" "   -16.7" "   -24.6" "    -5.5" "   -16.5" "    -3.6" "     7.3" "    -5.6"
"1971" "   -28.3" "   -18.2" "   -14.8" "    -2.1" "     3.0" "     8.0" "     9.6" "     8.4" "     2.6" "    -2.4" "   -11.1" "   -24.2" "    -5.8" "   -23.7" "    -4.6" "     8.7" "    -3.6"
"1972" "   -26.6" "   -25.5" "   -11.7" "    -5.0" "     0.1" "     8.1" "     6.9" "     8.4" "     0.8" "    -2.5" "   -10.9" "   -24.0" "    -6.8" "   -25.4" "    -5.5" "     7.8" "    -4.2"
"1973" "   -20.3" "   -16.7" "   -10.3" "    -1.8" "     2.9" "     6.3" "     6.9" "     5.3" "     3.3" "    -1.0" "   -21.1" "   -20.4" "    -5.6" "   -20.3" "    -3.1" "     6.2" "    -6.3"
"1974" "   -28.2" "   -16.0" "   -18.6" "    -3.0" "     1.5" "     5.5" "     6.9" "     5.6" "     1.0" "    -0.6" "    -8.9" "   -10.9" "    -5.5" "   -21.5" "    -6.7" "     6.0" "    -2.8"
