"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1907" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -9.9" "   -16.5" " NA" " NA" " NA" " NA" " NA"
"1908" "   -18.1" "   -15.9" "   -17.0" "    -3.7" "     2.9" "     6.1" "     7.9" "     7.1" "     2.0" "    -2.8" "   -11.3" "   -18.6" "    -5.1" "   -16.8" "    -5.9" "     7.0" "    -4.0"
"1909" "   -32.4" "   -25.4" "   -11.9" "    -8.6" "     1.6" "     5.5" "     7.9" "     5.7" "     2.5" "    -2.1" "   -16.2" "   -21.7" "    -7.9" "   -25.5" "    -6.3" "     6.4" "    -5.3"
"1910" "   -19.6" "   -22.9" "    -8.7" "    -2.3" "     1.3" "     4.0" "     8.5" "     5.7" "     2.2" "    -3.0" "   -14.5" "   -19.2" "    -5.7" "   -21.4" "    -3.2" "     6.1" "    -5.1"
"1911" "   -34.0" "   -23.9" "   -11.3" "    -6.6" "     6.4" "     6.5" "     8.0" "     4.9" "     1.7" "    -2.7" "   -15.2" "   -18.4" "    -7.1" "   -25.7" "    -3.8" "     6.5" "    -5.4"
"1912" "   -25.0" "   -16.7" "   -18.0" "    -3.0" "     1.8" "     6.3" "     6.5" "     7.0" "     0.2" "    -3.4" "    -9.2" "   -16.5" "    -5.8" "   -20.0" "    -6.4" "     6.6" "    -4.1"
"1913" "   -28.2" "   -22.0" "   -14.5" "    -2.7" "     1.0" "     6.4" "     8.2" "     8.3" "     3.4" "    -3.4" "    -8.6" "   -13.0" "    -5.4" "   -22.2" "    -5.4" "     7.6" "    -2.9"
"1914" "   -23.4" "   -23.3" " NA" "    -5.3" "    -0.3" "     6.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -19.9" " NA" " NA" " NA"
"1915" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1916" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1917" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1918" "   -23.8" "   -21.0" "   -14.9" "    -3.2" "     1.8" "     6.5" "     7.3" "     7.9" "     3.5" "    -5.1" "   -10.3" "   -15.8" "    -5.6" " NA" "    -5.4" "     7.2" "    -4.0"
"1919" "   -15.0" "   -22.0" "   -19.9" "    -1.6" "     1.2" "     5.4" "     9.1" "     8.7" "     3.7" "    -7.3" "   -15.7" "   -19.8" "    -6.1" "   -17.6" "    -6.8" "     7.7" "    -6.4"
"1920" "   -25.4" "   -15.8" "   -15.0" "    -7.9" "     1.8" "     4.1" "     9.4" "     7.3" "     0.7" "    -3.2" "   -10.7" "   -18.6" "    -6.1" "   -20.3" "    -7.0" "     6.9" "    -4.4"
"1921" "   -24.6" "   -16.5" "   -16.8" "    -0.9" "     2.2" "     4.2" "     4.5" "     4.4" "     1.2" "     0.1" "   -14.2" "   -15.9" "    -6.0" "   -19.9" "    -5.2" "     4.4" "    -4.3"
"1922" "   -16.9" "   -26.4" "   -17.0" "    -2.3" "     4.7" "     4.5" "     5.0" "     2.3" "    -1.3" "    -2.8" "    -9.0" "   -20.9" "    -6.7" "   -19.7" "    -4.9" "     3.9" "    -4.4"
"1923" "   -20.6" "   -15.9" "    -7.8" "    -1.2" "     4.7" "     6.8" "     9.2" "     5.2" "     5.4" "    -1.1" "   -11.3" "   -19.8" "    -3.9" "   -19.1" "    -1.4" "     7.1" "    -2.3"
"1924" "   -25.5" "   -14.1" "    -2.8" "    -5.7" "     2.3" "     5.4" "    10.4" "     6.5" "     0.0" "    -3.9" "   -10.4" "   -16.3" "    -4.5" "   -19.8" "    -2.1" "     7.4" "    -4.8"
"1925" "   -30.6" "   -25.5" "   -12.9" "     1.4" "     5.8" "     8.8" "     9.8" "     7.0" "     2.2" "    -5.7" "   -11.8" "    -5.2" "    -4.7" "   -24.1" "    -1.9" "     8.5" "    -5.1"
"1926" "    -8.0" "    -9.4" "    -7.2" "    -2.6" "     6.3" "     6.5" "     4.8" "     6.2" "     0.6" "    -2.1" "   -10.6" "   -19.1" "    -2.9" "    -7.5" "    -1.2" "     5.8" "    -4.0"
