"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1929" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     2.2" "    -0.2" "   -13.2" "   -26.4" " NA" " NA" " NA" " NA" "    -3.7"
"1930" "   -32.8" "   -26.5" "   -21.5" "    -5.8" "     0.3" "     9.2" "    11.7" "    11.6" " NA" " NA" " NA" " NA" " NA" "   -28.6" "    -9.0" "    10.8" " NA"
"1931" " NA" " NA" " NA" " NA" "     0.8" "     7.4" "    12.6" "    11.7" "     6.4" "     1.9" "   -10.1" "   -19.9" " NA" " NA" " NA" "    10.6" "    -0.6"
"1932" "   -28.7" "   -29.9" "   -28.6" "    -8.0" "     2.0" "    11.0" "    12.8" "    12.9" "     5.9" "    -3.7" "   -18.3" "   -29.5" "    -8.5" "   -26.2" "   -11.5" "    12.2" "    -5.4"
"1933" "   -33.9" "   -31.1" "   -22.9" "    -8.6" "     1.9" "     8.9" "    12.7" "    11.6" "     6.1" "    -4.1" "   -19.6" "   -34.6" "    -9.5" "   -31.5" "    -9.9" "    11.1" "    -5.9"
"1934" "   -28.1" "   -23.6" "   -22.2" "    -6.7" "     1.3" "     7.3" "    10.9" "     8.0" "     2.1" "    -2.3" "   -10.9" "   -25.6" "    -7.5" "   -28.8" "    -9.2" "     8.7" "    -3.7"
"1935" "   -33.9" "   -18.7" "   -22.2" "    -8.3" "     3.4" "     6.0" "    13.9" "     9.3" "     3.8" "    -3.8" "   -20.8" "   -22.4" "    -7.8" "   -26.1" "    -9.0" "     9.7" "    -6.9"
"1936" "   -33.3" "   -35.2" "   -17.1" "   -11.8" "     1.1" "     5.8" "    13.3" "     9.8" "     3.3" "    -6.7" "   -13.3" "   -27.8" "    -9.3" "   -30.3" "    -9.3" "     9.6" "    -5.6"
"1937" "   -37.8" "   -26.5" "   -21.2" "    -5.0" "     1.7" "     7.8" "    11.6" "     9.1" "     1.4" "    -2.9" "   -14.8" "   -29.2" "    -8.8" "   -30.7" "    -8.2" "     9.5" "    -5.4"
"1938" "   -29.4" "   -28.4" "   -16.9" "   -10.8" "     0.4" "     5.8" "    11.0" "     7.9" "     5.8" "    -0.1" "   -14.2" "   -18.3" "    -7.3" "   -29.0" "    -9.1" "     8.2" "    -2.8"
"1939" "   -29.6" "   -34.8" "   -25.1" "    -8.6" "     1.8" "     4.4" "    10.5" "    10.7" "     3.3" "    -6.5" "   -11.9" "   -15.0" "    -8.4" "   -27.6" "   -10.6" "     8.5" "    -5.0"
"1940" "   -25.5" "   -25.5" "   -17.6" "    -8.4" "     0.4" "     3.2" "     9.0" "     9.1" "     5.5" "     0.2" "   -15.3" "   -21.4" "    -7.2" "   -22.0" "    -8.5" "     7.1" "    -3.2"
"1941" "   -29.0" "   -24.5" "   -18.5" "    -5.6" "     1.7" "     8.2" "    11.2" "     7.1" "     1.6" "    -4.2" "   -14.4" "   -22.5" "    -7.4" "   -25.0" "    -7.5" "     8.8" "    -5.7"
"1942" "   -23.4" "   -24.0" "   -15.3" "    -9.2" "    -1.4" "     7.3" "     8.8" "     8.7" "     2.8" "    -1.9" "   -18.5" "   -29.6" "    -8.0" "   -23.3" "    -8.6" "     8.3" "    -5.9"
"1943" "   -34.0" "   -23.4" "   -25.3" "    -7.2" "    -1.7" "     4.4" "    10.3" "     9.1" "     2.9" "    -0.1" "   -10.5" "   -23.7" "    -8.3" "   -29.0" "   -11.4" "     7.9" "    -2.6"
"1944" "   -21.2" "   -29.9" "   -26.4" "    -6.5" "     2.6" "     5.0" "     9.3" "     8.3" "     3.2" "    -1.7" "   -10.9" "   -23.3" "    -7.6" "   -24.9" "   -10.1" "     7.5" "    -3.1"
