"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1934" "   -27.4" "   -33.8" "   -23.4" "    -7.6" "     0.3" "     7.7" "    14.2" "    10.3" "     5.8" "    -1.1" "    -9.2" "   -24.4" "    -7.4" " NA" "   -10.2" "    10.7" "    -1.5"
"1935" "   -32.0" "   -20.2" "   -20.9" "   -10.5" "    -0.9" "     6.1" "    11.8" "    11.1" "     2.3" "    -2.8" "   -18.4" "   -21.3" "    -8.0" "   -25.5" "   -10.8" "     9.7" "    -6.3"
"1936" "   -32.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1937" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1938" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     6.0" "     1.7" "   -14.6" "   -18.1" " NA" " NA" " NA" " NA" "    -2.3"
"1939" "   -24.3" "   -29.6" "   -20.6" "    -9.3" "     0.7" "     7.3" "    12.2" "    11.2" "     4.4" "    -6.2" "    -8.6" "   -14.9" "    -6.5" "   -24.0" "    -9.7" "    10.2" "    -3.5"
"1940" "   -22.9" "   -20.3" "   -19.9" "    -8.6" "     0.6" "     6.3" "    12.2" "    11.5" "     7.9" "    -1.0" "   -14.8" "   -20.6" "    -5.8" "   -19.4" "    -9.3" "    10.0" "    -2.6"
"1941" "   -26.1" "   -21.2" "   -16.6" "    -3.6" "     5.6" "    10.2" "    13.3" "     9.1" "     6.0" "    -1.6" "   -13.0" "   -20.1" "    -4.8" "   -22.6" "    -4.9" "    10.9" "    -2.9"
"1942" "   -23.0" "   -21.3" "   -11.8" " NA" "     0.1" "    10.5" "    10.0" " NA" " NA" "    -0.4" "   -15.7" "   -27.1" " NA" "   -21.5" " NA" " NA" " NA"
"1943" "   -28.8" "   -22.6" "   -21.2" "    -8.1" "     1.3" "     7.3" "    14.1" "    11.6" "     5.2" "     0.7" "   -11.2" "   -23.2" "    -6.2" "   -26.2" "    -9.3" "    11.0" "    -1.8"
