"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1871" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -5.6" " NA" " NA" " NA" " NA" " NA" " NA"
"1872" "   -11.5" "   -13.5" "   -12.2" "    -0.9" "     5.2" "    11.2" "    14.7" "    14.3" "     9.8" "     1.3" "    -5.6" "   -14.1" "    -0.1" " NA" "    -2.6" "    13.4" "     1.8"
"1873" "   -14.6" "   -14.5" "    -9.2" "    -0.1" "     5.5" "    11.0" "    14.3" "    12.5" "     6.7" "     1.2" "    -7.0" "    -6.0" "     0.0" "   -14.4" "    -1.3" "    12.6" "     0.3"
"1874" "    -8.8" "   -10.9" "    -6.1" "    -4.7" "     5.3" "    11.8" "    12.6" "    10.3" "     9.6" "     2.3" "    -3.4" "    -9.1" "     0.7" "    -8.6" "    -1.8" "    11.6" "     2.8"
"1875" "   -16.2" "   -20.6" "   -13.1" "    -3.0" "     4.5" "     9.6" "    11.5" "    11.5" "     6.3" "     1.3" "    -4.9" "    -6.9" "    -1.7" "   -15.3" "    -3.9" "    10.9" "     0.9"
"1876" "    -6.4" "   -10.0" "    -8.7" "    -1.8" "     5.4" "    13.5" "    14.1" "    12.5" "     7.6" "     0.4" "    -0.5" "   -14.3" "     1.0" "    -7.8" "    -1.7" "    13.4" "     2.5"
"1877" "   -14.1" "    -8.1" "    -9.7" "     0.2" "     5.0" "    10.8" "    13.6" "    13.9" "     9.5" "     4.7" "    -1.5" "    -2.6" "     1.8" "   -12.2" "    -1.5" "    12.8" "     4.2"
"1878" "    -9.0" "    -9.5" "    -1.6" "     4.2" "     5.0" "     8.8" "    15.9" "    13.6" "    10.2" "     3.7" "    -1.8" "    -9.1" "     2.5" "    -7.0" "     2.5" "    12.8" "     4.0"
"1879" "   -13.0" "   -14.5" "    -6.2" "    -1.6" "     4.6" "    10.0" "    13.5" "    12.2" "     6.3" "     6.7" "    -4.9" "    -8.5" "     0.4" "   -12.2" "    -1.1" "    11.9" "     2.7"
"1880" "    -4.2" "    -8.2" "    -6.4" "    -0.4" "     9.0" "    12.0" "    12.9" "    11.9" "     8.4" "     1.2" "    -8.2" "   -11.5" "     1.4" "    -7.0" "     0.7" "    12.3" "     0.5"
