"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1942" "   -23.4" "   -14.7" "    -9.5" "   -10.2" "    -1.1" "     2.0" "     8.5" "     7.3" "     4.7" "     0.2" "    -7.1" "   -18.8" "    -5.2" " NA" "    -6.9" "     5.9" "    -0.7"
"1943" "   -19.0" "   -23.9" "   -20.0" "   -12.0" "    -2.9" "     2.1" "     7.7" "     6.4" "     5.6" "     0.6" "    -6.5" "   -16.9" "    -6.6" "   -20.6" "   -11.6" "     5.4" "    -0.1"
"1944" "   -19.4" "   -21.0" "   -16.1" "    -8.8" "    -3.1" "     2.6" "     7.4" "     8.4" "     5.7" "    -1.8" "    -7.1" "   -16.0" "    -5.8" "   -19.1" "    -9.3" "     6.1" "    -1.1"
"1945" "   -20.1" "   -22.1" "   -17.5" "    -9.3" "    -1.1" "     3.0" "     6.7" " NA" " NA" "    -0.4" "    -6.5" "   -15.2" " NA" "   -19.4" "    -9.3" " NA" " NA"
"1946" "   -25.8" "   -24.2" "   -15.6" "    -9.4" "    -1.8" "     2.1" "     8.1" " NA" "     5.9" "     0.0" "    -8.4" "   -17.6" " NA" "   -21.7" "    -8.9" " NA" "    -0.8"
"1947" "   -23.5" "    -7.2" "   -11.9" "   -12.6" "    -4.3" "     1.9" " NA" " NA" " NA" " NA" "    -3.8" "    -8.5" " NA" "   -16.1" "    -9.6" " NA" " NA"
"1948" "   -17.9" "   -24.2" "   -20.5" "    -9.7" "    -0.6" "     2.7" "     7.1" "     7.7" "     4.5" "     1.4" "    -3.9" "   -12.0" "    -5.5" "   -16.9" "   -10.3" "     5.8" "     0.7"
"1949" "   -20.1" "   -23.4" "   -14.6" "    -9.1" "    -3.4" "     1.7" "     5.6" "     6.3" "     3.2" "     0.0" "    -9.2" "   -15.6" "    -6.6" "   -18.5" "    -9.0" "     4.5" "    -2.0"
"1950" "   -28.4" "   -25.5" "   -15.8" "    -9.2" "    -1.0" "     2.9" "     6.3" "     7.0" "     3.1" "    -1.2" "    -5.6" "   -11.0" "    -6.5" "   -23.2" "    -8.7" "     5.4" "    -1.2"
"1951" "   -20.4" "   -18.4" "   -12.3" "    -3.2" "    -1.7" "     4.0" "     8.6" "     8.4" "     5.5" "    -1.2" "    -7.6" "   -17.7" "    -4.7" "   -16.6" "    -5.7" "     7.0" "    -1.1"
"1952" "   -21.8" "   -18.6" "   -11.9" "    -6.7" "    -0.4" "     3.5" "     8.0" "     8.3" "     5.1" "    -0.5" "    -5.2" "    -9.7" "    -4.2" "   -19.4" "    -6.3" "     6.6" "    -0.2"
"1953" "   -20.4" "   -20.2" "   -14.6" "    -1.3" "    -2.0" "     3.1" "     8.6" "     6.9" "     4.1" "    -0.8" "    -5.5" "   -17.0" "    -4.9" "   -16.8" "    -6.0" "     6.2" "    -0.7"
"1954" "   -25.2" "   -19.0" "   -12.0" "   -12.0" "    -1.2" "     4.8" "     5.5" "     6.7" "     5.7" "     0.2" "    -9.0" "   -14.3" "    -5.8" "   -20.4" "    -8.4" "     5.7" "    -1.0"
"1955" "   -13.1" " NA" "   -14.8" "    -8.5" "    -0.2" " NA" "     7.1" "     7.4" "     4.2" "     1.1" "    -1.8" "   -10.0" " NA" " NA" "    -7.8" " NA" "     1.2"
"1956" "   -12.7" "   -19.1" "   -15.3" "    -6.8" "    -5.1" "     0.5" "     4.8" "     6.1" "     3.3" "    -0.2" "    -7.7" "   -20.4" "    -6.1" "   -13.9" "    -9.1" "     3.8" "    -1.5"
"1957" "   -27.4" "   -19.5" "    -8.7" "    -7.9" "    -3.8" "     1.9" "     5.2" "     7.8" "     4.8" "    -0.7" "    -6.0" "   -13.8" "    -5.7" "   -22.4" "    -6.8" "     5.0" "    -0.6"
"1958" "   -14.1" "   -12.3" "    -8.8" "    -8.1" "     0.5" "     3.0" "     7.1" "     7.1" "     4.3" "    -1.5" "    -6.5" "   -16.9" "    -3.9" "   -13.4" "    -5.5" "     5.7" "    -1.2"
"1959" "   -14.5" "   -24.1" "   -17.7" "    -7.2" "    -0.6" "     2.1" "     9.2" "     7.9" "     4.4" "    -1.0" "    -7.1" "   -13.6" "    -5.2" "   -18.5" "    -8.5" "     6.4" "    -1.2"
"1960" "   -15.1" "    -8.4" "   -17.9" "   -10.9" "    -1.2" "     4.6" "     6.3" "     8.0" "     4.7" "     1.2" "    -4.8" "   -14.6" "    -4.0" "   -12.4" "   -10.0" "     6.3" "     0.4"
"1961" "   -19.9" "   -21.9" "   -17.5" "    -4.0" "    -1.5" "     2.4" "     5.6" "     7.7" "     4.7" "     0.0" "    -3.5" "    -6.6" "    -4.5" "   -18.8" "    -7.7" "     5.2" "     0.4"
"1962" "   -24.7" "   -25.5" "    -7.3" "   -11.9" "    -2.7" "     0.9" "     4.9" "     7.4" "     4.1" "    -0.7" "    -6.1" "   -15.9" "    -6.5" "   -18.9" "    -7.3" "     4.4" "    -0.9"
"1963" "   -20.4" "   -21.9" "   -18.8" "    -5.5" "    -2.5" "     1.2" "     5.2" "     7.2" "     3.2" "    -0.9" "    -4.2" "   -14.0" "    -6.0" "   -19.4" "    -8.9" "     4.5" "    -0.6"
"1964" "   -20.0" "   -17.3" "   -20.8" "    -9.4" "    -2.3" "     2.3" "     6.9" "     6.6" "     4.8" "    -1.1" "    -6.1" "   -15.5" "    -6.0" "   -17.1" "   -10.8" "     5.3" "    -0.8"
"1965" "   -20.7" "   -19.6" "   -10.4" "    -9.3" "    -0.3" "     3.1" "     6.7" "     7.2" "     4.2" "    -1.9" "    -6.1" "   -13.8" "    -5.1" "   -18.6" "    -6.7" "     5.7" "    -1.3"
"1966" "   -11.9" "   -16.5" "   -10.6" "    -3.2" "    -2.0" "     3.5" "     6.4" "     6.3" "     5.3" "     1.2" "    -5.0" "   -12.9" "    -3.3" "   -14.1" "    -5.3" "     5.4" "     0.5"
"1967" "   -20.5" "   -23.2" "   -20.0" "   -11.3" "    -0.7" "     4.9" "     8.2" "     9.4" "     5.1" "     0.5" "    -4.9" "   -11.6" "    -5.3" "   -18.9" "   -10.7" "     7.5" "     0.2"
"1968" "   -19.1" "   -15.4" "   -18.4" "    -5.3" "    -1.2" "     1.8" "     5.7" "     6.5" "     5.3" "     2.6" "    -4.7" "    -9.9" "    -4.3" "   -15.4" "    -8.3" "     4.7" "     1.1"
"1969" "   -13.5" "   -13.4" "   -11.5" "   -14.4" "    -1.6" "     3.5" "     6.8" "     7.0" "     3.4" "    -2.1" "    -2.8" "    -8.7" "    -3.9" "   -12.3" "    -9.2" "     5.8" "    -0.5"
"1970" "   -17.8" "   -21.7" "   -12.0" "    -9.9" "    -2.9" "     2.0" "     7.6" "     8.6" "     3.8" "     0.8" "    -6.2" "   -15.5" "    -5.3" "   -16.1" "    -8.3" "     6.1" "    -0.5"
"1971" "   -18.8" "   -22.6" "   -11.0" "    -6.2" "    -1.9" "     1.0" "     6.7" "     7.0" "     4.5" "    -0.1" "    -5.0" "   -18.9" "    -5.4" "   -19.0" "    -6.4" "     4.9" "    -0.2"
"1972" "   -25.0" "   -25.0" "   -20.1" "   -12.9" "    -4.4" "     0.6" "     6.5" "     5.0" "     3.0" "    -2.8" "    -8.3" "   -23.9" "    -8.9" "   -23.0" "   -12.5" "     4.0" "    -2.7"
"1973" "   -21.8" "   -23.2" "   -15.9" "    -7.5" "    -0.6" "     4.0" "     8.8" "     7.8" "     5.4" "     0.3" "    -4.3" "   -10.1" "    -4.8" "   -23.0" "    -8.0" "     6.9" "     0.5"
"1974" "   -25.4" "   -18.8" "   -19.7" "   -11.6" "    -1.9" "     2.8" "     6.3" "     7.1" "     4.1" "    -2.4" "    -5.6" "   -13.8" "    -6.6" "   -18.1" "   -11.1" "     5.4" "    -1.3"
"1975" "   -25.6" "   -21.3" "   -15.0" "   -10.9" "    -2.8" "     1.2" "     7.5" "     7.9" "     4.9" "     0.0" "    -6.9" "   -17.3" "    -6.5" "   -20.2" "    -9.6" "     5.5" "    -0.7"
"1976" "   -21.3" "   -23.7" "   -19.5" "    -8.4" "    -1.0" "     2.2" "     4.7" "     6.2" "     2.8" "    -1.6" "    -6.6" "   -16.6" "    -6.9" "   -20.8" "    -9.6" "     4.4" "    -1.8"
"1977" "   -15.8" "   -19.4" "   -10.9" "    -8.2" "    -1.8" "     2.5" "     5.9" "     6.1" "     2.3" "    -0.4" "    -3.2" "   -14.2" "    -4.8" "   -17.3" "    -7.0" "     4.8" "    -0.4"
"1978" "   -22.4" "   -14.0" "   -20.5" "    -8.3" "    -2.3" "     0.7" "     5.7" "     6.8" "     2.3" "    -2.8" "   -11.2" "   -13.2" "    -6.6" "   -16.9" "   -10.4" "     4.4" "    -3.9"
"1979" "   -16.0" "   -18.9" "   -15.5" "    -5.7" "     1.2" "     4.3" "     7.1" "     7.6" "     3.7" "    -0.6" "    -6.2" "   -14.4" "    -4.5" "   -16.0" "    -6.7" "     6.3" "    -1.0"
"1980" "   -15.8" "   -17.1" "   -13.4" "    -8.7" "    -1.0" "     2.2" "     6.9" "     8.0" "     4.0" "     0.0" "    -5.4" "   -17.3" "    -4.8" "   -15.8" "    -7.7" "     5.7" "    -0.5"
"1981" "   -18.1" "   -13.5" "    -9.0" "    -8.0" "    -1.8" "     3.0" "     6.6" "     6.7" "     6.6" "     0.8" "    -3.6" "    -9.5" "    -3.3" "   -16.3" "    -6.3" "     5.4" "     1.3"
"1982" "   -18.8" "   -23.8" "   -18.4" "   -10.8" "    -2.9" "     0.7" "     7.4" "     6.9" "     3.6" "    -1.6" "    -6.8" "   -19.4" "    -7.0" "   -17.4" "   -10.7" "     5.0" "    -1.6"
"1983" "   -24.7" "   -23.3" "   -16.9" "    -5.9" "    -2.7" "     3.0" "     6.6" "     6.8" "     3.7" "    -0.7" "    -6.1" "   -16.5" "    -6.4" "   -22.5" "    -8.5" "     5.5" "    -1.0"
"1984" "   -26.0" "   -21.5" "   -16.1" "   -11.7" "    -1.0" "     1.6" "     5.7" "     8.3" " NA" " NA" " NA" " NA" " NA" "   -21.3" "    -9.6" "     5.2" " NA"
"1985" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1986" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1987" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1988" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1989" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1990" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1991" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1992" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1993" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1994" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     7.9" "     5.2" "     2.0" "    -3.8" "   -13.6" " NA" " NA" " NA" " NA" "     1.1"
"1995" "   -19.7" "   -24.2" "   -17.0" "    -4.7" "    -0.5" "     3.1" "     7.7" "     7.5" "     5.3" "     1.4" "    -5.7" "   -13.5" "    -5.0" "   -19.2" "    -7.4" "     6.1" "     0.3"
"1996" "   -22.2" "   -17.1" "   -13.0" "    -2.6" "    -1.5" "     1.9" "     4.7" "     8.8" "     4.0" " NA" "    -4.2" "   -11.2" " NA" "   -17.6" "    -5.7" "     5.1" " NA"
"1997" "   -17.0" "   -24.2" "   -18.2" "    -8.5" "    -0.6" " NA" " NA" " NA" " NA" " NA" "    -5.1" "   -11.8" " NA" "   -17.5" "    -9.1" " NA" " NA"
"1998" "   -18.0" "   -18.4" "   -16.3" "    -6.5" "    -0.7" "     4.0" "     7.9" "     8.7" "     6.1" "     0.9" "    -4.4" "   -13.2" "    -4.2" "   -16.1" "    -7.8" "     6.9" "     0.9"
"1999" "   -20.2" "   -17.8" "    -8.6" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -8.2" "   -12.8" " NA" "   -17.1" " NA" " NA" " NA"
"2000" "   -19.4" "   -20.7" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -0.2" "    -3.6" "   -10.8" " NA" "   -17.6" " NA" " NA" " NA"
"2001" "   -20.8" "   -19.9" "    -7.5" "    -9.1" "    -0.3" "     3.5" "     5.2" "     9.5" "     5.9" " NA" " NA" "    -7.8" " NA" "   -17.2" "    -5.6" "     6.1" " NA"
"2002" "   -22.0" "   -20.5" "   -17.5" "    -9.9" "    -2.1" "     2.1" " NA" " NA" " NA" " NA" "    -5.4" "   -13.4" " NA" "   -16.8" "    -9.8" " NA" " NA"
"2003" "   -16.6" "   -21.3" "   -20.3" "    -9.3" "    -0.8" " NA" " NA" "    10.1" "     8.7" "     2.7" "    -4.0" "    -9.8" " NA" "   -17.1" "   -10.1" " NA" "     2.5"
"2004" "   -13.2" "   -16.8" "   -15.8" "    -6.5" "    -0.6" "     4.2" "    10.0" "    10.0" "     5.1" " NA" "    -4.7" "   -14.6" " NA" "   -13.3" "    -7.6" "     8.1" " NA"
"2005" "   -24.1" "   -17.9" "   -13.4" "    -5.0" "     0.1" "     5.7" "     9.8" "     8.2" "     6.6" "     2.1" "    -4.4" "   -12.3" "    -3.7" "   -18.9" "    -6.1" "     7.9" "     1.4"
"2006" "   -16.7" "   -18.2" "    -8.6" "    -2.9" "     1.9" "     6.2" "     9.0" "     9.5" "     7.2" "     2.6" "    -3.9" "   -11.3" "    -2.1" "   -15.7" "    -3.2" "     8.2" "     2.0"
"2007" " NA" "   -14.7" "   -16.3" "    -9.4" "    -2.6" "     2.9" "     9.2" "     9.3" "     4.2" "     0.3" "    -5.8" "   -16.7" " NA" " NA" "    -9.4" "     7.1" "    -0.4"
"2008" "   -21.4" "   -21.5" " NA" "    -5.8" "    -0.8" "     4.4" "     9.7" "     8.8" "     5.8" "     1.1" "    -4.7" "   -17.2" " NA" "   -19.9" " NA" "     7.6" "     0.7"
"2009" "   -17.9" "   -16.7" "   -17.1" "    -8.8" "    -2.6" "     2.8" "     6.9" "     8.8" "     4.5" "    -0.4" "    -3.8" "    -7.9" "    -4.4" "   -17.3" "    -9.5" "     6.2" "     0.1"
"2010" " NA" " NA" " NA" "    -2.2" "    -0.4" "     3.2" "     8.3" "    11.0" "     6.0" "     2.4" "    -2.0" "    -3.9" " NA" " NA" " NA" "     7.5" "     2.1"
"2011" "   -10.3" "   -19.8" "   -14.5" "   -10.2" "    -2.4" "     3.1" "     8.8" "     9.7" "     6.2" "     1.5" "    -4.9" "   -14.2" "    -3.9" "   -11.3" "    -9.0" "     7.2" "     0.9"
"2012" "   -20.2" "   -20.1" "   -16.6" "    -6.7" "    -0.9" "     5.5" "     9.3" "    10.7" "     7.7" "     1.9" "    -4.0" "    -9.7" "    -3.6" "   -18.2" "    -8.1" "     8.5" "     1.9"
"2013" "   -18.8" "   -18.3" "    -7.8" "    -7.1" "    -1.6" "     2.4" "     8.4" "     7.7" "     4.7" "     1.9" "    -5.4" "   -18.1" "    -4.3" "   -15.6" "    -5.5" "     6.2" "     0.4"
"2014" "   -19.9" "   -20.9" "   -18.8" "   -10.1" "    -2.2" "     3.8" "     7.6" "     9.6" "     4.7" "     2.2" "    -7.1" "   -14.4" "    -5.5" "   -19.6" "   -10.4" "     7.0" "    -0.1"
"2015" "   -23.8" "   -25.4" "   -19.3" "    -8.4" "    -1.5" "     4.2" "     6.1" "     7.2" "     5.0" "    -0.3" "    -6.5" "   -13.9" "    -6.4" "   -21.2" "    -9.7" "     5.8" "    -0.6"
"2016" "   -16.9" "   -20.1" "   -17.8" "    -9.4" "    -0.9" "     2.8" " NA" " NA" " NA" " NA" "    -4.9" "   -16.5" " NA" "   -17.0" "    -9.4" " NA" " NA"
"2017" "   -17.2" "   -19.9" "   -16.1" "    -9.9" "    -2.9" "     2.2" "     7.6" "     8.5" "     5.4" "     1.7" "    -4.3" "   -10.8" "    -4.6" "   -17.9" "    -9.6" "     6.1" "     0.9"
