2400660,CAPE HOOPER                               ,NU  , monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M, 1014.9, , 1004.2, , 1010.9, , 1008.2, , 1004.4, ,  999.8, ,  995.5, ,  998.7, ,  996.4, , 1003.7, ,-9999.9,M, 1009.5, , 1007.8, ,  998.0,  
1957,  992.2, , 1011.6, , 1013.9, , 1009.0, , 1009.0, , 1005.8, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1000.0, , 1010.6, ,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1015.1, , 1019.8, , 1012.4, , 1010.2, , 1009.2, , 1016.0, ,-9999.9,M,-9999.9,M,-9999.9,M, 1017.5, , 1010.6,  
1959, 1017.9, , 1000.3, , 1013.5, , 1021.5, , 1020.3, , 1018.4, , 1011.1, , 1016.5, , 1010.8, , 1009.1, , 1015.8, , 1012.6, , 1014.0, , 1011.4, , 1018.4, , 1015.3, , 1011.9,  
1960, 1020.3, , 1025.9, , 1022.4, , 1024.2, , 1022.5, , 1018.4, , 1015.6, , 1011.5, , 1009.4, , 1010.0, , 1008.1, , 1004.7, , 1016.1, , 1019.6, , 1023.0, , 1015.2, , 1009.2,  
1961, 1009.9, , 1009.2, , 1016.6, , 1023.5, , 1015.8, , 1010.1, , 1014.4, , 1003.2, , 1007.1, , 1010.2, , 1015.3, , 1022.2, , 1013.1, , 1008.0, , 1018.6, , 1009.2, , 1010.9,  
1962, 1001.7, , 1014.0, , 1031.2, , 1011.9, , 1017.9, , 1012.7, , 1017.9, , 1010.6, , 1010.7, , 1010.3, , 1008.2, , 1004.8, , 1012.7, , 1012.6, , 1020.4, , 1013.8, , 1009.7,  
1963, 1010.4, , 1010.5, , 1011.0, , 1020.1, , 1011.2, , 1014.9, , 1014.0, , 1010.7, , 1003.6, , 1001.4, , 1013.9, , 1007.2, , 1010.7, , 1008.6, , 1014.1, , 1013.2, , 1006.3,  
1964, 1004.4, , 1002.5, , 1013.5, , 1016.3, , 1018.0, , 1009.3, , 1007.0, , 1018.4, , 1009.3, , 1009.5, , 1012.7, , 1009.4, , 1010.9, , 1004.7, , 1015.9, , 1011.6, , 1010.5,  
1965, 1006.3, , 1010.7, , 1019.7, , 1015.0, , 1015.6, , 1011.9, , 1014.8, , 1007.9, , 1008.1, , 1004.2, , 1018.3, , 1012.1, , 1012.0, , 1008.8, , 1016.7, , 1011.5, , 1010.2,  
1966, 1024.6, , 1012.9, , 1020.0, , 1021.3, , 1020.4, , 1008.5, , 1011.2, , 1017.4, , 1009.6, , 1009.8, , 1006.9, , 1014.5, , 1014.8, , 1016.5, , 1020.6, , 1012.4, , 1008.8,  
1967, 1012.3, , 1001.2, , 1007.8, , 1012.6, , 1018.6, , 1007.2, , 1013.0, , 1005.7, , 1003.6, , 1011.4, , 1005.3, , 1015.4, , 1009.5, , 1009.3, , 1013.0, , 1008.6, , 1006.8,  
1968, 1014.9, , 1014.2, , 1010.7, , 1014.0, , 1020.6, , 1013.1, , 1011.1, , 1013.0, , 1018.2, , 1017.3, , 1012.3, , 1014.7, , 1014.5, , 1014.9, , 1015.1, , 1012.4, , 1015.9,  
1969, 1022.9, , 1019.6, , 1016.9, , 1015.6, , 1013.7, , 1009.8, , 1012.4, , 1014.1, , 1009.0, , 1005.6, , 1009.5, , 1015.1, , 1013.7, , 1019.1, , 1015.4, , 1012.1, , 1008.1,  
1970, 1014.1, , 1006.1, , 1022.5, , 1019.6, , 1015.5, , 1006.8, , 1010.5, , 1012.4, , 1005.9, , 1014.4, , 1008.5, , 1014.1, , 1012.5, , 1011.8, , 1019.2, , 1009.9, , 1009.6,  
1971, 1013.5, , 1010.6, , 1020.4, , 1021.8, , 1010.5, , 1019.6, , 1012.5, , 1008.1, , 1007.5, , 1009.7, , 1013.6, , 1011.8, , 1013.3, , 1012.8, , 1017.6, , 1013.4, , 1010.3,  
1972, 1001.5, , 1007.5, , 1012.7, , 1018.3, , 1015.1, , 1011.2, , 1013.1, , 1010.0, , 1009.0, , 1002.7, , 1011.2, , 1006.5, , 1009.9, , 1006.9, , 1015.3, , 1011.4, , 1007.6,  
1973,  999.9, , 1012.2, , 1012.7, , 1022.6, , 1016.4, , 1013.3, , 1010.1, , 1013.8, , 1008.2, , 1012.0, , 1015.8, , 1010.6, , 1012.3, , 1006.2, , 1017.2, , 1012.4, , 1012.0,  
1974, 1001.8, , 1011.9, , 1007.5, , 1011.1, , 1022.5, , 1013.6, , 1012.2, , 1011.7, , 1006.1, , 1009.4, , 1012.7, , 1013.5, , 1011.2, , 1008.1, , 1013.7, , 1012.5, , 1009.4,  
1975, 1006.3, , 1007.0, , 1014.2, , 1022.3, , 1019.3, , 1016.1, , 1004.2, , 1010.5, , 1007.3, , 1008.6, , 1012.4, , 1007.6, , 1011.3, , 1009.0, , 1018.6, , 1010.2, , 1009.5,  
