8401501,DEER LAKE A                               ,NFLD, monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1961,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1962,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1963,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1964,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1965,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1011.6, , 1011.1, , 1016.5, , 1009.0, , 1012.1, , 1008.8, ,-9999.9,M,-9999.9,M,-9999.9,M, 1011.3, , 1012.5,  
1966, 1006.2, , 1009.0, , 1014.5, , 1013.1, , 1012.8, , 1012.8, , 1009.3, , 1010.9, , 1010.0, , 1009.6, , 1022.5, , 1012.6, , 1011.9, , 1008.0, , 1013.5, , 1011.0, , 1014.0,  
1967, 1011.3, , 1005.8, , 1017.0, , 1012.6, , 1014.0, , 1015.5, , 1014.0, , 1014.3, , 1015.7, , 1016.4, , 1010.0, , 1012.4, , 1013.3, , 1009.9, , 1014.5, , 1014.6, , 1014.0,  
1968, 1008.7, , 1003.1, , 1011.6, , 1014.8, , 1010.5, , 1011.3, , 1013.2, , 1010.8, , 1016.5, , 1009.5, , 1006.6, , 1003.6, , 1010.0, , 1008.1, , 1012.3, , 1011.8, , 1010.9,  
1969, 1012.8, , 1015.1, , 1005.4, , 1012.3, , 1011.5, , 1012.0, , 1013.3, , 1009.5, , 1016.1, , 1013.2, , 1021.2, , 1009.5, , 1012.7, , 1010.5, , 1009.7, , 1011.6, , 1016.8,  
1970,  999.1, , 1013.7, , 1008.5, , 1009.4, , 1016.6, , 1012.9, , 1012.8, , 1011.7, , 1014.0, , 1019.9, , 1016.3, , 1006.0, , 1011.7, , 1007.5, , 1011.5, , 1012.5, , 1016.7,  
1971, 1002.5, , 1014.4, , 1002.1, , 1011.9, , 1012.9, , 1010.1, , 1013.2, , 1012.3, , 1015.2, , 1015.8, , 1011.6, , 1011.2, , 1011.1, , 1007.6, , 1009.0, , 1011.9, , 1014.2,  
1972, 1009.9, , 1011.2, , 1015.9, , 1010.2, , 1015.3, , 1015.5, , 1014.9, , 1012.4, , 1014.5, , 1016.5, , 1013.7, , 1014.2, , 1013.7, , 1010.8, , 1013.8, , 1014.3, , 1014.9,  
1973, 1004.1, , 1014.1, , 1016.3, , 1013.2, , 1016.8, , 1014.1, , 1012.5, , 1014.4, , 1011.3, , 1013.5, , 1003.4, , 1015.2, , 1012.4, , 1010.8, , 1015.4, , 1013.7, , 1009.4,  
1974, 1010.1, , 1002.6, , 1003.7, , 1008.8, , 1010.5, , 1013.1, , 1012.4, , 1013.4, , 1014.9, , 1013.6, , 1011.3, , 1010.6, , 1010.4, , 1009.3, , 1007.7, , 1013.0, , 1013.2,  
