1038205,TOFINO A                                  ,BC  ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960, 1012.4, , 1012.9, , 1012.3, , 1011.8, , 1012.1, , 1016.9, , 1016.5, , 1013.8, , 1016.1, , 1012.2, , 1010.0, , 1018.8, , 1013.8, , 1012.6, , 1012.1, , 1015.7, , 1012.8,  
1961, 1012.4, , 1010.2, , 1006.9, , 1015.5, , 1013.9, , 1015.1, , 1015.5, , 1015.0, , 1014.8, , 1014.0, , 1012.0, , 1012.5, , 1013.2, , 1013.8, , 1012.1, , 1015.2, , 1013.6,  
1962, 1021.1, , 1009.7, , 1011.2, , 1015.2, , 1015.2, , 1015.5, , 1017.1, , 1014.3, , 1012.1, , 1012.4, , 1009.9, , 1015.0, , 1014.1, , 1014.4, , 1013.9, , 1015.6, , 1011.5,  
1963, 1021.8, , 1013.0, , 1011.1, , 1009.6, , 1014.7, , 1014.1, , 1014.4, , 1015.2, , 1011.7, , 1010.4, , 1008.2, , 1015.8, , 1013.3, , 1016.6, , 1011.8, , 1014.6, , 1010.1,  
1964, 1007.6, , 1021.4, , 1011.4, , 1016.1, , 1015.3, , 1013.3, , 1013.2, , 1013.8, , 1014.7, , 1014.7, , 1011.8, , 1005.9, , 1013.3, , 1014.9, , 1014.3, , 1013.4, , 1013.7,  
1965, 1011.1, , 1015.2, , 1017.0, , 1011.7, , 1016.6, , 1014.4, , 1015.7, , 1013.8, , 1015.4, , 1013.5, , 1006.6, , 1007.7, , 1013.2, , 1010.7, , 1015.1, , 1014.6, , 1011.8,  
1966, 1008.9, , 1013.0, , 1011.4, , 1017.3, , 1015.8, , 1014.5, , 1014.5, , 1015.3, , 1014.1, , 1015.2, , 1009.8, , 1007.7, , 1013.1, , 1009.8, , 1014.8, , 1014.8, , 1013.0,  
1967, 1009.5, , 1017.7, , 1009.2, , 1011.6, , 1017.9, , 1013.5, , 1016.4, , 1014.8, , 1012.3, , 1010.6, , 1013.6, , 1013.5, , 1013.4, , 1011.7, , 1012.9, , 1014.9, , 1012.2,  
1968, 1010.3, , 1012.7, , 1012.0, , 1018.6, , 1014.0, , 1015.1, , 1015.3, , 1013.0, , 1014.4, , 1010.2, , 1011.1, , 1007.4, , 1012.8, , 1012.2, , 1014.9, , 1014.5, , 1011.9,  
1969, 1004.9, , 1004.5, , 1016.7, , 1012.3, , 1014.7, , 1011.5, , 1016.5, , 1013.8, , 1010.9, , 1014.4, , 1014.9, , 1010.1, , 1012.1, , 1005.6, , 1014.6, , 1013.9, , 1013.4,  
1970, 1009.2, , 1015.9, , 1016.4, , 1015.1, , 1018.0, , 1014.0, , 1015.3, , 1014.4, , 1015.2, , 1012.1, , 1008.8, , 1005.4, , 1013.3, , 1011.8, , 1016.5, , 1014.6, , 1012.0,  
1971, 1013.1, , 1014.0, , 1011.4, , 1013.0, , 1014.5, , 1014.1, , 1015.4, , 1012.8, , 1013.3, , 1014.4, , 1012.5, , 1008.8, , 1013.1, , 1010.8, , 1013.0, , 1014.1, , 1013.4,  
1972, 1012.9, , 1010.3, , 1012.7, , 1013.0, , 1014.2, , 1013.7, , 1014.0, , 1014.2, , 1012.6, , 1016.9, , 1010.7, , 1012.1, , 1013.1, , 1010.6, , 1013.3, , 1014.0, , 1013.4,  
1973, 1009.6, , 1012.1, , 1010.0, , 1018.3, , 1014.8, , 1013.8, , 1015.8, , 1014.7, , 1013.3, , 1012.3, , 1003.2, , 1008.8, , 1012.2, , 1011.3, , 1014.4, , 1014.7, , 1009.6,  
1974, 1010.6, , 1012.3, , 1006.6, , 1014.5, , 1014.3, , 1013.8, , 1014.4, , 1014.4, , 1014.6, , 1017.1, , 1012.1, , 1011.9, , 1013.0, , 1010.6, , 1011.8, , 1014.2, , 1014.6,  
1975, 1013.3, , 1009.8, , 1009.9, , 1013.6, , 1014.6, , 1015.2, , 1014.3, , 1014.0, , 1016.7, , 1008.4, , 1009.9, , 1015.2, , 1012.9, , 1011.7, , 1012.7, , 1014.5, , 1011.7,  
