2202000,FORT RESOLUTION A                         ,NWT ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954, 1002.5, ,  990.7, ,  999.2, , 1002.5, ,  999.0, ,  989.9, ,  989.6, ,  996.6, ,  993.3, ,  988.9, ,  990.5, ,  988.1, ,  994.2, ,  996.6, , 1000.2, ,  992.0, ,  990.9,  
1955,  996.1, , 1000.3, , 1000.0, ,  993.0, ,  992.1, ,  990.0, ,  991.0, ,  987.4, ,  994.3, ,  986.7, ,  999.4, ,  998.4, ,  994.1, ,  994.9, ,  995.0, ,  989.5, ,  993.5,  
1956, 1003.3, ,  995.9, ,  995.8, ,  999.8, ,  993.6, ,  990.1, ,  995.4, ,  990.9, ,  993.2, ,  987.9, ,  993.4, ,  995.3, ,  994.5, ,  999.2, ,  996.4, ,  992.1, ,  991.5,  
1957, 1000.5, ,  997.8, ,  998.6, , 1000.2, ,  999.3, ,  991.3, ,  988.3, ,  996.6, ,  991.1, ,  997.1, ,  993.1, ,  990.7, ,  995.4, ,  997.9, ,  999.4, ,  992.1, ,  993.8,  
1958,  993.8, , 1005.9, , 1003.0, ,  995.8, ,  993.6, ,  996.4, ,  991.7, ,  989.5, ,  989.5, ,  988.9, ,  990.8, ,  999.9, ,  994.9, ,  996.8, ,  997.5, ,  992.5, ,  989.7,  
1959, 1003.9, ,  993.8, ,  993.0, ,  994.4, ,  997.6, ,  994.5, ,  989.0, ,  992.1, ,  992.7, ,  994.4, ,  996.0, ,  989.2, ,  994.2, ,  999.2, ,  995.0, ,  991.9, ,  994.4,  
1960,  997.6, ,  999.8, , 1001.6, ,  993.4, ,  993.1, ,  991.5, ,  991.1, ,  988.1, ,  990.4, ,  988.7, ,  992.4, ,  999.6, ,  993.9, ,  995.5, ,  996.0, ,  990.2, ,  990.5,  
1961,  999.0, ,  995.2, ,  995.7, ,  995.8, ,  997.5, ,  991.8, ,  992.8, ,  989.1, ,  990.6, ,  987.7, ,  991.0, ,  999.1, ,  993.8, ,  997.9, ,  996.4, ,  991.2, ,  989.7,  
1962, 1000.4, , 1003.2, , 1000.4, ,  994.9, ,  995.8, ,  989.3, ,  993.5, ,  989.6, ,  991.2, ,  989.5, ,  990.2, ,  998.5, ,  994.7, , 1000.9, ,  997.0, ,  990.8, ,  990.3,  
1963, 1002.4, , 1001.5, ,  996.5, ,  995.8, ,  995.8, ,  987.6, ,  987.7, ,  992.9, ,  992.3, ,  983.6, ,  990.5, ,  999.7, ,  993.9, , 1000.8, ,  996.0, ,  989.4, ,  988.8,  
1964,  990.2, ,  989.1, ,  999.1, ,  991.2, ,  994.4, ,  991.1, ,  990.0, ,  990.0, ,  992.7, ,  989.0, ,  995.9, ,  994.6, ,  992.3, ,  993.0, ,  994.9, ,  990.4, ,  992.5,  
1965,  998.9, ,  999.6, , 1004.3, ,  993.4, ,  992.0, ,  989.7, ,  993.0, ,  992.6, ,  996.9, ,  986.6, ,  996.0, ,  990.6, ,  994.5, ,  997.7, ,  996.5, ,  991.8, ,  993.2,  
1966, 1008.1, ,  993.8, ,  995.2, , 1002.2, ,  990.4, ,  989.8, ,  991.6, ,  991.8, ,  990.2, ,  989.5, ,  998.4, ,  995.4, ,  994.7, ,  997.5, ,  996.0, ,  991.0, ,  992.7,  
