2402686,MACKAR INLET                              ,NU  ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,  960.9, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,  962.6, ,  964.6, ,  978.3, ,  967.0, ,  965.1, ,  966.2, ,  962.5, ,  970.1, ,  964.9, ,  964.6, ,  960.8, ,  964.3, ,  965.9, ,  962.7, ,  970.1, ,  966.3, ,  963.4,  
1959,  964.1, ,  954.2, ,  968.3, ,  972.3, ,  971.7, ,  970.9, ,  970.0,a,  973.2,a,  970.4,a,  969.8,a,  971.4,a,  969.0,a,  968.8,a,  960.8, ,  970.8, ,  971.4,a,  970.5,a 
1960,  972.0,a,  977.6,a,  975.3,a,  977.8,a,  979.3,a,  975.5,a,  963.5, ,  962.1, ,  964.0, ,  963.1, ,  959.2, ,  957.7, ,  968.9,a,  972.8,a,  977.5,a,  967.0,a,  962.1,  
1961,  961.8, ,  961.7, ,  968.9, ,  971.7, ,  967.5, ,  964.4, ,  968.4, ,  955.8, ,  960.7, ,  962.8, ,  966.1, ,  968.1, ,  964.8, ,  960.4, ,  969.3, ,  962.9, ,  963.2,  
1962,  955.2, ,  963.7, ,  977.2, ,  965.0, ,  968.9, ,  967.0, ,  967.0, ,  962.9, ,  961.8, ,  962.9, ,  960.0, ,  958.0, ,  964.1, ,  962.3, ,  970.3, ,  965.6, ,  961.6,  
1963,  956.3, ,  960.7, ,  961.7, ,  969.8, ,  963.4, ,  970.1, ,  965.2, ,  963.7, ,  961.7, ,  957.4, ,  963.7, ,  960.5, ,  962.9, ,  958.3, ,  965.0, ,  966.4, ,  960.9,  
1964,  955.4,a,  951.7,a,  960.7,a,  964.0,a,  970.2,a,  958.8,a,  962.6,a,  968.0,a,  960.1,a,  963.0,a,  961.2,a,  956.7,a,  961.0,a,  955.8,a,  965.0,a,  963.1,a,  961.4,a 
1965,  957.9,a,  955.5,a,  968.5,a,  964.6,a,  960.9,a,  966.0,a,  964.4,a,  958.1,a,  959.1,a,  957.5,a,  965.3,a,  960.0,a,  961.5,a,  956.7,a,  964.6,a,  962.8,a,  960.6,a 
1966,  970.5,a,  958.2,a,  968.5,a,  970.5,a,  970.6,a,  961.1,a,  962.4,a,  965.8,a,  960.2,a,  959.5,a,  957.0,a,  966.8,a,  964.3,a,  962.9,a,  969.9,a,  963.1,a,  958.9,a 
1967,  959.7,a,  953.9,a,  956.1,a,  963.2,a,  963.9,a,  960.2,a,  962.3,a,  956.1,a,  955.6,a,  961.8,a,  958.5,a,  962.0,a,  959.4,a,  960.1,a,  961.1,a,  959.5,a,  958.6,a 
1968,  965.1,a,  964.7,a,  959.4,a,  961.2,a,  970.7,a,  963.5,a,  959.5,a,  963.8,a,  965.9,a,  965.5,a,  961.5,a,  964.6,a,  963.8,a,  963.9,a,  963.8,a,  962.3,a,  964.3,a 
1969,  968.6,a,  967.5,a,  965.0,a,  966.8,a,  962.4,a,  961.0,a,  964.5,a,  965.3,a,  964.3,a,  957.9,a,  957.6,a,  965.5,a,  963.9,a,  966.9,a,  964.7,a,  963.6,a,  960.0,a 
1970,  960.0,a,  954.6,a,  968.7,a,  970.2,a,  966.1,a,  959.6,a,  961.4,a,  963.0,a,  958.0,a,  964.6,a,  958.3,a,  965.9,a,  962.5,a,  960.0,a,  968.3,a,  961.3,a,  960.3,a 
1971,  960.2,a,  960.2,a,  967.3,a,  968.8,a,  961.1,a,  968.8,a,  962.3,a,  959.8,a,  960.2,a,  958.5,a,  963.3,a,  961.6,a,  962.7,a,  962.1,a,  965.8,a,  963.7,a,  960.7,a 
1972,  951.2,a,  957.8,a,  962.2,a,  966.8,a,  966.5,a,  964.2,a,  964.1,a,  961.7,a,  958.3,a,  954.5,a,  959.7,a,  958.3,a,  960.4,a,  956.9,a,  965.2,a,  963.3,a,  957.5,a 
1973,  954.3,a,  959.3,a,  961.6,a,  972.1,a,  967.2,a,  966.1,a,  962.4,a,  963.7,a,  958.0,a,  960.1,a,  967.1,a,  963.9,a,  963.0,a,  957.3,a,  967.0,a,  964.1,a,  961.7,a 
1974,  952.6,a,  962.9,a,  959.3,a,  961.9,a,  970.9,a,  964.4,a,  964.5,a,  962.1,a,  954.8,a,  961.0,a,  963.6,a,  963.2,a,  961.8,a,  959.8,a,  964.0,a,  963.7,a,  959.8,a 
1975,  953.6,a,  957.7,a,  964.1,a,  973.4,a,  968.5,a,  967.7,a,  956.9,a,  963.2,a,  960.6,a,  959.6,a,  960.8,a,  958.0,a,  962.0,a,  958.2,a,  968.7,a,  962.6,a,  960.3,a 
