3044923,MANYBERRIES    ,AB, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
3044923,MANYBERRIES    ,AB, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    23.4, ,    20.7, ,    12.5, ,     8.0, ,     1.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.7, 
 1929,   -12.1, ,    -9.6, ,     7.3, ,     9.2, ,    17.9, ,    22.5, ,    29.4, ,    30.4, ,    18.3, ,    16.4, ,     3.8, ,    -5.8, ,    10.6, ,    -6.8, ,    11.5, ,    27.4, ,    12.8, 
 1930,   -14.2, ,     3.2, ,     4.2, ,    16.8, ,    18.0, ,    23.5, ,    30.1, ,    29.3, ,    20.1, ,     9.6, ,     3.7, ,     1.1, ,    12.1, ,    -5.6, ,    13.0, ,    27.6, ,    11.1, 
 1931,     2.3, ,     6.5, ,     5.4, ,    14.1, ,    20.8, ,    25.1, ,    27.8, ,    26.7, ,    20.4, ,    15.8, ,     1.0, ,    -1.7, ,    13.7, ,     3.3, ,    13.4, ,    26.5, ,    12.4, 
 1932,    -4.9, ,    -3.1, ,    -2.2, ,    13.3, ,    19.5, ,    22.6, ,    28.5, ,    26.6, ,    20.9, ,    11.1, ,     3.1, ,    -3.1, ,    11.0, ,    -3.2, ,    10.2, ,    25.9, ,    11.7, 
 1933,    -2.5, ,    -4.6, ,     6.5, ,     9.9, ,    17.6, ,    26.2, ,    29.6, ,    27.3, ,    19.9, ,    11.3, ,     6.0, ,    -7.7, ,    11.6, ,    -3.4, ,    11.3, ,    27.7, ,    12.4, 
 1934,     1.5, ,     2.5, ,     4.0, ,    17.4, ,    23.1, ,    21.5, ,    29.2, ,    27.5, ,    16.4, ,    14.0, ,     5.8, ,    -4.7, ,    13.2, ,    -1.2, ,    14.8, ,    26.1, ,    12.1, 
 1935,    -9.9, ,     0.2, ,    -0.2, ,     8.2, ,    16.0, ,    22.3, ,    29.2, ,    26.1, ,    22.4, ,    13.8, ,     1.0, ,    -0.9, ,    10.7, ,    -4.8, ,     8.0, ,    25.9, ,    12.4, 
 1936,    -9.9, ,   -21.3, ,     2.7, ,    10.5, ,    23.4, ,    24.9, ,    34.5, ,    27.2, ,    21.5, ,    15.0, ,     5.5, ,    -4.9, ,    10.8, ,   -10.7, ,    12.2, ,    28.9, ,    14.0, 
 1937,   -16.5, ,    -8.2, ,     1.2, ,    12.4, ,    20.1, ,    23.9, ,    28.9, ,    27.0, ,    20.7, ,    14.4, ,     1.2, ,    -4.9, ,    10.0, ,    -9.9, ,    11.2, ,    26.6, ,    12.1, 
 1938,     0.2, ,   -11.4, ,     2.6, ,    12.0, ,    16.0, ,    23.8, ,    28.1, ,    26.9, ,    26.3, ,    15.8, ,     1.8, ,    -0.8, ,    11.8, ,    -5.4, ,    10.2, ,    26.3, ,    14.6, 
