4068559,WASKESIU LAKE  ,SK, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
4068559,WASKESIU LAKE  ,SK, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1966,   -22.2, ,   -10.0, ,    -0.9, ,     3.3, ,    15.5, ,    19.1, ,    22.0, ,    21.7, ,    18.1, ,     9.9, ,    -9.0, ,   -10.3, ,     4.8, , -9999.9,M,     6.0, ,    20.9, ,     6.3, 
 1967,   -14.6, ,    -9.9, ,    -3.8, ,     3.3, ,    14.4, ,    18.3, ,    22.4, ,    23.5, ,    21.0, ,     5.9, ,    -2.3, ,   -10.6, ,     5.6, ,   -11.6, ,     4.6, ,    21.4, ,     8.2, 
 1968,   -15.3, ,    -8.6, ,     0.9, ,     5.4, ,    13.4, ,    17.9, ,    19.7, ,    17.0, ,    14.0, ,     6.3, ,    -1.1, ,   -14.6, ,     4.6, ,   -11.5, ,     6.6, ,    18.2, ,     6.4, 
 1969,   -22.9, ,    -9.6, ,    -1.5, ,    13.0, ,    15.1, ,    18.6, ,    20.9, ,    22.4, ,    13.3, ,     2.8, ,     0.7, ,    -7.1, ,     5.5, ,   -15.7, ,     8.9, ,    20.6, ,     5.6, 
 1970,   -16.0, ,    -6.3, ,    -4.6, ,     6.3, ,    14.8, ,    22.6, ,    23.6, ,    22.1, ,    15.0, ,     7.5, ,    -5.0, ,   -16.3, ,     5.3, ,    -9.8, ,     5.5, ,    22.8, ,     5.8, 
 1971,   -19.3, , -9999.9,M,    -4.1, , -9999.9,M,    19.5, ,    20.3, ,    21.1, ,    23.6, ,    15.2, ,    10.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.7, , -9999.9,M
 1972, -9999.9,M, -9999.9,M,    -2.7, ,     3.8, ,    18.1, ,    21.8, ,    19.4, ,    22.4, ,     9.3, ,     5.2, ,    -4.2, ,   -14.6, , -9999.9,M, -9999.9,M,     6.4, ,    21.2, ,     3.4, 
 1973,    -9.7, ,    -9.0, ,     3.5, ,     6.2, ,    16.4, ,    17.8, ,    21.5, ,    21.2, ,    13.8, ,     7.5, ,   -10.5, ,   -15.9, ,     5.2, ,   -11.1, ,     8.7, ,    20.2, ,     3.6, 
 1974,   -21.3, ,    -8.6, ,    -8.7, ,     8.7, ,     9.4, ,    19.6, ,    21.5, ,    17.6, ,    10.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.3, ,     3.1, ,    19.6, , -9999.9,M
 1975, -9999.9,M, -9999.9,M,    -5.0, ,     5.5, ,    12.8, ,    18.6, ,    24.5, ,    17.4, ,    14.2, ,     7.8, ,    -2.0, ,   -10.8, , -9999.9,M, -9999.9,M,     4.4, ,    20.2, ,     6.7, 
 1976,   -11.9, ,    -7.1, ,    -3.8, ,    11.8, ,    18.1, ,    18.8, ,    22.1, ,    22.7, ,    18.5, ,     6.3, ,    -1.2, ,   -11.2, ,     6.9, ,    -9.9, ,     8.7, ,    21.2, ,     7.9, 
 1977,   -14.4, ,     0.3, ,     1.6, ,    12.3, ,    19.4, ,    21.6, ,    20.9, ,    16.4, ,    13.6, ,    10.7, ,    -4.3, ,   -16.3, ,     6.8, ,    -8.4, ,    11.1, ,    19.6, ,     6.7, 
 1978,   -17.7, ,    -8.5, ,    -1.4, ,     6.8, ,    16.2, ,    20.4, ,    21.0, ,    18.4,E,    13.9, ,    10.2, ,    -5.6, ,   -11.8, ,     5.2,E,   -14.2, ,     7.2, ,    19.9,E,     6.2, 
 1979,   -14.7, ,   -19.5, ,    -2.5, ,     2.1, ,    12.3, ,    20.0, ,    24.4, ,    20.2, ,    15.1, ,     7.5, ,    -0.8, ,    -7.5,E,     4.7,E,   -15.3, ,     4.0, ,    21.5, ,     7.3, 
 1980,   -14.6, ,    -8.8, ,    -3.8, ,    14.9, ,    19.4, ,    20.5, ,    22.4, ,    19.1, ,    12.4, ,     9.6, ,     1.1, ,   -14.7, ,     6.5, ,   -10.3,E,    10.2, ,    20.7, ,     7.7, 
 1981,    -5.7, ,    -5.1, ,     3.3, ,     6.9, ,    17.4, ,    19.8, ,    22.8, ,    24.9,E,    16.7, ,     5.2, ,     1.5, ,   -11.5, ,     8.0,E,    -8.5, ,     9.2, ,    22.5,E,     7.8, 
 1982,   -24.2, ,   -11.4,E,    -3.6, ,     7.0, ,    13.3, ,    19.9, ,    22.4, ,    18.0, ,    15.1, ,     8.5, ,    -6.8, ,    -9.1, ,     4.1,E,   -15.7,E,     5.6, ,    20.1, ,     5.6, 
 1983,   -10.3, ,    -8.4, ,    -2.8, ,     7.0, ,    12.6, ,    19.2, ,    23.1, ,    25.1, ,    13.2, ,     9.1, ,    -1.0, ,   -17.9,E,     5.7,E,    -9.3, ,     5.6, ,    22.5, ,     7.1, 
