6080192,MADAWASKA      ,ON, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
6080192,MADAWASKA      ,ON, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.2,a,    14.6,a,     4.9,a,    -3.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.2,a
 1916,    -1.7,a,    -6.8,a,    -0.1,a,    10.5,a,    16.5,a,    19.7,a,    28.6,a,    26.6,a,    20.0,a,    14.4,a,     4.8,a,    -3.2,a,    10.8,a,    -3.9,a,     9.0,a,    25.0,a,    13.1,a
 1917,    -5.5,a,    -6.6,a,     2.1,a,     9.3,a,    14.0,a,    20.6,a,    25.4,a,    24.2,a,    20.1,a,     9.1,a,     3.5,a,    -7.8,a,     9.0,a,    -5.1,a,     8.5,a,    23.4,a,    10.9,a
 1918,    -8.4,a,    -5.0,a,     2.3,a,     7.8,a,    18.8,a,    22.0,a,    25.5,a,    22.8,a,    15.8,a,    15.3,a,    12.2,a,     1.9,a,    10.9,a,    -7.1,a,     9.6,a,    23.4,a,    14.4,a
 1919,    -4.1,a,    -2.0,a,     0.6,a,    12.0,a,    21.8,a,    26.3,a,    25.5,a,    23.8,a,    21.5,a,    19.4,a,     6.4,a,    -5.6,a,    12.1,a,    -1.4,a,    11.5,a,    25.2,a,    15.8,a
 1920,   -10.8,a,    -3.0,a,     4.3,a,    10.7,a,    19.9,a,    24.9,a,    22.6,a,    26.7,a,    21.0,a,    15.7,a,     7.5,a,     1.8,a,    11.8,a,    -6.5,a,    11.6,a,    24.7,a,    14.7,a
 1921,    -2.2,a,     1.9,a,     6.0,a,    14.1,a,    22.1,a,    27.5,a,    28.8,a,    19.1,a,    19.1,a,    13.3,a,     4.1,a,     1.9,a,    13.0,a,     0.5,a,    14.1,a,    25.1,a,    12.2,a
 1922,    -6.7,a,    -7.6,a,     0.4,a,     7.2,a,    19.6,a,    26.3,a,    28.2,a,    19.8,a,    18.4,a,    12.1,a,     3.7,a,    -1.1,a,    10.0,a,    -4.1,a,     9.1,a,    24.8,a,    11.4,a
 1923,    -8.4,a,    -6.8,a,    -1.4,a,     7.9,a,    17.2,a,    23.4,a,    24.8,a,    23.4,a,    19.6,a,    11.8,a,     3.4,a,     0.6,a,     9.6,a,    -5.4,a,     7.9,a,    23.9,a,    11.6,a
 1924,    -5.7,a,    -5.8,a,     1.4,a,     9.0,a,    13.4,a,    23.0,a,    24.2,a,    23.9,a,    16.8,a,    15.4,a,     4.3,a,    -6.6,a,     9.4,a,    -3.6,a,     7.9,a,    23.7,a,    12.2,a
 1925,    -7.6,a,    -0.9,a,     4.2,a,    11.3,a,    15.4,a,    23.0,a,    23.3,a,    26.1,a,    19.5,a,     7.5,a,     3.7,a,    -3.7,a,    10.2,a,    -5.0,a,    10.3,a,    24.1,a,    10.2,a
 1926,    -4.0,a,    -4.4,a,    -1.6,a,     5.4,a,    17.5,a,    19.9,a,    24.6,a,    22.4,a,    17.5,a,    10.7,a,     2.7,a,    -4.6,a,     8.8,a,    -4.0,a,     7.1,a,    22.3,a,    10.3,a
 1927,    -5.3,a,    -3.4,a,     4.9,a,    10.2,a,    15.3,a,    21.0,a,    24.3,a,    22.1,a,    20.9,a,    13.7,a,     5.1,a,    -2.1,a,    10.6,a,    -4.4,a,    10.1,a,    22.5,a,    13.2,a
 1928,    -5.1,a,    -3.8,a,    -0.6,a,     8.0,a,    17.6,a,    21.7,a,    24.2,a,    25.0,a,    16.2,a,    13.4,a,     3.8,a,    -0.3,a,    10.0,a,    -3.7,a,     8.3,a,    23.6,a,    11.1,a
 1929,    -6.5,a,    -5.0,a,     2.9,a,     9.7,a,    16.9,a,    22.5,a,    25.2,a,    23.0,a,    22.4,a,    11.5,a,     3.4,a,    -6.0,a,    10.0,a,    -3.9,a,     9.8,a,    23.6,a,    12.4,a
