8501131,CHURCHILL FALLS,NL, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
8501131,CHURCHILL FALLS,NL, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1968, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1969,    -9.7, ,    -6.6, ,    -3.9, ,    -4.8, ,     5.8, ,    13.4, ,    18.4, ,    16.3, ,     7.3, ,     0.7, ,     0.0, ,    -7.9, ,     2.4, ,    -8.4, ,    -1.0, ,    16.0, ,     2.7, 
 1970,   -15.7, ,   -12.6, ,    -4.9, ,    -0.2, ,     5.2, ,    13.2, ,    20.5, ,    18.7, ,    10.7, ,     6.2, ,    -4.2, ,   -16.3, ,     1.7, ,   -12.1, ,     0.0, ,    17.5, ,     4.2, 
 1971,   -14.8, ,   -14.1, ,    -5.7, ,     1.6, ,     7.9, ,    13.4, ,    18.3, ,    16.2, ,    11.0, ,     4.4, ,    -4.9, ,   -18.9, ,     1.2, ,   -15.1, ,     1.3, ,    16.0, ,     3.5, 
 1972,   -17.6, ,   -17.6, ,   -11.3, ,    -0.5, ,     3.6, ,    13.4, ,    19.5, ,    15.7, ,     9.3, ,     0.7, ,    -6.8, ,   -20.8, ,    -1.0, ,   -18.0, ,    -2.7, ,    16.2, ,     1.1, 
 1973,   -16.5, ,   -16.0, ,    -4.7, ,     1.3, ,    10.5, ,    16.9, ,    20.9, ,    19.1, ,    10.3, ,     3.8, ,    -4.3, ,    -7.9, ,     2.8, ,   -17.8, ,     2.4, ,    19.0, ,     3.3, 
 1974,   -23.2, ,   -15.0, ,   -10.6, ,    -1.9, ,     7.3, ,    18.0, ,    19.4, ,    16.2, ,    10.0, ,    -0.1, ,    -4.2, ,   -10.8, ,     0.4, ,   -15.4, ,    -1.7, ,    17.9, ,     1.9, 
 1975,   -19.3, ,   -15.1, ,    -7.0, ,    -1.7, ,     6.4, ,    15.1, ,    21.2, ,    16.4, ,    12.3, ,     4.5, ,    -4.6, ,   -15.0, ,     1.1, ,   -15.1, ,    -0.8, ,    17.6, ,     4.1, 
 1976,   -17.4, ,   -14.5, ,   -10.6, ,    -0.9, ,     8.6, ,    16.1, ,    19.5, ,    16.6, ,     9.4, ,     1.7, ,    -5.6, ,   -13.3, ,     0.8, ,   -15.6, ,    -1.0, ,    17.4, ,     1.8, 
 1977,   -12.3, ,   -12.0, ,    -1.4, ,    -0.3, ,     6.9, ,    16.3, ,    16.4, ,    15.2, ,     8.4, ,     4.0, ,    -0.3, ,   -13.0, ,     2.3, ,   -12.5, ,     1.7, ,    16.0, ,     4.0, 
 1978,   -17.1, ,    -9.4, ,   -10.3, ,    -0.7, ,     8.9, ,    12.7, ,    19.1, ,    15.6, ,     7.8, ,     1.8, ,    -6.5, ,   -12.8, ,     0.8, ,   -13.2, ,    -0.7, ,    15.8, ,     1.0, 
 1979,   -12.4, ,   -16.1, ,    -3.1, ,     2.3, ,    12.6, ,    17.2, ,    19.4, ,    16.7, ,     9.7, ,     2.6, ,    -3.4, ,   -12.2, ,     2.8, ,   -13.8, ,     3.9, ,    17.8, ,     3.0, 
 1980,   -12.2, ,   -13.3, ,    -5.7, ,     1.6, ,     8.0, ,    14.3, ,    17.3, ,    18.7, ,     8.9, ,     2.1, ,    -3.6, ,   -16.5, ,     1.6, ,   -12.6, ,     1.3, ,    16.8, ,     2.5, 
 1981,   -13.9, ,    -4.3, ,    -2.1, ,    -0.2, ,     8.2, ,    12.7, ,    18.5, ,    18.4, ,    13.2, ,     4.2, ,    -2.7, ,    -8.3, ,     3.6, ,   -11.6, ,     2.0, ,    16.5, ,     4.9, 
 1982,   -16.8, ,   -18.1, ,    -9.0, ,    -2.4, ,     6.9, ,    15.4, ,    18.7, ,    15.3, ,    11.1, ,     2.7, ,    -3.6, ,   -13.9, ,     0.5, ,   -14.4, ,    -1.5, ,    16.5, ,     3.4, 
 1983,   -15.4, ,   -13.0, ,    -7.1, ,     3.6, ,     8.4, ,    17.1, ,    18.8, ,    16.3, ,    12.2, ,     3.6, ,    -4.6, ,   -15.3, ,     2.1, ,   -14.1, ,     1.6, ,    17.4, ,     3.7, 
 1984,   -20.2, ,   -10.8, ,    -6.4, ,     3.6, ,     7.4, ,    13.4, ,    19.0, ,    19.5, ,     9.8, ,     4.2, ,    -2.8, ,   -14.3, ,     1.9, ,   -15.4, ,     1.5, ,    17.3, ,     3.7, 
 1985,   -16.3, ,   -12.3, ,    -7.8, ,    -1.0, ,     4.4, ,    16.9, ,    18.4, ,    18.6, ,    12.4, ,     2.6, ,    -4.3, ,   -14.0, ,     1.5, ,   -14.3, ,    -1.5, ,    18.0, ,     3.6, 
 1986,   -14.3, ,   -13.1, ,    -9.4, ,     3.7, ,    11.8, ,    11.5, ,    18.0, ,    18.1, ,     9.6, ,     1.8, ,    -8.8, ,   -12.3, ,     1.4, ,   -13.8, ,     2.0, ,    15.9, ,     0.9, 
 1987,   -16.3, ,   -11.6, ,    -4.7, ,     5.1, ,     9.1, ,    14.5, ,    18.9, ,    17.4, ,    13.0, ,     4.1, ,    -4.1, ,   -13.6, ,     2.7, ,   -13.4, ,     3.2, ,    16.9, ,     4.3, 
 1988,   -15.7, ,   -15.4, ,    -5.5, ,     3.0, ,    10.9, ,    13.1, ,    19.3, ,    18.3, ,    10.1, ,     3.9, ,    -3.3, ,   -16.6, ,     1.8, ,   -14.9, ,     2.8, ,    16.9, ,     3.6, 
 1989,   -16.7, ,   -15.5, ,    -9.7, ,     1.7, ,    10.9, ,    19.3, ,    18.0, ,    15.9, ,    12.7, ,     2.8, ,    -6.1, ,   -14.6, ,     1.6, ,   -16.3, ,     1.0, ,    17.7, ,     3.1, 
 1990,   -16.3, ,   -18.9, ,    -7.7, ,     0.5, ,     7.6, ,    15.4, ,    19.7, ,    18.4, ,     9.6, ,     2.5, ,    -4.4, ,   -13.6, ,     1.1, ,   -16.6, ,     0.1, ,    17.8, ,     2.6, 
 1991,   -22.8, ,   -14.0, ,    -3.9, ,    -0.3, ,     6.0, ,    13.8, ,    18.1, ,    18.3, ,    11.1, ,     4.3, ,    -3.0, ,   -15.5, ,     1.0, ,   -16.8, ,     0.6, ,    16.7, ,     4.1, 
 1992,   -16.3, ,   -19.4, ,    -8.7, ,    -1.4, ,     6.0, ,    13.8, ,    15.6, ,    16.4, ,    12.7, ,     2.7, ,    -6.0, ,   -13.5, ,     0.2, ,   -17.1, ,    -1.4, ,    15.3, ,     3.1, 
 1993,   -16.9, ,   -19.2, ,    -8.5, ,     4.3,E, -9999.9,M, -9999.9,M, -9999.9,M,    18.7,E, -9999.9,M, -9999.9,M, -9999.9,M,   -12.0,E, -9999.9,M,   -16.5, , -9999.9,M, -9999.9,M, -9999.9,M
