" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1946" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    20.0" "    10.4" "    -1.3" "    -3.5" " NA" " NA" " NA" " NA" "     9.7"
"1947" "    -4.2" "     1.8" "     7.0" "    11.5" "    19.2" "    20.6" "    25.1" "    23.0" "    20.2" "    11.5" "     2.3" "    -0.4" "    11.5" "    -2.0" "    12.6" "    22.9" "    11.3"
"1948" "    -2.0" "    -3.3" "     5.3" "     9.8" "    19.5" "    26.7" "    23.3" "    20.4" "    16.6" "    10.5" "     2.6" "    -8.1" "    10.1" "    -1.9" "    11.5" "    23.5" "     9.9"
"1949" "    -8.6" "    -4.9" "     6.8" "    12.1" "    20.5" "    21.5" "    24.0" "    23.0" "    20.3" "     9.2" "     5.7" "    -5.5" "    10.3" "    -7.2" "    13.1" "    22.8" "    11.7"
"1950" "   -20.6" "     0.0" "     5.5" "    10.8" "    16.3" "    25.4" "    26.1" "    22.9" "    22.6" "     8.6" "    -0.5" "    -0.8" "     9.7" "    -8.7" "    10.9" "    24.8" "    10.2"
"1951" "    -7.3" "    -1.5" "     1.8" "    12.9" "    18.6" "    22.0" "    26.5" "    24.1" "    19.3" "     8.0" "     1.4" "    -7.8" "     9.8" "    -3.2" "    11.1" "    24.2" "     9.6"
"1952" "    -8.2" "     1.9" "     6.8" "    10.4" "    18.5" "    20.4" "    25.5" "    24.7" "    19.9" "    13.9" "     2.2" "    -0.4" "    11.3" "    -4.7" "    11.9" "    23.5" "    12.0"
"1953" "    -3.2" "     3.4" "     6.3" "    10.1" "    19.6" "    21.2" "    24.2" "    23.9" "    17.7" "    11.0" "     4.5" "     0.3" "    11.6" "    -0.1" "    12.0" "    23.1" "    11.1"
"1954" "    -8.7" "     2.4" "     4.6" "     6.4" "    16.7" "    18.9" "    22.7" "    21.2" "    17.1" "     9.6" "     6.7" "    -0.7" "     9.7" "    -2.0" "     9.2" "    20.9" "    11.1"
"1955" "    -2.8" "    -1.9" "     0.1" "     9.9" "    14.3" "    21.7" "    24.3" "    23.6" "    19.6" "     9.5" "    -5.4" "    -6.9" "     8.8" "    -1.8" "     8.1" "    23.2" "     7.9"
"1956" "    -6.6" "    -4.6" "     5.3" "    12.2" "    21.6" "    19.4" "    28.0" "    25.4" "    18.8" "     9.5" "     0.8" "    -3.8" "    10.5" "    -6.0" "    13.0" "    24.3" "     9.7"
"1957" "   -12.5" "    -2.5" "     6.6" "    11.9" "    22.4" "    21.7" "    21.7" "    21.2" "    19.9" "     9.2" "     3.2" "    -0.4" "    10.2" "    -6.3" "    13.6" "    21.5" "    10.8"
"1958" "     0.8" "     0.8" "     7.5" "    11.3" "    23.0" "    26.6" "    29.7" "    26.6" "    16.4" "    10.5" "     0.0" "    -2.4" "    12.6" "     0.4" "    13.9" "    27.6" "     9.0"
"1959" "    -5.2" "    -0.9" "     6.2" "    10.8" "    16.8" "    20.4" "    26.0" "    19.8" "    16.0" "     8.7" "    -0.5" "    -2.0" "     9.7" "    -2.8" "    11.3" "    22.1" "     8.1"
"1960" "    -6.5" "     0.8" "     4.8" "    10.9" "    14.4" "    19.7" "    29.3" "    21.0" "    17.5" "    10.7" "     2.1" "    -2.2" "    10.2" "    -2.6" "    10.0" "    23.3" "    10.1"
"1961" "    -1.2" "     2.6" "     7.2" "    11.1" "    20.3" "    25.8" "    26.7" "    27.7" "    15.9" "     7.5" "    -0.8" "    -4.9" "    11.5" "    -0.3" "    12.9" "    26.7" "     7.5"
"1962" "    -5.7" "    -0.2" "     4.2" "    10.6" "    16.2" "    21.3" "    24.6" "    19.8" "    18.0" "    10.1" "     4.7" "    -0.1" "    10.3" "    -3.6" "    10.3" "    21.9" "    10.9"
"1963" "    -8.1" "     4.1" "     6.8" "    11.5" "    18.5" "    21.4" "    22.8" "    25.0" "    20.8" "    11.1" "     1.5" "    -3.0" "    11.0" "    -1.4" "    12.3" "    23.1" "    11.1"
"1964" "    -1.8" "     2.1" "     4.3" "     9.5" "    15.3" "    20.6" "    24.0" "    20.7" "    15.2" "     9.6" "     1.1" "    -8.4" "     9.4" "    -0.9" "     9.7" "    21.8" "     8.6"
"1965" "    -4.9" "    -1.0" "     3.9" "    11.2" "    17.8" "    22.9" "    26.4" "    24.3" "    16.4" "     9.8" "     2.4" "    -3.7" "    10.5" "    -4.8" "    11.0" "    24.5" "     9.5"
"1966" "    -6.9" "     1.6" "     5.6" "     9.5" "    16.6" "    19.1" "    21.9" "    23.0" "    19.1" "     9.1" "     1.3" "    -1.5" "     9.9" "    -3.0" "    10.6" "    21.3" "     9.8"
"1967" "    -1.5" "     2.0" "     3.3" "    10.8" "    16.1" "    24.7" "    25.3" "    29.3" "    21.2" "     8.5" "     2.3" "    -3.2" "    11.6" "    -0.3" "    10.1" "    26.4" "    10.7"
"1968" "    -4.8" "     1.9" "     6.2" "     8.7" "    17.8" "    19.5" "    25.6" "    20.2" "    17.1" "     9.0" "     2.2" "    -8.1" "     9.6" "    -2.0" "    10.9" "    21.8" "     9.4"
"1969" "   -14.3" "    -0.1" "     8.0" "    11.2" "    20.6" "    26.3" "    22.5" "    21.4" "    16.5" "     9.7" "     3.1" "    -1.8" "    10.3" "    -7.5" "    13.3" "    23.4" "     9.8"
"1970" "    -5.9" "     3.6" "     5.3" "    10.7" "    17.5" "    24.6" "    26.5" "    26.2" "    14.0" "     9.1" "    -0.6" "    -5.4" "    10.5" "    -1.4" "    11.2" "    25.8" "     7.5"
"1971" "    -5.0" "     0.3" "     2.2" "    11.9" "    19.2" "    18.7" "    25.7" "    27.5" "    14.7" "     9.1" "     1.2" "    -8.8" "     9.7" "    -3.4" "    11.1" "    24.0" "     8.3"
