" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1902" " NA" " NA" " NA" "    14.4" "    18.9" "    19.5" "    23.7" "    23.2" "    17.7" "    14.6" "     1.5" "    -5.0" " NA" " NA" " NA" "    22.1" "    11.3"
"1903" "    -3.6" "    -1.4" "     3.5" "    13.1" "    18.9" "    23.8" "    22.7" "    21.9" "    15.8" "    12.9" "     1.1" "    -0.5" "    10.7" "    -3.3" "    11.8" "    22.8" "     9.9"
"1904" "    -2.9" " NA" " NA" "    16.8" "    18.8" "    20.7" "    25.6" "    23.9" "    18.4" "    13.4" "     6.8" "     0.7" " NA" " NA" " NA" "    23.4" "    12.9"
"1905" "    -3.0" "    -4.2" "    10.3" "    14.8" "    18.8" "    20.8" "    25.4" " NA" "    17.6" "     7.6" "     2.6" "     0.1" " NA" "    -2.2" "    14.6" " NA" "     9.3"
"1906" "    -2.3" "     2.4" "     6.7" "    16.8" "    19.1" "    20.1" "    28.2" "    23.9" "    17.9" " NA" "     0.7" "    -2.8" " NA" "     0.1" "    14.2" "    24.1" " NA"
"1907" "   -17.9" "    -1.2" "     3.9" "     9.6" "    17.6" "    20.2" "    23.3" "    19.5" "    16.4" "    13.6" "     3.8" "    -1.8" "     8.9" "    -7.3" "    10.4" "    21.0" "    11.3"
"1908" "    -2.4" "    -2.0" "     3.9" "    12.0" "    17.9" "    20.9" "    24.4" "    23.4" "    18.3" "    10.9" "     6.2" "    -5.5" "    10.7" "    -2.1" "    11.3" "    22.9" "    11.8"
"1909" "   -12.4" "    -1.2" "     7.1" "     9.5" "    16.7" "    21.2" "    24.0" "    22.9" "    19.3" "     9.9" "     1.2" "    -9.5" "     9.1" "    -6.4" "    11.1" "    22.7" "    10.1"
"1910" "    -6.5" "    -7.6" "     7.7" "    14.2" "    18.5" "    19.6" "    25.0" "    20.9" "    18.1" "    10.7" "     1.7" "    -1.5" "    10.1" "    -7.9" "    13.5" "    21.8" "    10.2"
"1911" "   -11.6" "    -1.9" "     7.9" "    11.1" "    16.6" "    21.1" "    22.8" "    20.5" "    16.8" "    11.1" "    -4.4" "    -5.5" "     8.7" "    -5.0" "    11.9" "    21.5" "     7.8"
"1912" "    -9.2" "     1.4" "     5.7" "    13.9" "    19.2" "    24.9" " NA" "    20.4" "    16.2" "     8.7" "     2.5" "    -2.1" " NA" "    -4.4" "    12.9" " NA" "     9.1"
"1913" "    -8.3" "    -4.2" "     1.6" "    13.1" "    17.4" "    22.1" "    23.4" "    22.4" "    16.7" "     8.8" "     2.8" "    -3.6" "     9.4" "    -4.9" "    10.7" "    22.6" "     9.4"
"1914" "    -2.2" "    -1.3" "     5.3" "    14.6" "    18.1" "    20.3" "    25.1" "    23.8" "    16.5" "    11.8" "     2.8" "    -9.6" "    10.4" "    -2.4" "    12.7" "    23.1" "    10.4"
"1915" "    -5.4" "     2.9" " NA" " NA" "    19.4" "    20.4" "    21.7" "    25.4" "    16.2" "    11.1" " NA" " NA" " NA" "    -4.0" " NA" "    22.5" " NA"
"1916" "   -18.4" "    -4.1" "     5.8" "    14.6" "    15.3" " NA" "    21.9" "    22.9" "    17.9" "    10.6" "    -1.1" "   -11.9" " NA" " NA" "    11.9" " NA" "     9.1"
"1917" " NA" " NA" "     3.7" "    11.4" "    18.5" "    19.3" "    26.1" "    24.0" "    19.0" "    10.9" "     4.0" "    -4.6" " NA" " NA" "    11.2" "    23.1" "    11.3"
"1918" "    -5.5" "    -2.9" "     4.9" "    16.0" "    17.8" "    24.3" "    24.5" "    22.3" "    22.0" "    11.3" "     1.8" "    -2.7" "    11.2" "    -4.3" "    12.9" "    23.7" "    11.7"
"1919" "    -3.7" "    -4.1" "     2.0" "    15.0" "    20.0" " NA" " NA" "    24.8" "    19.3" "     9.8" "    -0.8" "    -7.6" " NA" "    -3.5" "    12.3" " NA" "     9.4"
"1920" "    -7.3" "     1.2" "     3.9" "    11.0" "    16.4" "    21.2" "    28.0" "    23.7" "    17.9" "     9.0" "     3.2" "    -2.4" "    10.5" "    -4.6" "    10.4" "    24.3" "    10.0"
"1921" "    -3.9" "     0.2" "     4.6" "    12.7" "    18.9" "    22.0" "    24.3" "    22.6" "    14.1" "    12.0" "     0.2" "   -10.1" "     9.8" "    -2.0" "    12.1" "    23.0" "     8.8"
"1922" "   -10.3" "    -7.3" "     4.6" "    12.6" "    18.0" "    23.9" "    25.9" "    24.3" "    18.4" "    12.3" "     0.6" "   -10.0" "     9.4" "    -9.2" "    11.7" "    24.7" "    10.4"
"1923" "    -3.9" "    -3.4" "     5.7" "    14.3" "    18.3" "    21.1" "    25.1" "    22.7" "    19.3" "    12.6" "     1.2" "    -3.1" "    10.8" "    -5.8" "    12.8" "    23.0" "    11.0"
"1924" "    -7.6" "     4.0" "     6.6" "    11.4" "    21.0" "    21.9" "    25.5" "    21.2" "    18.6" "    11.7" "     0.1" "   -13.2" "    10.1" "    -2.2" "    13.0" "    22.9" "    10.1"
"1925" "    -5.4" "     3.2" "     5.7" "    15.4" "    20.8" "    23.7" "    26.0" "    21.3" "    15.8" "     9.5" "     2.6" "     1.1" "    11.6" "    -5.1" "    14.0" "    23.7" "     9.3"
"1926" "    -3.5" "     3.1" "     9.0" "    15.9" "    17.7" "    22.1" "    26.6" "    21.8" "    13.2" "    10.8" "     2.7" "    -5.9" "    11.1" "     0.2" "    14.2" "    23.5" "     8.9"
"1927" "    -7.8" "    -1.7" "     4.7" "    12.1" "    16.0" "    21.6" "    23.7" "    23.3" "    16.0" "    10.6" "    -1.0" "   -12.6" "     8.7" "    -5.1" "    10.9" "    22.9" "     8.5"
"1928" "    -6.1" "     1.1" "     6.5" "    11.0" "    19.3" "    20.8" "    26.1" "    23.1" "    19.8" "     8.9" "     2.6" "    -5.6" "    10.6" "    -5.9" "    12.3" "    23.3" "    10.4"
"1929" "   -11.6" "    -5.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -5.3" " NA" "    -7.5" " NA" " NA" " NA"
