" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1951" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    17.2" "     4.0" "    -3.4" "   -13.7" " NA" " NA" " NA" " NA" "     5.9"
"1952" "   -13.9" "    -3.2" "     2.0" "     7.5" "    15.8" "    16.7" "    22.0" "    21.1" "    16.9" " NA" "    -1.9" "    -6.4" " NA" "   -10.3" "     8.4" "    19.9" " NA"
"1953" "   -15.3" "     0.5" "     3.5" " NA" " NA" " NA" " NA" "    19.5" "    13.4" "     7.8" "     0.4" "    -4.1" " NA" "    -7.1" " NA" " NA" "     7.2"
"1954" "   -16.8" "    -3.1" "     1.5" "     0.9" "    14.0" "    16.7" "    18.1" "    19.0" "    13.7" " NA" "     1.5" "    -4.1" " NA" "    -8.0" "     5.5" "    17.9" " NA"
"1955" "    -8.5" "    -3.9" "    -2.3" "     6.7" "    11.9" "    18.9" "    20.8" " NA" "    14.4" "     4.7" "   -11.5" "   -15.5" " NA" "    -5.5" "     5.4" " NA" "     2.5"
"1956" "   -14.0" "    -9.1" "     1.0" "     8.5" "    17.0" "    15.6" "    21.5" "    20.7" " NA" " NA" "    -1.9" "    -8.3" " NA" "   -12.9" "     8.8" "    19.3" " NA"
"1957" "   -20.6" "    -7.4" "     3.3" "     8.0" "    17.0" "    18.2" "    17.5" "    18.6" "    19.1" "     5.8" "    -0.4" "    -7.3" "     6.0" "   -12.1" "     9.4" "    18.1" "     8.2"
"1958" "    -3.7" "    -5.9" "     2.2" "     9.0" "    17.8" "    23.7" "    24.4" "    19.3" "    12.0" "     7.7" "    -4.7" "    -8.7" "     7.8" "    -5.6" "     9.7" "    22.5" "     5.0"
"1959" "   -15.3" "    -5.4" " NA" "     8.8" "    13.9" "    16.9" "    21.0" "    16.0" " NA" "     5.2" "    -5.0" "    -2.5" " NA" "    -9.8" " NA" "    18.0" " NA"
"1960" "   -12.9" "    -1.6" "     0.8" "     9.7" "    12.5" "    16.9" "    22.1" "    18.5" "    15.5" " NA" "    -2.6" "    -7.7" " NA" "    -5.7" "     7.7" "    19.2" " NA"
"1961" "    -7.4" "    -2.8" "     4.2" "     8.4" "    15.3" "    19.7" "    23.4" "    22.8" "    13.3" "     5.7" "    -5.0" "   -12.5" "     7.1" "    -6.0" "     9.3" "    22.0" "     4.7"
"1962" "   -10.2" "    -6.3" "     0.6" "     8.8" "    13.7" "    16.1" "    21.8" "    18.5" " NA" " NA" "     0.8" "    -6.2" " NA" "    -9.7" "     7.7" "    18.8" " NA"
"1963" "    -9.8" "    -1.7" "     2.7" "     9.1" "    14.0" "    17.2" "    20.1" "    21.8" "    15.5" "     8.4" "    -5.4" "    -8.1" "     7.0" "    -5.9" "     8.6" "    19.7" "     6.2"
"1964" "    -8.6" "     1.7" "     0.3" "     6.7" "    12.5" "    18.1" "    17.8" "    17.8" "    13.8" "     7.7" "    -5.0" "   -16.5" "     5.5" "    -5.0" "     6.5" "    17.9" "     5.5"
"1965" "   -11.2" "    -4.0" "     2.4" "     7.8" "    13.2" "    18.5" "    22.4" "    22.3" "    15.3" "     7.0" "    -4.9" "    -9.6" "     6.6" "   -10.6" "     7.8" "    21.1" "     5.8"
"1966" "   -15.4" "    -2.5" "     2.9" "     7.0" "    13.0" "    17.5" "    21.7" "    18.5" "    15.2" "     5.8" "    -6.2" "    -7.7" "     5.8" "    -9.2" "     7.6" "    19.2" "     4.9"
"1967" "   -11.2" "    -0.8" "    -1.7" "     7.6" "    14.2" "    21.0" "    19.3" "    22.6" "    16.0" "     5.7" "    -1.4" "   -10.9" "     6.7" "    -6.6" "     6.7" "    21.0" "     6.8"
"1968" "    -9.7" "    -4.7" "     4.3" "     6.0" "    15.1" "    16.8" "    21.3" "    18.2" "    12.5" "     5.1" "    -0.9" "   -14.8" "     5.8" "    -8.4" "     8.5" "    18.8" "     5.6"
"1969" "   -22.5" "    -4.3" "     4.9" "     9.5" "    15.9" "    22.2" "    19.8" "    16.6" "    12.8" "     7.1" "     1.7" "    -4.7" "     6.6" "   -13.9" "    10.1" "    19.5" "     7.2"
"1970" "   -13.3" "     1.4" "     3.8" "     7.6" "    12.4" "    20.1" "    19.0" "    19.5" "    13.2" "     7.6" "    -5.7" "   -11.9" "     6.1" "    -5.5" "     7.9" "    19.5" "     5.0"
"1971" "   -11.9" "    -3.3" "     0.4" "     9.5" "    15.4" "    17.7" "    23.1" "    19.8" "    12.2" "     5.4" "    -1.9" "   -16.6" "     5.8" "    -9.0" "     8.4" "    20.2" "     5.2"
"1972" "   -16.0" "    -9.2" "     2.6" "     4.9" "    15.8" "    17.1" "    19.4" "    19.9" "    11.5" "     4.9" "    -0.9" "   -13.0" "     4.8" "   -13.9" "     7.8" "    18.8" "     5.2"
"1973" "    -9.8" "    -5.1" "     3.4" "     8.5" "    14.5" "    16.3" "    19.9" "    18.9" "    14.1" "     4.8" "   -10.4" "    -9.4" "     5.5" "    -9.3" "     8.8" "    18.4" "     2.8"
"1974" "   -15.6" "    -2.1" "    -0.6" "     9.4" "    11.6" "    16.7" "    17.8" "    21.4" "    15.4" "     7.2" "    -1.7" "    -2.8" "     6.4" "    -9.0" "     6.8" "    18.6" "     7.0"
"1975" "   -10.3" "    -8.9" "     0.5" "     8.3" "    14.3" "    17.7" "    22.1" "    17.7" "    16.9" "     6.6" "    -5.1" "    -6.6" "     6.1" "    -7.3" "     7.7" "    19.2" "     6.1"
"1976" "    -7.5" "    -4.5" "     1.7" "     9.7" "    13.1" "    16.6" "    17.8" "    17.5" "    15.8" "     6.3" "    -2.6" "    -6.8" "     6.4" "    -6.2" "     8.2" "    17.3" "     6.5"
"1977" "    -9.5" "     1.0" "     3.0" "    11.6" "    13.8" "    18.4" "    19.6" "    21.9" "    12.9" "     6.6" "    -5.0" "   -15.0" "     6.6" "    -5.1" "     9.5" "    20.0" "     4.8"
"1978" "   -12.0" "    -3.2" "     2.3" "     8.9" "    13.3" "    21.3" "    22.8" "    18.8" "    13.2" "     8.1" "    -5.4" "   -11.4" "     6.4" "   -10.1" "     8.2" "    21.0" "     5.3"
"1979" "   -18.2" "   -13.7" "     5.2" "     8.7" "    11.8" " NA" "    21.2" "    23.0" "    15.7" "     7.6" "    -3.7" "    -5.3" " NA" "   -14.4" "     8.6" " NA" "     6.5"
"1980" "   -13.6" "    -2.9" "     1.8" "    11.1" "    15.7" "    20.1" "    18.9" "    18.1" "    14.0" "     8.2" "     0.7" "    -8.4" "     7.0" "    -7.3" "     9.5" "    19.0" "     7.6"
"1981" "    -3.9" "    -3.0" "     6.2" "     6.4" "    16.4" "    16.4" "    23.1" "    23.3" "    15.2" "     6.8" "    -0.2" "   -10.8" "     8.0" "    -5.1" "     9.7" "    20.9" "     7.3"
"1982" "   -18.7" "    -8.7" "     2.1" "     6.0" "    13.4" "    22.9" "    22.0" "    18.4" "    17.1" "     6.5" "    -5.9" "    -8.2" "     5.6" "   -12.7" "     7.2" "    21.1" "     5.9"
"1983" "    -5.0" "    -1.4" "     3.1" "    10.8" "    16.6" "    17.7" "    18.8" "    19.2" "    12.6" "     6.6" "    -1.9" "   -17.6" "     6.6" "    -4.9" "    10.2" "    18.6" "     5.8"
