" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1924" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -32.9" " NA" " NA" " NA" " NA" " NA"
"1925" " NA" "   -19.0" "    -5.2" "     6.1" "    17.4" "    21.8" "    22.7" " NA" "    14.3" "     3.8" "    -5.8" "   -10.9" " NA" " NA" "     6.1" " NA" "     4.1"
"1926" "    -6.3" "   -12.0" "     3.1" "     8.8" "    14.9" "    22.0" "    22.3" "    20.3" "    14.1" " NA" "    -9.0" " NA" " NA" "    -9.7" "     8.9" "    21.5" " NA"
"1927" " NA" " NA" "     0.0" "     1.8" "    13.6" "    21.7" "    26.0" "    21.9" "    11.2" "     0.9" "   -22.0" " NA" " NA" " NA" "     5.1" "    23.2" "    -3.3"
"1928" " NA" " NA" " NA" "     2.8" "    13.6" "    22.6" "    23.3" "    19.1" "    11.1" "     0.2" "    -3.0" "   -10.3" " NA" " NA" " NA" "    21.7" "     2.8"
"1929" "   -18.6" "   -12.3" "    -5.9" "     3.4" "    12.6" "    21.0" "    19.2" "    18.9" "    15.4" "     6.6" "    -7.0" "   -22.2" "     2.6" "   -13.7" "     3.4" "    19.7" "     5.0"
"1930" "   -31.7" "   -17.3" "    -6.1" "     5.1" "    15.0" "    19.5" "    23.2" "    19.6" "    11.9" "    -0.4" "   -10.4" "   -10.1" "     1.5" "   -23.7" "     4.7" "    20.8" "     0.4"
"1931" "   -11.2" "    -4.9" "    -6.7" "     5.6" "    10.9" "    20.1" "    20.7" "    17.8" "    12.0" "     2.8" "   -12.7" "   -18.0" "     3.0" "    -8.7" "     3.3" "    19.5" "     0.7"
"1932" "   -22.5" "   -25.3" "    -6.1" "     8.8" "    14.2" "    17.2" "    20.6" "    18.5" "    10.2" "     1.1" "   -18.0" "   -24.6" "    -0.5" "   -21.9" "     5.6" "    18.8" "    -2.2"
"1933" "   -28.4" "   -17.8" "    -4.5" "     5.2" "    15.1" "    17.1" "    20.4" "    18.8" "     9.3" "    -1.1" "    -8.7" "   -39.4" "    -1.2" "   -23.6" "     5.3" "    18.8" "    -0.2"
"1934" "   -24.4" "    -5.1" "    -3.9" "     8.1" "    14.6" "    19.6" "    22.3" "    18.7" "    11.4" "     4.2" "    -9.3" "   -19.1" "     3.1" "   -23.0" "     6.3" "    20.2" "     2.1"
"1935" "   -25.9" "    -5.5" "    -8.1" "     3.6" "    12.5" "    18.9" "    22.3" "    15.9" "    11.6" "    -2.5" "   -15.3" "   -15.6" "     1.0" "   -16.8" "     2.7" "    19.0" "    -2.1"
"1936" "   -22.4" "   -28.4" "    -2.9" "     4.7" "    14.9" " NA" "    22.7" "    21.7" "    10.2" "     2.9" "    -5.0" "   -23.5" " NA" "   -22.1" "     5.6" " NA" "     2.7"
"1937" "   -15.7" "   -15.4" "    -1.9" "     5.8" "    13.9" "    22.2" "    20.3" "    16.3" "    14.1" "     5.0" "    -7.5" "   -20.6" "     3.0" "   -18.2" "     5.9" "    19.6" "     3.9"
"1938" "   -18.8" "   -18.5" "     0.0" "     6.9" "    14.3" "    18.4" "    21.1" "    20.7" "    17.4" "     8.0" "    -8.9" "   -17.2" "     3.6" "   -19.3" "     7.1" "    20.1" "     5.5"
"1939" "   -15.5" "   -18.6" "    -8.2" "     5.6" "    14.1" "    20.1" "    22.2" "    17.3" "     9.2" "    -0.3" "    -6.6" "    -5.5" "     2.8" "   -17.1" "     3.8" "    19.9" "     0.8"
"1940" "   -11.1" "   -10.0" "    -1.4" "    11.7" "    14.9" "    20.3" "    24.1" "    18.4" "    13.8" "     5.1" "   -11.9" "   -11.3" "     5.2" "    -8.9" "     8.4" "    20.9" "     2.3"
"1941" "   -17.1" "    -8.1" "     1.2" "    11.6" "    16.0" "    21.6" "    21.7" "    21.8" "    12.3" "     1.3" "   -11.6" "   -18.7" "     4.3" "   -12.2" "     9.6" "    21.7" "     0.7"
"1942" "    -5.6" "    -6.7" "    -0.1" "     6.6" "    18.0" "    22.1" "    22.7" "    18.0" "    13.2" "     6.2" "   -15.5" "   -29.0" "     4.2" "   -10.3" "     8.2" "    20.9" "     1.3"
