"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1948" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -7.5" "   -21.0" " NA" " NA" " NA" " NA" " NA"
"1949" "   -23.3" "   -27.6" "   -11.4" "    -0.6" "     3.5" "    10.8" "    16.6" "    17.9" "    11.5" "    -1.4" "    -8.5" "   -22.1" "    -2.9" "   -24.0" "    -2.8" "    15.1" "     0.5"
"1950" "   -33.0" "   -22.6" "   -14.3" "    -4.3" "     6.0" "    11.8" "    17.7" "    13.0" "    11.6" "    -2.9" "   -14.3" "   -21.3" "    -4.4" "   -25.9" "    -4.2" "    14.2" "    -1.9"
"1951" "   -24.8" " NA" "   -19.6" "    -5.1" "     6.6" "    12.8" "    17.2" "    19.7" "     9.6" "    -0.6" "   -14.3" "   -24.9" " NA" " NA" "    -6.0" "    16.6" "    -1.8"
"1952" " NA" "   -22.2" "   -11.6" "     2.4" "    12.5" "    14.4" "    15.6" "    14.7" "     7.2" "     0.7" "    -7.8" "   -13.6" " NA" " NA" "     1.1" "    14.9" "     0.0"
"1953" "   -29.4" "   -16.1" "   -12.6" "    -3.2" "     5.8" "    12.7" "    18.0" "    20.5" "    10.4" "     2.0" "    -4.5" "   -19.5" "    -1.3" "   -19.7" "    -3.3" "    17.1" "     2.6"
"1954" "   -28.5" "   -16.7" "   -12.1" "   -11.3" "     6.6" "    14.8" "    19.8" "    20.5" "    10.7" "     1.4" "    -6.9" "   -15.1" "    -1.4" "   -21.6" "    -5.6" "    18.4" "     1.7"
"1955" "   -22.4" "   -23.9" "   -21.0" "    -2.8" "     8.0" "    19.3" "    18.4" "    17.4" "     8.4" "     2.9" "   -13.3" "   -21.4" "    -2.5" "   -20.5" "    -5.3" "    18.4" "    -0.7"
"1956" "   -22.0" "   -25.0" "   -14.2" "    -6.2" "     2.8" "    14.8" "    20.5" "    15.0" "     7.1" "    -2.7" "    -8.0" "   -23.9" "    -3.5" "   -22.8" "    -5.9" "    16.8" "    -1.2"
"1957" "   -23.5" "   -26.3" "   -12.9" "    -4.8" "     2.0" "    11.0" "    16.3" "    18.5" "    10.4" "     1.1" "   -10.8" "   -23.7" "    -3.6" "   -24.6" "    -5.2" "    15.3" "     0.2"
"1958" "   -18.8" " NA" " NA" "    -3.2" "     7.8" "    12.6" "    18.8" " NA" "    10.1" "     2.7" "   -10.8" "   -23.5" " NA" " NA" " NA" " NA" "     0.7"
"1959" "   -26.5" "   -20.5" "   -14.0" "    -5.4" "     1.2" "    10.6" "    16.2" "    12.1" "     9.4" "    -2.4" "   -12.8" "   -11.3" "    -3.6" "   -23.5" "    -6.1" "    13.0" "    -1.9"
"1960" "   -23.2" "   -20.1" "   -17.6" "    -2.3" "     5.6" "    16.5" "    18.2" "    17.0" "     8.4" "    -1.0" "   -13.8" "   -18.7" "    -2.6" "   -18.2" "    -4.8" "    17.2" "    -2.1"
"1961" "   -24.3" "   -20.0" "   -16.8" "    -6.8" "     4.9" "    17.6" "    20.8" "    17.4" "     5.8" "    -2.7" "    -9.6" "   -24.9" "    -3.2" "   -21.0" "    -6.2" "    18.6" "    -2.2"
"1962" "   -25.7" "   -28.4" "   -17.8" "    -6.2" "     2.7" "    16.3" "    17.8" "    16.3" "    10.0" "     3.3" "   -12.2" "   -18.5" "    -3.5" "   -26.3" "    -7.1" "    16.8" "     0.4"
"1963" "   -27.5" "   -22.5" "   -20.6" "    -0.2" "     6.4" "    16.9" "    18.5" "    17.3" "     8.2" "     6.3" "    -8.9" "   -18.4" "    -2.0" "   -22.8" "    -4.8" "    17.6" "     1.9"
"1964" "   -24.0" "   -19.1" "   -21.8" "    -5.9" "     6.8" "    13.9" "    22.1" "    17.5" "     8.3" "     2.4" "    -9.7" "   -22.2" "    -2.6" "   -20.5" "    -7.0" "    17.8" "     0.3"
"1965" "   -23.3" "   -30.9" "   -13.8" "    -0.6" "     9.1" "    13.9" "    19.0" "    16.7" "     5.9" "     1.1" "   -12.5" "   -18.5" "    -2.8" "   -25.5" "    -1.8" "    16.5" "    -1.8"
"1966" "   -31.7" "   -21.2" "   -12.7" "    -7.4" "     8.6" "    17.7" "    19.1" "    18.4" "    11.7" "    -2.8" "   -18.1" "   -18.1" "    -3.0" "   -23.8" "    -3.8" "    18.4" "    -3.1"
"1967" "   -23.7" "   -26.4" "   -20.3" "    -5.4" "     6.1" "    12.5" "    18.5" "    16.9" "    11.4" "     2.5" "    -6.8" "   -16.2" "    -2.6" "   -22.7" "    -6.5" "    16.0" "     2.4"
"1968" "   -26.5" "   -18.4" "   -11.9" "    -6.5" "     5.9" "    14.6" "    14.6" "    14.1" "     9.3" "     2.9" "    -7.1" "   -19.8" "    -2.4" "   -20.4" "    -4.2" "    14.4" "     1.7"
"1969" "   -28.5" "   -14.5" "   -14.1" "     0.2" "     5.3" "    10.6" "    19.0" "    17.3" "     8.3" "     2.0" "   -10.4" "   -11.7" "    -1.4" "   -20.9" "    -2.9" "    15.6" "     0.0"
"1970" "   -25.0" "   -24.2" "   -14.7" "    -0.5" "     7.5" "    17.5" "    20.2" "    16.0" "     9.3" "     1.5" "   -10.1" "   -23.4" "    -2.2" "   -20.3" "    -2.6" "    17.9" "     0.2"
"1971" "   -26.2" "   -19.4" "   -14.2" "     1.0" "    10.8" "    18.0" "    19.5" "    18.4" "    10.4" "     3.2" "   -12.0" "   -21.9" "    -1.0" "   -23.0" "    -0.8" "    18.6" "     0.5"
"1972" "   -29.2" "   -27.9" "   -13.1" "    -7.3" "     6.6" "    16.1" "    18.0" "    17.8" "     4.8" "    -1.6" "   -11.8" "   -23.5" "    -4.3" "   -26.3" "    -4.6" "    17.3" "    -2.9"
"1973" "   -19.6" "   -24.1" "   -11.3" "    -2.3" "    15.1" "    19.1" "    23.0" "    17.8" "    11.9" "     4.6" "   -10.4" "   -20.2" "     0.3" "   -22.4" "     0.5" "    20.0" "     2.0"
"1974" "   -27.5" "   -23.7" "   -20.3" "    -3.5" "     8.3" "    18.1" "    19.7" "    15.4" "     6.6" "    -2.0" "    -6.9" "   -15.1" "    -2.6" "   -23.8" "    -5.2" "    17.7" "    -0.8"
"1975" "   -28.9" "   -21.9" "   -18.4" "     1.7" "     9.6" "    18.1" "    20.9" "    17.4" "    11.0" "     0.9" "   -11.3" "   -20.4" "    -1.8" "   -22.0" "    -2.4" "    18.8" "     0.2"
"1976" "   -22.7" "   -23.8" "   -18.5" "     4.5" "    11.5" "    15.4" "    20.0" "    17.6" "    11.8" "     1.1" "    -8.7" "   -22.8" "    -1.2" "   -22.3" "    -0.8" "    17.7" "     1.4"
"1977" "   -21.6" "   -13.7" "   -13.4" "    -1.4" "    10.3" "    16.9" "    18.2" "    13.5" "    12.1" "     3.0" "   -10.4" "   -25.5" "    -1.0" "   -19.4" "    -1.5" "    16.2" "     1.6"
"1978" "   -23.4" "   -14.6" "   -16.2" "    -5.1" "     6.2" "    13.5" "    14.7" "    15.9" "     9.1" "    -1.4" "   -12.1" "   -20.9" "    -2.9" "   -21.2" "    -5.0" "    14.7" "    -1.5"
"1979" "   -21.7" "   -33.4" "   -18.6" "    -7.2" "     6.3" "    12.9" "    20.7" "    14.4" "     9.2" "     0.0" "    -6.5" "   -12.9" "    -3.1" "   -25.3" "    -6.5" "    16.0" "     0.9"
"1980" "   -22.7" "   -15.7" "   -13.9" "     3.0" "    10.6" "    14.8" "    19.0" "    17.3" "     7.6" "     2.2" "    -9.2" "   -25.2" "    -1.0" "   -17.1" "    -0.1" "    17.0" "     0.2"
"1981" "   -13.0" "   -17.5" "    -8.5" "    -7.5" "    10.5" "    14.1" "    19.1" "    20.7" "     9.2" "     0.6" "    -6.3" "   -17.2" "     0.4" "   -18.6" "    -1.8" "    18.0" "     1.2"
"1982" "   -32.4" "   -20.8" "   -18.0" "    -6.2" "     5.2" "    13.7" "    18.9" "    15.6" "     8.8" "     2.9" "   -15.4" "   -23.1" "    -4.2" "   -23.5" "    -6.3" "    16.1" "    -1.2"
"1983" "   -22.3" "   -24.3" "   -16.2" "    -2.9" "    -0.6" "    15.4" "    19.3" "    18.2" "     9.5" "     1.4" "    -4.8" "   -22.0" "    -2.4" "   -23.2" "    -6.6" "    17.6" "     2.0"
"1984" "   -24.2" "   -14.9" "   -14.2" "     1.9" "    10.3" "    16.3" "    19.7" "    19.1" "     7.8" "    -0.7" "   -12.9" "   -25.6" "    -1.5" "   -20.4" "    -0.7" "    18.4" "    -1.9"
"1985" "   -21.7" "   -26.3" "   -13.4" "    -3.6" "     8.4" "    14.9" "    16.3" "    14.5" "     8.8" "    -1.1" "   -13.4" "   -18.3" "    -2.9" "   -24.5" "    -2.9" "    15.2" "    -1.9"
"1986" "   -22.6" "   -19.2" "   -14.8" "    -4.5" "     8.4" "    12.6" "    18.8" "    17.8" "    10.0" "     1.4" "   -14.3" "   -14.8" "    -1.8" "   -20.0" "    -3.6" "    16.4" "    -1.0"
"1987" "   -15.1" "   -14.1" "   -14.9" "     0.2" "     7.5" "    14.7" "    19.1" "    13.4" "    12.5" "     0.3" "    -8.3" "   -11.7" "     0.3" "   -14.7" "    -2.4" "    15.7" "     1.5"
"1988" "   -24.8" "   -23.7" "   -10.9" "    -3.2" "     1.4" "    15.4" "    18.1" "    18.4" "    11.3" "     1.1" "   -12.2" "   -20.4" "    -2.5" "   -20.1" "    -4.2" "    17.3" "     0.1"
"1989" "   -23.8" "   -15.4" "   -20.0" "    -4.5" "     5.8" "    16.5" "    21.1" "    19.6" "     9.1" "     1.7" "   -15.6" "   -22.8" "    -2.4" "   -19.9" "    -6.2" "    19.1" "    -1.6"
"1990" "   -24.9" "   -25.4" "    -8.8" "    -3.4" "     5.5" "    15.1" "    18.9" "    13.9" "     9.6" "    -1.5" "   -15.4" "   -24.6" "    -3.4" "   -24.4" "    -2.2" "    16.0" "    -2.4"
"1991" "   -24.5" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1992" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1993" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1994" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     4.6" "    -7.8" "   -12.7" " NA" " NA" " NA" " NA" " NA"
"1995" "   -15.3" " NA" " NA" " NA" " NA" "    18.2" "    15.8" "    16.8" "     9.6" "     1.9" "   -10.1" "   -17.8" " NA" " NA" " NA" "    16.9" "     0.5"
"1996" "   -26.3" " NA" " NA" " NA" "     6.6" "    18.0" "    21.9" "    18.3" "    14.2" "    -0.1" "   -11.2" "   -19.3" " NA" " NA" " NA" "    19.4" "     1.0"
"1997" "   -22.7" "   -19.8" "   -17.7" "    -2.3" "     4.7" "    14.5" "    21.8" "    20.7" "    12.8" "    -1.0" "    -5.8" "   -11.7" "    -0.5" "   -20.6" "    -5.1" "    19.0" "     2.0"
"1998" "   -25.3" "   -12.2" "   -11.2" "     5.0" "    12.2" "    19.2" "    23.9" "    21.5" " NA" " NA" "    -3.1" "   -13.6" " NA" "   -16.4" "     2.0" "    21.5" " NA"
"1999" "   -21.0" "   -10.4" "    -5.2" "     2.7" "     9.6" "    15.2" " NA" " NA" "    11.0" "     1.0" "    -7.7" " NA" " NA" "   -15.0" "     2.4" " NA" "     1.4"
"2000" " NA" " NA" " NA" " NA" " NA" "    15.6" "    21.8" " NA" " NA" "     2.4" "    -7.4" "   -23.4" " NA" " NA" " NA" " NA" " NA"
"2001" "   -14.5" "   -18.7" "   -10.6" "    -0.8" "     7.6" " NA" "    23.0" "    19.2" " NA" " NA" "    -7.8" "   -16.0" " NA" "   -18.9" "    -1.3" " NA" " NA"
