" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1913" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    20.8" "    10.3" " NA" " NA" "   -11.6" " NA" " NA" " NA" " NA" " NA"
"1914" "   -21.2" "   -23.9" " NA" " NA" " NA" " NA" " NA" "    20.1" "    10.9" "     5.5" "    -8.6" "   -21.0" " NA" "   -18.9" " NA" " NA" "     2.6"
"1915" "   -20.9" "   -15.2" "    -6.5" "    10.1" "    13.0" "    13.3" "    23.4" "    24.0" "    10.4" "     1.8" "    -8.1" "   -13.7" "     2.6" "   -19.0" "     5.5" "    20.2" "     1.4"
"1916" "   -27.9" "   -19.5" "   -15.5" "     3.2" "    11.5" "    19.1" "    21.0" "    18.0" "    13.6" "     2.0" "    -7.0" "   -23.5" "    -0.4" "   -20.4" "    -0.3" "    19.4" "     2.9"
"1917" "   -28.0" "   -22.2" "   -10.3" "     2.8" "    14.0" "    17.3" "    22.0" "    18.1" "    15.7" "     1.5" "     0.3" "   -27.5" "     0.3" "   -24.6" "     2.2" "    19.1" "     5.8"
"1918" "   -23.7" "   -20.1" "    -9.9" "     3.0" "     8.1" "    17.5" "    20.4" "    19.8" "    15.0" "     3.0" "    -5.3" "   -13.2" "     1.2" "   -23.8" "     0.4" "    19.2" "     4.2"
"1919" "   -16.3" "   -20.2" "   -16.2" "     7.1" "    11.8" "    17.8" "    20.7" "    22.0" "    14.2" "    -2.8" "   -12.4" "   -16.9" "     0.7" "   -16.6" "     0.9" "    20.2" "    -0.3"
"1920" "   -20.8" "    -6.5" "    -8.2" "     0.6" "    13.4" "    18.5" "    24.9" " NA" "    12.6" "     4.9" "    -5.8" "   -18.3" " NA" "   -14.7" "     1.9" " NA" "     3.9"
"1921" "   -21.3" "   -16.1" "   -14.2" "     6.4" "    13.8" "    21.1" "    23.4" "    16.9" "    12.9" "     6.3" "   -13.0" "   -15.0" "     1.8" "   -18.6" "     2.0" "    20.5" "     2.1"
"1922" "   -19.9" "   -22.3" "   -13.0" "     3.7" "    12.7" "    17.2" "    22.6" "    19.4" "    11.8" "     2.3" "    -6.9" "   -23.0" "     0.4" "   -19.1" "     1.1" "    19.7" "     2.4"
"1923" "   -20.7" "   -18.8" "   -15.9" "     1.0" "     9.0" "    21.9" "    22.2" "    18.4" "    15.7" "     9.7" "    -2.4" "   -17.7" "     1.9" "   -20.8" "    -2.0" "    20.8" "     7.7"
"1924" "   -25.5" "   -11.7" "    -3.7" "    -0.9" "    13.8" "    17.0" "    22.7" " NA" " NA" "     7.2" "    -9.6" "   -21.4" " NA" "   -18.3" "     3.1" " NA" " NA"
"1925" "   -27.6" "   -25.2" "   -10.8" "     5.3" "    15.6" "    20.7" "    24.6" "    21.9" "    12.5" "     0.0" "   -11.5" "   -15.7" "     0.8" "   -24.7" "     3.4" "    22.4" "     0.3"
"1926" "   -17.7" "   -14.6" "    -8.1" "     3.6" "    14.4" "    18.7" "    23.4" "    20.7" "    11.1" "     2.9" "   -11.3" "   -19.5" "     2.0" "   -16.0" "     3.3" "    20.9" "     0.9"
"1927" "   -21.9" "   -18.1" "    -6.8" "     1.9" "    13.1" "    20.1" "    25.7" "    23.3" "    13.3" "     4.5" "   -17.0" "   -26.6" "     1.0" "   -19.8" "     2.7" "    23.0" "     0.3"
"1928" "   -17.7" "   -12.4" " NA" "    -2.8" "    13.8" "    21.2" "    23.7" "    17.3" "    14.4" "     2.9" "    -2.5" "   -10.2" " NA" "   -18.9" " NA" "    20.7" "     4.9"
