" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1922" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.0" "   -16.5" "   -28.4" " NA" " NA" " NA" " NA" " NA"
"1923" "   -33.2" "   -29.0" "   -34.6" "   -14.9" "    -2.5" " NA" "     8.7" "     7.0" "     1.3" "    -6.0" "   -15.6" "   -26.5" " NA" "   -30.2" "   -17.3" " NA" "    -6.8"
"1924" "   -31.0" "   -31.5" "   -19.4" "   -11.8" "     0.3" "     6.8" "     7.2" "     8.2" "     1.8" "    -8.1" "   -20.5" "   -28.0" "   -10.5" "   -29.7" "   -10.3" "     7.4" "    -8.9"
"1925" "   -34.6" "   -27.1" "   -26.4" "   -16.9" "    -4.0" "     4.9" "     8.4" "     5.7" "     0.3" "    -6.6" "   -13.6" "   -18.5" "   -10.7" "   -29.9" "   -15.8" "     6.3" "    -6.6"
"1926" "   -29.6" "   -32.8" "   -27.2" "   -17.9" "    -2.0" "     5.0" " NA" " NA" "     1.2" "    -1.6" " NA" " NA" " NA" "   -27.0" "   -15.7" " NA" " NA"
"1927" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1928" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1930" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -4.5" "   -11.6" "   -28.1" " NA" " NA" " NA" " NA" " NA"
"1931" "   -29.3" "   -34.5" "   -28.9" "   -19.7" "    -4.1" "     7.2" "    11.8" " NA" "     3.6" "    -4.8" "   -18.4" "   -25.1" " NA" "   -30.6" "   -17.6" " NA" "    -6.5"
"1932" "   -32.7" "   -35.2" "   -20.6" "   -16.1" "     0.7" "     4.0" "     7.1" "     6.9" "     2.5" "    -5.8" "   -19.5" "   -25.9" "   -11.2" "   -31.0" "   -12.0" "     6.0" "    -7.6"
"1933" "   -31.4" "   -27.2" "   -24.3" "   -16.8" "    -5.3" "     2.0" "     7.6" "     6.8" "     1.1" "    -5.3" "   -19.4" "   -28.5" "   -11.7" "   -28.2" "   -15.5" "     5.5" "    -7.9"
"1934" "   -27.9" "   -32.8" "   -29.7" "   -16.5" "    -4.2" "     3.4" "     8.7" " NA" " NA" " NA" " NA" " NA" " NA" "   -29.7" "   -16.8" " NA" " NA"
"1935" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -18.7" " NA" " NA" " NA" " NA" " NA" " NA"
"1936" "   -26.0" "   -22.6" "   -22.8" " NA" "    -5.1" "     5.1" " NA" "     6.9" "     3.0" "   -10.1" "   -20.3" "   -26.9" " NA" " NA" " NA" " NA" "    -9.1"
"1937" "   -29.6" "   -27.1" "   -18.5" " NA" "    -3.6" "     5.1" "     9.7" "     6.2" "     1.4" "    -8.3" "   -18.2" "   -28.0" " NA" "   -27.9" " NA" "     7.0" "    -8.4"
"1938" "   -28.6" "   -34.1" "   -26.0" "   -20.3" "    -2.9" "     4.3" "     9.4" "     7.1" "     0.2" "    -5.5" "   -19.0" "   -22.9" "   -11.5" "   -30.2" "   -16.4" "     6.9" "    -8.1"
"1939" "   -23.1" "   -35.8" "   -24.8" "   -13.1" "    -4.3" "     5.4" "     8.6" "     7.3" "     2.0" "    -7.9" "   -18.0" "   -21.3" "   -10.4" "   -27.3" "   -14.1" "     7.1" "    -8.0"
"1940" "   -19.5" "   -26.3" "   -24.3" "   -13.7" " NA" "     3.1" "     8.2" "     7.2" "     1.9" "    -5.2" "   -18.2" "   -26.3" " NA" "   -22.4" " NA" "     6.2" "    -7.2"
"1941" "   -21.3" "   -23.5" "   -28.3" " NA" " NA" "     3.2" "     7.2" " NA" "    -0.4" "    -6.8" "   -23.5" "   -21.9" " NA" "   -23.7" " NA" " NA" "   -10.2"
"1942" "   -29.5" "   -34.8" "   -20.9" "   -15.8" " NA" "     4.1" "     7.3" "     6.4" "     0.9" "    -5.1" "   -13.4" "   -24.4" " NA" "   -28.7" " NA" "     5.9" "    -5.9"
"1943" "   -28.2" "   -34.2" " NA" " NA" "    -6.0" "     4.7" "     8.6" "     8.9" " NA" " NA" " NA" " NA" " NA" "   -28.9" " NA" "     7.4" " NA"
"1944" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     1.9" "    -6.7" "   -16.7" "   -24.5" " NA" " NA" " NA" " NA" "    -7.2"
"1945" "   -18.5" "   -26.2" "   -20.4" " NA" " NA" " NA" "     8.2" "     6.9" "    -0.3" "    -7.4" "   -18.2" "   -27.3" " NA" "   -23.1" " NA" " NA" "    -8.6"
"1946" "   -31.3" "   -25.9" " NA" " NA" "    -0.4" " NA" "     6.6" "     7.3" " NA" "    -7.2" "   -14.2" "   -23.9" " NA" "   -28.2" " NA" " NA" " NA"
"1947" "   -25.4" "   -16.4" " NA" " NA" " NA" "     3.5" "     9.1" "     6.9" " NA" "    -7.4" "    -8.5" "   -21.5" " NA" "   -21.9" " NA" "     6.5" " NA"
"1948" "   -24.0" "   -35.9" "   -31.1" " NA" " NA" "     5.6" "     9.6" "     8.0" " NA" "    -4.7" "   -16.3" "   -29.5" " NA" "   -27.1" " NA" "     7.7" " NA"
"1949" "   -30.6" "   -37.4" "   -23.9" " NA" "    -4.5" "     4.5" "     9.6" "     7.7" "    -0.7" "    -8.3" "   -18.7" "   -23.8" " NA" "   -32.5" " NA" "     7.3" "    -9.2"
"1950" "   -34.4" "   -30.9" "   -25.1" "   -21.0" "    -4.4" " NA" "     9.2" "     7.3" "     0.4" "    -7.3" "   -14.9" "   -18.5" " NA" "   -29.7" "   -16.8" " NA" "    -7.3"
"1951" "   -24.4" "   -28.1" "   -23.6" "   -18.2" "    -4.2" " NA" "     9.9" " NA" "     4.9" "    -6.5" "   -16.7" "   -24.0" " NA" "   -23.7" "   -15.3" " NA" "    -6.1"
"1952" " NA" " NA" " NA" " NA" "     0.3" " NA" "     8.7" "     9.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1953" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1954" " NA" " NA" " NA" " NA" "    -1.9" "     3.7" "     8.7" "     8.6" "     3.1" "    -7.2" "   -22.3" "   -28.2" " NA" " NA" " NA" "     7.0" "    -8.8"
"1955" "   -27.5" "   -27.4" "   -26.2" "   -13.0" "    -3.6" "     4.6" "     7.9" "     7.5" "     1.2" "    -0.4" " NA" " NA" " NA" "   -27.7" "   -14.3" "     6.7" " NA"
