"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1918" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    15.1" "     9.1" " NA" "    -1.8" " NA" " NA" " NA" " NA" " NA"
"1919" "    -0.4" "   -10.6" "    -4.9" "    10.4" "    16.5" "    20.8" "    21.2" "    19.3" "    13.0" "     2.2" "   -10.3" "    -9.4" "     5.7" "    -4.3" "     7.3" "    20.4" "     1.6"
"1920" "   -11.0" " NA" "    -0.5" "     1.4" "    13.3" "    17.0" "    22.7" "    19.0" "    14.3" "     7.7" "     1.5" "    -5.8" " NA" " NA" "     4.7" "    19.6" "     7.8"
"1921" "    -6.7" "    -3.0" "    -2.6" "     7.1" "    13.2" "    20.1" "    21.8" "    17.6" "    11.3" "     9.8" "    -4.5" "    -6.0" "     6.5" "    -5.2" "     5.9" "    19.8" "     5.5"
"1922" "    -7.5" "   -12.6" "     1.4" "     9.7" "    15.6" "    18.1" "    19.5" "    20.3" "    15.6" "     8.7" "     2.3" "   -10.7" "     6.7" "    -8.7" "     8.9" "    19.3" "     8.9"
"1923" "    -8.3" "    -6.2" "     0.1" "     7.5" "    14.9" "    17.9" "    21.0" "    16.5" "    13.4" "     9.3" "     3.9" "    -1.3" "     7.4" "    -8.4" "     7.5" "    18.5" "     8.9"
"1924" "    -7.9" "    -1.7" "     0.7" "     5.3" "    14.3" "    16.0" "    18.8" "    19.3" "    14.2" "     8.2" "    -1.5" "   -12.5" "     6.1" "    -3.6" "     6.8" "    18.0" "     7.0"
"1925" "    -8.0" "    -8.2" "    -2.2" "     9.0" "    14.6" "    17.4" "    23.1" " NA" "    11.9" "     2.8" "     0.8" "    -0.7" " NA" "    -9.6" "     7.1" " NA" "     5.2"
"1926" "    -1.3" "    -3.6" "     0.7" "     8.1" "    13.3" "    14.9" "    22.3" "    16.9" "     8.9" "     8.2" "    -4.4" "    -8.6" "     6.3" "    -1.9" "     7.4" "    18.0" "     4.2"
"1927" "    -9.6" "   -10.5" "    -1.5" "     5.4" "    10.2" "    17.4" "    19.6" "    17.6" "    12.1" "     7.4" "    -8.9" "   -14.4" "     3.7" "    -9.6" "     4.7" "    18.2" "     3.5"
"1928" "    -3.3" "    -1.6" "     0.5" "     5.4" "    17.1" "    17.0" "    21.6" "    16.9" "    11.6" "     4.9" " NA" " NA" " NA" "    -6.4" "     7.7" "    18.5" " NA"
"1929" " NA" " NA" " NA" "     4.7" "    12.8" "    23.9" "    28.4" "    28.2" "    14.3" "    19.2" " NA" " NA" " NA" " NA" " NA" "    26.8" " NA"
"1930" "   -13.1" "     0.3" "     4.0" "    13.8" "    15.8" "    20.4" "    25.8" "    24.2" "    16.5" "     6.4" "     6.1" "     3.0" "    10.3" " NA" "    11.2" "    23.5" "     9.7"
"1931" "     1.7" "     7.3" "    -0.8" "    13.5" "    17.3" "    21.2" "    23.4" "    22.6" "    16.4" "    14.0" " NA" " NA" " NA" "     4.0" "    10.0" "    22.4" " NA"
"1932" " NA" " NA" " NA" "    10.9" "    17.9" "    22.1" "    23.5" "    25.1" "    18.9" "     8.0" "    -0.4" "    -5.6" " NA" " NA" " NA" "    23.6" "     8.8"
"1933" "    -5.2" "    -6.1" "    -0.7" "     9.0" "    15.8" "    21.9" "    25.4" "    25.4" "    16.2" "     7.7" "     2.9" "   -19.5" "     7.7" "    -5.6" "     8.0" "    24.2" "     8.9"
"1934" "    -2.2" "    -1.3" "     0.4" "    15.5" " NA" "    21.2" "    25.3" "    25.9" "    14.2" "    16.4" "     4.6" "    -8.1" " NA" "    -7.7" " NA" "    24.1" "    11.7"
"1935" "   -13.2" " NA" " NA" " NA" "    14.8" "    19.1" "    24.9" "    21.4" "    17.8" "    11.1" "    -1.8" "     0.8" " NA" " NA" " NA" "    21.8" "     9.0"
"1936" "    -8.0" "   -20.8" "     0.2" "     8.7" "    19.9" "    21.1" "    28.3" "    23.8" "    16.6" "    12.7" "     6.2" "    -3.9" "     8.7" "    -9.3" "     9.6" "    24.4" "    11.8"
"1937" "   -14.5" "   -10.3" "     1.9" "    12.8" "    17.9" "    23.8" "    24.8" "    22.3" "    18.5" "    13.1" "    -2.4" "    -7.8" "     8.3" "    -9.6" "    10.9" "    23.6" "     9.7"
"1938" "    -5.2" "   -13.3" "     2.8" "     9.1" "    17.1" "    23.3" "    25.9" "    21.4" "    25.2" "    14.5" "     0.6" "    -1.9" "    10.0" "    -8.8" "     9.7" "    23.5" "    13.4"
"1939" "    -2.5" "   -11.3" "     1.4" "    12.1" "    18.3" "    17.0" "    25.6" "    25.8" "    17.5" "     7.7" " NA" " NA" " NA" "    -5.2" "    10.6" "    22.8" " NA"
"1940" " NA" " NA" "     2.2" "     6.7" "    20.2" "    20.3" "    24.6" "    26.3" "    21.3" "    13.1" "    -5.6" "    -4.1" " NA" " NA" "     9.7" "    23.7" "     9.6"
"1941" "    -7.0" "    -5.1" "     1.2" "    14.2" "    17.0" "    22.3" "    28.1" "    23.6" "    14.6" "    12.5" "     5.7" "    -3.5" "    10.3" "    -5.4" "    10.8" "    24.7" "    10.9"
"1942" "    -0.2" "    -4.2" "     4.8" "    11.4" "    17.4" "    19.7" "    24.5" "    23.5" "    18.4" "    12.8" "    -3.8" "    -8.9" "     9.6" "    -2.6" "    11.2" "    22.6" "     9.1"
"1943" "   -13.2" "    -0.9" "    -3.6" "    13.5" "    15.1" "    17.5" "    25.8" "    23.1" "    20.3" "    12.9" "     5.6" "     0.9" "     9.8" "    -7.7" "     8.3" "    22.1" "    12.9"
"1944" "    -2.0" "    -4.5" " NA" "    14.2" "    19.7" "    20.8" "    23.0" "    22.7" "    18.0" "    17.7" "    -0.5" "    -3.6" " NA" "    -1.9" " NA" "    22.2" "    11.7"
"1945" "    -5.8" "    -4.1" "     3.2" "     5.3" "    15.6" "    19.4" "    25.8" "    24.3" "    16.3" "    12.5" "    -6.2" "    -6.9" "     8.3" "    -4.5" "     8.0" "    23.2" "     7.5"
"1946" "    -2.5" "    -1.6" "     5.6" "    14.1" "    17.4" "    18.5" "    27.3" "    22.3" "    17.3" "     9.6" "    -3.3" "    -7.1" "     9.8" "    -3.7" "    12.4" "    22.7" "     7.9"
"1947" "    -6.7" "    -8.9" "    -0.8" "    10.8" "    16.2" "    19.6" "    28.6" "    21.4" "    16.3" "    12.4" "    -0.4" "    -2.3" "     8.9" "    -7.6" "     8.7" "    23.2" "     9.4"
"1948" "    -1.3" "   -10.7" "    -3.2" "     3.6" "    18.0" "    23.9" "    24.8" "    22.9" "    17.9" "    13.1" " NA" " NA" " NA" "    -4.8" "     6.1" "    23.9" " NA"
"1949" " NA" "   -11.2" "     3.0" "    16.3" "    19.4" "    22.7" "    25.6" "    24.4" "    20.0" "     8.1" "     8.7" "   -10.8" " NA" " NA" "    12.9" "    24.2" "    12.3"
"1950" "   -21.3" "    -6.1" "    -1.5" "     6.7" "    16.7" "    23.9" "    25.1" " NA" "    19.0" "     7.7" "    -5.6" "    -5.2" " NA" "   -12.7" "     7.3" " NA" "     7.0"
"1951" "   -11.9" "    -7.2" "    -7.0" "     8.2" "    17.7" "    19.3" "    24.6" "    20.1" "    14.3" "     5.5" "    -0.7" "   -10.9" "     6.0" "    -8.1" "     6.3" "    21.3" "     6.4"
"1952" "   -13.1" "    -3.2" "    -1.4" "    14.3" "    18.7" "    18.9" "    22.3" "    22.7" "    20.0" "    15.7" "     5.1" " NA" " NA" "    -9.1" "    10.5" "    21.3" "    13.6"
"1953" "   -10.2" "     0.5" "    -1.1" "     5.4" "    15.8" "    19.6" "    23.4" "    23.3" "    18.4" "    16.6" "     6.9" "     1.0" "    10.0" " NA" "     6.7" "    22.1" "    14.0"
"1954" "   -17.6" "     3.3" "    -2.9" "     1.3" "    14.9" "    19.0" "    24.6" "    19.8" "    16.4" "    12.0" "     7.9" "     2.7" "     8.5" "    -4.4" "     4.4" "    21.1" "    12.1"
"1955" "    -3.8" "    -6.5" "    -4.6" "     7.9" "    14.0" "    22.5" "    24.1" "    25.3" "    13.9" "    10.2" "   -13.3" " NA" " NA" "    -2.5" "     5.8" "    24.0" "     3.6"
"1956" "   -16.4" "   -11.6" "    -3.0" "     7.3" "    20.4" "    21.6" "    23.6" "    22.9" "    18.4" "     9.9" "     4.7" " NA" " NA" " NA" "     8.2" "    22.7" "    11.0"
"1957" "   -13.5" "    -5.2" "    -1.0" "     9.9" "    18.9" "    20.8" "    26.0" "    21.7" "    19.0" "     5.3" "     1.9" "    -2.6" "     8.4" " NA" "     9.3" "    22.8" "     8.7"
"1958" "    -5.4" " NA" "    -5.9" "     8.7" "    21.1" "    21.0" "    23.9" "    26.2" "    17.7" "    12.9" " NA" " NA" " NA" " NA" "     8.0" "    23.7" " NA"
"1959" "   -15.4" "    -4.8" "     6.8" "    11.8" "    14.5" "    20.7" "    25.7" "    19.5" "    15.2" "     7.8" " NA" "     1.6" " NA" " NA" "    11.0" "    22.0" " NA"
"1960" "    -7.5" "    -5.4" "    -1.3" "    11.7" "    15.9" "    20.4" "    26.7" "    22.7" "    19.3" "    12.0" "    -0.3" "    -1.8" "     9.4" "    -3.8" "     8.8" "    23.3" "    10.3"
"1961" "    -1.9" "    -3.0" " NA" "     9.0" "    16.9" "    26.5" "    24.0" "    26.8" "    14.1" "     9.7" "    -1.2" "   -10.7" " NA" "    -2.2" " NA" "    25.8" "     7.5"
"1962" "    -4.4" "    -9.8" "    -3.8" "    12.4" "    15.7" "    21.4" "    22.1" "    21.5" "    18.4" "    13.7" "     4.7" "    -2.5" "     9.1" "    -8.3" "     8.1" "    21.7" "    12.3"
