" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1926" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    15.8" "    -0.2" "    -2.4" " NA" " NA" " NA" " NA" " NA"
"1927" "    -2.5" "    -0.1" "     5.0" "    10.3" "    14.4" "    21.3" "    22.3" "    22.4" " NA" " NA" " NA" " NA" " NA" "    -1.7" "     9.9" "    22.0" " NA"
"1928" " NA" " NA" "     7.4" "     8.9" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" " NA" " NA" " NA" " NA" " NA" "    20.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1930" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    19.4" "     7.1" "     4.1" "     1.9" " NA" " NA" " NA" " NA" "    10.2"
"1931" "     1.8" "     3.8" "     2.0" "    11.3" "    16.3" " NA" "    23.1" "    22.3" "    14.4" "    10.2" "    -1.9" " NA" " NA" "     2.5" "     9.9" " NA" "     7.6"
"1932" "    -5.9" "    -2.1" "     1.0" "    11.1" "    15.8" "    20.4" "    19.9" "    22.2" "    17.8" "     8.2" "     1.6" "    -6.0" "     8.7" " NA" "     9.3" "    20.8" "     9.2"
"1933" "    -3.9" "    -4.3" "     2.0" "     8.8" "    14.0" "    17.3" "    20.5" "    23.6" " NA" " NA" " NA" " NA" " NA" "    -4.7" "     8.3" "    20.5" " NA"
"1934" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    14.0" "    11.7" "     4.4" "    -3.2" " NA" " NA" " NA" " NA" "    10.0"
"1935" "    -7.3" "     4.6" "     0.8" "     8.3" "    17.2" "    20.2" "    23.5" " NA" " NA" " NA" " NA" " NA" " NA" "    -2.0" "     8.8" " NA" " NA"
"1936" "   -14.5" "    -6.1" "     5.4" "     9.5" "    15.4" "    19.5" "    22.7" "    17.5" "    19.0" "    12.3" "    -1.3" "    -4.6" "     7.9" " NA" "    10.1" "    19.9" "    10.0"
"1937" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1938" "    -2.3" "    -7.2" "     4.2" "    11.0" "    15.9" "    21.9" "    25.6" "    20.2" "    23.8" "    12.8" "     0.3" "    -3.2" "    10.3" " NA" "    10.4" "    22.6" "    12.3"
"1939" "     0.4" "    -3.2" "     5.0" "    13.5" "    18.2" " NA" "    23.2" "    24.6" "    16.4" "     9.0" "     9.2" "     2.8" " NA" "    -2.0" "    12.2" " NA" "    11.5"
"1940" " NA" " NA" " NA" "    10.1" "    17.8" "    19.4" "    23.1" "    21.9" "    21.6" "    11.7" "    -1.7" "     0.5" " NA" " NA" " NA" "    21.5" "    10.5"
"1941" "     0.4" "     1.4" "     9.4" "    16.9" "    17.3" "    23.1" "    26.6" "    23.4" "    13.1" "    11.2" "     4.2" "    -3.1" "    12.0" "     0.8" "    14.5" "    24.4" "     9.5"
"1942" "    -1.4" "    -1.1" "     4.5" "    11.6" "    16.1" "    19.3" "    23.7" "    22.4" "    18.6" "    11.5" "    -1.7" "    -4.9" "     9.9" "    -1.9" "    10.7" "    21.8" "     9.5"
"1943" "   -11.6" "     2.7" "     0.6" "    13.2" "    14.2" "    18.1" "    22.7" "    20.6" "    20.0" "    12.8" "     5.9" "    -0.5" "     9.9" "    -4.6" "     9.3" "    20.5" "    12.9"
"1944" "    -0.5" "    -1.2" "     2.2" "    14.5" "    16.8" "    19.8" "    22.1" "    20.7" "    17.2" "    15.8" "     1.8" "    -5.3" "    10.3" "    -0.7" "    11.2" "    20.9" "    11.6"
"1945" "    -2.4" "    -1.0" "     4.4" "     6.4" "    16.9" "    19.3" "    23.7" "    22.9" "    15.4" "    11.5" "    -3.0" "    -3.8" "     9.2" "    -2.9" "     9.2" "    22.0" "     8.0"
"1946" "    -0.7" "     1.6" "     6.7" "    10.5" "    18.4" "    19.0" "    22.8" "    24.2" "    18.3" "     8.8" "    -1.7" "    -4.1" "    10.3" "    -1.0" "    11.9" "    22.0" "     8.5"
"1947" "    -4.9" "     0.6" "     6.5" "    12.3" "    17.8" "    18.8" "    23.9" "    20.0" "    17.2" "    10.0" "    -0.3" "    -1.0" "    10.1" "    -2.8" "    12.2" "    20.9" "     9.0"
"1948" "    -1.1" "    -6.7" "     1.1" "     6.0" "    16.8" "    22.2" "    21.9" "    19.1" "    16.2" "    12.0" "     2.2" "    -9.1" "     8.4" "    -2.9" "     8.0" "    21.1" "    10.1"
"1949" "    -8.7" "    -6.8" "     4.9" "    12.3" "    17.6" "    18.9" "    21.7" "    21.5" "    19.6" "     7.5" "     6.8" "    -9.5" "     8.8" "    -8.2" "    11.6" "    20.7" "    11.3"
"1950" "   -22.0" "    -0.1" "     1.5" "     7.9" "    14.1" "    22.0" "    23.0" "    20.4" "    20.7" "     7.6" "    -4.8" "    -1.7" "     7.4" "   -10.5" "     7.8" "    21.8" "     7.8"
