"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1889" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    12.4" "    -1.4" "    -9.1" " NA" " NA" " NA" " NA" " NA"
"1890" "   -19.5" "   -18.1" " NA" " NA" "    13.6" "    23.3" "    24.9" "    21.9" " NA" " NA" " NA" " NA" " NA" "   -15.6" " NA" "    23.4" " NA"
"1891" "    -6.2" "   -18.3" "    -8.1" "    14.0" "    18.1" "    18.9" "    22.3" "    21.9" "    19.3" "    10.7" "    -3.5" "    -7.7" "     6.8" " NA" "     8.0" "    21.0" "     8.8"
"1892" "   -14.7" "   -13.5" "    -5.0" "     4.8" "    12.3" "    19.6" "    26.0" "    24.5" "    19.3" "    13.6" "    -5.5" "   -14.7" "     5.6" "   -12.0" "     4.0" "    23.4" "     9.1"
"1893" "   -14.4" "   -18.5" "    -9.9" "     1.5" "    17.8" "    22.6" "    24.4" "    25.7" "    18.6" "     7.2" "    -4.6" "   -12.8" "     4.8" "   -15.9" "     3.1" "    24.2" "     7.1"
"1894" "   -16.4" "   -12.8" "    -4.0" "     9.6" "    18.1" "    25.6" "    29.8" "    27.4" "    17.4" "     8.5" "    -4.0" "    -8.9" "     7.5" "   -14.0" "     7.9" "    27.6" "     7.3"
"1895" "   -20.3" "   -12.6" "    -4.5" "    15.5" "    17.5" "    19.6" "    23.8" "    23.7" "    15.1" "     9.3" "    -4.5" "    -9.1" "     6.1" "   -13.9" "     9.5" "    22.4" "     6.6"
"1896" "   -14.7" "    -7.1" "    -5.7" "     5.2" "    16.1" "    22.3" "    24.9" "    21.5" "    15.6" "     9.6" "   -14.0" "    -7.6" "     5.5" "   -10.3" "     5.2" "    22.9" "     3.7"
"1897" "   -14.3" "   -14.1" "   -11.2" "     9.3" "    20.7" "    21.2" "    24.5" "    24.6" "    23.1" "    11.2" "    -7.4" "   -10.6" "     6.4" "   -12.0" "     6.3" "    23.4" "     9.0"
"1898" "    -9.2" "   -10.6" "   -10.1" "     6.7" "    18.9" "    21.5" "    24.1" "    22.7" "    17.9" "     4.0" "    -4.8" "    -7.9" "     6.1" "   -10.1" "     5.2" "    22.8" "     5.7"
