" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1908" "    -6.3" "    -8.7" "    -8.3" "     6.9" "    14.9" "    17.8" "    23.0" "    20.2" "    17.3" "     7.8" "     0.6" "    -7.3" "     6.5" " NA" "     4.5" "    20.3" "     8.6"
"1909" "   -15.0" "   -13.8" "    -4.9" "     1.3" "    14.7" "    19.4" "    22.1" "    22.4" "    19.7" "     9.2" " NA" "   -11.8" " NA" "   -12.0" "     3.7" "    21.3" " NA"
"1910" "    -9.9" "   -13.1" "     5.8" "    11.7" "    13.9" "    21.4" "    23.0" "    19.9" "    15.7" "    12.1" "    -5.7" " NA" " NA" "   -11.6" "    10.5" "    21.4" "     7.4"
"1911" " NA" "   -11.3" "    -1.8" " NA" " NA" " NA" "    20.0" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1912" "   -20.5" "   -10.2" "    -8.1" "     9.1" "    14.3" "    21.4" " NA" "    19.6" "    12.3" "     8.9" " NA" "    -7.3" " NA" " NA" "     5.1" " NA" " NA"
"1913" "   -18.2" "   -13.3" "    -9.1" "     9.4" "    13.3" "    21.6" "    20.5" "    21.1" "    17.9" "     4.6" "     1.3" "    -3.2" "     5.5" "   -12.9" "     4.5" "    21.1" "     7.9"
"1914" "   -11.3" "   -16.8" "    -3.8" "     6.6" "    15.8" "    20.2" "    27.0" " NA" "    17.9" "    11.9" "    -0.8" "   -13.6" " NA" "   -10.4" "     6.2" " NA" "     9.7"
"1915" "   -13.1" "    -6.6" "    -1.6" "    14.5" "    16.3" "    17.2" "    19.7" "    23.4" "    12.9" "    11.1" "    -2.0" "    -8.6" "     6.9" "   -11.1" "     9.7" "    20.1" "     7.3"
"1916" "   -22.4" "   -12.3" "    -6.6" "     5.0" "    13.4" "    16.8" " NA" "    20.6" "    15.2" "     4.7" "    -0.2" "   -14.2" " NA" "   -14.4" "     3.9" " NA" "     6.6"
"1917" "   -17.7" "   -18.4" " NA" "     2.0" "    16.4" "    18.7" " NA" "    21.2" "    16.8" "     4.1" "     6.6" "   -19.2" " NA" "   -16.8" " NA" " NA" "     9.2"
"1918" "   -15.5" "   -11.0" "     0.9" "     9.3" "    12.8" "    21.7" "    21.1" "    20.7" "    15.4" "     9.8" "     1.6" "    -9.2" "     6.5" "   -15.2" "     7.7" "    21.2" "     8.9"
"1919" "    -6.1" "   -15.1" "    -8.2" "     8.7" "    18.6" "    23.2" " NA" "    22.7" " NA" "     1.7" "    -7.1" "   -12.8" " NA" "   -10.1" "     6.4" " NA" " NA"
"1920" "   -16.6" "    -7.3" "    -4.1" "    -1.5" "    16.4" " NA" "    24.6" "    23.7" "    17.3" "    12.0" "    -0.4" "    -9.0" " NA" "   -12.2" "     3.6" " NA" "     9.6"
"1921" "   -10.6" "    -8.7" "    -6.0" "     5.8" "    15.0" "    22.5" "    23.2" "    21.3" "    15.2" "    10.4" "    -6.2" "    -8.6" "     6.1" "    -9.4" "     4.9" "    22.3" "     6.5"
"1922" "   -12.9" "   -17.8" "    -4.0" "     6.2" "    16.0" " NA" "    22.7" "    23.2" "    19.1" "     8.3" "     0.1" "   -14.4" " NA" "   -13.1" "     6.1" " NA" "     9.2"
"1923" "   -12.7" "   -15.0" "    -8.1" "     3.4" "    16.4" "    21.0" " NA" "    19.8" "    17.5" "    10.6" "     4.0" "    -4.7" " NA" "   -14.0" "     3.9" " NA" "    10.7"
"1924" "   -16.9" "    -6.0" "    -2.6" "     4.3" "    12.9" "    18.0" "    24.3" "    19.5" "    17.1" "    13.0" "    -4.0" "   -15.5" "     5.3" "    -9.2" "     4.9" "    20.6" "     8.7"
"1925" "   -13.1" " NA" "    -5.1" "     8.0" "    16.9" "    18.2" " NA" "    22.7" "    16.4" "     1.1" "    -1.5" "    -7.3" " NA" " NA" "     6.6" " NA" "     5.3"
"1926" "    -6.4" "    -6.3" "    -2.6" "     8.0" "    17.2" "    17.6" "    24.8" "    21.9" "    11.9" "     5.9" "    -7.5" "   -12.5" "     6.0" "    -6.7" "     7.5" "    21.4" "     3.4"
