" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1907" " NA" " NA" " NA" " NA" " NA" " NA" "    20.8" "    17.9" "    12.6" "    13.1" "     3.4" "    -4.9" " NA" " NA" " NA" " NA" "     9.7"
"1908" "    -7.4" "    -8.3" "    -7.5" "     9.2" "    18.0" "    18.4" "    23.0" "    19.4" "    17.3" "     8.7" "     1.0" "    -6.8" "     7.1" "    -6.9" "     6.6" "    20.3" "     9.0"
"1909" "   -15.7" "   -13.1" "    -4.4" "     1.6" "    16.7" "    21.9" "    23.0" "    22.1" "    21.4" "     8.5" "    -7.3" "   -10.4" "     5.4" "   -11.9" "     4.6" "    22.3" "     7.5"
"1910" "    -8.9" "   -11.4" "     6.9" "    12.6" "    16.6" "    20.9" "    24.2" "    19.9" "    15.9" "    11.1" "    -4.9" "    -8.7" "     7.9" "   -10.2" "    12.0" "    21.7" "     7.4"
"1911" "   -21.0" "    -9.8" "     0.0" "     9.6" "    16.2" "    20.8" "    19.7" "    19.0" "    14.6" "    10.7" "    -5.1" "    -9.4" "     5.4" "   -13.2" "     8.6" "    19.8" "     6.7"
"1912" "   -16.9" "    -6.9" "    -6.3" "    11.7" "    16.5" "    24.3" "    19.7" "    20.4" "    13.1" "     9.4" "    -0.2" "    -4.8" "     6.7" "   -11.1" "     7.3" "    21.5" "     7.4"
"1913" "   -18.0" "    -9.9" "    -5.0" "    12.2" "    15.1" "    21.3" "    21.7" "    21.3" "    19.0" "     6.7" "     2.0" "    -3.6" "     6.9" "   -10.9" "     7.4" "    21.4" "     9.2"
"1914" "   -11.5" "   -14.6" "    -0.3" "    11.3" "    17.4" "    20.7" "    26.0" "    22.3" "    16.8" "    11.9" "     0.8" "   -11.7" "     7.4" "    -9.9" "     9.5" "    23.0" "     9.8"
"1915" "   -11.2" "    -7.4" "     0.4" "    15.5" "    18.0" "    18.2" "    20.9" "    26.1" "    14.8" "    11.9" "    -1.5" "    -7.0" "     8.2" "   -10.1" "    11.3" "    21.7" "     8.4"
"1916" "   -21.6" "    -8.0" "    -3.6" "     9.5" "    13.5" "    19.5" "    22.7" "    19.8" "    15.5" "     9.2" "     2.0" "   -12.9" "     5.5" "   -12.2" "     6.5" "    20.7" "     8.9"
"1917" "   -15.1" "   -15.4" "    -3.5" "     4.1" "    18.3" "    19.7" "    26.0" "    22.4" "    18.8" " NA" "     9.3" "   -18.5" " NA" "   -14.5" "     6.3" "    22.7" " NA"
"1918" "   -14.1" "   -10.3" "     0.5" "    12.3" "    14.2" "    21.4" "    23.8" "    23.6" "    17.7" "    11.6" "     1.7" "    -4.5" "     8.2" "   -14.3" "     9.0" "    22.9" "    10.3"
