" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1962" " NA" " NA" " NA" " NA" "    13.8" "    20.7" "    21.6" "    23.1" "    17.0" "    14.0" "    -3.6" "   -11.3" " NA" " NA" " NA" "    21.8" "     9.1"
"1963" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1964" "   -11.8" "    -3.6" "   -11.0" "     6.7" "    14.1" "    21.6" "    23.0" "    18.3" "    11.5" "    10.2" "    -4.0" " NA" " NA" " NA" "     3.3" "    21.0" "     5.9"
"1965" " NA" "   -17.0" "    -6.2" "     7.4" "    13.2" "    18.6" "    22.5" "    20.2" "     9.2" "     9.9" "    -7.5" "    -7.6" " NA" " NA" "     4.8" "    20.4" "     3.9"
"1966" "   -23.3" "    -9.5" "    -2.0" "     2.8" "    14.3" "    18.5" "    21.6" "    20.4" "    17.3" "     6.3" "   -11.0" "   -11.6" "     3.7" "   -13.5" "     5.0" "    20.2" "     4.2"
"1967" "   -15.9" "   -13.1" "    -8.7" "     3.3" "    13.4" "    18.3" "    21.7" "    23.5" "    19.4" "     5.6" "    -2.9" "   -11.6" "     4.4" "   -13.5" "     2.7" "    21.2" "     7.4"
"1968" "   -16.7" "    -8.7" "     1.2" "     8.4" "    14.6" "    19.2" "    20.1" "    18.2" "    13.5" "     7.3" "    -1.6" "   -15.9" "     5.0" "   -12.3" "     8.1" "    19.2" "     6.4"
"1969" "   -24.4" "   -10.5" "    -2.8" "    10.3" "    13.4" "    18.4" "    21.5" "    22.0" "    11.7" "     3.8" "    -2.1" "    -7.8" "     4.5" "   -16.9" "     7.0" "    20.6" "     4.5"
"1970" "   -17.1" "    -8.1" "    -5.1" "     8.2" "    14.8" "    21.2" "    22.4" "    21.3" "    14.3" "     6.5" "    -6.7" "   -17.6" "     4.5" "   -11.0" "     6.0" "    21.6" "     4.7"
"1971" "   -20.5" "    -6.7" "    -4.1" "     9.3" "    18.8" "    20.4" "    21.0" "    23.2" "    14.3" "     8.3" "    -5.2" "   -15.9" "     5.2" "   -14.9" "     8.0" "    21.5" "     5.8"
"1972" "   -20.2" "   -16.8" "    -2.6" "     4.1" "    17.6" " NA" "    19.8" "    22.6" "     7.9" "     4.6" "    -5.1" "   -16.3" " NA" "   -17.6" "     6.4" " NA" "     2.5"
"1973" "   -10.3" "   -10.2" " NA" "     6.1" " NA" " NA" "    22.9" "    21.5" "    15.1" " NA" " NA" " NA" " NA" "   -12.3" " NA" " NA" " NA"
"1974" "   -20.1" "    -9.2" "    -8.5" "     8.5" "    10.5" "    20.0" "    21.2" "    18.2" "    11.1" "     8.9" "    -0.6" "    -4.8" "     4.6" " NA" "     3.5" "    19.8" "     6.5"
"1975" "   -14.0" "   -11.1" "    -5.1" "     5.5" "    13.9" "    18.7" "    23.8" "    17.8" "    14.7" "     6.9" "    -3.1" "   -10.3" "     4.8" "   -10.0" "     4.8" "    20.1" "     6.2"
"1976" "   -10.8" "    -7.8" "    -2.6" "    11.5" "    16.7" "    19.6" "    22.4" "    21.8" "    17.2" "     5.8" "    -0.7" "   -11.8" "     6.8" "    -9.6" "     8.5" "    21.3" "     7.4"
"1977" "   -14.1" "     0.4" "     0.2" "    11.3" "    17.5" "    20.7" "    20.0" "    16.3" "    14.0" "     9.5" "    -5.2" "   -17.2" "     6.1" "    -8.5" "     9.7" "    19.0" "     6.1"
"1978" "   -18.6" "    -8.8" "    -1.7" "     5.0" "    13.8" "    19.7" "    21.2" "    19.0" "    13.2" "     9.4" "    -5.6" "   -13.6" "     4.4" "   -14.9" "     5.7" "    20.0" "     5.7"
"1979" "   -14.2" "   -21.6" "    -3.3" "     1.7" "    11.9" "    19.4" "    24.7" "    19.7" "    14.3" "     7.8" "    -0.9" "    -7.0" "     4.4" "   -16.5" "     3.4" "    21.3" "     7.1"
"1980" "   -13.7" "    -7.3" "    -3.6" "    16.1" "    17.4" "    19.7" "    22.7" "    18.7" "    11.8" "     9.3" "     0.3" "   -17.3" "     6.2" "    -9.3" "    10.0" "    20.4" "     7.1"
"1981" "    -6.6" "    -5.8" "     2.8" "     5.9" "    17.4" "    20.4" "    23.7" "    25.4" "    17.1" "     4.3" "     0.5" "   -13.2" "     7.7" "    -9.9" "     8.7" "    23.2" "     7.3"
"1982" "   -26.7" "   -12.9" "    -4.9" "     4.8" "    13.5" "    20.4" "    22.1" "    17.8" "    15.6" "     9.9" "    -7.8" "   -11.4" "     3.4" "   -17.6" "     4.5" "    20.1" "     5.9"
"1983" "   -12.3" "   -10.1" "    -3.0" " NA" " NA" " NA" " NA" " NA" "    13.6" "     8.8" "    -2.4" "   -17.9" " NA" "   -11.3" " NA" " NA" "     6.7"
"1984" "   -10.6" "    -0.9" "    -1.9" "    12.5" "    12.0" "    21.2" "    23.8" "    23.5" "    12.1" "     4.8" "    -8.7" "   -17.0" "     5.9" "    -9.8" "     7.5" "    22.8" "     2.7"
"1985" "   -10.5" "   -15.0" "     2.0" "     7.6" "    16.5" "    18.0" "    22.1" "    19.8" "    11.5" "     4.9" "   -13.0" "    -9.0" "     4.6" "   -14.2" "     8.7" "    20.0" "     1.1"
"1986" "    -8.0" "   -10.3" "     0.0" "     5.4" "    14.7" "    19.5" "    20.1" "    21.4" "    13.5" "     8.8" "    -9.3" "    -5.0" "     5.9" "    -9.1" "     6.7" "    20.3" "     4.3"
"1987" "    -6.1" "    -4.5" "    -3.7" "     9.8" "    16.3" "    20.4" "    22.3" "    18.4" "    18.0" "     6.7" "    -0.1" "    -6.9" "     7.6" "    -5.2" "     7.5" "    20.4" "     8.2"
"1988" "   -14.6" "    -9.7" "    -0.7" "     7.2" "    16.1" "    21.3" "    21.6" "    20.5" "    14.6" "     7.3" "    -4.5" "    -9.5" "     5.8" "   -10.4" "     7.5" "    21.1" "     5.8"
"1989" "   -11.0" "   -11.2" "    -7.3" "     6.2" "    15.2" "    19.0" "    23.9" "    22.2" "    14.0" "     6.8" "    -7.0" "   -13.0" "     4.8" "   -10.6" "     4.7" "    21.7" "     4.6"
"1990" "   -12.1" "   -12.3" "     1.1" "     5.5" "    16.0" "    21.3" "    22.7" "    21.6" "    15.9" "     3.1" " NA" "   -15.8" " NA" "   -12.5" "     7.5" "    21.9" " NA"
