" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1960" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -0.9" "   -10.6" " NA" " NA" " NA" " NA" " NA"
"1961" "   -12.3" "    -6.6" "    -0.5" "     5.3" "    17.7" "    25.5" "    25.6" "    28.1" "    16.0" "    11.1" "    -0.7" "   -13.4" "     8.0" "    -9.8" "     7.5" "    26.4" "     8.8"
"1962" "   -15.9" "   -14.2" "    -2.8" "     5.4" "    15.6" "    24.1" "    24.3" "    22.6" "    17.0" "    13.1" "     1.1" "    -9.9" "     6.7" "   -14.5" "     6.1" "    23.7" "    10.4"
"1963" "   -17.7" "   -12.4" "    -1.4" "     8.9" "    15.6" "    22.4" "    26.5" "    24.4" "    19.5" "    18.6" "     1.9" "   -12.0" "     7.9" "   -13.3" "     7.7" "    24.4" "    13.3"
"1964" "    -9.9" "    -6.6" "    -7.6" "     9.2" "    18.6" "    21.7" "    26.0" "    21.4" "    16.4" "    12.4" "    -1.7" "   -14.6" "     7.1" "    -9.5" "     6.7" "    23.0" "     9.0"
"1965" "   -16.6" "   -13.9" "    -7.9" " NA" "    16.8" "    21.5" "    22.9" " NA" "    13.0" "    12.9" "    -2.6" "    -5.4" " NA" "   -15.0" " NA" " NA" "     7.8"
"1966" "   -22.5" "   -12.9" "    -1.1" "     4.4" "    13.9" "    23.0" "    25.5" "    23.8" "    20.3" "     8.9" "    -5.6" "   -13.6" "     5.3" "   -13.6" "     5.7" "    24.1" "     7.9"
"1967" "   -13.7" " NA" "    -4.2" "     3.9" "    13.6" "    21.8" "    24.8" "    24.1" "    21.5" "     7.4" "    -1.8" "    -9.1" " NA" " NA" "     4.4" "    23.6" "     9.0"
"1968" "   -14.5" "   -12.0" "    -0.2" "     8.9" "    14.0" "    19.8" "    23.4" "    19.2" "    18.4" "     9.2" "    -0.2" "   -10.9" "     6.3" "   -11.9" "     7.6" "    20.8" "     9.1"
"1969" "   -17.5" "    -9.6" "    -4.3" "    11.5" "    14.7" "    17.4" "    23.6" "    25.6" "    17.1" "     5.4" "     0.1" "    -7.5" "     6.4" "   -12.7" "     7.3" "    22.2" "     7.5"
"1970" "   -16.2" "   -11.2" "    -5.4" "     4.8" "    14.2" "    24.2" "    25.4" "    24.7" "    17.9" "     9.7" "    -1.8" "   -14.6" "     6.0" "   -11.6" "     4.5" "    24.8" "     8.6"
"1971" "   -19.2" "    -9.2" "    -2.6" "     7.1" "    17.6" "    22.7" "    21.7" "    24.6" "    18.3" "    10.5" "    -2.8" "   -10.8" "     6.5" "   -14.3" "     7.4" "    23.0" "     8.7"
"1972" "   -18.6" "   -16.0" "    -4.4" "     6.6" "    20.6" "    23.8" "    22.3" "    23.5" "    14.8" "     7.3" "    -4.2" "   -15.6" "     5.0" "   -15.1" "     7.6" "    23.2" "     6.0"
"1973" "   -10.3" "    -9.5" "     3.6" "     8.4" "    17.1" "    20.4" "    23.9" "    25.5" "    17.3" "    11.4" "    -4.2" "   -12.7" "     7.6" "   -11.8" "     9.7" "    23.3" "     8.2"
"1974" "   -18.7" "   -11.2" "    -5.9" "     6.1" "    11.7" "    22.7" "    26.7" "    21.1" "    14.2" "    10.7" "     0.4" "    -5.2" "     6.1" "   -14.2" "     4.0" "    23.5" "     8.4"
"1975" "   -12.4" "   -12.3" "    -5.8" "     6.1" "    17.4" "    21.8" "    27.2" "    21.3" "    15.6" "    10.8" "     1.9" "    -9.9" "     6.8" "   -10.0" "     5.9" "    23.4" "     9.4"
"1976" "   -13.4" "    -6.6" "    -4.4" "    11.2" "    18.6" "    23.7" "    26.1" "    25.4" "    19.5" "     8.1" "    -1.8" "   -14.9" "     7.6" "   -10.0" "     8.5" "    25.1" "     8.6"
"1977" "   -16.2" "    -6.6" "     1.8" "    13.9" "    22.8" "    21.7" "    23.8" "    19.4" "    16.2" "    13.0" " NA" "   -14.8" " NA" "   -12.6" "    12.8" "    21.6" " NA"
"1978" "   -17.9" "   -11.9" "    -3.1" "     7.1" "    20.7" "    21.4" "    23.9" "    22.5" "    18.3" "    10.6" "    -1.9" "   -12.1" "     6.5" "   -14.9" "     8.2" "    22.6" "     9.0"
"1979" "   -17.6" "   -16.6" "    -5.2" "     3.6" "    11.0" "    21.8" "    27.3" "    21.9" "    17.2" "     8.1" "    -2.2" "    -6.9" "     5.2" "   -15.4" "     3.1" "    23.7" "     7.7"
