" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1932" "   -19.1" "   -23.6" "   -19.1" "    -5.3" "     5.9" "    11.9" "    18.3" "    20.7" "    11.5" "    -0.1" "    -9.4" "   -21.0" "    -2.4" " NA" "    -6.2" "    17.0" "     0.7"
"1933" "   -25.4" "   -24.9" "   -14.6" "    -6.8" "     3.2" "     9.5" "    18.4" "    18.5" "    12.0" "    -0.2" "   -17.2" "   -28.5" "    -4.7" "   -23.8" "    -6.1" "    15.5" "    -1.8"
"1934" "   -22.7" "   -23.5" "   -17.9" "    -4.8" "     0.4" "     9.7" "    17.8" "    14.4" "     8.4" "     3.5" "    -8.2" "   -21.1" "    -3.7" "   -24.9" "    -7.4" "    14.0" "     1.2"
"1935" "   -31.6" "   -15.1" "   -17.7" "    -4.7" "     8.2" "     8.8" "    17.6" "    16.6" "    10.1" "    -1.5" "   -13.2" "   -17.4" "    -3.3" "   -22.6" "    -4.7" "    14.3" "    -1.5"
"1936" "   -27.8" "   -26.6" "   -14.5" "   -10.1" "    -0.4" "     9.1" "    19.3" "    16.1" "     9.3" " NA" "   -11.9" "   -20.7" " NA" "   -23.9" "    -8.3" "    14.8" " NA"
"1937" "   -26.5" "   -20.1" "   -13.8" "    -0.8" "     8.8" "    13.4" "    19.9" "    16.3" "    10.8" "     0.9" "   -10.6" "   -21.2" "    -1.9" "   -22.4" "    -1.9" "    16.5" "     0.4"
"1938" "   -20.1" "   -20.5" "   -13.0" "    -8.3" "     5.0" "    13.6" "    19.4" "    15.3" "    13.7" "     4.6" "   -10.3" "   -14.1" "    -1.2" "   -20.6" "    -5.4" "    16.1" "     2.7"
"1939" "   -24.0" "   -28.6" "   -20.4" "    -5.2" "     2.9" "     9.4" "    17.1" "    15.3" "     8.1" "    -2.4" "    -7.8" "   -11.7" "    -3.9" "   -22.2" "    -7.6" "    13.9" "    -0.7"
"1940" "   -16.5" "   -19.1" "   -14.3" "    -5.5" "     4.7" "    10.6" "    18.3" "    17.0" "    14.4" "     2.1" "   -13.5" "   -19.3" "    -1.8" "   -15.8" "    -5.0" "    15.3" "     1.0"
"1941" "   -22.9" "   -17.3" "   -13.9" "    -3.6" "     3.0" "    12.5" "    19.2" "    15.6" "     9.4" "     1.3" "    -9.0" "   -17.9" "    -2.0" "   -19.8" "    -4.8" "    15.8" "     0.6"
