" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1917" "   -12.4" "   -14.2" "     0.4" "     7.0" "    17.8" "    21.7" "    26.9" "    22.2" "    17.7" "     4.2" "     4.2" "   -12.1" "     7.0" " NA" "     8.4" "    23.6" "     8.7"
"1918" "   -14.2" "    -6.6" "     4.9" "    11.4" "    16.5" "    22.1" "    25.1" "    24.9" "    15.2" "    11.6" "     5.7" "    -0.9" "     9.6" "   -11.0" "    10.9" "    24.0" "    10.8"
"1919" "    -2.7" "    -6.6" "     0.9" "    10.2" "    21.0" "    24.9" "    25.9" "    23.8" "    17.9" "     7.5" "    -1.8" "   -10.8" "     9.2" "    -3.4" "    10.7" "    24.9" "     7.9"
"1920" "   -12.2" "    -7.0" "     2.3" "     4.9" "    18.3" "    22.1" "    23.9" "    24.4" "    19.6" "    15.6" "     0.9" "    -5.2" "     9.0" "   -10.0" "     8.5" "    23.5" "    12.0"
"1921" "    -6.2" "    -3.6" "     0.1" "    11.6" "    18.5" "    24.4" "    27.0" "    22.8" "    17.6" "    10.5" "    -5.2" "    -8.1" "     9.1" "    -5.0" "    10.1" "    24.7" "     7.6"
"1922" "   -11.4" "   -10.8" "    -0.8" "     7.4" "    18.9" "    20.9" "    21.8" "    22.3" "    17.9" "     9.5" "     1.3" "   -11.4" "     7.1" "   -10.1" "     8.5" "    21.7" "     9.6"
"1923" "   -10.7" "   -12.5" "    -8.2" "     6.4" "    17.5" "    24.1" "    25.2" "    19.3" "    17.1" "     9.4" "     4.2" "    -3.3" "     7.4" "   -11.5" "     5.2" "    22.9" "    10.2"
"1924" "   -15.4" "    -6.2" "    -1.6" "     6.0" "    11.3" "    18.6" "    22.7" "    20.3" "    15.1" "    15.0" "    -1.8" "   -14.8" "     5.8" "    -8.3" "     5.2" "    20.5" "     9.4"
"1925" "   -11.9" "    -8.6" "    -1.0" "    11.0" "    15.4" "    19.5" "    22.7" "    23.3" "    16.9" "     3.2" "     0.0" "    -9.2" "     6.8" "   -11.8" "     8.5" "    21.8" "     6.7"
"1926" "    -8.5" "    -6.3" "    -3.7" "     7.5" "    18.1" "    18.6" "    23.9" "    21.9" "    13.5" "     7.4" "    -5.1" "   -10.2" "     6.4" "    -8.0" "     7.3" "    21.5" "     5.3"
