" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1945" " NA" " NA" " NA" " NA" " NA" " NA" "    22.7" "    24.2" "    18.1" "    11.4" "     3.8" "    -4.3" " NA" " NA" " NA" " NA" "    11.1"
"1946" "    -4.2" "    -6.3" "     7.6" "     8.4" "    14.5" "    20.2" "    23.4" "    22.0" "    19.6" "    15.2" "     5.5" "    -2.5" "    10.3" "    -4.9" "    10.2" "    21.9" "    13.4"
"1947" "    -2.9" "    -6.0" "     0.2" "     4.6" "    10.8" "    20.2" "    23.7" "    27.5" "    19.3" "    18.5" "     3.2" "    -2.4" "     9.7" "    -3.8" "     5.2" "    23.8" "    13.7"
"1948" "    -7.2" "    -5.3" "    -0.1" "     9.8" "    14.6" "    20.4" "    24.8" "    23.5" "    21.2" "    11.8" "     5.3" "     0.4" "     9.9" "    -5.0" "     8.1" "    22.9" "    12.8"
"1949" "    -3.5" "    -3.2" "    -0.6" "     9.5" "    15.8" "    22.4" "    24.1" "    23.9" "    16.9" "    14.7" "     2.4" "    -4.6" "     9.8" "    -2.1" "     8.2" "    23.5" "    11.3"
"1950" "    -3.5" "    -4.4" "    -2.6" "    -1.9" "    12.7" "    20.0" "    23.1" "    20.4" "    17.7" "    13.1" "     3.4" "    -3.8" "     7.9" "    -4.2" "     2.7" "    21.2" "    11.4"
"1951" "    -5.1" "    -4.4" "     0.2" "     9.3" "    17.7" "    20.3" "    23.0" "    19.3" "    14.9" "     9.9" " NA" "    -7.3" " NA" "    -4.4" "     9.1" "    20.9" " NA"
"1952" "    -3.5" "    -2.4" "    -0.9" "    11.1" "    15.0" "    21.0" "    24.1" "    22.8" "    19.5" "     9.3" "     4.9" "     0.8" "    10.1" "    -4.4" "     8.4" "    22.6" "    11.2"
"1953" "    -4.0" "    -3.2" "     1.0" "     7.0" "    17.4" "    20.6" "    23.5" "    23.9" "    17.4" "    15.0" "     6.9" "     0.6" "    10.5" "    -2.1" "     8.5" "    22.7" "    13.1"
"1954" "    -6.8" "    -0.4" "    -1.5" "     6.8" "    12.6" "    21.0" "    22.0" "    21.8" "    16.8" "    10.9" "     4.8" "    -2.6" "     8.8" "    -2.2" "     6.0" "    21.6" "    10.8"
"1955" "    -5.1" "    -4.8" "     1.0" "    12.5" " NA" " NA" "    27.7" "    26.6" "    18.0" "    13.3" "     1.7" "    -4.9" " NA" "    -4.2" " NA" " NA" "    11.0"
"1956" "    -4.6" "    -3.5" "    -1.3" "     4.8" "    12.5" "    21.8" "    21.2" "    21.2" "    15.0" " NA" "     3.8" "    -2.7" " NA" "    -4.3" "     5.3" "    21.4" " NA"
"1957" " NA" " NA" " NA" " NA" " NA" " NA" "    24.0" "    22.8" "    18.0" "    12.7" "     5.1" "    -0.1" " NA" " NA" " NA" " NA" "    11.9"
"1958" "    -4.0" "    -7.4" "     3.3" "    11.3" "    13.4" "    18.3" "    22.0" "    23.2" "    18.7" "    12.0" "     5.2" "    -6.8" "     9.1" "    -3.8" "     9.3" "    21.2" "    12.0"
"1959" "    -6.4" "    -6.8" "     0.4" "     6.9" "    16.1" "    22.3" "    25.0" "    24.8" "    19.0" "     9.4" " NA" " NA" " NA" "    -6.7" "     7.8" "    24.0" " NA"
