" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1950" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     4.8" "    -1.7" " NA" " NA" " NA" " NA" " NA"
"1951" "    -2.8" "    -1.9" "     2.8" "    12.2" "    20.9" "    23.7" "    26.5" "    24.6" "    22.2" "    16.6" "     4.9" "     0.2" "    12.5" "    -2.1" "    12.0" "    24.9" "    14.6"
"1952" "    -0.7" "    -0.1" "     2.4" "    15.3" "    18.0" "    25.4" "    28.9" "    25.7" "    22.7" "    13.1" "     9.1" "     2.0" "    13.5" "    -0.2" "    11.9" "    26.7" "    15.0"
"1953" "    -0.3" "    -0.8" " NA" "    11.6" "    19.0" "    23.6" "    25.9" "    25.0" "    20.9" "    16.0" "     8.5" "     1.9" " NA" "     0.3" " NA" "    24.8" "    15.1"
"1954" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    22.8" "    17.7" "    14.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1955" "    -6.9" "    -4.5" "     1.7" "    13.6" "    22.5" "    26.0" "    30.7" "    28.5" "    19.9" "    13.8" "     6.3" "    -4.5" "    12.3" " NA" "    12.6" "    28.4" "    13.3"
"1956" "    -3.7" "    -2.1" "     0.8" "     9.7" "    17.8" "    23.1" "    23.8" "    24.2" "    18.2" "    16.1" "     6.5" "    -1.5" "    11.1" "    -3.4" "     9.4" "    23.7" "    13.6"
"1957" "    -7.7" "    -1.7" "     3.6" "    12.5" "    17.3" "    24.4" "    25.0" "    24.0" "    21.1" "    13.9" "     6.5" "     2.0" "    11.7" "    -3.6" "    11.1" "    24.5" "    13.8"
"1958" "    -3.3" "    -6.9" "     3.1" "    13.0" " NA" "    20.6" "    25.1" "    24.8" "    19.2" " NA" " NA" "    -5.9" " NA" "    -2.7" " NA" "    23.5" " NA"
"1959" "    -4.7" "    -5.0" "     1.7" "    12.1" "    20.5" "    23.1" "    27.8" "    26.7" "    22.2" "    12.4" "     5.4" "    -1.6" "    11.7" "    -5.2" "    11.4" "    25.9" "    13.3"
"1960" "    -5.0" "    -1.6" "    -1.5" "    10.6" "    21.2" "    23.8" "    25.4" "    26.7" "    20.9" "    12.9" "     8.5" "    -2.2" "    11.6" "    -2.7" "    10.1" "    25.3" "    14.1"
"1961" "    -8.3" "    -2.3" "     1.6" "     8.8" "    17.2" "    22.5" "    25.7" "    24.7" "    24.2" "    15.6" "     6.7" "    -1.2" "    11.3" "    -4.3" "     9.2" "    24.3" "    15.5"
"1962" "    -5.1" "    -5.6" "     3.3" "    10.4" "    20.5" "    24.3" "    24.3" "    24.6" "    18.6" "    12.5" "     4.3" "    -3.0" "    10.8" "    -4.0" "    11.4" "    24.4" "    11.8"
"1963" "    -5.4" "    -7.7" "     1.2" "    12.3" "    17.7" "    25.2" "    27.0" "    23.0" "    18.2" "    18.3" "     8.9" "    -7.3" "    11.0" "    -5.4" "    10.4" "    25.1" "    15.1"
"1964" "    -1.6" "    -3.0" "     3.2" "    11.4" "    20.8" "    24.2" " NA" " NA" "    20.4" "    13.4" "     5.8" "    -0.8" " NA" "    -4.0" "    11.8" " NA" "    13.2"
"1965" "    -4.9" "    -3.2" "     1.1" "     9.8" "    20.5" "    24.4" "    25.5" "    24.1" "    20.4" "    12.6" "     3.8" "     0.4" "    11.2" "    -3.0" "    10.5" "    24.7" "    12.3"
"1966" "    -6.5" "    -3.9" "     2.9" "    10.5" "    16.8" "    24.5" "    27.0" "    24.4" "    19.0" "    13.5" "     8.4" "    -1.9" "    11.2" "    -3.3" "    10.1" "    25.3" "    13.6"
"1967" "    -1.0" "    -6.9" "     0.0" "    10.3" "    14.4" "    25.3" "    26.2" "    24.9" "    21.4" "    13.5" "     3.7" "     0.1" "    11.0" "    -3.3" "     8.2" "    25.5" "    12.9"
"1968" "    -8.9" "    -6.6" "     3.9" "    14.8" "    17.3" "    21.4" "    26.3" "    23.5" "    22.6" "    15.3" "     3.4" "    -4.8" "    10.7" "    -5.1" "    12.0" "    23.7" "    13.8"
"1969" "    -4.6" "    -2.9" "     0.5" "    10.6" "    16.6" "    23.0" "    26.2" "    26.3" "    19.6" "    13.1" "     5.9" "    -4.3" "    10.8" "    -4.1" "     9.2" "    25.2" "    12.9"
"1970" "    -9.3" "    -4.3" "     1.0" "    11.3" "    17.7" "    23.3" "    26.4" "    25.7" "    19.9" "    15.1" "     7.1" "    -6.6" "    10.6" "    -6.0" "    10.0" "    25.1" "    14.0"
"1971" "    -7.8" "    -3.1" "     0.0" "     7.9" "    18.6" "    24.3" "    25.4" "    24.7" "    22.2" "    17.0" "     4.6" "    -1.3" "    11.0" "    -5.8" "     8.8" "    24.8" "    14.6"
