" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1913" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     4.7" "    -3.8" " NA" " NA" " NA" " NA" " NA"
"1914" "   -10.9" "   -11.8" "     0.9" "     5.0" "    17.9" "    19.4" "    24.7" "    21.3" "    15.8" " NA" "     0.0" "    -6.1" " NA" "    -8.8" "     7.9" "    21.8" " NA"
"1915" "    -6.1" "    -3.8" "    -0.2" "     7.8" "    12.6" "    21.6" "    23.3" "    21.6" "    16.4" "    10.9" "     1.6" "    -3.0" "     8.6" "    -5.3" "     6.7" "    22.2" "     9.6"
"1916" "    -7.8" "    -8.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -6.4" " NA" " NA" " NA"
"1917" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1918" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    15.5" "    10.0" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1919" " NA" " NA" " NA" " NA" " NA" " NA" "    23.6" "    22.9" "    16.9" "     7.3" "     1.3" "    -9.7" " NA" " NA" " NA" " NA" "     8.5"
"1920" "   -13.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -5.6" " NA" " NA" " NA" " NA" " NA"
"1921" "    -9.1" "    -8.9" "     0.4" "     8.2" "    19.1" "    20.6" "    27.5" "    20.6" "    16.8" "     8.1" "    -0.4" "    -8.0" "     7.9" "    -7.9" "     9.2" "    22.9" "     8.2"
"1922" "   -10.6" "    -9.3" "     0.9" "     7.7" "    15.4" "    20.9" "    24.2" "    23.0" "    16.9" "     9.1" "     0.6" "   -10.1" "     7.4" "    -9.3" "     8.0" "    22.7" "     8.9"
"1923" "   -11.4" "   -13.3" "    -6.7" "     3.2" "    14.1" "    20.9" "    22.6" "    19.6" "    18.0" "    12.5" "     3.8" "    -1.3" "     6.8" "   -11.6" "     3.5" "    21.0" "    11.4"
"1924" "   -11.5" "   -10.4" "     1.4" "     5.6" "    13.2" "    20.6" "    23.7" "    22.3" "    17.7" "    12.1" "     2.4" "    -9.0" "     7.3" "    -7.7" "     6.7" "    22.2" "    10.7"
"1925" "   -15.1" "    -5.4" "     1.0" "     4.9" "    13.1" "    21.8" "    23.0" "    23.0" "    14.8" "     4.4" "     0.1" "    -6.8" "     6.6" "    -9.8" "     6.3" "    22.6" "     6.4"
"1926" "   -10.2" "    -7.6" "    -3.6" "     3.1" " NA" " NA" "    22.8" "    20.6" "    15.8" "     9.0" "     1.8" "    -8.3" " NA" "    -8.2" " NA" " NA" "     8.9"
"1927" "    -7.0" "    -5.6" "     0.3" "     5.3" "    11.3" "    18.7" "    25.0" "    21.4" "    16.5" "    11.1" "     2.5" "    -2.7" "     8.1" "    -7.0" "     5.6" "    21.7" "    10.0"
"1928" "    -9.1" "    -8.3" "    -2.0" "     5.2" "    16.6" "    19.6" "    23.4" "    23.2" "    16.4" "     8.3" "    -1.2" "    -2.6" "     7.5" "    -6.7" "     6.6" "    22.1" "     7.8"
"1929" "    -8.4" "    -6.7" "    -1.8" "     4.6" "    13.3" "    20.7" "    23.5" "    21.2" "    16.4" "    10.1" "     0.6" "    -8.7" "     7.1" "    -5.9" "     5.4" "    21.8" "     9.0"
"1930" "    -9.6" "    -7.0" "    -0.8" "     5.3" "    15.5" "    24.0" "    23.6" "    21.1" "    16.3" "    11.9" "     3.5" "    -5.4" "     8.2" "    -8.4" "     6.7" "    22.9" "    10.6"
"1931" "    -9.8" "    -5.3" "     4.4" "    10.3" "    16.1" "    21.6" "    25.9" "    21.9" "    15.6" "    11.9" "     6.0" "    -4.6" "     9.5" "    -6.8" "    10.3" "    23.1" "    11.2"
"1932" "    -5.4" "    -9.0" "    -2.0" "     6.9" "    16.2" "    21.5" "    22.0" "    23.0" "    18.5" "    10.9" "     0.1" "    -4.2" "     8.2" "    -6.3" "     7.0" "    22.2" "     9.8"
"1933" "    -5.3" "    -5.1" "    -2.6" "     6.6" "    14.3" "    20.0" "    23.5" "    22.2" "    16.2" "     9.4" "    -3.4" "   -11.3" "     7.0" "    -4.9" "     6.1" "    21.9" "     7.4"
"1934" "    -8.7" "   -11.6" "    -2.2" "     6.8" "    13.8" "    20.1" "    23.9" "    21.6" "    20.5" "     8.7" "     2.2" "    -8.5" "     7.2" "   -10.5" "     6.1" "    21.9" "    10.5"
"1935" "   -11.3" "    -8.1" "    -2.1" "     6.9" "    13.8" "    24.8" "    24.8" "    24.6" "    15.1" "    10.1" "     2.1" "    -6.2" "     7.9" "    -9.3" "     6.2" "    24.7" "     9.1"
"1936" "    -7.0" "    -8.3" "     3.5" "     5.8" "    12.5" "    21.5" "    21.5" "    20.9" "    16.6" "     8.5" "    -1.8" "    -4.2" "     7.5" "    -7.2" "     7.3" "    21.3" "     7.8"
"1937" "    -6.8" "    -3.2" "    -2.4" "     9.4" "    18.5" "    20.8" "    25.8" "    24.8" "    18.4" "    10.5" "     1.5" "    -6.7" "     9.2" "    -4.7" "     8.5" "    23.8" "    10.1"
"1938" "    -7.7" "    -7.9" "    -0.5" "     6.4" "    15.1" "    24.1" "    23.9" "    22.6" "    15.4" "    11.7" "     2.5" "    -3.5" "     8.5" "    -7.4" "     7.0" "    23.5" "     9.9"
