"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1914" "   -13.6" "   -17.0" "    -1.6" "     3.3" "    15.6" "    17.9" "    23.2" "    19.9" "    16.7" "    10.6" "    -1.6" "   -10.8" "     5.2" " NA" "     5.8" "    20.3" "     8.6"
"1915" "    -9.7" "    -7.2" "    -1.6" "     9.1" "    11.8" "    19.6" "    22.4" "    21.1" "    17.0" "    10.5" "     1.8" "    -7.7" "     7.3" "    -9.2" "     6.4" "    21.0" "     9.8"
"1916" "   -11.1" "   -13.4" "    -8.0" "     7.5" "    12.4" "    18.6" "    24.8" " NA" " NA" "     7.5" "    -1.7" "   -10.0" " NA" "   -10.7" "     4.0" " NA" " NA"
"1917" "   -18.3" "   -15.7" "    -2.8" "     3.7" "    10.1" "    17.2" "    22.5" "    22.0" "    15.0" "     6.5" "    -2.7" "   -15.9" "     3.5" "   -14.7" "     3.7" "    20.6" "     6.3"
"1918" "   -17.3" "   -14.4" "    -5.1" "     5.9" "    12.9" "    16.2" "    22.0" "    20.6" "    12.6" "     8.7" "     1.1" "   -10.4" "     4.4" "   -15.9" "     4.6" "    19.6" "     7.5"
"1919" "   -12.4" "    -9.8" "    -3.3" "     3.5" "    13.6" "    21.9" "    22.6" "    20.3" "    14.2" "     6.7" "    -0.4" "   -12.5" "     5.4" "   -10.9" "     4.6" "    21.6" "     6.8"
"1920" "   -17.3" "   -10.0" "    -0.8" "     4.5" "    16.1" "    21.1" "    19.7" "    22.5" "    18.0" "    11.4" "    -2.8" "    -9.6" "     6.1" "   -13.3" "     6.6" "    21.1" "     8.9"
"1921" "   -10.7" "   -12.4" "    -1.5" "     6.5" "    17.2" "    20.4" "    24.7" "    19.7" "    16.6" "     6.3" "    -2.6" "    -9.6" "     6.2" "   -10.9" "     7.4" "    21.6" "     6.8"
"1922" "   -14.6" "   -11.7" "    -0.7" "     6.5" "    15.8" "    19.7" "    22.4" "    20.1" "    15.7" "     7.2" "    -0.1" "   -11.8" "     5.7" "   -12.0" "     7.2" "    20.7" "     7.6"
"1923" "   -15.8" "   -16.1" "    -9.9" "     3.3" "    12.4" "    19.1" "    21.0" " NA" "    16.3" "    10.4" "     1.0" "    -3.5" " NA" "   -14.6" "     1.9" " NA" "     9.2"
"1924" "   -14.5" "   -14.3" "    -0.1" "     4.6" "     9.9" "    18.1" "    21.8" " NA" "    15.4" "     9.9" "     1.7" "   -13.8" " NA" "   -10.8" "     4.8" " NA" "     9.0"
"1925" "   -18.6" "    -8.3" "    -1.0" "     4.2" "    11.0" "    19.0" "    21.5" "    22.7" "    13.8" "     5.2" "    -2.8" " NA" " NA" "   -13.6" "     4.7" "    21.1" "     5.4"
"1926" "   -13.6" "   -10.4" "    -3.8" "     0.8" "    10.0" "    18.5" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     2.3" " NA" " NA"
"1927" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1928" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1930" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1931" " NA" " NA" "     0.8" "     8.0" "    14.9" "    20.3" "    23.6" "    21.1" "    15.6" "    10.9" "     4.4" "    -5.7" " NA" " NA" "     7.9" "    21.7" "    10.3"
"1932" "    -7.7" "   -12.9" "    -4.8" "     2.5" "    14.7" "    19.6" "    20.2" "    21.9" "    16.8" "     7.9" "    -3.9" "    -7.3" "     5.6" "    -8.8" "     4.1" "    20.6" "     6.9"
"1933" "    -7.6" "   -10.9" "    -5.7" "     4.8" "    13.8" "    21.3" "    22.7" "    22.7" "    15.4" "     7.3" "    -7.6" "   -14.1" "     5.2" "    -8.6" "     4.3" "    22.2" "     5.0"
"1934" "   -11.7" "   -14.2" "    -2.9" "     7.3" "    13.2" "    15.3" "    21.7" " NA" "    16.6" "     7.6" "     2.0" "   -13.1" " NA" "   -13.3" "     5.9" " NA" "     8.7"
"1935" "   -15.6" "   -12.5" "    -3.1" "     6.1" "    12.4" "    20.9" "    22.0" "    21.5" "    15.8" "    10.2" "     1.2" "    -9.7" "     5.8" "   -13.7" "     5.1" "    21.5" "     9.1"
"1936" "   -17.8" "   -15.1" "    -0.9" "     4.3" "     8.8" "    19.9" "    20.5" "    17.3" "    11.9" "     1.5" "    -7.0" "   -11.9" "     2.6" "   -14.2" "     4.1" "    19.2" "     2.1"
"1937" "   -15.0" "   -10.2" "    -9.8" "     2.3" "    13.1" " NA" "    20.0" "    20.3" "    12.1" " NA" " NA" "   -13.0" " NA" "   -12.4" "     1.9" " NA" " NA"
"1938" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1939" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    23.0" "    15.2" "     8.2" "    -0.9" "    -7.7" " NA" " NA" " NA" " NA" "     7.5"
"1940" "   -11.8" "   -10.2" "    -3.2" "     4.5" "    12.4" "    18.2" "    23.1" "    22.3" "    16.4" "     8.6" "    -1.0" "   -10.3" "     5.8" "    -9.9" "     4.6" "    21.2" "     8.0"
"1941" "   -15.5" "    -7.7" "    -3.0" "     6.8" "    16.0" "    20.8" "    25.2" "    19.6" "    17.4" "     8.3" "     0.7" "    -7.7" "     6.7" "   -11.2" "     6.6" "    21.9" "     8.8"
"1942" "   -13.6" "    -8.7" "    -0.1" "     7.8" "    17.2" "    22.7" "    22.1" "    21.7" "    17.3" "    11.5" "     1.8" "   -11.5" "     7.4" "   -10.0" "     8.3" "    22.2" "    10.2"
"1943" "   -15.8" "    -7.5" "    -4.4" "     3.0" "    13.4" "    19.2" "    23.7" "    20.8" "    17.1" "    10.6" "     0.8" "   -10.2" "     5.9" "   -11.6" "     4.0" "    21.2" "     9.5"
"1944" "    -8.2" "    -9.7" "    -3.5" "     4.2" "    16.2" "    20.4" "    22.6" "    23.8" "    17.7" "     8.6" "     2.2" "    -9.2" "     7.1" "    -9.4" "     5.6" "    22.3" "     9.5"
"1945" "   -15.8" "    -8.9" "     0.9" "     8.5" "    13.8" "    19.3" "    24.0" "    23.1" "    17.6" "     7.8" "    -0.9" "    -9.1" "     6.7" "   -11.3" "     7.7" "    22.1" "     8.2"
"1946" "   -12.0" "   -14.0" " NA" "     3.9" "    13.6" "    20.0" "    22.2" "    21.4" "    19.2" "    12.5" "    -0.5" "    -9.3" " NA" "   -11.7" " NA" "    21.2" "    10.4"
"1947" "   -12.2" "    -9.1" "    -0.3" "     1.3" "    11.0" "    19.6" "    23.9" "    24.4" "    16.2" "    13.9" "     0.6" "   -11.7" "     6.5" "   -10.2" "     4.0" "    22.6" "    10.2"
"1948" "   -15.9" "   -13.6" "    -3.8" "     5.7" "    15.2" "    18.7" "    20.5" "    21.5" "    18.2" "    10.3" "     4.2" "    -6.1" "     6.2" "   -13.7" "     5.7" "    20.2" "    10.9"
"1949" "   -13.6" "   -11.9" "    -4.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -10.5" " NA" " NA" " NA"
"1950" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    21.6" "    16.0" "     9.8" "     2.6" "    -6.8" " NA" " NA" " NA" " NA" "     9.5"
