" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1902" " NA" " NA" " NA" "     6.0" "    11.5" "    11.9" "    15.1" "    14.5" "    10.1" "     7.0" "    -2.6" "    -9.2" " NA" " NA" " NA" "    13.8" "     4.8"
"1903" "    -8.5" "    -9.0" "    -5.2" "     5.4" "    10.4" "    15.4" "    14.7" "    14.5" "     8.8" "     5.8" "    -2.9" "    -4.3" "     3.8" "    -8.9" "     3.5" "    14.9" "     3.9"
"1904" "    -8.4" " NA" " NA" "     7.5" "    10.6" "    12.8" "    16.4" "    14.6" "    10.2" "     6.4" "     2.4" "    -4.2" " NA" " NA" " NA" "    14.6" "     6.3"
"1905" "    -9.1" "   -12.6" "     4.2" "     6.5" "    10.1" "    13.1" "    16.7" " NA" "    10.9" "     2.4" "    -1.2" "    -3.9" " NA" "    -8.6" "     6.9" " NA" "     4.0"
"1906" "    -7.5" "    -3.1" "    -1.1" "     8.4" "    10.9" "    12.6" "    18.7" "    14.7" "    10.5" " NA" "    -3.4" "    -7.2" " NA" "    -4.8" "     6.1" "    15.3" " NA"
"1907" "   -24.2" "    -6.2" "    -2.4" "     3.4" "     9.4" "    12.5" "    14.8" "    12.7" "     9.8" "     6.7" "     0.3" "    -6.2" "     2.6" "   -12.5" "     3.5" "    13.3" "     5.6"
"1908" "    -9.0" "    -9.1" "    -1.4" "     5.5" "    10.7" "    13.2" "    15.9" "    14.4" "    10.6" "     4.5" "     1.1" "    -9.7" "     3.9" "    -8.1" "     4.9" "    14.5" "     5.4"
"1909" "   -17.4" "    -6.4" "     0.1" "     3.1" "     8.9" "    13.1" "    15.0" "    13.6" "    11.4" "     4.9" "    -2.2" "   -13.8" "     2.5" "   -11.2" "     4.0" "    13.9" "     4.7"
"1910" "   -11.4" "   -14.7" "     2.0" "     6.9" "    10.4" "    12.2" "    15.2" "    12.8" "    10.0" "     5.9" "    -1.4" "    -4.6" "     3.6" "   -13.3" "     6.4" "    13.4" "     4.8"
"1911" "   -16.1" "   -10.5" "     0.7" "     4.0" "     9.3" "    13.3" "    14.6" "    13.0" "     9.6" "     3.7" "    -9.1" "    -9.1" "     2.0" "   -10.4" "     4.7" "    13.6" "     1.4"
"1912" "   -14.8" "    -4.2" "    -3.5" "     7.0" "    10.9" "    15.7" " NA" "    13.2" "     8.7" "     3.5" "    -0.8" "    -5.7" " NA" "    -9.4" "     4.8" " NA" "     3.8"
"1913" "   -14.1" "   -11.2" "    -4.5" "     5.3" "    10.0" "    14.1" "    15.0" "    14.9" "     9.1" "     3.2" "    -0.8" "    -6.4" "     2.9" "   -10.3" "     3.6" "    14.7" "     3.8"
"1914" "    -6.1" "    -6.6" "    -0.3" "     7.2" "    10.2" "    13.1" "    16.5" "    14.5" "    10.2" "     6.5" "    -0.6" "   -13.8" "     4.2" "    -6.4" "     5.7" "    14.7" "     5.4"
"1915" "   -10.5" "    -2.2" " NA" " NA" "    12.1" "    13.1" "    14.9" "    16.5" "     9.2" "     5.6" " NA" " NA" " NA" "    -8.8" " NA" "    14.8" " NA"
"1916" "   -24.4" "    -9.4" "     0.1" "     6.7" "     8.3" " NA" "    14.2" "    14.5" "    10.3" "     4.6" "    -6.1" "   -16.4" " NA" " NA" "     5.0" " NA" "     2.9"
"1917" " NA" " NA" "    -3.5" "     4.8" "    10.6" "    12.0" "    16.5" "    15.5" "    11.3" "     5.4" "     1.2" "    -9.7" " NA" " NA" "     4.0" "    14.7" "     6.0"
"1918" "    -9.1" "    -8.2" "    -1.0" "     6.9" "     9.9" "    14.1" "    16.8" "    14.2" "    12.8" "     6.9" "    -1.5" "    -7.3" "     4.5" "    -9.0" "     5.3" "    15.0" "     6.1"
"1919" "    -8.1" "   -11.1" "    -3.6" "     6.6" "    10.4" " NA" " NA" "    15.7" "    10.5" "     2.5" "    -6.5" "   -12.4" " NA" "    -8.8" "     4.5" " NA" "     2.2"
"1920" "   -12.9" "    -7.1" "    -2.9" "     4.0" "     9.4" "    12.9" "    18.2" "    15.0" "    10.5" "     4.0" "    -1.0" "    -6.1" "     3.7" "   -10.8" "     3.5" "    15.4" "     4.5"
"1921" "    -8.7" "    -5.3" "    -1.3" "     5.4" "    10.0" "    14.1" "    15.5" "    14.3" "     7.8" "     5.8" "    -3.5" "   -15.1" "     3.3" "    -6.7" "     4.7" "    14.6" "     3.4"
"1922" "   -15.9" "   -15.2" "    -1.9" "     5.4" "     9.5" "    14.4" "    16.4" "    15.7" "    11.3" "     6.0" "    -3.1" "   -13.3" "     2.4" "   -15.4" "     4.3" "    15.5" "     4.7"
"1923" "    -8.8" "   -10.4" "    -0.7" "     6.0" "    10.5" "    14.0" "    16.6" "    15.0" "    10.8" "     5.0" "    -1.6" "    -7.4" "     4.1" "   -10.8" "     5.3" "    15.2" "     4.7"
"1924" "   -11.8" "    -0.7" "     0.7" "     4.5" "    11.5" "    14.6" "    18.5" "    16.3" "    13.4" "     8.7" "    -3.1" "   -17.0" "     4.6" "    -6.6" "     5.6" "    16.5" "     6.3"
"1925" "   -11.4" "    -1.6" "     0.3" "     7.1" "    11.6" "    15.5" "    17.6" "    14.1" "    10.1" "     3.6" "    -1.0" "    -0.9" "     5.4" "   -10.0" "     6.3" "    15.7" "     4.2"
"1926" "    -6.5" "    -1.3" "     2.5" "     7.8" "    10.4" "    14.3" "    17.2" "    14.0" "     6.7" "     5.8" "    -0.6" "   -10.2" "     5.0" "    -2.9" "     6.9" "    15.2" "     4.0"
"1927" "   -10.8" "    -7.2" "    -0.6" "     4.9" "     9.2" "    14.2" "    15.5" "    15.2" "    10.1" "     6.1" "    -4.3" "   -17.5" "     2.9" "    -9.4" "     4.5" "    15.0" "     4.0"
"1928" "   -10.6" "    -4.9" "     1.2" "     4.7" "    11.7" "    14.2" "    17.5" "    14.7" " NA" "     4.0" "    -1.0" "    -9.1" " NA" "   -11.0" "     5.9" "    15.5" " NA"
"1929" "   -16.7" "   -13.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.3" " NA" "   -13.0" " NA" " NA" " NA"
"1930" "   -26.0" "    -5.4" "    -2.9" "     7.6" "     9.2" "    13.2" "    17.2" "    15.5" "    10.3" "     3.4" "    -1.7" "    -5.1" "     2.9" "   -14.2" "     4.6" "    15.3" "     4.0"
"1931" "    -3.8" "    -5.1" "     1.5" "     5.2" "    10.3" "    12.5" "    15.2" "    13.8" "     7.9" "     4.8" "    -8.4" "    -9.0" "     3.7" "    -4.7" "     5.7" "    13.8" "     1.4"
"1932" "   -13.8" "    -9.2" "    -2.4" "     5.9" "     9.5" "    14.2" "    14.0" "    14.7" "    10.3" "     3.8" "    -1.7" "   -11.1" "     2.9" "   -10.7" "     4.3" "    14.3" "     4.1"
"1933" "    -6.8" "   -11.3" "    -1.0" "     4.2" "     8.9" "    13.2" "    15.8" "    15.4" "     9.0" "     4.8" "     2.7" "    -9.1" "     3.8" "    -9.7" "     4.0" "    14.8" "     5.5"
"1934" "    -6.6" "    -8.0" "     0.1" "     8.4" "    11.8" "    13.3" "    16.7" "    15.0" "    10.9" "     6.1" "     2.6" "    -5.5" "     5.4" "    -7.9" "     6.8" "    15.0" "     6.5"
"1935" "   -11.7" "    -4.9" "    -1.8" "     1.9" "     8.5" "    12.7" "    14.5" "    14.3" "    11.7" "     5.5" "    -4.7" "    -2.5" "     3.6" "    -7.4" "     2.9" "    13.8" "     4.2"
"1936" "    -8.1" "   -20.7" "    -0.9" "     5.7" "    12.6" "    14.5" "    17.5" "    16.0" "     9.7" "     7.6" "    -3.9" "    -7.8" "     3.5" "   -10.4" "     5.8" "    16.0" "     4.5"
"1937" "   -23.1" "   -11.4" "     1.9" "     4.7" "    10.7" "    14.6" "    16.6" "    13.5" "    12.9" "     7.4" "    -1.5" "    -5.8" "     3.4" "   -14.1" "     5.8" "    14.9" "     6.3"
"1938" "    -7.8" "    -8.8" "     1.1" "     6.4" "    10.6" "    15.2" "    18.4" "    14.5" "    13.9" "     6.8" "    -3.1" "    -9.3" "     4.8" "    -7.5" "     6.0" "    16.0" "     5.9"
"1939" "    -4.4" "   -11.9" "    -1.7" "     6.5" "    10.5" "    13.3" "    16.4" "    16.1" "    11.2" "     5.2" "     0.6" "    -3.4" "     4.9" "    -8.5" "     5.1" "    15.3" "     5.7"
"1940" "   -11.4" "    -3.2" "     4.5" "     6.4" "    11.8" "    14.3" "    16.5" "    15.7" "    14.1" "     7.3" "    -7.7" "    -3.0" "     5.4" "    -6.0" "     7.6" "    15.5" "     4.6"
