" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1946" " NA" " NA" "   -23.5" "   -17.4" "    -7.4" "     0.6" "    10.2" "    10.8" "     0.5" "   -10.1" "   -21.3" "   -26.4" " NA" " NA" "   -16.1" "     7.2" "   -10.3"
"1947" "   -32.3" " NA" "   -23.3" "   -20.5" " NA" "     0.5" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1948" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1949" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -20.3" "   -29.3" " NA" " NA" " NA" " NA" " NA"
"1950" "   -40.8" "   -33.2" "   -26.6" "   -18.8" "    -7.3" "     0.4" "     7.7" "     8.2" "     4.1" "    -9.3" "   -20.3" "   -24.6" "   -13.4" "   -34.4" "   -17.6" "     5.4" "    -8.5"
"1951" " NA" "   -36.0" "   -27.1" "   -16.7" "    -4.4" "     4.2" "    10.6" "    10.6" "     1.8" "    -7.9" "   -20.6" "   -31.2" " NA" " NA" "   -16.1" "     8.5" "    -8.9"
"1952" "   -34.3" "   -32.7" "   -23.6" "   -11.2" "    -0.3" "     5.3" "     9.9" "     8.6" "     1.9" "   -10.8" "   -21.9" "   -23.8" "   -11.1" "   -32.7" "   -11.7" "     7.9" "   -10.3"
"1953" "   -35.9" "   -26.4" "   -24.6" "   -12.7" "    -5.8" "     3.3" "    10.0" "    11.3" "     2.7" "    -7.7" "   -16.3" "   -30.8" "   -11.1" "   -28.7" "   -14.4" "     8.2" "    -7.1"
"1954" "   -37.4" "   -30.6" "   -27.0" "   -19.1" "    -5.2" "     3.9" "    12.8" "    13.6" "     4.1" "    -5.9" "   -18.0" "   -28.4" "   -11.4" "   -32.9" "   -17.1" "    10.1" "    -6.6"
"1955" "   -31.9" "   -37.9" "   -29.7" "   -12.0" "    -5.4" "     6.1" "    11.4" "     9.3" "     2.1" "    -4.4" "   -19.0" "   -28.1" "   -11.6" "   -32.7" "   -15.7" "     8.9" "    -7.1"
"1956" "   -28.8" "   -32.9" "   -28.1" "   -18.9" "   -11.5" "     2.3" "    11.1" "     8.6" "     0.8" "   -11.6" "   -21.4" "   -33.3" "   -13.6" "   -29.9" "   -19.5" "     7.3" "   -10.7"
"1957" "   -36.8" "   -32.2" "   -23.6" "   -16.7" "    -7.7" "     1.5" "     9.4" "     8.9" "     4.0" "    -6.2" "   -20.7" "   -31.8" "   -12.7" "   -34.1" "   -16.0" "     6.6" "    -7.6"
