" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1957" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1958" " NA" " NA" " NA" " NA" " NA" "     1.7" " NA" " NA" "     1.0" "    -8.7" "   -25.2" " NA" " NA" " NA" " NA" " NA" "   -11.0"
"1959" "   -26.2" " NA" "   -30.7" " NA" "    -9.8" "     0.0" "     6.9" "     5.5" "    -0.7" "   -15.3" "   -20.5" "   -22.9" " NA" " NA" " NA" "     4.1" "   -12.2"
"1960" " NA" " NA" "   -31.3" "   -21.5" "    -4.4" "     4.4" "     9.5" "     7.7" "    -1.8" "    -9.5" "   -24.0" "   -26.6" " NA" " NA" "   -19.1" "     7.2" "   -11.8"
"1961" "   -34.7" "   -32.3" "   -37.9" "   -17.1" "   -12.0" "     1.0" "     9.0" "     3.4" "    -4.1" "   -16.6" "   -20.8" "   -26.6" "   -15.7" "   -31.2" "   -22.3" "     4.5" "   -13.8"
"1962" "   -37.6" "   -38.2" "   -21.4" "   -22.2" "   -12.3" "     2.9" "     9.5" "     5.9" "     0.2" "   -10.8" "   -24.8" "   -30.0" "   -14.9" "   -34.1" "   -18.6" "     6.1" "   -11.8"
"1963" "   -32.8" "   -29.1" "   -37.2" "   -16.1" "   -10.9" "     0.7" "     7.3" "     5.0" "    -4.2" "   -10.9" "   -17.6" "   -29.6" "   -14.6" "   -30.6" "   -21.4" "     4.3" "   -10.9"
"1964" "   -35.9" "   -36.3" "   -36.8" "   -23.5" "    -6.4" "     0.2" "     7.2" "     6.8" "    -1.3" "   -13.5" "   -19.7" "   -30.1" "   -15.8" "   -33.9" "   -22.2" "     4.7" "   -11.5"
"1965" "   -33.5" "   -36.7" "   -27.9" "   -16.9" "    -4.6" "     0.4" "     6.0" "     3.9" "    -3.4" "   -14.3" "   -18.0" "   -27.6" "   -14.4" "   -33.4" "   -16.5" "     3.4" "   -11.9"
"1966" "   -37.8" "   -34.0" "   -28.3" "   -22.1" "    -6.4" "     1.7" "     8.5" "     9.2" "     0.7" "   -11.6" "   -28.9" "   -26.9" "   -14.7" "   -33.1" "   -18.9" "     6.5" "   -13.3"
"1967" "   -34.3" "   -39.3" "   -33.4" "   -24.5" "    -7.4" "    -1.0" "     7.4" "     4.8" "    -3.3" "    -9.5" "   -28.2" "   -26.5" "   -16.3" "   -33.5" "   -21.8" "     3.7" "   -13.7"
"1968" "   -32.7" "   -34.4" "   -28.9" "   -21.0" "   -11.7" "     0.8" "     4.8" "     6.0" "     1.7" "    -6.5" "   -21.3" "   -28.3" "   -14.3" "   -31.2" "   -20.5" "     3.9" "    -8.7"
"1969" "   -31.3" "   -24.9" "   -31.7" "   -20.5" "   -11.3" "    -0.9" "    10.5" "     8.8" "    -1.3" "    -8.1" "   -24.4" "   -23.2" "   -13.2" "   -28.2" "   -21.2" "     6.1" "   -11.3"
"1970" "   -31.2" "   -33.8" "   -25.8" "   -19.6" "   -12.7" "     1.9" "     7.3" "     6.2" "    -1.1" "    -7.9" "   -22.5" "   -32.5" "   -14.3" "   -29.4" "   -19.4" "     5.1" "   -10.5"
"1971" "   -29.3" "   -30.4" "   -26.8" "   -19.7" "   -10.4" "     3.7" "     8.4" "     6.0" "    -0.4" "    -7.5" "   -24.9" "   -32.2" "   -13.6" "   -30.7" "   -19.0" "     6.0" "   -10.9"
"1972" "   -38.6" "   -39.0" "   -30.3" "   -21.2" "   -11.3" "    -3.6" "     4.1" "     3.8" "    -3.9" "   -18.0" "   -26.2" "   -34.2" "   -18.2" "   -36.6" "   -20.9" "     1.4" "   -16.0"
"1973" "   -34.3" "   -37.7" "   -30.5" "   -23.0" "    -7.6" "     4.2" "     9.3" "     8.1" "     0.4" "    -6.5" "   -18.7" "   -29.1" "   -13.8" "   -35.4" "   -20.4" "     7.2" "    -8.3"
