" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1937" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.9" "   -20.8" "   -30.7" " NA" " NA" " NA" " NA" " NA"
"1938" "   -31.8" "   -37.6" "   -29.4" "   -24.3" "    -7.5" "     1.0" "     6.8" " NA" "    -3.3" "   -10.7" "   -21.5" "   -26.5" " NA" "   -33.4" "   -20.4" " NA" "   -11.8"
"1939" "   -28.7" "   -39.0" "   -30.4" "   -17.5" "    -9.1" "     2.3" "     5.9" "     4.5" "    -1.6" "   -12.3" "   -21.4" "   -25.8" "   -14.4" "   -31.4" "   -19.0" "     4.2" "   -11.8"
"1940" "   -22.2" "   -28.5" "   -24.4" "   -18.6" "    -8.3" " NA" "     6.3" "     3.0" " NA" "   -11.3" "   -25.9" "   -30.0" " NA" "   -25.5" "   -17.1" " NA" " NA"
"1941" "   -28.8" "   -27.2" "   -31.6" "   -26.6" "   -12.9" "    -1.9" "     4.3" "     2.7" "    -5.9" "   -12.9" "   -28.1" "   -27.5" "   -16.4" "   -28.7" "   -23.7" "     1.7" "   -15.6"
"1942" "   -33.2" "   -37.6" "   -24.6" "   -20.9" "    -8.8" "    -0.8" "     3.4" "     1.4" "    -4.0" "   -11.1" "   -22.8" "   -27.2" "   -15.5" "   -32.8" "   -18.1" "     1.3" "   -12.6"
"1943" "   -31.5" "   -36.3" "   -32.6" "   -21.9" "   -10.0" "     1.8" "     5.0" "     4.7" "    -2.8" "   -10.3" "   -18.4" "   -28.8" "   -15.1" "   -31.7" "   -21.5" "     3.8" "   -10.5"
"1944" "   -30.2" "   -33.4" "   -30.6" "   -17.3" "   -11.3" "     0.1" "     3.7" "     2.5" "    -2.7" "   -11.9" "   -20.6" "   -27.0" "   -14.9" "   -30.8" "   -19.7" "     2.1" "   -11.7"
"1945" "   -25.2" "   -30.9" "   -23.8" "   -22.2" "   -10.8" "    -2.1" "     4.5" "     2.5" "    -5.4" "   -12.4" "   -22.0" "   -29.4" "   -14.8" "   -27.7" "   -18.9" "     1.6" "   -13.3"
"1946" "   -34.9" "   -31.5" "   -27.2" "   -23.4" "    -6.4" "    -2.1" "     2.2" "     3.5" "    -5.0" "   -12.0" "   -19.1" "   -26.1" "   -15.2" "   -31.9" "   -19.0" "     1.2" "   -12.0"
"1947" "   -28.2" "   -20.0" "   -21.9" "   -21.1" "   -10.0" "     0.3" "     4.6" "     3.7" "    -4.2" "   -10.9" "   -13.6" "   -24.0" "   -12.1" "   -24.8" "   -17.7" "     2.9" "    -9.6"
"1948" "   -28.4" "   -36.4" "   -31.5" "   -21.2" "    -8.4" "     1.5" "     6.4" " NA" "    -3.3" "   -11.6" "   -20.4" "   -31.2" " NA" "   -29.6" "   -20.4" " NA" "   -11.8"
"1949" "   -33.8" "   -37.7" "   -27.7" "   -22.8" "    -9.7" "     0.2" "     4.5" "     3.5" "    -4.2" "   -12.5" "   -23.3" "   -27.6" "   -15.9" "   -34.2" "   -20.1" "     2.7" "   -13.3"
"1950" "   -37.3" "   -33.7" "   -25.3" "   -23.7" "    -8.0" "     0.7" "     4.3" "     3.6" "    -4.6" "   -13.4" "   -22.4" "   -23.8" "   -15.3" "   -32.9" "   -19.0" "     2.9" "   -13.5"
"1951" "   -30.8" "   -35.7" "   -25.1" "   -18.5" "    -8.8" "     1.4" "     4.1" "     2.4" "    -2.2" "   -12.1" "   -23.4" "   -31.3" "   -15.0" "   -30.1" "   -17.5" "     2.6" "   -12.6"
"1952" "   -33.1" "   -32.3" "   -26.3" "   -19.4" "    -6.3" "     2.5" "     4.2" "     2.1" "    -3.4" "   -14.4" "   -20.9" "   -23.7" "   -14.3" "   -32.2" "   -17.3" "     2.9" "   -12.9"
"1953" "   -29.9" "   -28.7" "   -30.1" "   -13.4" "   -10.3" "    -1.9" "     3.0" "     4.3" "    -3.8" "   -15.2" "   -26.1" "   -34.2" "   -15.5" "   -27.4" "   -17.9" "     1.8" "   -15.0"
"1954" "   -34.2" "   -32.7" "   -29.9" "   -21.0" "    -8.9" "    -1.1" "     5.5" "     6.0" "    -2.7" "   -12.4" "   -23.5" "   -30.6" "   -15.5" "   -33.7" "   -19.9" "     3.5" "   -12.9"
"1955" "   -29.9" "   -33.8" "   -29.0" "   -20.6" "    -9.4" "     0.0" "     4.0" "     3.1" "    -4.0" "    -6.3" "   -22.2" "   -24.5" "   -14.4" "   -31.4" "   -19.7" "     2.4" "   -10.8"
"1956" "   -27.9" "   -28.5" "   -32.4" "   -17.6" "   -12.5" "    -0.2" "     4.7" "     2.1" "    -4.6" "   -16.5" "   -24.7" "   -31.8" "   -15.8" "   -27.0" "   -20.8" "     2.2" "   -15.3"
"1957" " NA" "   -29.0" "   -24.9" "   -21.1" "   -10.5" "     0.6" "     4.2" "     2.6" "    -2.4" "   -13.6" "   -26.1" "   -30.6" " NA" " NA" "   -18.8" "     2.5" "   -14.0"
"1958" "   -28.5" "   -32.1" "   -28.8" "   -25.1" "    -7.0" "     1.7" "     4.2" "     2.9" "    -3.4" "   -11.9" "   -27.0" "   -27.2" "   -15.2" "   -30.4" "   -20.3" "     2.9" "   -14.1"
"1959" "   -25.4" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -4.0" "   -15.2" "   -19.3" "   -25.3" " NA" " NA" " NA" " NA" "   -12.8"
"1960" "   -28.4" "   -30.7" "   -31.7" " NA" " NA" "     1.2" "     4.4" "     3.8" "    -4.2" "   -10.4" "   -23.5" "   -27.1" " NA" "   -28.1" " NA" "     3.1" "   -12.7"
"1961" "   -31.1" "   -34.1" "   -36.4" "   -18.6" "   -13.7" "    -0.7" "     4.7" "     1.3" "    -6.4" "   -15.1" "   -24.6" "   -25.8" "   -16.7" "   -30.8" "   -22.9" "     1.8" "   -15.4"
"1962" "   -32.9" "   -34.3" "   -21.3" "   -20.3" "   -10.7" "     1.7" "     6.4" "     3.4" "    -2.9" "   -11.8" "   -23.4" "   -25.4" "   -14.3" "   -31.0" "   -17.4" "     3.8" "   -12.7"
"1963" "   -26.0" "   -23.2" "   -32.3" "   -19.9" "   -11.7" "     0.0" "     3.9" "     2.6" "    -4.2" "   -13.3" "   -18.9" "   -27.2" "   -14.2" "   -24.9" "   -21.3" "     2.2" "   -12.1"
"1964" "   -32.3" "   -32.0" "   -34.3" "   -24.1" "   -11.1" "    -0.3" "     2.4" "     3.0" "    -1.9" "   -15.5" "   -19.5" "   -23.7" "   -15.8" "   -30.5" "   -23.2" "     1.7" "   -12.3"
"1965" "   -28.8" "   -27.2" "   -25.4" "   -21.0" "    -4.8" "    -2.1" "     3.4" "     2.7" "    -4.1" "   -14.6" "   -17.8" "   -26.8" "   -13.9" "   -26.6" "   -17.1" "     1.3" "   -12.2"
"1966" " NA" "   -28.1" "   -28.4" "   -24.0" "   -10.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -20.8" " NA" " NA"
"1967" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1968" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1969" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1970" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1971" "   -31.7" "   -33.2" "   -28.4" "   -21.8" "   -10.0" "     0.5" "     4.1" "     1.8" "    -4.0" "   -10.8" "   -24.4" "   -32.7" "   -15.9" " NA" "   -20.1" "     2.1" "   -13.1"
"1972" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1973" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1974" " NA" " NA" "   -30.1" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.3" "   -23.8" "   -30.3" " NA" " NA" " NA" " NA" " NA"
"1975" "   -34.1" "   -28.7" " NA" "   -20.8" "    -6.9" "     4.5" "     4.3" "     3.1" "    -6.1" "   -14.6" "   -22.8" "   -29.3" " NA" "   -31.0" " NA" "     4.0" "   -14.5"
"1976" "   -28.0" "   -33.4" "   -29.3" "   -19.8" "   -13.0" "    -0.6" "     4.0" "     1.7" "    -2.7" "   -16.5" " NA" "   -25.1" " NA" "   -30.2" "   -20.7" "     1.7" " NA"
"1977" "   -20.6" "   -29.6" "   -24.8" "   -17.6" "    -9.9" "    -1.3" "     6.0" "     3.6" "    -7.0" "   -14.4" "   -21.0" "   -30.2" "   -13.9" "   -25.1" "   -17.4" "     2.8" "   -14.1"
"1978" "   -28.0" "   -25.3" "   -29.8" "   -24.4" "   -14.4" "    -4.5" "     3.2" "     1.4" "    -6.1" "   -21.0" "   -25.6" "   -18.9" "   -16.1" "   -27.8" "   -22.9" "     0.0" "   -17.6"
"1979" "   -24.7" "   -40.7" "   -29.7" "   -20.3" "    -8.3" "    -2.3" "     2.0" "     0.0" "    -6.2" "   -13.9" "   -20.7" "   -27.7" "   -16.0" "   -28.1" "   -19.4" "    -0.1" "   -13.6"
"1980" "   -27.4" "   -24.7" "   -23.7" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -26.6" " NA" " NA" " NA"
"1981" "   -25.2" " NA" "   -22.2" " NA" "   -11.3" " NA" "     6.2" " NA" " NA" " NA" " NA" "   -21.8" " NA" " NA" " NA" " NA" " NA"
"1982" " NA" "   -30.5" "   -30.6" "   -21.4" "   -13.5" "    -0.4" "     5.1" "     0.5" "    -8.0" "   -15.1" "   -23.6" "   -30.6" " NA" " NA" "   -21.8" "     1.7" "   -15.6"
"1983" "   -32.9" "   -33.7" "   -32.3" "   -24.2" "   -14.0" "    -0.1" "     3.7" "     1.2" "    -2.3" "   -15.6" "   -22.2" "   -27.0" "   -16.6" "   -32.4" "   -23.5" "     1.6" "   -13.4"
"1984" "   -33.5" "   -33.5" "   -29.7" "   -22.7" "    -8.8" "     0.9" "     6.1" "     0.6" "    -8.4" "   -12.9" "   -22.2" "   -30.3" "   -16.2" "   -31.3" "   -20.4" "     2.5" "   -14.5"
"1985" "   -25.1" "   -32.0" "   -29.6" "   -23.6" "    -7.1" "     0.3" "     6.7" "     1.1" "    -3.1" "   -14.7" "   -23.1" "   -19.0" "   -14.1" "   -29.1" "   -20.1" "     2.7" "   -13.6"
"1986" "   -29.1" "   -25.3" "   -32.6" "   -18.9" "   -10.2" "    -3.2" "     1.6" "    -0.4" "    -7.4" "   -20.8" "   -26.0" "   -29.4" "   -16.8" "   -24.5" "   -20.6" "    -0.7" "   -18.1"
"1987" "   -34.1" "   -32.1" "   -28.1" "   -23.5" "   -13.6" "     0.1" "     5.7" "     1.5" "    -4.5" "   -13.6" "   -21.5" "   -22.0" "   -15.5" "   -31.9" "   -21.7" "     2.4" "   -13.2"
