"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1927" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     1.6" "    -3.3" "    -9.6" "   -18.3" " NA" " NA" " NA" " NA" "    -3.8"
"1928" "   -27.6" "   -26.8" "   -18.9" "   -14.7" "    -5.3" " NA" "     5.1" " NA" " NA" " NA" " NA" " NA" " NA" "   -24.2" "   -13.0" " NA" " NA"
"1929" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     4.8" "    -2.1" "    -4.6" "   -16.2" "   -24.2" " NA" " NA" " NA" " NA" "    -7.6"
"1930" "   -29.8" "   -28.7" "   -19.5" "   -14.4" "    -6.6" "    -0.3" "     0.4" "     3.6" "     0.4" "    -5.6" "   -11.3" "   -31.3" "   -11.9" "   -27.6" "   -13.5" "     1.2" "    -5.5"
"1931" "   -24.0" "   -25.6" "   -21.3" "   -13.9" "    -4.1" "     0.0" "     7.6" "     6.6" "     0.5" "    -4.2" "   -10.8" "   -18.4" "    -9.0" "   -27.0" "   -13.1" "     4.7" "    -4.8"
"1932" "   -25.7" "   -29.2" "   -21.1" "   -12.9" "    -3.4" "     0.2" "     4.7" "     6.1" "     0.5" "    -4.3" "   -11.7" "   -21.1" "    -9.8" "   -24.4" "   -12.5" "     3.7" "    -5.2"
"1933" "   -26.8" "   -26.4" "   -18.6" "   -12.6" "    -6.6" "    -1.6" "     4.8" "     4.2" "    -0.4" "    -5.0" "   -16.5" "   -26.8" "   -11.0" "   -24.8" "   -12.6" "     2.5" "    -7.3"
"1934" "   -27.7" "   -28.7" "   -25.3" "   -13.5" "    -7.2" "    -0.2" "     4.8" "     4.4" "    -1.2" "    -4.8" "   -12.9" "   -24.3" "   -11.4" "   -27.7" "   -15.3" "     3.0" "    -6.3"
"1935" "   -32.9" "   -28.2" "   -23.2" "   -12.1" "    -5.1" "     0.9" "     4.6" "     5.9" "     1.8" "    -4.4" "   -15.7" "   -17.7" "   -10.5" "   -28.5" "   -13.5" "     3.8" "    -6.1"
"1936" "   -25.4" "   -22.8" "   -17.2" "   -13.4" "    -8.0" "    -0.7" "     6.8" "     2.3" "    -0.2" "    -7.4" "   -17.2" "   -23.1" "   -10.5" "   -22.0" "   -12.9" "     2.8" "    -8.3"
