"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1959" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -0.8" "    -8.0" "   -12.5" "   -18.6" " NA" " NA" " NA" " NA" "    -7.1"
"1960" "   -18.8" "   -17.4" "   -24.2" "   -18.7" "    -4.6" "     1.9" "     8.1" "     4.8" "     0.1" "    -2.9" "   -11.8" "   -20.5" "    -8.7" "   -18.3" "   -15.8" "     4.9" "    -4.9"
"1961" "   -25.7" "   -29.2" "   -30.9" "   -10.6" "    -7.1" "     1.8" "     7.1" "     3.8" "    -1.6" "    -7.7" "   -17.8" "   -15.9" "   -11.2" "   -25.1" "   -16.2" "     4.2" "    -9.0"
"1962" "   -23.2" "   -28.5" "   -10.5" "   -14.9" "    -6.0" "     1.1" "     7.7" "     4.7" "     0.0" "    -5.9" "   -12.4" "   -19.1" "    -8.9" "   -22.5" "   -10.5" "     4.5" "    -6.1"
"1963" "   -17.0" "   -14.2" "   -24.8" "   -11.4" "    -8.2" "    -0.4" "     3.9" "     6.1" "    -4.7" "    -8.5" "   -14.2" "   -18.5" "    -9.3" "   -16.8" "   -14.8" "     3.2" "    -9.1"
"1964" "   -25.1" "   -21.9" "   -31.3" "   -16.0" "    -7.2" "    -0.8" "     3.3" "     4.7" "     1.3" "    -8.1" "   -14.0" "   -19.2" "   -11.2" "   -21.8" "   -18.2" "     2.4" "    -6.9"
"1965" "   -24.0" "   -19.5" "   -20.2" "   -16.9" "    -1.8" "     0.9" "     6.2" "     2.6" "    -0.9" "    -9.2" "   -13.7" "   -22.2" "    -9.9" "   -20.9" "   -13.0" "     3.2" "    -7.9"
"1966" "   -22.5" "   -20.3" "   -25.1" "   -14.9" "    -8.1" "    -0.6" "     4.9" "     8.2" "    -0.4" "    -5.3" "   -17.2" "   -20.2" "   -10.1" "   -21.7" "   -16.0" "     4.2" "    -7.6"
"1967" "   -21.0" "   -28.8" "   -24.4" "   -19.2" "    -3.2" "    -1.2" "     4.1" "     3.4" "    -1.9" "    -9.6" "   -17.1" "   -20.8" "   -11.6" "   -23.3" "   -15.6" "     2.1" "    -9.5"
"1968" "   -25.9" "   -23.5" "   -26.1" "   -10.2" "    -4.6" "     0.5" "     4.2" "     3.5" "     1.0" "    -4.9" "   -14.1" "   -18.0" "    -9.8" "   -23.4" "   -13.6" "     2.7" "    -6.0"
"1969" "   -17.3" "   -15.7" "   -24.9" "   -18.3" "    -5.6" "    -0.4" "     5.2" "     5.6" "    -3.2" "    -7.7" "   -13.5" "   -21.5" "    -9.8" "   -17.0" "   -16.3" "     3.5" "    -8.1"
"1970" "   -25.4" "   -21.9" "   -20.3" "   -16.3" "    -9.1" "    -1.4" "     2.5" "     3.0" "    -1.6" "    -6.6" "   -13.1" "   -21.8" "   -11.0" "   -22.9" "   -15.2" "     1.4" "    -7.1"
"1971" "   -22.3" "   -28.1" "   -18.6" "   -16.4" "    -6.4" "     0.8" "     5.4" "     3.9" "    -1.6" "    -6.8" "   -16.0" "   -29.7" "   -11.3" "   -24.1" "   -13.8" "     3.4" "    -8.1"
"1972" "   -30.2" "   -27.7" "   -27.1" "   -15.3" "    -6.5" "    -2.4" "     3.2" "     2.5" "    -2.6" "   -10.7" "   -19.4" "   -24.3" "   -13.4" "   -29.2" "   -16.3" "     1.1" "   -10.9"
"1973" "   -21.8" "   -28.9" "   -24.4" "   -16.0" "    -7.6" "    -0.6" "     3.7" "     6.1" "     0.5" "    -5.6" "    -9.7" "   -19.4" "   -10.3" "   -25.0" "   -16.0" "     3.1" "    -4.9"
"1974" "   -23.5" "   -21.6" "   -23.8" "   -17.8" "    -3.9" "     3.4" "     6.8" "     4.6" "    -2.8" "    -7.7" "   -15.3" "   -28.6" "   -10.9" "   -21.5" "   -15.2" "     4.9" "    -8.6"
"1975" "   -29.2" "   -24.6" "   -26.5" "   -18.3" "    -4.4" "     4.2" "     7.0" "     5.9" "    -1.0" "    -7.5" "   -17.1" "   -23.6" "   -11.3" "   -27.5" "   -16.4" "     5.7" "    -8.5"
"1976" "   -25.1" "   -27.8" "   -24.1" "   -15.0" "    -4.8" "     1.2" "     3.8" "     2.1" "    -0.9" "    -8.5" "   -13.8" "   -17.5" "   -10.9" "   -25.5" "   -14.6" "     2.4" "    -7.7"
"1977" "   -15.8" "   -22.5" "   -18.4" "   -14.3" "    -5.0" "     0.3" "     5.3" "     4.8" "    -1.8" "    -8.3" "   -12.3" "   -22.5" "    -9.2" "   -18.6" "   -12.6" "     3.5" "    -7.5"
