" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1926" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     2.3" "    -7.9" "   -12.5" " NA" " NA" " NA" " NA" " NA"
"1927" "   -15.2" "   -14.0" "    -3.8" "     1.1" "     7.8" " NA" "    15.6" "    14.8" "     7.2" "     2.9" "   -13.7" " NA" " NA" "   -13.9" "     1.7" " NA" "    -1.2"
"1928" "    -6.4" "    -1.9" "    -8.4" "     3.5" "     8.4" "    13.4" "    15.2" "    13.6" "     8.8" "     4.2" "    -7.6" "   -10.6" "     2.7" " NA" "     1.2" "    14.1" "     1.8"
"1929" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1930" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1931" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1932" "   -17.0" "   -15.8" "   -12.3" "     3.7" "    10.5" "    14.5" "    14.4" "    15.0" "    10.1" "     1.8" "    -8.8" "   -14.8" "     0.1" " NA" "     0.6" "    14.6" "     1.0"
"1933" "   -19.1" "   -17.5" "    -9.5" "     2.4" "     9.6" "    12.3" "    13.8" "    15.8" "     7.4" "     0.7" "    -2.4" "   -28.7" "    -1.3" "   -17.1" "     0.8" "    14.0" "     1.9"
"1934" "   -11.4" "    -5.5" "    -4.5" "     6.7" "    11.3" "    12.4" "    14.2" "    13.4" "     5.7" "     3.9" "    -5.2" "   -16.5" "     2.0" "   -15.2" "     4.5" "    13.3" "     1.5"
"1935" "   -25.4" "    -4.1" "   -12.2" "    -2.6" "     9.3" "    12.5" "    16.1" "    12.6" "     9.9" "     2.6" "    -8.9" "   -10.2" "     0.0" "   -15.3" "    -1.8" "    13.7" "     1.2"
"1936" "   -22.0" "   -28.5" "    -3.8" "     1.1" "    12.0" "    13.2" "    16.2" "    14.3" "     7.7" " NA" "     0.0" "   -14.4" " NA" "   -20.2" "     3.1" "    14.6" " NA"
"1937" "   -20.8" "   -15.7" "    -3.0" "     4.8" "    10.6" "    14.3" "    15.5" "    13.3" "    10.0" "     5.4" "    -8.9" "   -16.2" "     0.8" "   -17.0" "     4.1" "    14.4" "     2.2"
"1938" "   -12.7" "   -16.5" "    -1.8" "     3.6" "     9.4" "    13.9" "    16.8" "    12.7" "    14.0" "     5.8" "    -5.6" "   -11.1" "     2.4" "   -15.1" "     3.7" "    14.5" "     4.7"
