" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1941" " NA" " NA" " NA" " NA" "    12.5" "    17.2" "    20.3" "    17.2" " NA" "     5.4" "    -5.3" "   -11.1" " NA" " NA" " NA" "    18.2" " NA"
"1942" "   -10.8" "   -14.4" "    -5.2" "     3.4" "     9.6" "    14.2" "    17.4" "    16.3" "    10.9" "     6.0" "    -7.8" "   -17.2" "     1.9" "   -12.1" "     2.6" "    16.0" "     3.0"
"1943" "   -22.1" "   -13.3" "   -13.7" "     4.3" "     8.2" "    13.5" "    19.5" "    16.7" "    10.8" "     7.5" "    -3.4" "    -9.7" "     1.5" "   -17.5" "    -0.4" "    16.6" "     5.0"
"1944" "    -9.4" "   -15.3" "   -13.4" "     4.4" "    12.8" "    14.7" "    18.6" "    16.7" "    12.2" "     7.7" "    -4.7" "   -12.7" "     2.6" "   -11.5" "     1.3" "    16.7" "     5.1"
"1945" "   -15.9" "   -14.3" "    -3.9" " NA" "     6.7" "    12.8" "    17.9" "    17.4" "     9.7" "     5.0" "    -9.7" "   -17.4" " NA" "   -14.3" " NA" "    16.0" "     1.7"
"1946" "   -15.9" "   -18.0" "    -3.1" "     6.4" "     8.9" "    14.5" "    19.4" "    16.4" "    11.2" "     2.2" "    -8.7" "   -17.1" "     1.4" "   -17.1" "     4.1" "    16.8" "     1.6"
"1947" "   -14.0" " NA" "   -10.1" "     0.2" "     8.2" "    14.4" "    20.3" "    17.4" "    10.0" "     7.8" "    -9.3" "   -15.2" " NA" " NA" "    -0.6" "    17.4" "     2.8"
"1948" "   -16.4" "   -18.7" "   -13.2" "    -3.7" "    11.2" "    16.0" "    18.3" "    17.9" "    14.0" "     6.5" "    -5.5" "   -16.2" "     0.9" "   -16.8" "    -1.9" "    17.4" "     5.0"
"1949" "   -19.8" "   -20.9" "    -8.3" "     6.8" "    10.7" "    14.9" "    17.6" "    19.5" "    10.8" "     2.7" "    -0.4" "   -18.1" "     1.3" "   -19.0" "     3.1" "    17.3" "     4.4"
"1950" "   -30.1" "   -17.7" "   -11.9" "    -2.1" "     8.7" "    14.1" "    16.9" "    15.7" "    12.0" "     5.0" "   -10.5" "   -16.4" "    -1.4" "   -22.0" "    -1.8" "    15.6" "     2.2"
"1951" "   -20.9" "   -16.3" "   -14.9" "     0.8" "    12.1" "    13.0" "    17.3" "    15.0" "     9.6" "     2.1" "    -9.1" "   -18.2" "    -0.8" "   -17.9" "    -0.7" "    15.1" "     0.9"
"1952" "   -21.4" "   -13.1" "   -10.0" "     8.0" "    11.1" "    14.6" "    17.1" "    16.5" "    12.3" "     4.3" "    -3.5" "   -11.0" "     2.1" "   -17.6" "     3.0" "    16.1" "     4.4"
"1953" "   -16.4" "   -12.4" "    -9.4" "     0.2" "     8.8" "    14.8" "    17.6" "    17.8" "    11.0" "     7.8" "    -0.5" "   -10.1" "     2.4" "   -13.3" "    -0.1" "    16.7" "     6.1"
"1954" "   -24.4" "    -5.7" "   -10.0" "    -3.2" "     7.2" "    13.7" "    18.2" "    15.8" "     9.9" "     4.3" "    -1.1" "    -8.2" "     1.4" "   -13.4" "    -2.0" "    15.9" "     4.4"
"1955" "   -16.2" "   -17.3" "   -14.6" "     5.3" "    10.7" "    15.8" "    19.0" "    18.4" "     9.9" "     5.6" "   -12.7" "   -19.3" "     0.4" "   -13.9" "     0.5" "    17.7" "     0.9"
"1956" "   -19.2" "   -17.3" "   -11.6" "    -2.0" "    10.1" "    17.8" "    17.2" "    16.6" "     9.9" "     4.9" "    -5.2" "   -15.0" "     0.5" "   -18.6" "    -1.2" "    17.2" "     3.2"
"1957" "   -21.3" "   -16.4" "    -9.5" "     0.5" "    11.4" "    14.2" "    20.3" "    15.9" "    11.2" "     4.4" "    -4.9" "   -11.8" "     1.2" "   -17.6" "     0.8" "    16.8" "     3.6"
"1958" "   -12.5" "   -16.7" "    -5.7" "     5.1" "    12.1" "    13.5" "    17.7" " NA" "    11.1" "     5.3" "    -6.3" "   -14.9" " NA" "   -13.7" "     3.8" " NA" "     3.4"
"1959" "   -22.0" "   -16.1" "    -3.6" "     2.9" "     8.9" "    16.1" "    19.2" "    17.2" "     9.9" "     0.6" "    -8.4" "    -7.0" "     1.5" "   -17.7" "     2.7" "    17.5" "     0.7"
"1960" "   -19.6" "   -15.7" "   -11.7" "     1.7" "    11.2" "    14.7" "    20.1" "    18.5" "    12.9" "     5.1" "    -6.2" "   -12.9" "     1.5" "   -14.1" "     0.4" "    17.8" "     3.9"
"1961" "   -15.9" "   -11.7" "    -4.6" "     1.1" "    10.3" "    18.2" "    18.8" "    20.9" "     9.4" "     5.3" "    -5.5" "   -19.3" "     2.3" "   -13.5" "     2.3" "    19.3" "     3.1"
