" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1915" " NA" " NA" " NA" "     6.9" "    11.3" "    13.2" "    16.2" "    17.4" "    12.0" "     5.9" "    -3.1" "   -11.0" " NA" " NA" " NA" "    15.6" "     4.9"
"1916" "   -20.8" "   -16.5" "   -10.0" "     2.1" "     8.2" "    14.0" "    22.0" "    17.2" "    10.0" "     1.8" "    -4.2" "   -18.3" "     0.5" "   -16.1" "     0.1" "    17.7" "     2.5"
"1917" "   -22.2" "   -21.3" "    -6.8" "     0.4" "    10.1" "    13.8" "    19.3" "    15.1" "    12.2" "     0.1" "    -0.5" "   -19.6" "     0.1" "   -20.6" "     1.2" "    16.1" "     3.9"
"1918" "   -20.7" "   -16.9" "    -2.9" "     3.5" "     9.2" "    15.3" "    17.2" "    17.9" "     9.3" "     5.9" "    -1.0" "   -11.8" "     2.1" "   -19.1" "     3.3" "    16.8" "     4.7"
"1919" "   -11.3" "   -14.7" "    -9.3" "     3.9" "    13.9" "    19.1" "    20.1" "    18.4" "    11.7" "     0.8" "    -9.2" "   -17.5" "     2.2" "   -12.6" "     2.8" "    19.2" "     1.1"
"1920" "   -21.1" "   -14.1" "    -8.4" "    -1.7" "    10.8" "    16.0" "    17.2" "    19.3" "    14.3" "     8.9" "    -4.0" "   -11.2" "     2.2" "   -17.6" "     0.2" "    17.5" "     6.4"
"1921" "   -13.7" "   -12.3" "    -9.4" "     2.6" "    11.2" "    19.0" "    20.8" "    16.6" "    12.9" "     7.0" "    -8.3" "   -12.7" "     2.8" "   -12.4" "     1.5" "    18.8" "     3.9"
"1922" "   -17.2" "   -17.4" "    -5.9" "     3.4" "    14.0" "    16.5" "    17.4" "    18.8" "    14.3" "     5.6" "    -0.7" "   -17.1" "     2.6" "   -15.8" "     3.8" "    17.6" "     6.4"
"1923" "   -17.4" "   -18.7" "   -14.8" "    -0.8" "    10.4" "    18.6" "    20.4" "    15.1" "    13.9" "     5.6" "     0.1" "    -8.3" "     2.0" "   -17.7" "    -1.7" "    18.0" "     6.5"
"1924" "   -21.7" "   -11.6" "    -6.2" "     1.5" "     5.8" "    13.4" "    17.7" "    16.3" "    11.6" "     9.8" "    -6.3" "   -19.4" "     0.9" "   -13.9" "     0.4" "    15.8" "     5.0"
"1925" "   -18.8" "   -15.8" "    -8.0" "     5.1" "     9.2" "    15.0" "    18.0" "    18.7" "    13.4" "    -0.1" "    -4.6" "   -13.4" "     1.6" "   -18.0" "     2.1" "    17.2" "     2.9"
"1926" "   -15.1" "   -11.1" "    -9.5" "     0.8" "    11.9" "    13.4" "    18.5" "    17.2" "     9.8" "     3.3" "    -8.6" " NA" " NA" "   -13.2" "     1.1" "    16.4" "     1.5"
