" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1947" " NA" " NA" "   -14.5" "   -13.3" "    -1.6" "     6.7" "    11.3" "     8.6" "     4.7" "     1.4" "    -4.9" "   -12.7" " NA" " NA" "    -9.8" "     8.9" "     0.4"
"1948" "   -24.4" "   -26.6" "   -21.8" "   -12.1" "     0.0" "     7.3" "    11.5" "    10.3" "     6.5" "     2.5" "    -4.8" "   -16.5" "    -5.7" "   -21.2" "   -11.3" "     9.7" "     1.4"
"1949" "   -22.2" "   -27.4" "   -17.1" "   -12.0" "    -1.3" "     7.6" "    11.0" "     9.8" "     5.6" "     0.0" "   -11.2" "   -16.9" "    -6.2" "   -22.0" "   -10.1" "     9.5" "    -1.9"
"1950" "   -29.4" "   -28.4" "   -16.3" "    -8.8" "     0.9" "     6.8" "    10.0" "    10.0" "     4.2" "    -2.3" "    -8.3" "   -14.3" "    -6.3" "   -24.9" "    -8.1" "     8.9" "    -2.1"
"1951" "   -26.8" "   -21.7" "   -12.8" "    -3.4" "    -1.0" "     9.7" "    11.8" "    11.5" "     6.1" "    -1.9" "    -9.8" "   -19.9" "    -4.9" "   -20.9" "    -5.7" "    11.0" "    -1.9"
"1952" "   -24.8" "   -22.5" "   -13.1" "    -7.7" "     5.3" "     9.0" "    12.0" "    11.0" "     5.3" "    -2.5" "    -8.3" "   -11.5" "    -4.0" "   -22.4" "    -5.2" "    10.7" "    -1.8"
"1953" "   -25.1" "   -22.6" "   -14.2" "     0.2" "     0.9" "     5.2" "    13.6" "    10.2" "     5.5" "    -1.0" "    -6.8" "   -23.8" "    -4.8" "   -19.7" "    -4.4" "     9.7" "    -0.8"
"1954" "   -29.7" "   -22.2" "   -14.6" " NA" " NA" "    11.0" "    12.0" "    11.1" "     5.8" "     0.2" "   -11.0" "   -18.8" " NA" "   -25.2" " NA" "    11.4" "    -1.7"
"1955" "   -19.8" "   -22.4" "   -17.9" "    -9.5" "     2.9" "     9.6" "    11.2" "    11.8" "     5.0" "     2.8" "    -2.1" "   -12.5" "    -3.4" "   -20.3" "    -8.2" "    10.9" "     1.9"
"1956" "   -19.7" "   -19.2" "   -19.6" "    -8.6" "    -4.3" "     3.5" "    11.9" "    10.5" "     5.0" "    -0.5" "   -11.0" "   -24.5" "    -6.4" "   -17.1" "   -10.8" "     8.6" "    -2.2"
