" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1948" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     7.2" "     2.3" "    -6.0" "   -17.8" " NA" " NA" " NA" " NA" "     1.2"
"1949" "   -23.2" "   -26.3" "   -16.6" "    -7.4" "    -1.0" "    10.0" "    12.3" "    10.0" "     6.6" "     0.1" "   -12.1" "   -17.6" "    -5.4" "   -22.4" "    -8.3" "    10.8" "    -1.8"
"1950" "   -28.4" "   -28.0" "   -15.2" "    -6.5" "     2.3" "     7.3" "    11.9" "    11.5" "     4.5" "    -2.5" "    -9.1" "   -16.4" "    -5.7" "   -24.7" "    -6.5" "    10.2" "    -2.4"
"1951" "   -24.9" "   -18.3" "   -12.1" "    -1.1" "     0.6" "    10.4" "    12.1" "    12.0" "     5.8" "    -2.0" "   -11.4" "   -20.0" "    -4.1" "   -19.9" "    -4.2" "    11.5" "    -2.5"
"1952" "   -24.6" "   -20.0" "   -10.7" "    -5.9" "     4.7" "     8.9" "    14.9" "    11.2" "     5.3" "    -3.3" "    -9.7" "   -12.6" "    -3.5" "   -21.5" "    -4.0" "    11.7" "    -2.6"
"1953" "   -23.2" "   -20.0" "   -13.2" "    -0.1" "     1.8" "     8.3" "    13.2" "    10.5" "     5.3" "    -0.7" "    -7.4" "   -21.3" "    -3.9" "   -18.6" "    -3.8" "    10.7" "    -0.9"
"1954" "   -29.0" "   -18.2" "   -14.5" "   -12.7" "     3.7" "    12.6" "    13.3" "    10.8" "     6.9" "    -0.5" "   -10.9" "   -18.0" "    -4.7" "   -22.8" "    -7.8" "    12.2" "    -1.5"
"1955" "   -19.3" "   -21.8" "   -16.4" "    -6.5" "     3.1" "    12.4" "    12.5" "    12.1" "     4.9" "     0.5" "    -5.2" "   -14.3" "    -3.2" "   -19.7" "    -6.6" "    12.3" "     0.1"
"1956" "   -16.0" "   -20.3" "   -18.1" "    -6.6" "    -3.6" "     5.1" "    12.2" "     9.5" "     4.1" "     0.4" "   -10.5" "   -25.7" "    -5.8" "   -16.9" "    -9.4" "     8.9" "    -2.0"
"1957" "   -30.1" "   -20.6" "    -8.7" "    -7.2" "    -1.8" "     8.4" "    13.4" "     9.7" "     6.4" "    -0.1" "    -8.2" "   -15.9" "    -4.6" "   -25.5" "    -5.9" "    10.5" "    -0.6"
"1958" "   -15.9" "   -15.7" "    -7.5" "    -6.1" "     2.0" "     7.3" "    12.0" "    10.5" "     5.4" "    -3.4" "   -10.9" "   -21.6" "    -3.7" "   -15.8" "    -3.9" "     9.9" "    -3.0"
"1959" "   -17.0" "   -26.9" "   -18.4" "    -6.8" "     2.8" "    10.0" "    14.5" "    12.0" "     6.6" "    -2.2" "   -11.9" "   -18.6" "    -4.7" "   -21.8" "    -7.5" "    12.2" "    -2.5"
"1960" "   -20.6" "   -10.4" "   -18.7" "    -8.6" "     3.9" "    10.1" "    11.8" "    11.1" "     5.7" "    -0.4" "    -8.6" "   -19.0" "    -3.6" "   -16.5" "    -7.8" "    11.0" "    -1.1"
"1961" "   -26.6" "   -23.5" "   -16.0" "    -1.7" "     1.6" "     7.8" "    12.7" "    12.4" "     7.0" "    -0.4" "    -5.1" "   -10.9" "    -3.6" "   -23.0" "    -5.4" "    11.0" "     0.5"
"1962" "   -26.9" "   -27.5" "    -9.1" "   -11.2" "     0.0" "     8.4" "    13.0" "    11.5" "     6.3" "     0.5" "    -8.4" "   -17.5" "    -5.1" "   -21.8" "    -6.8" "    11.0" "    -0.5"
"1963" "   -22.1" "   -22.3" "   -18.1" "    -4.3" "    -0.1" "     7.4" "    13.2" "     9.8" "     3.4" "    -0.2" "    -6.1" "   -20.2" "    -5.0" "   -20.6" "    -7.5" "    10.1" "    -1.0"
"1964" "   -22.3" "   -20.4" "   -18.2" "    -6.9" "     0.9" "     7.0" "    12.9" "    10.8" "     5.5" "    -2.6" "   -10.3" "   -19.0" "    -5.2" "   -21.0" "    -8.1" "    10.2" "    -2.5"
"1965" "   -24.4" "   -21.2" "   -15.6" "    -8.4" "     0.7" "     7.7" "     9.9" "     8.5" "     4.5" "    -3.8" "   -10.1" "   -19.8" "    -6.0" "   -21.5" "    -7.8" "     8.7" "    -3.1"
"1966" "   -16.0" "   -16.5" "   -10.0" "    -3.7" "    -0.3" "     8.0" "    11.6" "    11.8" "     6.4" "    -1.0" "    -6.3" "   -18.0" "    -2.8" "   -17.4" "    -4.7" "    10.5" "    -0.3"
"1967" "   -23.7" "   -25.0" "   -18.6" "    -9.5" "     1.8" "    10.4" "    13.6" "    12.2" "     6.2" "    -0.1" "    -7.6" "   -15.3" "    -4.6" "   -22.2" "    -8.8" "    12.1" "    -0.5"
"1968" "   -24.6" "   -18.6" "   -17.5" "    -4.8" "     1.4" "     8.5" "    11.7" "     8.0" "     9.7" "     2.6" "    -9.0" "   -14.1" "    -3.9" "   -19.5" "    -7.0" "     9.4" "     1.1"
"1969" "   -16.0" "   -16.5" "   -11.8" "   -13.3" "     0.1" "     7.1" "    12.6" "    10.7" "     2.2" "    -3.3" "    -4.5" "   -15.5" "    -4.0" "   -15.5" "    -8.3" "    10.1" "    -1.9"
"1970" "   -21.4" "   -23.0" "   -14.0" "    -8.7" "    -1.4" "     6.2" "    14.0" "    13.1" "     5.7" "     0.8" "    -9.1" "   -22.3" "    -5.0" "   -20.0" "    -8.0" "    11.1" "    -0.9"
"1971" "   -21.8" "   -21.8" "   -13.4" "    -4.5" "     1.5" "     7.2" "    12.2" "    10.1" "     6.2" "     0.7" "   -10.5" "   -24.2" "    -4.9" "   -22.0" "    -5.5" "     9.8" "    -1.2"
"1972" "   -25.7" "   -26.2" "   -19.0" "    -7.4" "    -2.8" "     7.0" "    13.2" "     9.8" "     4.4" "    -4.6" "   -11.6" "   -27.1" "    -7.5" "   -25.4" "    -9.7" "    10.0" "    -3.9"
"1973" "   -22.9" "   -23.6" "   -12.3" "    -5.0" "     4.4" "    10.8" "    13.9" "    13.3" "     5.5" "    -0.4" "    -8.0" "   -14.4" "    -3.2" "   -24.5" "    -4.3" "    12.7" "    -1.0"
"1974" "   -29.1" "   -21.5" "   -20.1" "   -10.1" "     1.4" "    11.4" "    13.5" "    11.3" "     4.1" "    -5.0" "    -8.6" "   -17.4" "    -5.8" "   -21.7" "    -9.6" "    12.1" "    -3.2"
"1975" "   -26.6" "   -21.4" "   -15.6" "    -9.6" "    -0.1" "    10.0" "    14.4" "    11.2" "     7.1" "     0.5" "    -9.3" "   -20.8" "    -5.0" "   -21.8" "    -8.4" "    11.9" "    -0.6"
"1976" "   -24.0" "   -22.5" "   -19.0" "    -7.6" "     2.6" "     9.7" "    14.1" "    10.3" "     4.5" "    -2.9" "    -9.5" "   -20.9" "    -5.4" "   -22.4" "    -8.0" "    11.4" "    -2.6"
"1977" "   -18.3" "   -19.7" "    -8.4" "    -8.4" "     1.8" "    10.2" "    11.0" "    10.4" "     4.7" "    -0.1" "    -4.9" "   -19.8" "    -3.5" "   -19.6" "    -5.0" "    10.5" "    -0.1"
"1978" "   -24.6" "   -16.2" "   -19.9" "    -6.6" "     2.8" "     7.6" "    12.4" "    10.1" "     3.4" "    -2.9" "   -11.7" "   -17.3" "    -5.2" "   -20.2" "    -7.9" "    10.0" "    -3.7"
"1979" "   -19.3" "   -23.4" "   -14.1" "    -4.8" "     4.8" "    10.6" "    12.9" "    10.9" "     5.0" " NA" " NA" "   -16.8" " NA" "   -20.0" "    -4.7" "    11.5" " NA"
"1980" "   -18.7" "   -21.1" "   -13.4" "    -6.0" "     2.5" "     7.8" "    11.9" "    14.0" "     3.8" "    -1.6" "   -10.3" "   -23.5" "    -4.6" "   -18.9" "    -5.6" "    11.2" "    -2.7"
"1981" "   -22.3" "   -12.0" "    -8.4" "    -8.0" "     0.8" "     7.2" "    13.1" "    12.7" "     9.0" "     0.2" "    -6.8" "   -14.2" "    -2.4" "   -19.3" "    -5.2" "    11.0" "     0.8"
"1982" "   -23.1" "   -24.1" "   -17.3" "   -10.6" "     1.4" "     9.7" "    12.9" "    10.5" "     5.6" "    -1.4" "    -8.3" "   -20.4" "    -5.4" "   -20.5" "    -8.8" "    11.0" "    -1.4"
