2204101,YELLOWKNIFE    ,NT, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
2204101,YELLOWKNIFE    ,NT, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1942, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.4, ,     9.9, ,     3.8, ,    -1.0, ,   -20.2, ,   -30.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.8, 
 1943,   -32.7, ,   -26.1, ,   -26.7, ,   -11.5, ,    -2.2, ,     5.5, ,    11.2, ,    10.6, ,     4.4, ,     0.3, ,   -12.3, ,   -25.5, ,    -8.8, ,   -29.7, ,   -13.5, ,     9.1, ,    -2.5, 
 1944,   -25.5, ,   -31.5, ,   -25.6, ,    -6.2, ,     0.3, ,     8.2, ,    10.7, ,     9.5, ,     3.5, ,    -2.3, ,   -14.8, ,   -23.4, ,    -8.1, ,   -27.5, ,   -10.5, ,     9.5, ,    -4.5, 
 1945,   -28.6, ,   -26.1, ,   -20.8, ,   -20.9, ,    -5.1, ,     6.9, ,    10.8, ,    10.5, ,     3.3, , -9999.9,M,   -20.0, ,   -29.9, , -9999.9,M,   -26.0, ,   -15.6, ,     9.4, , -9999.9,M
 1946,   -33.4, ,   -35.9, ,   -18.1, ,   -11.8, ,    -0.4, ,     6.8, ,    11.2, ,    10.9, ,     3.9, ,    -5.3, ,   -21.0, ,   -35.6, ,   -10.7, ,   -33.1, ,   -10.1, ,     9.6, ,    -7.5, 
 1947,   -34.4, ,   -33.7, ,   -21.7, ,   -18.8, ,    -2.9, ,     5.9, ,    10.0, ,     7.0, ,     1.7, ,    -0.9, ,   -14.7, ,   -26.3, ,   -10.7, ,   -34.6, ,   -14.5, ,     7.6, ,    -4.6, 
 1948,   -28.8, ,   -31.6, ,   -28.3, ,   -19.5, ,     1.4, ,     7.3, ,    12.0, ,    10.0, ,     4.2, ,    -2.3, ,   -16.9, ,   -32.7, ,   -10.4, ,   -28.9, ,   -15.5, ,     9.8, ,    -5.0, 
 1949,   -31.4, ,   -36.0, ,   -21.5, ,    -9.7, ,    -2.2, ,     4.3, ,     9.8, ,    10.6, ,     5.7, ,    -6.9, ,   -13.5, ,   -30.9, ,   -10.1, ,   -33.4, ,   -11.1, ,     8.2, ,    -4.9, 
 1950,   -39.7, ,   -30.9, ,   -23.3, ,   -14.7, ,     0.4, ,     6.8, ,    11.1, ,     6.9, ,     5.2, ,    -6.1, ,   -22.6, ,   -27.0, ,   -11.2, ,   -33.8, ,   -12.5, ,     8.3, ,    -7.8, 
 1951,   -32.8, ,   -30.1, ,   -27.3, ,   -14.2, ,     0.1, ,     5.2, ,    10.4, ,    11.5, ,     4.7, ,    -8.3, ,   -19.9, ,   -31.9, ,   -11.1, ,   -30.0, ,   -13.8, ,     9.0, ,    -7.8, 
 1952,   -36.5, ,   -28.4, ,   -22.4, ,    -8.2, ,     3.7, ,     8.5, ,    10.2, ,     8.5, ,     2.4, ,    -4.3, ,   -14.6, ,   -19.9, ,    -8.4, ,   -32.3, ,    -9.0, ,     9.1, ,    -5.5, 
 1953,   -34.1, ,   -24.1, ,   -19.5, ,   -10.6, ,     0.2, ,     6.3, ,    11.1, ,    11.9, ,     5.8, ,    -3.1, ,   -11.7, ,   -25.0, ,    -7.7, ,   -26.0, ,   -10.0, ,     9.8, ,    -3.0, 
 1954,   -37.1, ,   -28.7, ,   -21.9, ,   -23.1, ,    -1.5, ,     7.7, ,    12.8, ,    12.8, ,     4.1, ,    -3.4, ,   -12.6, ,   -25.3, ,    -9.7, ,   -30.3, ,   -15.5, ,    11.1, ,    -4.0, 
