7098603,VAL D'OR       ,QC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
7098603,VAL D'OR       ,QC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.3, ,     7.2, ,     4.4, ,     0.1, ,   -10.4, ,   -17.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.0, 
 1952,   -22.5, ,   -18.7, ,   -12.7, ,    -2.7, ,     2.5, ,     6.7, ,    12.6, ,     9.6, ,     7.2, ,    -1.7, ,    -4.4, ,   -12.0, ,    -3.0, ,   -19.7, ,    -4.3, ,     9.6, ,     0.4, 
 1953,   -20.5, ,   -16.7, ,   -10.0, ,    -3.2, ,     1.6, , -9999.9,M, -9999.9,M,     9.7, ,     4.9, ,    -1.1, ,    -3.4, ,   -15.2, , -9999.9,M,   -16.4, ,    -3.9, , -9999.9,M,     0.1, 
 1954,   -25.4, ,   -16.8, ,   -13.5, ,    -5.0, ,     1.6, ,     9.8, ,     9.2, ,     8.8, ,     4.2, ,     0.8, ,    -5.8, ,   -15.9, ,    -4.0, ,   -19.1, ,    -5.6, ,     9.3, ,    -0.3, 
 1955,   -21.8, ,   -19.1, ,   -16.5, ,    -2.1, ,     4.1, ,    11.7, ,    13.4, ,    12.6, ,     5.5, ,     2.3, ,    -5.3, ,   -20.0, ,    -2.9, ,   -18.9, ,    -4.8, ,    12.6, ,     0.8, 
 1956,   -18.5, ,   -16.4, ,   -17.9, ,    -5.2, ,    -1.5, ,     8.7, ,     9.7, ,     8.7, ,     3.4, ,     1.9, ,    -6.6, ,   -20.0, ,    -4.5, ,   -18.3, ,    -8.2, ,     9.0, ,    -0.4, 
 1957,   -27.8, ,   -16.8, ,   -12.3, ,    -3.1, ,     1.7, ,     9.4, ,    10.9, ,     8.4, ,     6.0, ,     0.5, ,    -5.6, ,   -15.2, ,    -3.7, ,   -21.5, ,    -4.6, ,     9.6, ,     0.3, 
 1958,   -18.2, ,   -20.2, ,    -6.7, ,    -2.7, ,     1.2, ,     5.6, ,    11.7, ,    10.9, ,     7.2, ,     0.9, ,    -5.5, ,   -22.6, ,    -3.2, ,   -17.9, ,    -2.7, ,     9.4, ,     0.9, 
 1959,   -21.2, ,   -25.9, ,   -16.1, ,    -4.7, ,     4.0, ,     9.8, ,    13.7, ,    12.9, ,     8.4, ,     0.0, ,   -11.2, ,   -14.8, ,    -3.8, ,   -23.2, ,    -5.6, ,    12.1, ,    -0.9, 
 1960,   -19.3, ,   -15.5, ,   -19.0, ,    -4.4, ,     6.6, ,     8.7, ,    10.4, ,    11.2, ,     5.8, ,     0.3, ,    -3.8, ,   -19.2, ,    -3.2, ,   -16.5, ,    -5.6, ,    10.1, ,     0.8, 
 1961,   -26.1, ,   -18.3, ,   -13.6, ,    -3.1, ,     0.2, ,     6.5, ,    11.3,a,    10.2,a,     8.5,a,     0.8,a,    -4.9,a,   -14.2,a,    -3.6,a,   -21.2, ,    -5.5, ,     9.3,a,     1.5,a
 1962,   -25.7,a,   -25.8,a,   -12.6,a,    -5.2,a,     4.9,a,     7.4,a,     9.3,a,    10.5,a,     5.8,a,     0.8,a,    -6.8,a,   -17.0,a,    -4.5,a,   -21.9,a,    -4.3,a,     9.1,a,    -0.1,a
 1963,   -23.2,a,   -23.5,a,   -15.4,a,    -4.7,a,     1.3,a,     9.8,a,    12.6,a,     9.2,a,     4.1,a,     4.2,a,    -3.1,a,   -20.6,a,    -4.1,a,   -21.2,a,    -6.3,a,    10.5,a,     1.7,a
 1964,   -16.4,a,   -19.7,a,   -16.5,a,    -4.5,a,     4.8,a,     6.7,a,    12.5,a,     8.8,a,     5.5,a,    -0.3,a,    -8.4,a,   -18.0,a,    -3.8,a,   -18.9,a,    -5.4,a,     9.3,a,    -1.1,a
 1965,   -25.3,a,   -21.9,a,   -18.0,a,    -6.8,a,     3.9,a,     8.3,a,     8.5,a,     8.7,a,     5.5,a,     0.0,a,    -8.8,a,   -13.0,a,    -4.9,a,   -21.7,a,    -7.0,a,     8.5,a,    -1.1,a
 1966,   -21.7,a,   -15.8,a,   -12.3,a,    -4.3,a,     0.2,a,     9.3,a,    10.7,a,    10.0,a,     4.4,a,     0.7,a,    -6.1,a,   -16.6,a,    -3.5,a,   -16.8,a,    -5.5,a,    10.0,a,    -0.3,a
 1967,   -20.7,a,   -25.9,a,   -16.4,a,    -5.7,a,    -0.2,a,    10.3,a,    11.6,a,     9.9,a,     5.3,a,     0.3,a,    -8.0,a,   -15.2,a,    -4.6,a,   -21.1,a,    -7.4,a,    10.6,a,    -0.8,a
 1968,   -24.1,a,   -22.5,a,   -11.3,a,    -2.2,a,     2.4,a,     7.7,a,    11.2,a,     8.8,a,     9.5,a,     3.4,a,    -7.7,a,   -16.2,a,    -3.4,a,   -20.6,a,    -3.7,a,     9.2,a,     1.7,a
 1969,   -15.3,a,   -16.1,a,   -14.5,a,    -5.8,a,     1.0,a,     7.9,a,    11.5,a,    12.5,a,     5.0,a,    -0.2,a,    -5.1,a,   -16.8,a,    -3.0,a,   -15.9,a,    -6.4,a,    10.6,a,    -0.1,a
 1970,   -25.0,a,   -23.2,a,   -13.4,a,    -4.0,a,     2.0,a,     7.8,a,    13.1,a,    11.2,a,     6.8,a,     2.5,a,    -6.4,a,   -19.7,a,    -4.0,a,   -21.7,a,    -5.1,a,    10.7,a,     1.0,a
 1971,   -23.5,a,   -18.3,a,   -14.4,a,    -4.7,a,     1.9,a,     8.2,a,    10.0,a,     9.7,a,     8.6,a,     4.4,a,    -7.4,a,   -17.7,a,    -3.6,a,   -20.5,a,    -5.7,a,     9.3,a,     1.9,a
 1972,   -23.0,a,   -22.9,a,   -16.5,a,    -6.3,a,     3.1,a,     7.8,a,    11.5,a,     8.9,a,     4.4,a,    -1.7,a,    -8.0,a,   -20.2,a,    -5.2,a,   -21.2,a,    -6.6,a,     9.4,a,    -1.8,a
 1973,   -18.3,a,   -23.1,a,    -6.5,a,    -4.0,a,     2.9,a,    10.4,a,    12.1,a,    13.5,a,     6.0,a,     2.8,a,    -6.4,a,   -16.7,a,    -2.3,a,   -20.5,a,    -2.5,a,    12.0,a,     0.8,a
 1974,   -22.7,a,   -23.3,a,   -16.1,a,    -5.4,a,     1.5,a,     9.6,a,    12.3,a,    10.6,a,     3.6,a,    -2.3,a,    -6.1,a,   -13.5,a,    -4.3,a,   -20.9,a,    -6.7,a,    10.8,a,    -1.6,a
 1975,   -19.9,a,   -18.5,a,   -16.0,a,    -7.9,a,     5.8,a,    10.1,a,    12.9,a,    11.0,a,     5.7,a,     1.2,a,    -5.5,a,   -20.6,a,    -3.5,a,   -17.3,a,    -6.0,a,    11.3,a,     0.5,a
 1976,   -26.2,a,   -18.8,a,   -15.2,a,    -3.3,a,     2.5,a,    10.3,a,    10.3,a,     9.9,a,     4.2,a,    -2.1,a,    -9.0,a,   -25.1,a,    -5.2,a,   -21.9,a,    -5.3,a,    10.2,a,    -2.3,a
 1977,   -22.8,a,   -17.4,a,    -7.5,a,    -5.6,a,     4.8,a,     7.2,a,    11.0,a,     9.7,a,     5.8,a,    -0.1,a,    -4.9,a,   -16.9,a,    -3.1,a,   -21.8,a,    -2.8,a,     9.3,a,     0.3,a
 1978,   -22.5,a,   -22.0,a,   -18.0,a,    -6.7,a,     5.1,a,     7.3,a,    10.2,a,     9.7,a,     3.7,a,    -0.3,a,   -10.5,a,   -18.1,a,    -5.2,a,   -20.5,a,    -6.5,a,     9.1,a,    -2.4,a
 1979,   -21.6,a,   -26.4,a,   -11.5,a,    -3.4,a,     4.3,a,     9.1,a,    12.0,a,     9.3,a,     5.7,a,     1.1,a,    -5.2,a,   -15.2,a,    -3.5,a,   -22.0,a,    -3.5,a,    10.1,a,     0.5,a
 1980,   -19.9,a,   -21.6,a,   -12.5,a,    -1.9,a,     3.5,a,     5.9,a,    10.9,a,    13.1,a,     4.1,a,    -1.9,a,    -9.4,a,   -24.6,a,    -4.5,a,   -18.9,a,    -3.6,a,    10.0,a,    -2.4,a
 1981,   -23.4,a,   -12.6,a,    -9.2,a,    -3.5,a,     2.3,a,     8.8,a,    11.6,a,    10.5,a,     6.6,a,    -1.9,a,    -5.9,a,   -12.5,a,    -2.4,a,   -20.2,a,    -3.5,a,    10.3,a,    -0.4,a
 1982,   -29.1,a,   -21.7,a,   -14.5,a,    -6.9,a,     5.5,a,     7.2,a,    11.1,a,     8.2,a,     6.8,a,     2.8,a,    -6.2,a,   -13.4,a,    -4.2,a,   -21.1,a,    -5.3,a,     8.8,a,     1.1,a
 1983,   -20.9,a,   -18.2,a,   -12.1,a,    -4.0,a,     1.0,a,     8.7,a,    12.5,a,    11.6,a,     7.8,a,     0.7,a,    -5.5,a,   -21.2,a,    -3.3,a,   -17.5,a,    -5.0,a,    10.9,a,     1.0,a
 1984,   -26.4,a,   -12.5,a,   -17.6,a,    -1.4,a,     1.7,a,     8.9,a,    12.3,a,    11.8,a,     5.1,a,     1.1,a,    -5.4,a,   -16.9,a,    -3.3,a,   -20.0,a,    -5.8,a,    11.0,a,     0.3,a
 1985,   -23.1,a,   -17.7,a,   -13.9,a,    -5.3,a,     2.2,a,     7.6,a,    10.8,a,    10.1,a,     7.5,a,     0.7,a,    -8.5,a,   -22.0,a,    -4.3,a,   -19.2,a,    -5.7,a,     9.5,a,    -0.1,a
 1986,   -22.4,a,   -21.0,a,   -12.8,a,    -1.6,a,     4.4,a,     5.3,a,    11.4,a,     9.5,a,     4.8,a,    -0.6,a,   -10.1,a,   -14.4,a,    -4.0,a,   -21.8,a,    -3.3,a,     8.7,a,    -2.0,a
 1987,   -17.6,a,   -21.2,a,   -10.2,a,    -1.4,a,     3.0,a,     9.6,a,    12.8,a,     9.7,a,     7.3,a,    -0.9,a,    -7.5,a,   -11.5,a,    -2.3,a,   -17.7,a,    -2.9,a,    10.7,a,    -0.4,a
 1988,   -20.2,a,   -24.1,a,   -15.4,a,    -3.1,a,     3.8,a,     7.1,a,    13.5,a,    12.0,a,     6.3,a,    -0.8,a,    -3.5,a,   -19.8,a,    -3.7,a,   -18.6,a,    -4.9,a,    10.9,a,     0.7,a
 1989,   -20.2,a,   -23.8,a,   -16.9,a,    -5.9,a,     5.0,a,     9.1,a,    11.6,a,    10.0,a,     6.5,a,     2.1,a,   -10.8,a,   -26.6,a,    -5.0,a,   -21.3,a,    -5.9,a,    10.2,a,    -0.7,a
 1990,   -17.1,a,   -20.5,a,   -13.0,a,    -2.6,a,     2.3,a,     9.9,a,    11.8,a,    10.9,a,     5.1,a,    -0.5,a,    -6.4,a,   -17.1,a,    -3.1,a,   -21.4,a,    -4.4,a,    10.9,a,    -0.6,a
 1991,   -23.8,a,   -16.4,a,   -13.9,a,    -1.7,a,     5.1,a,     9.9,a,    11.9,a,    11.8,a,     4.3,a,     0.6,a,    -6.6,a,   -18.6,a,    -3.1,a,   -19.1,a,    -3.5,a,    11.2,a,    -0.6,a
 1992,   -21.1,a,   -21.4,a,   -17.3,a,    -5.8,a,     2.5,a,     6.3,a,     9.1,a,     9.7,a,     6.1,a,    -1.6,a,    -8.1,a,   -15.4,a,    -4.8,a,   -20.4,a,    -6.9,a,     8.4,a,    -1.2,a
 1993,   -22.2,a,   -26.4,a,   -13.3,a,    -3.8,a,     4.4,a,     7.7,a,    13.4,a,    12.5,a,     3.7,a,    -1.3,a,   -10.9,a,   -17.0,a,    -4.4,a,   -21.3,a,    -4.2,a,    11.2,a,    -2.8,a
 1994,   -31.7,a,   -23.7,a,   -12.2,a,    -5.9,a,     1.7,a,     9.7,a,    12.2,a,     8.4,a,     6.2,a,     2.2,a,    -4.8,a,   -11.1,a,    -4.1,a,   -24.1,a,    -5.5,a,    10.1,a,     1.2,a
 1995,   -16.3,a,   -22.9,a,   -10.5,a,    -7.4,a,     3.4,a,     9.9,a,    13.1,a,    11.1,a,     3.8,a,     3.2,a,   -12.0,a,   -18.8,E,    -3.6,a,   -16.8,a,    -4.8,a,    11.4,a,    -1.7,a
 1996,   -24.9,a,   -23.0,a,   -15.0,a,    -5.6,a,     0.9,a,    10.5,a,    11.5,a,    10.4,a,     7.7,E,     0.8,E,    -9.4,a,   -11.1,a,    -3.9,a,   -22.2,a,    -6.6,a,    10.8,a,    -0.3,a
 1997,   -22.5,a,   -23.3,a,   -17.3,a,    -4.3,a,     1.0,a,     9.6,a,    12.3,a,     9.2,a,     7.4,a,     0.7,a,    -9.0,a,   -16.0,a,    -4.4,a,   -19.0,a,    -6.9,a,    10.4,a,    -0.3,a
 1998,   -18.6,a,   -13.6,a,   -11.1,E,    -2.1,a,     5.4,a,    11.0,a,    12.0,a,    10.8,a,     6.9,a,     1.3,E,    -4.6,E,   -13.7,a,    -1.4,a,   -16.1,a,    -2.6,a,    11.3,a,     1.2,a
 1999,   -22.5,a,   -17.0,a,   -12.7,E,    -3.9,E,     5.6,a,    10.8,a,    13.6,E,     9.7,a,     8.4,a,    -1.2,E,    -3.9,E,   -13.4,a,    -2.2,a,   -17.7,a,    -3.7,a,    11.4,a,     1.1,a
 2000,   -23.0,a,   -17.8,a,    -9.4,E,    -5.4,a,     4.4,a,     7.1,a,    10.4,a,    10.4,a,     5.5,a,     0.4,a,    -5.2,a,   -20.5,a,    -3.6,a,   -18.1,a,    -3.5,a,     9.3,a,     0.2,a
 2001,   -19.9,a,   -20.8,E,   -14.9,a,    -3.1,a,     5.9,a,    10.4,a,    11.0,a,    12.4,E,     7.6,a,     2.1,a,    -3.2,a,    -8.9,a,    -1.8,a,   -20.4,a,    -4.0,a,    11.3,a,     2.2,a
 2002,   -17.5,a,   -18.3,a,   -16.6,a,    -4.8,a,     1.8,a,     8.4,a,    12.5,a,    12.0,a,     8.6,a,    -1.9,a,    -9.4,a,   -14.8,a,    -3.3,a,   -14.9,a,    -6.5,a,    11.0,a,    -0.9,a
 2003,   -23.2,E,   -24.0,a,   -14.3,a,    -7.5,a,     3.1,a,     8.2,E,    12.6,a,    12.4,a,     8.3,E,     0.8,a,    -4.3,a,   -14.0,a,    -3.5,a,   -20.7,a,    -6.2,a,    11.1,a,     1.6,a
 2004,   -25.8,a,   -17.3,a,   -12.4,a,    -5.9,a,     1.5,a,     7.2,a,    11.3,a,    10.2,a,     7.4,a,     1.3,E,    -5.4,E,   -21.1,a,    -4.1,a,   -19.0,a,    -5.6,a,     9.6,a,     1.1,a
 2005,   -25.6,a,   -16.9,a,   -14.8,a,    -1.4,a,     3.2,a,    12.5,a,    12.0,a,    12.1,a,     7.9,E,     3.0,a,    -5.9,a,   -15.9,a,    -2.5,a,   -21.2,a,    -4.3,a,    12.2,a,     1.7,a
 2006,   -14.3,a,   -19.9,a,    -9.6,a,    -2.2,a,     6.1,a,     9.8,a,    12.8,a,     9.5,a,     5.6,a,     0.5,a,    -3.1,a,   -10.0,a,    -1.2,a,   -16.7,a,    -1.9,a,    10.7,a,     1.0,a
 2007,   -18.1,E,   -23.0,a,   -13.5,E,    -2.6,a,     3.8,a,    10.0,a,    11.3,a,    10.2,a,     7.4,a,     3.8,a,    -6.9,a,   -16.6,E,    -2.9,a,   -17.0,a,    -4.1,a,    10.5,a,     1.4,a
 2008,   -17.4,a,   -20.9,E,   -16.9,a,    -1.6,E,     1.7,a,    10.7,a,    12.9,a,    10.7,a,     6.1,a,     0.4,a,    -4.9,a,   -19.6,a,    -3.2,a,   -18.3,a,    -5.6,a,    11.4,a,     0.5,a
 2009,   -25.5,a,   -18.8,a,   -14.0,a,    -4.3,a,     0.8,a,     9.1,a,    11.5,a,    11.4,a,     6.6,a,     0.1,a,    -1.6,a,   -15.5,a,    -3.4,a,   -21.3,a,    -5.8,a,    10.7,a,     1.7,a
 2010,   -15.8,a,   -13.5,a,    -9.3,a,    -0.9,a,     5.8,a,     8.4,E,    14.8,E,    12.5,a,     7.1,a,     0.1,a,    -5.5,a,   -12.0,a,    -0.7,a,   -14.9,a,    -1.5,a,    11.9,a,     0.6,a
 2011,   -20.7,a,   -20.0,a,   -14.2,a,    -4.2,a,     3.6,a,     9.7,a,    13.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.6,a,    -4.9,a, -9999.9,M, -9999.9,M
 2012, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.2,a,    12.0,a,     6.5,a,     2.5,a,    -6.0,a,   -13.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.0,a
 2013,   -19.7,a,   -18.5,E,    -9.1,a,    -5.1,a,     4.8,a,     8.8,E,    12.1,E,    11.5,a,     6.2,a,     1.9,E,    -7.6,a,   -19.7,E,    -2.9,a,   -17.2,a,    -3.1,a,    10.8,a,     0.2,a
 2014,   -22.9,E,   -20.4,a,   -20.0,a,    -4.6,E,     4.1,a,    10.0,a,    11.5,a,    10.8,a,     6.5,a,     2.6,E,    -9.2,a,   -14.4,E,    -3.8,a,   -21.0,a,    -6.8,a,    10.8,a,     0.0,a
 2015,   -24.7,E,   -27.5,a,   -16.5,E,    -4.7,a,     3.8,a,     8.0,a,    12.2,a,    13.1,a,     9.0,E,    -0.7,a,    -4.0,a,    -5.9,E,    -3.2,a,   -22.2,a,    -5.8,a,    11.1,a,     1.4,a
 2016,   -16.6,a,   -20.3,E,   -11.6,a,    -8.8,a,     3.4,E,     8.4,E,    12.6,a,    13.5,E,     8.5,a,     2.6,E,    -1.6,a,   -13.7,a,    -2.0,a,   -14.3,a,    -5.7,a,    11.5,a,     3.2,a
 2017,   -14.2,a,   -15.7,a,   -16.1,E,    -2.6,a,     3.6,E,     8.9,a,    10.7,a,     9.0,a,     9.0,a,     3.9,a,    -9.2,a,   -19.5,E,    -2.7,a,   -14.5,a,    -5.0,a,     9.5,a,     1.2,a
