" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1945" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     6.3" "     1.3" "     1.3" " NA" " NA" " NA" " NA" " NA"
"1946" "     1.6" "     0.5" "     2.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     1.1" " NA" " NA" " NA"
"1947" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1948" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    12.0" "     8.6" "     4.3" "     1.6" "    -1.7" " NA" " NA" " NA" " NA" "     4.8"
"1949" "    -0.5" "    -1.6" "     1.1" "     3.0" "     6.0" "     7.8" "    10.4" "     9.9" "    10.3" "     6.3" "     4.9" "    -0.9" "     4.7" "    -1.3" "     3.4" "     9.4" "     7.2"
"1950" "    -6.7" "    -1.5" "    -0.2" "     1.4" "     4.9" "     8.9" "    10.5" "    11.5" "     9.5" "     4.2" "     0.3" "     1.1" "     3.7" "    -3.0" "     2.0" "    10.3" "     4.7"
"1951" "    -1.3" "    -0.2" "    -1.0" "     2.2" "     5.8" "     9.7" "    12.1" "    12.3" "    10.3" "     5.6" "     3.7" "     0.4" "     5.0" "    -0.1" "     2.3" "    11.4" "     6.5"
"1952" "    -1.9" "     0.4" "     0.6" "     2.2" "     4.6" "     7.6" "    11.1" "    12.1" "     9.8" "     7.4" "     4.1" "     2.2" "     5.0" "    -0.4" "     2.5" "    10.3" "     7.1"
"1953" "    -2.2" "     1.2" "     1.3" "     2.4" "     6.5" "     9.0" "    11.6" "    11.7" "     9.1" "     6.6" "     3.5" "     2.5" "     5.3" "     0.4" "     3.4" "    10.8" "     6.4"
"1954" "    -2.9" "    -0.5" "    -0.2" "     1.1" "     6.2" "     8.2" "     9.6" "    12.6" "    10.8" "     6.3" "     5.3" "     1.3" "     4.8" "    -0.3" "     2.4" "    10.1" "     7.5"
"1955" "     2.7" "     1.3" "    -0.1" "     1.5" "     3.7" "     8.1" "    10.9" "    10.7" "     9.1" "     5.3" "     0.0" "    -1.8" "     4.3" "     1.8" "     1.7" "     9.9" "     4.8"
"1956" "    -0.9" "    -0.9" "    -0.3" "     3.1" "     6.7" "     8.1" "    11.3" "    12.7" "     9.9" "     4.0" "     3.0" "     1.6" "     4.9" "    -1.2" "     3.2" "    10.7" "     5.6"
"1957" "    -1.5" "    -0.7" "     1.3" "     3.5" "     7.5" "     9.4" "    11.1" "    12.1" "    12.3" "     7.4" "     5.5" "     1.2" "     5.8" "    -0.2" "     4.1" "    10.9" "     8.4"
"1958" "     3.6" "     4.0" "     2.5" "     4.8" "     7.9" "    12.2" "    14.1" "    12.7" "    10.0" "     6.7" "     2.3" "     2.4" "     6.9" "     2.9" "     5.1" "    13.0" "     6.3"
"1959" "     0.8" "     1.2" "     1.8" "     3.4" "     6.2" "     9.7" "    11.6" "    11.1" "     8.5" "     7.1" "     2.6" "     2.1" "     5.5" "     1.5" "     3.8" "    10.8" "     6.1"
"1960" "     1.5" "     1.9" "     1.4" "     3.9" "     5.7" "     8.5" "    11.2" "    11.9" "     9.9" "     7.4" "     3.6" "     3.1" "     5.8" "     1.8" "     3.7" "    10.5" "     7.0"
"1961" "     2.1" "     1.9" "     2.0" "     4.4" "     7.0" "     9.1" "    12.2" "    13.1" "    10.2" "     5.9" "     1.7" "     0.8" "     5.9" "     2.4" "     4.5" "    11.5" "     5.9"
"1962" "     2.1" "     1.3" "    -0.4" "     2.7" "     4.5" "     8.4" "    11.1" "    11.8" "     9.8" "     6.8" "     2.8" "     2.9" "     5.3" "     1.4" "     2.3" "    10.4" "     6.5"
"1963" "     1.7" "     4.3" "     1.3" "     3.5" "     5.7" "     8.5" "    11.4" "    13.1" "    11.4" "     5.7" "     0.7" "     2.2" "     5.8" "     3.0" "     3.5" "    11.0" "     5.9"
"1964" "     0.3" "     1.7" "     1.5" "     2.2" "     4.4" "     9.1" "    10.5" "    10.7" "     8.6" "     5.2" "     1.6" "    -3.3" "     4.4" "     1.4" "     2.7" "    10.1" "     5.1"
"1965" "    -1.3" "     0.7" "     1.8" "     3.1" "     4.4" "     7.7" "    11.2" "    11.6" "    11.5" "     6.0" "     2.5" "    -0.4" "     4.9" "    -1.3" "     3.1" "    10.2" "     6.7"
"1966" "    -1.3" "     0.8" "     1.8" "     2.9" "     4.7" "     8.3" "    11.3" "    11.4" "     9.6" "     4.8" "     3.0" "     1.9" "     4.9" "    -0.3" "     3.1" "    10.3" "     5.8"
"1967" "     0.0" "     1.8" "    -0.2" "     2.9" "     6.2" "    10.1" "    11.0" "    12.7" "     9.7" "     5.8" "     3.7" "     1.5" "     5.4" "     1.2" "     3.0" "    11.3" "     6.4"
"1968" "    -1.9" "     0.6" "     2.1" "     2.2" "     7.1" "     8.0" "    11.6" "    11.6" "     9.0" "     5.3" "     3.3" "    -2.1" "     4.7" "     0.1" "     3.8" "    10.4" "     5.9"
"1969" "    -5.8" "    -1.4" "     0.6" "     2.8" "     6.2" "    10.8" "    11.2" "    10.4" "     9.7" "     6.6" "     4.3" "     3.7" "     4.9" "    -3.1" "     3.2" "    10.8" "     6.9"
"1970" "    -0.1" "     3.7" "     2.9" "     2.8" "     5.4" "     8.7" "    10.2" "    11.0" "     9.5" "     6.7" "     2.6" "    -0.9" "     5.2" "     2.4" "     3.7" "    10.0" "     6.3"
"1971" "    -2.6" "     0.3" "     0.1" "     2.1" "     4.1" "     7.8" "    11.8" "    11.6" "     8.7" "     4.9" "     3.4" "    -1.6" "     4.2" "    -1.1" "     2.1" "    10.4" "     5.7"
"1972" "    -3.5" "    -2.1" "     0.5" "     0.5" "     5.6" "     7.7" "    11.4" "    12.3" "     9.3" "     5.9" "     4.0" "     0.4" "     4.3" "    -2.4" "     2.2" "    10.5" "     6.4"
"1973" "    -0.1" "     1.1" "     1.1" "     3.1" "     4.9" "     7.4" "    10.0" "    10.8" "     9.2" "     4.5" "    -0.4" "     1.3" "     4.4" "     0.5" "     3.0" "     9.4" "     4.4"
"1974" "    -1.8" "     0.2" "     0.7" "     3.1" "     4.9" "     7.1" "     9.9" "    12.4" "    11.1" "     6.5" "     2.6" "     1.9" "     4.9" "    -0.1" "     2.9" "     9.8" "     6.7"
