" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1910" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     6.9" "     3.7" "    -1.5" "    -1.4" " NA" " NA" " NA" " NA" "     3.0"
"1911" "    -8.5" "    -5.3" "    -1.0" "    -0.2" "     3.4" "     9.1" "    11.7" "    11.2" "     8.3" "     5.3" "    -1.9" "    -1.7" "     2.5" "    -5.1" "     0.7" "    10.7" "     3.9"
"1912" "    -6.8" "    -1.3" "    -3.0" "     1.1" "     7.5" "     9.1" "    12.1" " NA" "     8.8" "     6.7" "    -0.2" "    -0.3" " NA" "    -3.3" "     1.9" " NA" "     5.1"
"1913" "    -6.7" "    -3.7" "    -3.0" " NA" "     4.9" "    10.2" "    10.8" "    10.6" "     9.0" "     4.8" "     0.9" "    -2.0" " NA" "    -3.6" " NA" "    10.5" "     4.9"
"1914" "    -4.8" "    -1.8" "    -0.8" "     2.4" "     6.1" "    10.0" "    11.0" "    11.2" "     8.8" "     7.5" "    -0.9" "    -5.5" "     3.6" "    -2.9" "     2.6" "    10.7" "     5.1"
"1915" "    -2.3" "    -2.6" "     0.4" "     3.9" "     8.7" "    12.0" "    13.0" " NA" " NA" " NA" "    -0.6" "    -1.9" " NA" "    -3.5" "     4.3" " NA" " NA"
"1916" "   -10.7" "    -3.3" "    -2.1" "     1.3" "     5.4" "    10.4" "    11.2" "     9.8" "     8.6" "     4.2" "     0.0" "    -6.1" "     2.4" "    -5.3" "     1.5" "    10.5" "     4.3"
"1917" "    -5.9" "    -6.6" "    -2.5" "    -0.1" "     4.8" "     8.8" "     9.6" "     9.3" "     6.7" "     6.3" " NA" " NA" " NA" "    -6.2" "     0.7" "     9.2" " NA"
"1918" " NA" "    -4.5" "    -4.2" "    -0.1" "     1.6" "     7.4" "    10.6" "    11.0" "     5.7" "     3.8" "     0.6" "    -3.6" " NA" " NA" "    -0.9" "     9.7" "     3.4"
"1919" "    -3.4" "    -6.7" "    -6.1" "     1.0" "     4.8" "     7.5" "     9.9" "     9.6" "     6.2" "     1.6" "    -4.2" "    -5.1" "     1.3" "    -4.6" "    -0.1" "     9.0" "     1.2"
"1920" "    -6.7" "    -5.5" "    -3.5" "    -2.2" "     0.2" "     7.1" "     9.6" "     9.8" "     6.9" "     0.2" "    -0.9" "    -2.5" "     1.0" "    -5.8" "    -1.8" "     8.8" "     2.1"
"1921" "    -6.4" "    -4.9" "    -3.3" "     2.1" "     4.1" "     8.9" "    10.7" "    10.4" "     7.5" "     5.6" "     0.3" "    -2.5" "     2.7" "    -4.6" "     1.0" "    10.0" "     4.5"
"1922" "    -5.5" "    -9.6" "    -1.8" "     1.6" "     7.5" "     8.1" "    10.7" "     9.7" "     6.3" "     3.2" "    -1.3" "    -8.0" "     1.7" "    -5.9" "     2.4" "     9.5" "     2.7"
"1923" "    -8.2" "    -4.5" "    -1.1" "     1.5" "     6.1" "     8.0" "    12.7" "    12.7" "     9.4" "     5.2" "     1.7" "    -3.1" "     3.4" "    -6.9" "     2.2" "    11.1" "     5.4"
"1924" "    -5.7" "    -1.9" "     0.2" "     3.1" "     6.1" "     8.5" "     8.9" "     8.0" "     3.7" "     4.0" " NA" "    -3.2" " NA" "    -3.6" "     3.1" "     8.5" " NA"
"1925" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1926" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1927" "    -1.9" "    -2.0" "    -1.8" "    -0.3" "     6.1" " NA" " NA" " NA" "     8.2" " NA" "    -3.3" "    -7.3" " NA" " NA" "     1.3" " NA" " NA"
"1928" "    -4.2" "    -8.5" "    -6.8" "    -4.4" "     8.4" "    14.5" "    12.7" "    11.7" "     8.2" "     3.3" "    -1.3" "    -3.8" "     2.5" "    -6.7" "    -0.9" "    13.0" "     3.4"
"1929" "    -4.6" "    -4.2" "    -2.8" "     1.6" "     7.3" "    10.0" "    11.2" "    11.4" "     6.7" "     4.1" "     0.0" "    -5.3" "     3.0" "    -4.2" "     2.0" "    10.9" "     3.6"
"1930" "   -10.9" "    -3.9" "     0.1" "     6.7" "     9.2" "     7.3" "     9.6" "    10.8" "     7.4" "     5.4" "     5.7" "    -0.8" "     3.9" "    -6.7" "     5.3" "     9.2" "     6.2"
"1931" "     0.6" "     2.0" "    -2.7" "    -1.0" "     3.2" "     7.9" "    10.1" "     9.1" "     6.2" "     2.9" "    -3.2" "    -3.6" "     2.6" "     0.6" "    -0.2" "     9.0" "     2.0"
"1932" "    -5.8" "    -5.2" "    -3.1" "     0.6" "     4.4" "     7.6" "     8.9" "     8.9" "     6.5" "     2.4" "    -1.2" "    -5.2" "     1.6" "    -4.9" "     0.6" "     8.5" "     2.6"
"1933" "    -4.8" "    -4.5" "    -2.4" "     1.1" "     4.7" "     8.3" "     9.2" "     8.9" "     6.0" "     0.9" "     0.9" "   -11.6" "     1.4" "    -4.8" "     1.1" "     8.8" "     2.6"
"1934" "    -4.2" "    -2.5" "    -3.4" "    -0.2" "     4.0" "     7.7" "     8.8" "     8.3" "     4.7" "     2.1" "     0.4" "    -4.0" "     1.8" "    -6.1" "     0.1" "     8.3" "     2.4"
"1935" "    -6.4" "    -1.3" "    -4.1" "    -1.7" "     3.9" "     8.8" "    10.2" "     8.3" "     6.8" "    -0.3" "    -2.8" "    -1.9" "     1.6" "    -3.9" "    -0.6" "     9.1" "     1.2"
"1936" "    -7.9" "   -16.3" "    -3.7" "    -0.8" "     4.9" "     8.3" "    10.4" "     9.0" "     7.0" "     5.5" "    -0.5" "    -6.0" "     0.8" "    -8.7" "     0.1" "     9.2" "     4.0"
"1937" "   -10.5" "    -7.5" "    -1.1" "     1.3" "     6.3" "     9.0" "    10.4" "     9.3" "     7.0" "     5.0" "     0.2" "    -5.5" "     2.0" "    -8.0" "     2.2" "     9.6" "     4.1"
"1938" "    -4.9" "    -6.5" "    -3.1" "     0.5" "     4.6" "     8.6" "    10.0" "     8.5" "     8.9" "     4.6" "    -1.7" "    -4.0" "     2.1" "    -5.6" "     0.7" "     9.0" "     3.9"
"1939" "    -3.5" "    -6.6" "    -3.8" "    -0.4" "     4.8" "     7.7" "     9.5" "     8.6" "     7.6" "     2.0" "    -0.1" "    -1.3" "     2.0" "    -4.7" "     0.2" "     8.6" "     3.2"
"1940" "    -3.3" "    -4.8" "    -0.4" "     2.6" "     4.6" "     7.3" "    11.0" "     9.4" "     7.5" "     3.5" "    -2.2" "    -3.8" "     2.6" "    -3.1" "     2.3" "     9.2" "     2.9"
"1941" "    -5.9" "    -5.8" "    -0.7" "     1.2" "     4.7" "     8.4" "    10.4" "     9.0" "     6.0" "     3.3" "    -1.0" "    -8.4" "     1.8" "    -5.2" "     1.7" "     9.3" "     2.8"
"1942" "    -5.1" "    -4.8" "    -2.2" "     1.9" "     5.9" "     7.6" "     9.3" "     9.1" "     6.1" "     3.4" "    -4.8" "    -7.1" "     1.6" "    -6.1" "     1.9" "     8.7" "     1.6"
"1943" "   -11.4" "    -5.5" "    -4.9" "    -1.4" "     2.8" "     7.7" "     9.5" "    10.3" "     6.0" "     2.1" "    -0.4" "    -2.5" "     1.0" "    -8.0" "    -1.2" "     9.2" "     2.6"
"1944" "    -3.3" "    -4.0" "    -3.8" "    -1.1" "     5.0" "     8.7" "     9.2" "     9.6" "     6.9" "     3.7" "    -0.8" "    -4.9" "     2.1" "    -3.3" "     0.0" "     9.2" "     3.3"
"1945" "    -2.4" "    -3.2" "    -3.0" "    -1.6" "     4.3" "     9.2" "    10.2" "     8.2" "     7.2" "     5.1" "    -3.6" "    -4.0" "     2.2" "    -3.5" "    -0.1" "     9.2" "     2.9"
"1946" "    -4.4" "    -3.7" "    -1.6" "     0.3" "     5.1" "     9.1" "     9.9" "     9.5" "     7.3" "     1.6" "    -3.3" "    -5.9" "     2.0" "    -4.0" "     1.3" "     9.5" "     1.9"
"1947" "    -8.5" "    -4.5" "    -1.7" "     0.1" "     3.3" "     8.4" "     9.7" "     9.6" "     8.2" "     4.3" "    -1.2" "    -4.1" "     2.0" "    -6.3" "     0.6" "     9.2" "     3.8"
"1948" "    -4.2" "   -11.0" "    -4.9" "    -4.2" "     3.5" "     8.4" "     9.3" "     7.3" "     5.6" "     0.8" "    -2.8" "   -10.8" "    -0.3" "    -6.4" "    -1.9" "     8.3" "     1.2"
"1949" "    -8.7" "   -10.1" "    -3.3" "    -1.1" "     1.7" "     6.7" "     8.6" "     7.7" "     5.5" "     1.3" "     1.0" "    -8.8" "     0.0" "    -9.9" "    -0.9" "     7.7" "     2.6"
"1950" " NA" "    -3.5" "    -4.2" "    -0.7" "     5.0" "     8.4" "     9.1" "     8.8" "     6.2" "    -0.5" "    -7.7" "    -5.0" " NA" " NA" "     0.0" "     8.8" "    -0.7"
"1951" "    -9.8" "    -8.4" "    -5.5" "    -2.2" "     4.5" "     6.7" "     9.2" "     8.3" "     5.2" "     0.7" "    -4.1" "    -8.1" "    -0.3" "    -7.7" "    -1.1" "     8.1" "     0.6"
"1952" "    -7.9" "    -6.4" "    -5.0" "    -2.1" " NA" "     7.1" "     8.7" "     8.2" "     6.3" "     3.7" "    -2.2" "    -5.4" " NA" "    -7.5" " NA" "     8.0" "     2.6"
"1953" "   -13.0" "    -2.4" "    -1.3" "    -0.7" "     2.4" "     8.4" "     9.2" "     8.3" "     6.1" "     1.7" "    -2.2" "    -3.5" "     1.1" "    -6.9" "     0.1" "     8.6" "     1.9"
"1954" "    -9.1" "    -5.5" "    -3.9" "    -3.7" "     3.8" "     8.4" "     8.8" "     9.2" "     6.7" "     2.8" "     2.0" "    -4.1" "     1.3" "    -6.0" "    -1.3" "     8.8" "     3.8"
"1955" "    -5.2" "    -4.8" "    -5.9" "    -3.0" "     1.9" "     6.4" "     8.7" "     9.1" "     4.5" "     1.1" "    -7.8" "    -9.8" "    -0.4" "    -4.7" "    -2.3" "     8.1" "    -0.7"
"1956" "    -9.5" "    -9.6" "    -5.2" "    -0.9" "     3.6" "     8.5" "    10.9" "    10.0" "     6.1" "     1.1" "    -3.2" "    -5.7" "     0.5" "    -9.6" "    -0.8" "     9.8" "     1.3"
"1957" "   -10.9" "    -8.4" "    -3.5" "     0.1" "     6.0" "     8.8" "     9.2" "     9.2" "     7.9" "     1.9" "     0.0" "    -3.6" "     1.4" "    -8.3" "     0.9" "     9.1" "     3.3"
"1958" "    -3.6" "    -3.2" "    -3.5" "     0.3" "     5.5" "     8.8" "     9.9" "    10.7" "     8.8" "     3.0" "    -1.9" "    -4.6" "     2.5" "    -3.5" "     0.8" "     9.8" "     3.3"
"1959" "    -7.6" "    -6.2" "    -1.7" "    -1.1" "     7.4" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -6.1" "     1.5" " NA" " NA"
