" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1939" " NA" "   -15.8" "    -8.0" "    -1.8" "     1.3" "     2.6" "     6.6" "     6.3" "     3.1" "    -1.3" "    -3.6" "    -5.8" " NA" " NA" "    -2.8" "     5.2" "    -0.6"
"1940" "   -10.9" "    -9.1" "    -5.2" "    -1.1" "     2.2" "     5.4" "     8.5" "     6.3" "     6.0" "     1.1" "   -10.1" "    -8.4" "    -1.3" "    -8.6" "    -1.4" "     6.7" "    -1.0"
"1941" "    -7.6" "    -8.6" "    -3.8" "    -0.6" "     2.1" "     4.9" "     9.1" "     7.0" "     1.9" "     0.1" "    -4.1" "    -9.6" "    -0.8" "    -8.2" "    -0.8" "     7.0" "    -0.7"
"1942" "   -13.1" "    -9.0" "    -7.4" "    -1.9" "     1.5" "     3.9" "     8.0" "     7.8" "     3.8" "    -0.4" "    -8.0" "   -10.2" "    -2.1" "   -10.6" "    -2.6" "     6.6" "    -1.5"
"1943" "   -20.7" "    -8.9" "   -10.4" "    -1.4" "    -0.2" "     3.0" "     7.2" "     5.9" "     3.2" "     0.1" "    -4.3" "   -12.0" "    -3.2" "   -13.3" "    -4.0" "     5.4" "    -0.3"
"1944" "   -12.8" "   -11.2" "    -9.3" "    -2.3" "     1.1" "     4.9" "     7.0" "     5.1" "     3.7" "     1.6" "    -5.4" "   -13.3" "    -2.6" "   -12.0" "    -3.5" "     5.7" "     0.0"
"1945" "   -11.6" "   -10.2" "    -8.2" "    -4.8" "     1.0" "     4.0" "     7.1" "     6.9" "     1.9" "    -1.0" "    -7.8" "    -9.5" "    -2.7" "   -11.7" "    -4.0" "     6.0" "    -2.3"
"1946" "   -11.2" "    -9.5" "    -6.4" "    -2.3" "     2.1" "     3.1" "     6.7" "     6.0" "     3.2" "    -3.0" "    -9.4" "   -11.1" "    -2.7" "   -10.1" "    -2.2" "     5.3" "    -3.1"
"1947" "   -14.0" "    -9.0" "    -6.1" "    -2.0" "     2.4" "     3.8" "     6.3" "     5.2" "     3.2" "    -0.1" "    -6.0" "    -8.3" "    -2.1" "   -11.4" "    -1.9" "     5.1" "    -1.0"
"1948" "   -12.9" "   -14.0" "    -9.7" "    -4.4" "     1.6" "     7.1" "     5.8" "     5.5" "     2.4" "    -2.0" "    -6.3" "   -16.3" "    -3.6" "   -11.7" "    -4.2" "     6.1" "    -2.0"
"1949" "   -20.2" "   -15.3" "    -7.2" "    -1.9" "     2.5" "     3.0" "     4.7" "     3.8" "     2.3" "    -2.8" "    -2.6" "   -12.6" "    -3.9" "   -17.3" "    -2.2" "     3.8" "    -1.0"
"1950" "   -26.9" "   -10.0" "    -8.3" "    -4.9" "    -0.6" "     5.0" "     6.8" "     6.4" "     3.2" "    -1.2" "    -7.1" "    -6.7" "    -3.7" "   -16.5" "    -4.6" "     6.1" "    -1.7"
"1951" "   -14.3" "   -13.3" "   -11.1" "    -4.2" "     1.6" "     3.4" "     7.0" "     5.9" "     2.8" "    -1.8" "    -7.4" "   -15.5" "    -3.9" "   -11.4" "    -4.6" "     5.4" "    -2.1"
"1952" "   -14.3" "   -11.7" "    -8.8" "    -3.2" "     1.1" "     3.4" "     6.3" "     6.5" "     3.8" "     0.2" "    -7.3" "    -7.2" "    -2.6" "   -13.8" "    -3.6" "     5.4" "    -1.1"
"1953" "    -6.7" "    -9.3" "    -6.9" "    -4.1" "     0.4" "     3.3" "     5.8" "     6.1" "     2.5" "     0.0" "    -3.6" "    -8.4" "    -1.7" "    -7.7" "    -3.5" "     5.1" "    -0.4"
"1954" "   -15.6" "    -6.6" "   -11.5" "    -5.2" "     0.6" "     2.3" "     5.3" "     5.2" "     2.8" "    -2.4" "    -1.7" "    -9.5" "    -3.0" "   -10.2" "    -5.4" "     4.3" "    -0.4"
"1955" "   -10.3" "   -12.4" "   -13.2" "    -5.6" "    -0.8" "     4.2" "     6.7" "     4.8" "     2.4" "    -0.9" "   -13.1" "   -13.9" "    -4.3" "   -10.7" "    -6.5" "     5.2" "    -3.9"
"1956" "   -11.1" "   -15.4" "    -8.9" "    -3.3" "     1.6" "     3.6" "     7.9" "     6.9" "     2.9" "    -1.6" "    -7.4" "   -11.6" "    -3.0" "   -13.5" "    -3.5" "     6.1" "    -2.0"
"1957" "   -20.8" "   -13.1" "    -7.2" "    -2.6" "     3.8" "     4.8" "     5.1" "     4.3" "     4.4" "    -1.2" "    -5.8" "    -8.3" "    -3.1" "   -15.2" "    -2.0" "     4.7" "    -0.9"
"1958" "    -7.6" "    -3.4" "    -7.1" "    -2.7" "     3.8" "     7.0" "     8.6" "     8.6" "     2.2" "    -0.9" "    -8.4" "    -8.2" "    -0.7" "    -6.4" "    -2.0" "     8.1" "    -2.4"
"1959" "   -12.4" "   -11.0" "    -6.8" "    -3.2" "    -0.1" "     4.1" "     6.7" "     4.9" "     2.9" "    -1.0" "    -9.8" "    -9.9" "    -3.0" "   -10.5" "    -3.4" "     5.2" "    -2.6"
"1960" "   -14.4" "   -11.1" "    -8.1" "    -2.9" "     0.1" "     4.3" "     8.2" "     6.4" "     2.4" "     0.1" "    -6.2" "   -11.1" "    -2.7" "   -11.8" "    -3.6" "     6.3" "    -1.2"
"1961" "    -9.9" "    -6.0" "    -6.4" "    -2.7" "     2.0" "     6.7" "     7.7" "     8.5" "     0.9" "    -2.7" "   -11.4" "   -12.1" "    -2.1" "    -9.0" "    -2.4" "     7.6" "    -4.4"
"1962" "   -15.8" "   -10.3" "    -9.9" "    -2.7" "     0.8" "     3.2" "     5.9" "     5.3" "     2.4" "    -0.4" "    -4.6" "    -7.4" "    -2.8" "   -12.7" "    -3.9" "     4.8" "    -0.9"
"1963" "   -17.2" "    -6.6" "    -5.6" "    -3.0" "     0.2" "     3.3" "     5.1" "     5.6" "     4.0" "    -0.7" "    -6.1" "    -9.3" "    -2.5" "   -10.4" "    -2.8" "     4.7" "    -0.9"
"1964" "    -8.9" "    -8.5" "    -7.3" "    -3.4" "     0.3" "     1.7" "     5.6" "     3.5" "     0.3" "    -3.0" "    -8.0" "   -14.4" "    -3.5" "    -8.9" "    -3.5" "     3.6" "    -3.6"
"1965" "    -9.5" "    -9.0" "   -11.4" "    -2.1" "    -0.2" "     3.8" "     6.7" "     7.9" "     0.7" "     0.5" "    -5.1" "    -9.8" "    -2.3" "   -11.0" "    -4.6" "     6.1" "    -1.3"
"1966" "   -10.8" "    -8.3" "    -7.8" "    -3.7" "     0.6" "     2.7" "     5.3" "     5.2" "     4.2" "    -1.1" "    -5.0" "    -7.3" "    -2.2" "    -9.6" "    -3.6" "     4.4" "    -0.6"
"1967" "    -8.7" "    -7.9" "    -8.3" "    -4.3" "     0.5" "     5.7" "     6.7" "     8.6" "     5.0" "    -0.6" "    -5.9" "   -10.1" "    -1.6" "    -8.0" "    -4.0" "     7.0" "    -0.5"
"1968" "   -10.6" "    -6.8" "    -3.7" "    -3.8" "     0.9" "     5.2" "     9.3" "     7.1" "     4.0" "     0.0" "    -3.6" "   -12.8" "    -1.2" "    -9.2" "    -2.2" "     7.2" "     0.1"
"1969" "   -16.2" "   -10.8" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -13.3" " NA" " NA" " NA"
"1970" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1971" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
