" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1938" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -2.6" "   -17.0" "   -24.5" " NA" " NA" " NA" " NA" " NA"
"1939" "   -23.4" "   -28.1" "   -19.6" "    -7.6" "     0.9" "     6.3" "     7.2" "     5.4" "     2.5" "    -7.1" "   -16.3" "   -22.0" "    -8.5" "   -25.3" "    -8.8" "     6.3" "    -7.0"
"1940" "   -28.8" "   -23.3" "   -18.5" "    -5.3" "    -0.8" "     3.2" "     8.4" "     5.5" "     1.7" "    -4.2" "   -20.1" "   -25.7" "    -9.0" "   -24.7" "    -8.2" "     5.7" "    -7.5"
"1941" "   -29.2" "   -22.0" "   -14.2" "    -2.4" "     0.8" "     5.8" "     7.5" "     5.0" "     0.6" "    -2.7" "   -17.9" "   -30.0" "    -8.2" "   -25.6" "    -5.3" "     6.1" "    -6.7"
"1942" "   -17.5" "   -21.9" " NA" "    -4.8" "     1.5" "     6.9" "     8.4" "     6.9" "     1.4" "    -1.4" "   -22.2" "   -28.5" " NA" "   -23.1" " NA" "     7.4" "    -7.4"
"1943" "   -32.2" "   -22.5" "   -21.2" "    -4.5" "     0.3" "     6.3" "     7.8" "     6.1" "     3.0" "    -3.3" "   -11.9" "   -15.5" "    -7.3" "   -27.7" "    -8.5" "     6.7" "    -4.1"
"1944" "   -23.0" "   -19.5" "   -13.2" "    -4.5" "     1.7" "     8.2" "     9.5" "     6.9" "     3.6" "    -0.4" "   -14.3" "   -20.9" "    -5.5" "   -19.3" "    -5.3" "     8.2" "    -3.7"
"1945" "   -22.4" "   -20.3" "   -12.2" "   -10.8" "     1.2" "     6.8" "     8.2" "     6.0" "     1.9" "    -2.7" "   -23.7" "   -28.3" "    -8.0" "   -21.2" "    -7.3" "     7.0" "    -8.2"
"1946" "   -26.6" "   -25.0" "   -15.8" "    -6.7" "     2.0" "     8.7" "     8.6" "     5.7" "     1.9" "    -4.0" "   -20.1" "   -32.0" "    -8.6" "   -26.6" "    -6.8" "     7.7" "    -7.4"
"1947" "   -30.2" "   -28.0" "   -12.8" "    -6.1" "     0.8" "     6.4" "     8.3" "     5.7" "     2.2" "    -2.3" "   -11.9" "   -22.4" "    -7.5" "   -30.1" "    -6.0" "     6.8" "    -4.0"
"1948" "   -25.5" "   -30.2" "   -24.4" "   -15.4" "     2.4" "     7.3" "     9.4" "     6.4" "     2.5" "    -1.5" "   -13.8" "   -31.0" "    -9.5" "   -26.0" "   -12.5" "     7.7" "    -4.3"
"1949" "   -27.2" "   -32.4" "   -16.1" "    -2.8" "     0.1" "     5.4" "     8.9" "     6.7" "     3.5" "    -3.9" "   -10.3" "   -31.5" "    -8.3" "   -30.2" "    -6.3" "     7.0" "    -3.6"
"1950" "   -39.7" "   -28.6" "   -19.6" "    -8.1" "     0.4" "     7.8" "     8.6" "     6.0" "     3.3" "    -6.2" "   -26.8" "   -25.7" "   -10.7" "   -33.3" "    -9.1" "     7.5" "    -9.9"
"1951" "   -32.3" "   -28.3" "   -23.7" "    -6.7" "     1.6" "     5.7" "     9.3" "     6.8" "     2.5" "   -11.1" "   -20.1" "   -32.9" "   -10.8" "   -28.8" "    -9.6" "     7.3" "    -9.6"
"1952" "   -35.1" "   -27.1" "   -17.7" "    -6.9" "     0.9" "     6.6" "     8.6" "     6.9" "     3.4" "    -1.2" "    -7.2" "   -26.6" "    -8.0" "   -31.7" "    -7.9" "     7.4" "    -1.7"
"1953" "   -35.2" "   -21.0" "   -19.6" "    -5.8" "     3.2" "     8.8" "     9.3" "     7.8" "     3.0" "    -2.5" "   -18.7" "   -23.4" "    -7.8" "   -27.6" "    -7.4" "     8.6" "    -6.1"
"1954" "   -36.4" "   -23.6" "   -16.8" "   -15.2" "     1.7" "     8.0" "     8.6" "     8.2" "     2.4" "    -3.9" "   -12.8" "   -25.3" "    -8.8" "   -27.8" "   -10.1" "     8.3" "    -4.8"
"1955" "   -26.6" "   -25.1" "   -21.7" "    -7.1" "    -1.0" "     5.8" "     9.8" "     6.1" "     2.0" "    -4.6" "   -27.8" "   -35.5" "   -10.5" "   -25.7" "    -9.9" "     7.2" "   -10.1"
"1956" "   -33.8" "   -27.3" "   -19.0" "    -7.1" "     0.5" "     6.5" "     8.5" "     8.0" "     1.7" "    -8.3" "   -12.3" "   -29.8" "    -9.4" "   -32.2" "    -8.5" "     7.7" "    -6.3"
"1957" "   -33.1" "   -26.4" "   -19.5" "    -5.7" "     1.1" "     6.7" "     8.4" "     8.3" "     4.8" "    -5.9" "   -12.4" "   -28.9" "    -8.6" "   -29.8" "    -8.0" "     7.8" "    -4.5"
"1958" "   -26.5" "   -27.7" "   -18.6" "    -4.9" "     2.4" "     8.5" "    10.9" "     6.9" "     1.6" "    -4.7" "   -17.1" "   -26.0" "    -7.9" "   -27.7" "    -7.0" "     8.8" "    -6.7"
"1959" "   -35.7" "   -27.3" "   -13.6" "    -6.6" "     0.2" "     7.1" "     9.2" "     6.2" "     3.0" "    -7.4" "   -18.7" "   -21.5" "    -8.8" "   -29.7" "    -6.7" "     7.5" "    -7.7"
"1960" "   -25.9" "   -20.6" "   -18.7" "    -4.5" "     2.3" "     6.9" "     8.5" "     7.3" "     2.2" "    -2.3" "   -17.8" "   -20.6" "    -6.9" "   -22.7" "    -7.0" "     7.6" "    -6.0"
"1961" "   -26.5" "   -24.0" "   -17.0" "    -5.9" "     0.3" "     7.2" "    10.5" "     7.6" "     1.0" "    -5.2" "   -20.6" "   -30.1" "    -8.6" "   -23.7" "    -7.5" "     8.4" "    -8.3"
"1962" "   -26.7" "   -26.5" "   -21.2" "    -6.1" "    -1.2" "     6.2" "     8.4" "     8.8" "     1.9" "    -1.6" "   -14.1" "   -23.0" "    -7.9" "   -27.8" "    -9.5" "     7.8" "    -4.6"
"1963" "   -25.2" "   -19.6" "   -18.2" "    -8.3" "     0.4" "     5.1" "     8.7" "     8.3" "     5.2" "    -1.5" "   -23.2" "   -22.5" "    -7.6" "   -22.6" "    -8.7" "     7.4" "    -6.5"
"1964" "   -28.9" "   -13.8" "   -22.0" "    -6.3" "     0.1" "     8.5" "     9.2" "     7.4" "     0.9" "    -3.9" "   -18.4" "   -30.3" "    -8.1" "   -21.7" "    -9.4" "     8.4" "    -7.1"
"1965" "   -28.2" "   -28.2" "   -20.9" "    -7.9" "    -1.1" "     3.9" "     9.5" "     7.3" "     1.9" "    -2.7" "   -19.7" "   -26.7" "    -9.4" "   -28.9" "   -10.0" "     6.9" "    -6.8"
"1966" "   -41.8" "   -25.1" "   -15.5" "    -7.4" "     0.0" "     6.4" "     9.1" "     5.5" "     2.6" "    -5.4" "   -25.1" "   -25.4" "   -10.2" "   -31.2" "    -7.6" "     7.0" "    -9.3"
"1967" "   -33.1" "   -24.7" "   -25.4" "    -8.5" "    -0.3" "     7.3" "     7.4" "     6.5" "     3.3" "    -3.9" "   -17.7" "   -27.6" "    -9.7" "   -27.7" "   -11.4" "     7.1" "    -6.1"
"1968" "   -32.9" "   -23.8" "   -14.1" "    -9.2" "    -0.5" "     5.7" "     9.0" "     6.6" "     3.4" "    -5.8" "   -20.1" "   -35.4" "    -9.8" "   -28.1" "    -7.9" "     7.1" "    -7.5"
"1969" "   -42.4" "   -29.6" "   -19.4" "    -7.1" "     1.1" "     7.4" "     7.4" "     5.0" "     2.5" "    -6.6" "   -17.4" "   -23.0" "   -10.2" "   -35.8" "    -8.5" "     6.6" "    -7.2"
"1970" "   -29.6" "   -20.9" "   -14.9" "    -5.9" "     0.9" "     6.3" "     7.2" "     5.7" "     2.0" "    -5.2" "   -20.0" "   -28.0" "    -8.5" "   -24.5" "    -6.6" "     6.4" "    -7.7"
"1971" "   -37.2" "   -21.6" "   -19.6" "    -7.2" "    -0.2" "     6.9" "     9.0" "     7.9" "     2.3" "    -7.0" "   -20.4" "   -33.9" "   -10.1" "   -28.9" "    -9.0" "     7.9" "    -8.4"
"1972" "   -37.2" "   -31.6" "   -19.9" "   -12.4" "    -0.9" "     6.1" "     8.1" "     7.9" "     0.2" "    -6.4" "   -14.6" "   -29.7" "   -10.9" "   -34.2" "   -11.1" "     7.4" "    -6.9"
"1973" "   -29.6" "   -26.2" "   -15.6" "    -6.1" "     1.1" "     6.2" "     8.0" "     6.1" "     1.4" "    -4.8" "   -27.5" "   -26.0" "    -9.4" "   -28.5" "    -6.9" "     6.8" "   -10.3"
"1974" "   -35.8" "   -24.9" "   -23.5" "    -8.4" "    -0.6" "     4.5" "     7.4" "     6.5" "     1.1" "    -1.9" "   -12.6" "   -20.6" "    -9.1" "   -28.9" "   -10.8" "     6.1" "    -4.5"
"1975" "   -27.7" "   -28.0" "   -20.2" "    -5.6" "     0.2" "     5.0" "     9.4" "     6.3" "     3.1" "    -3.7" "   -24.6" "   -31.2" "    -9.8" "   -25.4" "    -8.5" "     6.9" "    -8.4"
"1976" "   -25.3" "   -28.8" "   -19.5" "    -5.7" "     0.7" "     4.8" "     7.7" "     7.9" "     2.9" "    -2.6" "   -13.4" "   -25.0" "    -8.0" "   -28.4" "    -8.2" "     6.8" "    -4.4"
"1977" "   -21.1" "   -15.6" "   -16.9" "    -3.3" "     2.2" "     6.4" "     8.7" "     8.6" "     2.4" "    -3.5" "   -21.8" "   -34.5" "    -7.4" "   -20.6" "    -6.0" "     7.9" "    -7.6"
"1978" "   -26.6" "   -24.0" "   -19.5" "    -6.2" "     0.3" "     6.4" "     8.5" "     6.6" "     2.4" "    -0.3" "   -18.2" "   -27.3" "    -8.2" "   -28.4" "    -8.5" "     7.2" "    -5.4"
"1979" "   -34.5" "   -33.4" "   -14.5" "    -9.0" "    -0.1" "     5.6" "    10.6" "     7.0" "     3.8" " NA" "   -12.4" "   -26.3" " NA" "   -31.7" "    -7.9" "     7.7" " NA"
"1980" "   -31.6" "   -21.2" "   -19.3" "    -4.7" "     1.4" "     8.0" "     9.2" "     5.2" "     1.3" "    -1.7" "   -12.0" "   -35.6" "    -8.4" "   -26.4" "    -7.5" "     7.5" "    -4.1"
"1981" "   -18.3" "   -20.4" "   -13.2" "   -10.0" "     2.0" "     4.4" "     8.7" "     7.0" "     2.1" "    -3.4" "   -14.0" "   -29.6" "    -7.1" "   -24.8" "    -7.1" "     6.7" "    -5.1"
"1982" "   -40.0" "   -25.8" "   -18.7" "    -8.3" "     0.3" "     5.8" "    10.3" "     6.4" "     1.4" "    -4.2" "   -23.1" "   -23.6" "   -10.0" "   -31.8" "    -8.9" "     7.5" "    -8.6"
"1983" "   -27.2" "   -24.2" "   -21.8" "    -5.1" "     2.3" "     7.8" "     8.3" "     5.7" "     0.3" "    -4.3" "   -17.1" "   -34.7" "    -9.2" "   -25.0" "    -8.2" "     7.3" "    -7.0"
"1984" "   -22.4" "   -19.2" "   -11.1" "    -3.2" "     1.3" "     6.2" "     7.2" "     6.8" "     0.5" "    -6.9" "   -22.8" "   -32.5" "    -8.0" "   -25.4" "    -4.3" "     6.7" "    -9.7"
"1985" "   -17.6" "   -26.9" "   -16.0" "    -6.6" "     0.4" "     4.3" "     8.5" "     5.9" "     1.7" "    -6.0" "   -27.5" "   -19.3" "    -8.3" "   -25.7" "    -7.4" "     6.2" "   -10.6"
"1986" "   -21.3" "   -26.5" "   -14.8" "   -10.5" "    -0.6" "     5.0" "     9.7" "     5.3" "     1.6" "    -1.5" "   -23.0" "   -20.3" "    -8.1" "   -22.4" "    -8.6" "     6.7" "    -7.6"
"1987" "   -23.3" "   -19.8" "   -23.0" "    -4.7" "     0.6" "     5.4" "     9.8" "     6.2" "     3.2" "    -0.5" "   -15.0" "   -19.6" "    -6.7" "   -21.1" "    -9.0" "     7.1" "    -4.1"
"1988" "   -26.8" "   -22.2" "   -12.7" "    -5.4" "     2.5" "     7.7" "     8.6" "     6.7" "     1.8" "    -5.2" "   -17.7" "   -23.6" "    -7.2" "   -22.9" "    -5.2" "     7.7" "    -7.0"
"1989" "   -28.3" "   -29.4" "   -20.6" "    -7.1" "     1.8" "     6.5" "    10.0" "     8.7" "     2.9" "    -5.2" "   -19.8" "   -20.3" "    -8.4" "   -27.1" "    -8.6" "     8.4" "    -7.4"
"1990" "   -28.4" "   -27.7" "   -13.9" "    -5.8" "     2.1" "     7.1" "     9.3" "     8.0" "     3.8" "    -5.8" "   -25.2" "   -29.5" "    -8.8" "   -25.5" "    -5.9" "     8.1" "    -9.1"
"1991" "   -30.0" "   -20.3" "   -15.2" "    -5.3" "     2.5" "     7.0" "     8.7" "     6.4" "     4.0" "    -8.4" "   -20.5" "   -22.1" "    -7.8" "   -26.6" "    -6.0" "     7.4" "    -8.3"
