" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1957" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -29.8" "   -36.7" " NA" " NA" " NA" " NA" " NA"
"1958" "   -34.1" "   -41.4" "   -28.9" "   -30.4" "    -9.2" "    -0.7" "     4.9" " NA" "    -1.6" "   -12.4" "   -28.7" " NA" " NA" "   -37.4" "   -22.8" " NA" "   -14.2"
"1959" "   -31.5" "   -40.0" "   -33.9" "   -24.6" "   -13.6" "    -2.4" "     3.1" "     2.1" "    -3.2" "   -18.9" "   -25.0" "   -27.7" "   -18.0" " NA" "   -24.0" "     0.9" "   -15.7"
"1960" "   -37.0" "   -34.4" "   -36.2" "   -26.1" "    -7.4" "     0.8" "     5.0" "     4.0" "    -3.9" "   -12.9" "   -28.9" "   -30.9" "   -17.3" "   -33.0" "   -23.2" "     3.3" "   -15.2"
"1961" "   -38.3" "   -35.8" "   -40.5" "   -21.4" "   -15.9" "    -1.8" "     4.3" "     0.5" "    -6.5" "   -20.5" "   -25.8" "   -32.2" "   -19.5" "   -35.0" "   -25.9" "     1.0" "   -17.6"
"1962" "   -40.5" "   -40.5" "   -26.6" "   -27.1" "   -16.2" "    -0.2" "     5.4" "     2.3" "    -2.2" "   -14.2" "   -29.2" "   -33.4" "   -18.5" "   -37.7" "   -23.3" "     2.5" "   -15.2"
"1963" "   -36.7" "   -33.5" "   -40.0" "   -20.9" "   -14.8" "    -2.7" "     3.3" "     1.6" "    -6.8" "   -15.6" "   -21.7" "   -33.6" "   -18.5" "   -34.5" "   -25.2" "     0.7" "   -14.7"
"1964" "   -39.6" "   -39.6" "   -39.7" "   -27.8" "   -10.1" "    -2.4" "     2.6" "     2.9" "    -3.6" "   -16.9" "   -23.9" "   -32.9" "   -19.3" "   -37.6" "   -25.9" "     1.0" "   -14.8"
"1965" "   -36.6" "   -39.5" "   -31.4" "   -22.0" "    -7.5" "    -1.9" "     2.3" "     1.2" "    -5.9" "   -17.6" "   -21.4" "   -30.2" "   -17.5" "   -36.3" "   -20.3" "     0.5" "   -15.0"
"1966" "   -40.7" "   -37.7" "   -31.9" "   -26.7" "    -9.9" "    -1.3" "     3.5" "     5.1" "    -1.9" "   -14.6" "   -31.5" "   -30.2" "   -18.2" "   -36.2" "   -22.8" "     2.4" "   -16.0"
"1967" "   -36.8" "   -41.4" "   -37.5" "   -28.4" "   -10.5" "    -3.6" "     3.3" "     1.6" "    -6.1" "   -13.3" "   -31.6" "   -30.2" "   -19.5" "   -36.1" "   -25.5" "     0.4" "   -17.0"
"1968" "   -36.0" "   -38.3" "   -32.8" "   -25.9" "   -15.2" "    -1.8" "     1.5" "     2.4" "    -1.0" "    -9.3" "   -25.1" "   -31.5" "   -17.8" "   -34.8" "   -24.6" "     0.7" "   -11.8"
"1969" "   -34.1" "   -29.8" "   -34.8" "   -24.4" "   -14.9" "    -3.8" "     5.0" "     4.5" "    -4.0" "   -11.9" "   -28.3" "   -27.2" "   -17.0" "   -31.8" "   -24.7" "     1.9" "   -14.7"
"1970" "   -34.3" "   -36.7" "   -29.8" "   -24.1" "   -17.0" "    -1.2" "     3.2" "     2.1" "    -3.8" "   -11.3" "   -25.9" "   -34.8" "   -17.8" "   -32.7" "   -23.6" "     1.4" "   -13.7"
"1971" "   -32.4" "   -34.0" "   -30.9" "   -23.1" "   -13.9" "     0.6" "     3.8" "     1.8" "    -3.0" "   -10.5" "   -28.5" "   -34.8" "   -17.1" "   -33.7" "   -22.6" "     2.1" "   -14.0"
"1972" "   -40.6" "   -41.5" "   -34.0" "   -26.9" "   -15.6" "    -6.4" "     0.8" "     0.4" "    -6.3" "   -22.9" "   -30.4" "   -37.3" "   -21.7" "   -39.0" "   -25.5" "    -1.7" "   -19.9"
"1973" "   -38.0" "   -41.2" "   -35.3" "   -27.4" "   -11.9" "     0.7" "     4.3" "     3.8" "    -2.3" "   -10.1" "   -22.9" "   -32.3" "   -17.7" "   -38.8" "   -24.9" "     2.9" "   -11.8"
"1974" "   -38.0" "   -35.9" "   -35.9" "   -31.0" "   -11.3" "    -1.3" "     4.3" "     1.9" "    -5.9" "   -19.1" "   -24.8" "   -32.2" "   -19.1" "   -35.4" "   -26.1" "     1.6" "   -16.6"
"1975" "   -42.8" "   -33.1" "   -36.5" "   -19.4" "    -7.7" "     3.4" "     2.3" "     3.2" "    -5.6" "   -12.4" "   -26.5" "   -35.2" "   -17.5" "   -36.0" "   -21.2" "     3.0" "   -14.8"
"1976" "   -36.6" "   -40.4" "   -36.9" "   -21.0" "   -14.3" "    -3.5" "     0.3" "     2.4" "    -3.5" "   -15.6" "   -28.3" "   -34.7" "   -19.3" "   -37.4" "   -24.1" "    -0.3" "   -15.8"
"1977" "   -30.3" "   -36.5" "   -32.1" "   -22.8" "   -10.5" "     0.0" "     3.8" "     3.1" "    -2.1" "   -13.1" "   -25.6" "   -33.2" "   -16.6" "   -33.8" "   -21.8" "     2.3" "   -13.6"
"1978" "   -36.0" "   -30.9" "   -36.2" "   -28.4" "   -15.7" "    -4.6" "     1.6" "     1.4" "    -4.3" "   -22.9" "   -32.0" "   -30.2" "   -19.9" "   -33.4" "   -26.8" "    -0.5" "   -19.7"
"1979" "   -33.0" "   -46.1" "   -36.0" "   -23.4" "    -9.4" "    -3.4" "     1.6" "    -0.4" "    -4.9" "   -17.1" "   -26.6" "   -34.1" "   -19.4" "   -36.4" "   -22.9" "    -0.7" "   -16.2"
"1980" "   -37.5" "   -31.5" "   -30.3" "   -27.6" "    -9.0" "    -2.2" "     2.8" "     4.1" "    -5.4" "   -14.6" "   -28.2" "   -32.4" "   -17.7" "   -34.4" "   -22.3" "     1.6" "   -16.1"
"1981" "   -30.8" "   -34.0" "   -29.7" "   -27.0" "   -12.7" "     0.5" "     3.3" "     2.2" "    -2.3" "   -10.4" "   -23.5" " NA" " NA" "   -32.4" "   -23.1" "     2.0" "   -12.1"
"1982" "   -38.1" "   -39.0" "   -35.6" "   -27.6" "   -13.7" "    -1.4" "     3.1" "     2.0" "    -4.7" "   -14.3" "   -30.2" "   -39.0" "   -19.9" " NA" "   -25.6" "     1.2" "   -16.4"
"1983" "   -38.3" "   -40.6" "   -34.6" "   -26.5" "   -17.2" "    -0.1" "     3.3" "     2.2" "    -0.5" "   -12.5" "   -22.3" "   -34.4" "   -18.5" "   -39.3" "   -26.1" "     1.8" "   -11.8"
"1984" "   -40.3" "   -34.9" "   -31.4" "   -24.7" "    -9.4" "     0.2" "     5.8" "     2.4" "    -3.0" "   -11.2" "   -23.6" "   -35.1" "   -17.1" "   -36.5" "   -21.8" "     2.8" "   -12.6"
"1985" "   -36.9" "   -42.2" "   -36.1" "   -27.1" "    -9.7" "     1.4" "     5.1" "     2.8" "    -0.6" "   -11.6" "   -24.3" "   -28.9" "   -17.3" "   -38.1" "   -24.3" "     3.1" "   -12.2"
"1986" "   -36.3" "   -35.0" "   -33.8" "   -26.6" "   -10.2" "    -3.6" "     3.0" "     0.3" "    -2.8" "   -19.3" "   -30.7" "   -34.0" "   -19.1" "   -33.4" "   -23.5" "    -0.1" "   -17.6"
"1987" "   -40.6" "   -37.2" "   -33.6" "   -26.7" "   -18.5" "    -1.6" "     3.4" "     2.4" "    -0.7" "   -15.2" "   -24.6" "   -24.9" "   -18.2" "   -37.3" "   -26.3" "     1.4" "   -13.5"
"1988" "   -37.5" "   -36.2" "   -32.4" "   -23.2" "   -13.0" "    -0.3" "     4.0" "     2.7" "    -0.7" "   -10.2" "   -26.8" "   -37.2" "   -17.6" "   -32.9" "   -22.9" "     2.1" "   -12.6"
"1989" "   -40.8" " NA" " NA" "   -24.5" "   -15.2" "     0.1" "     4.6" "     3.1" "    -2.9" "   -13.4" "   -27.8" "   -33.1" " NA" " NA" " NA" "     2.6" "   -14.7"
