" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1957" " NA" " NA" " NA" "   -30.5" "   -17.6" "    -2.2" "     4.3" "     0.3" "    -2.8" "   -16.5" "   -30.4" "   -38.3" " NA" " NA" " NA" "     0.8" "   -16.6"
"1958" "   -36.3" "   -45.0" "   -32.4" "   -33.4" "   -12.5" "    -4.0" "     2.3" "     4.8" "    -1.3" "   -13.0" "   -30.7" "   -35.1" "   -19.7" "   -39.9" "   -26.1" "     1.0" "   -15.0"
"1959" " NA" " NA" "   -38.9" "   -29.4" "   -17.2" "    -3.1" "     2.5" "     1.8" "    -3.0" "   -18.6" "   -28.3" "   -29.9" " NA" " NA" "   -28.5" "     0.4" "   -16.6"
"1960" "   -40.5" "   -38.8" "   -40.3" "   -27.5" "    -8.7" "     0.8" "     4.7" "     4.3" "    -3.3" "   -14.1" "   -31.9" "   -34.3" "   -19.1" "   -36.4" "   -25.5" "     3.3" "   -16.4"
"1961" "   -40.6" "   -39.0" "   -45.0" "   -27.0" " NA" "    -3.1" "     4.2" "     0.6" "    -6.2" "   -19.5" "   -28.7" "   -34.2" " NA" "   -38.0" " NA" "     0.6" "   -18.1"
"1962" "   -43.9" "   -43.5" "   -29.5" "   -30.1" "   -15.5" "    -1.8" "     5.6" "     1.9" "    -1.9" "   -15.6" "   -31.4" "   -35.4" "   -20.1" "   -40.5" "   -25.0" "     1.9" "   -16.3"
"1963" "   -40.0" "   -38.8" "   -44.6" "   -24.8" "   -18.5" "    -4.1" "     2.7" "     2.0" "    -5.2" "   -15.6" "   -23.2" "   -36.8" "   -20.6" "   -38.1" "   -29.3" "     0.2" "   -14.7"
"1964" "   -41.3" "   -42.1" "   -41.8" "   -31.2" "   -13.0" "    -4.2" "     1.8" "     3.2" "    -3.1" "   -18.7" "   -27.3" "   -35.3" "   -21.1" "   -40.1" "   -28.7" "     0.3" "   -16.4"
"1965" "   -40.8" "   -44.4" "   -37.1" "   -27.8" "   -11.7" "    -3.5" "     2.2" "     1.5" "    -6.0" "   -18.3" "   -24.0" "   -34.1" "   -20.3" "   -40.2" "   -25.5" "     0.1" "   -16.1"
"1966" "   -44.5" "   -39.6" "   -36.9" "   -29.7" "   -11.3" "    -1.3" "     4.2" "     5.7" "    -0.9" "   -15.5" "   -32.8" "   -33.0" "   -19.6" "   -39.4" "   -26.0" "     2.9" "   -16.4"
"1967" "   -41.2" "   -43.3" "   -39.3" "   -31.6" "   -13.8" "    -4.7" "     2.7" "     1.9" "    -4.9" "   -13.4" "   -34.0" "   -34.1" "   -21.3" "   -39.2" "   -28.2" "     0.0" "   -17.4"
