"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1915" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.4" "   -14.5" " NA" " NA" " NA" " NA" " NA"
"1916" "   -32.4" "   -17.4" "   -12.7" "    -2.2" "     1.0" "     5.4" "     8.1" "     6.4" "     2.4" "    -1.8" "    -9.0" "   -21.4" "    -6.1" "   -21.4" "    -4.6" "     6.6" "    -2.8"
"1917" "   -22.2" "   -22.9" "   -13.9" "    -4.5" "     1.7" "     4.3" " NA" "     6.8" "     2.1" " NA" "    -4.3" "   -26.9" " NA" "   -22.2" "    -5.6" " NA" " NA"
"1918" "   -21.4" "   -18.7" "   -12.4" "    -4.3" "     0.1" "     6.3" "     7.0" "     7.4" "     2.3" "    -3.8" "    -7.3" " NA" " NA" "   -22.3" "    -5.5" "     6.9" "    -2.9"
"1919" "   -13.0" "   -22.7" "   -18.6" "    -1.1" "     0.9" "     4.9" "     8.0" "     7.3" "     3.0" "   -10.3" "   -17.3" "   -18.3" "    -6.4" " NA" "    -6.3" "     6.7" "    -8.2"
"1920" "   -23.3" "   -14.5" "   -16.0" "    -8.9" "     1.2" "     4.6" "     8.6" "     5.4" "     0.4" "    -4.8" "   -10.2" "   -16.6" "    -6.2" "   -18.7" "    -7.9" "     6.2" "    -4.9"
"1921" "   -20.0" "   -14.8" "   -14.9" "    -2.8" "     1.3" "     6.5" "     7.1" "     4.9" "    -0.9" "    -2.6" "   -13.8" "   -18.1" "    -5.7" "   -17.1" "    -5.5" "     6.2" "    -5.8"
"1922" "   -19.9" "   -26.3" "   -13.9" "    -3.9" "     1.1" "     5.2" "     5.8" "     7.1" "     1.3" "    -1.9" "    -8.1" "   -19.3" "    -6.1" "   -21.4" "    -5.6" "     6.0" "    -2.9"
"1923" "   -20.0" "   -17.7" "   -12.4" "    -4.5" "     0.7" "     7.6" "     9.0" "     6.8" "     2.1" "    -3.0" "    -6.7" "   -12.7" "    -4.2" "   -19.0" "    -5.4" "     7.8" "    -2.5"
"1924" "   -21.6" "   -12.9" "   -10.1" "    -4.2" "     1.5" "     3.3" "     9.0" "     7.1" "     2.8" "    -2.3" "   -10.4" "   -22.4" "    -5.0" "   -15.7" "    -4.3" "     6.5" "    -3.3"
"1925" "   -20.8" "   -19.7" "   -13.0" "    -1.0" "     2.4" "     6.9" "     8.4" "     7.2" "     2.2" "    -5.7" "   -11.1" "    -9.9" "    -4.5" "   -21.0" "    -3.9" "     7.5" "    -4.9"
"1926" "   -11.3" "   -13.5" "    -6.5" "    -2.7" "     3.0" "     5.3" "     8.6" "     5.5" "     0.0" "    -1.6" "   -11.7" "   -18.3" "    -3.6" "   -11.6" "    -2.1" "     6.5" "    -4.4"
"1927" "   -20.4" "   -21.4" "   -11.5" "    -5.0" "     1.7" "     7.0" "     8.9" "     6.7" "     2.7" "    -2.3" "   -18.7" "   -25.3" "    -6.5" "   -20.0" "    -4.9" "     7.5" "    -6.1"
"1928" "   -16.1" "   -11.9" "   -10.4" "    -5.2" "     3.8" "     6.8" "     8.7" "     5.8" "     1.1" "    -5.8" "   -10.0" "   -13.4" "    -3.9" "   -17.8" "    -3.9" "     7.1" "    -4.9"
