" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1922" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     8.0" "     2.5" "    -1.8" "    -9.5" "   -20.1" " NA" " NA" " NA" " NA" "    -2.9"
"1923" "   -21.9" "   -19.8" "   -16.1" "    -6.0" "    -0.2" "     8.7" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -20.6" "    -7.4" " NA" " NA"
"1924" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -2.4" "    -9.7" "   -22.2" " NA" " NA" " NA" " NA" " NA"
"1925" "   -26.7" "   -21.4" "   -15.9" "    -2.3" "     2.0" "     7.3" "     8.8" "     9.1" "    -0.9" "    -6.6" "   -14.6" "   -12.8" "    -6.2" "   -23.4" "    -5.4" "     8.4" "    -7.4"
"1926" "   -13.8" "   -14.1" "    -9.2" "    -3.4" "     3.3" "     6.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -13.6" "    -3.1" " NA" " NA"
"1927" "   -21.9" "   -21.8" "   -10.2" "    -6.5" "    -1.2" "     4.0" " NA" " NA" " NA" "    -2.3" "   -17.7" "   -26.8" " NA" " NA" "    -6.0" " NA" " NA"
"1928" "   -16.4" "   -12.2" "   -10.0" "    -9.5" "     3.4" "     8.0" "     9.8" "     6.0" "     0.6" "    -2.9" "    -9.2" "   -14.2" "    -3.9" "   -18.5" "    -5.4" "     7.9" "    -3.8"
"1929" "   -25.6" "   -23.1" "   -12.0" "    -5.7" "     1.6" "     7.0" "     8.8" "     7.4" "     3.7" "    -0.6" "    -6.7" "   -20.8" "    -5.5" "   -21.0" "    -5.4" "     7.7" "    -1.2"
"1930" "   -22.7" "   -15.8" "   -13.2" "    -1.8" "     2.8" "     7.3" "    10.7" "     9.4" "     4.5" "    -3.7" "    -8.0" "    -8.8" "    -3.3" "   -19.8" "    -4.1" "     9.1" "    -2.4"
"1931" "   -12.1" "    -9.1" "   -13.4" "    -2.3" "     2.2" "     7.6" "     9.4" "     8.0" "     3.3" "    -2.4" "   -10.0" "   -12.8" "    -2.6" "   -10.0" "    -4.5" "     8.3" "    -3.0"
"1932" "   -22.1" "   -22.9" "   -17.8" "    -2.2" "     2.8" "     7.0" "     9.5" "    10.2" "     4.0" "    -2.7" "   -12.2" "   -17.3" "    -5.3" "   -19.3" "    -5.7" "     8.9" "    -3.6"
"1933" "   -23.3" "   -22.6" "   -15.4" "    -4.2" "     3.2" "     6.7" "     8.4" "     9.4" "     3.3" "    -2.5" "    -6.7" "   -29.1" "    -6.1" "   -21.1" "    -5.5" "     8.2" "    -2.0"
"1934" "   -17.1" "   -12.4" "   -11.5" "    -1.9" "     4.3" "     6.6" "     9.6" "     9.5" "     2.6" "    -0.3" "    -6.8" "   -18.7" "    -3.0" "   -19.5" "    -3.0" "     8.6" "    -1.5"
"1935" "   -28.2" "   -12.0" "   -17.6" "    -9.5" "     2.6" "     7.9" "    11.7" "     6.1" "     3.8" "    -3.1" "   -15.1" "   -16.1" "    -5.8" "   -19.6" "    -8.2" "     8.6" "    -4.8"
"1936" "   -26.9" "   -35.5" "   -10.0" "    -6.9" "     3.6" "     5.7" "     9.2" "     7.6" "     2.9" "    -0.5" "    -5.2" "   -19.0" "    -6.3" "   -26.2" "    -4.4" "     7.5" "    -0.9"
"1937" "   -27.5" "   -23.6" "    -9.3" "    -1.9" "     3.5" "     6.3" "     8.3" "     7.0" "     2.4" "    -0.5" "   -11.9" "   -21.1" "    -5.7" "   -23.4" "    -2.6" "     7.2" "    -3.3"
"1938" "   -17.0" "   -21.2" "    -8.1" "    -2.9" "     0.9" "     5.6" "     9.1" "     5.9" "     5.4" "    -0.5" "   -10.7" "   -17.2" "    -4.2" "   -19.8" "    -3.4" "     6.9" "    -1.9"
"1939" "   -17.1" "   -26.2" "   -16.0" "    -4.1" "     3.8" "     4.3" "     8.7" "     7.5" "     2.1" "    -4.5" "    -6.5" "   -10.1" "    -4.8" "   -20.2" "    -5.4" "     6.8" "    -3.0"
"1940" "   -21.5" "   -15.7" "    -8.9" "    -2.8" "     3.4" "     5.7" "     8.3" "     6.9" "     2.4" "    -0.2" "   -13.8" "   -17.5" "    -4.5" "   -15.8" "    -2.8" "     7.0" "    -3.9"
"1941" "   -22.1" "   -18.0" "   -11.3" "    -1.6" "     2.3" "     8.4" "    11.3" "     7.4" "     1.7" "    -1.2" "    -7.5" "   -18.2" "    -4.1" "   -19.2" "    -3.5" "     9.0" "    -2.3"
"1942" "   -12.2" "   -16.9" "    -8.4" "    -3.4" "     0.9" "     5.0" "     6.7" "     6.4" "     2.1" "    -1.8" "   -15.0" "   -22.1" "    -4.9" "   -15.8" "    -3.6" "     6.0" "    -4.9"
"1943" "   -24.4" "   -17.2" "   -15.1" "    -1.2" "    -0.4" "     4.7" "     9.2" "     8.1" "     3.3" "    -0.3" "    -6.0" "   -11.2" "    -4.2" "   -21.2" "    -5.6" "     7.3" "    -1.0"
"1944" "   -14.0" "   -16.6" "   -13.7" "    -0.8" "     4.4" "     6.7" "     8.2" "     6.4" "     4.5" "    -1.6" "    -9.0" "   -16.2" "    -3.5" "   -13.9" "    -3.4" "     7.1" "    -2.0"
"1945" "   -18.9" "   -19.2" "   -11.3" "    -8.4" "    -1.3" "     4.6" "     7.6" "     6.9" "     1.5" " NA" " NA" "   -18.5" " NA" "   -18.1" "    -7.0" "     6.4" " NA"
"1946" "   -18.5" "   -20.7" "    -8.5" "    -2.2" "     1.4" "     5.4" "     9.2" "     5.9" "     1.7" "    -3.3" "   -13.7" "   -21.9" "    -5.4" "   -19.2" "    -3.1" "     6.8" "    -5.1"
"1947" "   -20.3" "   -25.1" "   -14.3" "    -3.4" "     1.4" "     8.7" "     8.7" "     6.0" "     3.4" "    -1.1" "    -8.5" "   -14.5" "    -4.9" "   -22.4" "    -5.4" "     7.8" "    -2.1"
"1948" "   -16.1" "   -24.0" "   -16.4" "    -9.5" "     3.5" "     6.7" "     9.5" "     8.4" "     4.5" "    -2.8" "    -8.2" "   -22.6" "    -5.6" "   -18.2" "    -7.5" "     8.2" "    -2.2"
"1949" "   -23.2" "   -26.0" "   -12.7" "    -1.0" "     2.1" "     5.5" "     7.6" "     8.1" "     2.6" "    -2.7" "    -2.2" "   -22.5" "    -5.4" "   -23.9" "    -3.9" "     7.1" "    -0.8"
"1950" "   -34.6" "   -18.8" "   -15.3" "    -3.8" "     1.7" "     6.8" "     9.0" "     5.7" "     3.2" "    -2.5" "   -15.9" "   -20.3" "    -7.1" "   -25.3" "    -5.8" "     7.2" "    -5.1"
"1951" "   -25.2" "   -21.5" "   -17.7" "    -4.8" " NA" "     4.5" "     9.1" "     6.9" "     2.4" "    -5.5" "   -13.9" "   -25.6" " NA" "   -22.3" " NA" "     6.8" "    -5.7"
"1952" "   -28.2" "   -17.2" "   -16.1" "    -1.6" "     2.2" "     6.3" "     8.5" "     6.5" "     3.9" "    -2.1" "    -6.7" "   -17.0" "    -5.1" "   -23.7" "    -5.2" "     7.1" "    -1.6"
"1953" "   -26.9" "   -15.6" "   -12.2" "    -5.9" "     2.8" "     6.4" "     9.9" "     8.3" "     4.4" "    -0.9" "    -7.1" "   -13.4" "    -4.2" "   -19.8" "    -5.1" "     8.2" "    -1.2"
"1954" "   -33.4" "   -12.7" "   -13.4" "   -11.5" "     1.7" "     6.5" "     9.9" "     8.6" "     4.1" "    -1.1" "    -5.3" "   -12.1" "    -4.9" "   -19.8" "    -7.7" "     8.3" "    -0.8"
"1955" "   -18.1" "   -22.5" "   -19.3" "    -3.1" "     1.0" "     7.2" "     9.6" "     7.5" "     2.8" "    -3.2" "   -21.3" "   -24.7" "    -7.0" "   -17.6" "    -7.1" "     8.1" "    -7.2"
"1956" "   -26.2" "   -21.9" "   -14.2" "    -4.8" "     2.9" "     6.7" "     9.1" "     8.6" "     2.3" "    -4.3" "    -7.1" "   -19.3" "    -5.7" "   -24.3" "    -5.4" "     8.1" "    -3.0"
"1957" "   -24.0" "   -24.3" "   -14.2" "    -4.2" "     2.6" "     6.1" "     9.3" "     7.8" "     5.4" "    -5.4" "    -8.3" " NA" " NA" "   -22.5" "    -5.3" "     7.7" "    -2.8"
"1958" " NA" " NA" "   -11.9" " NA" "     2.7" " NA" "     8.2" "     8.0" "     2.9" "    -2.4" "   -11.5" "   -19.3" " NA" " NA" " NA" " NA" "    -3.7"
"1959" "   -28.0" "   -22.7" "    -8.0" "    -3.8" "    -0.5" "     6.4" "     8.8" "     6.7" "     2.6" "    -2.3" "   -13.4" "   -10.6" "    -5.4" "   -23.3" "    -4.1" "     7.3" "    -4.4"
"1960" "   -23.9" "   -20.0" "   -17.5" "    -3.2" "     1.3" "     6.1" " NA" "     7.6" "     1.9" "    -1.7" "   -11.4" "   -15.1" " NA" "   -18.2" "    -6.5" " NA" "    -3.7"
"1961" " NA" " NA" "    -9.7" "    -5.7" "     2.2" "     9.9" "    10.6" "     9.1" "     1.8" "    -4.1" "   -11.3" "   -26.2" " NA" " NA" "    -4.4" "     9.9" "    -4.5"
"1962" "   -19.8" "   -23.9" "   -17.4" "    -2.0" "     1.1" "     7.0" "     8.7" "     9.3" " NA" " NA" " NA" " NA" " NA" "   -23.3" "    -6.1" "     8.3" " NA"
"1963" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1964" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1965" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1966" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1967" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1968" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1969" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1970" " NA" " NA" " NA" "    -3.8" "     2.7" "     8.5" "     8.9" "     8.3" "     1.9" "    -3.2" "   -13.2" "   -26.4" " NA" " NA" " NA" "     8.6" "    -4.8"
"1971" "   -28.5" "   -17.8" "   -14.8" "    -3.2" "     3.0" "     7.8" "     9.1" "     9.6" "     2.8" "    -4.9" "   -11.6" "   -24.2" "    -6.1" "   -24.2" "    -5.0" "     8.8" "    -4.6"
"1972" "   -26.9" "   -23.4" "   -10.9" "    -4.4" "     3.1" "     8.7" "     8.3" "     9.3" "     0.7" "    -3.8" "    -9.2" "   -20.8" "    -5.8" "   -24.8" "    -4.1" "     8.8" "    -4.1"
"1973" "   -19.3" "   -17.2" "    -9.5" "    -3.5" "     4.4" "     7.4" "     9.7" "     8.2" "     3.8" "    -0.8" "   -18.6" "   -19.0" "    -4.5" "   -19.1" "    -2.9" "     8.4" "    -5.2"
"1974" "   -25.9" "   -17.6" "   -18.3" "    -2.7" "     1.6" "     8.1" "     9.3" "     7.2" "     2.4" "    -0.7" "    -8.6" "   -12.0" "    -4.8" "   -20.8" "    -6.5" "     8.2" "    -2.3"
"1975" "   -19.9" "   -22.5" "   -15.6" "    -5.7" "     2.7" "     7.1" "    11.6" "     7.3" "     4.0" "    -1.2" "   -10.0" "   -19.2" "    -5.1" "   -18.1" "    -6.2" "     8.7" "    -2.4"
"1976" "   -17.0" "   -15.9" "   -12.6" "    -1.8" "     3.5" "     6.2" "    10.2" "    11.1" "     5.9" "    -1.5" "    -7.4" "   -16.4" "    -3.0" "   -17.4" "    -3.6" "     9.2" "    -1.0"
"1977" "   -18.8" "    -7.9" "   -10.2" "    -2.5" "     4.4" "     8.5" "     8.9" "     6.9" "     4.6" "    -0.8" "   -11.5" "   -21.5" "    -3.3" "   -14.4" "    -2.8" "     8.1" "    -2.6"
"1978" "   -22.5" "   -17.1" "    -9.4" "    -1.2" "     2.4" "     8.1" "     9.7" "     7.8" "     4.7" "     0.8" "   -12.1" "   -19.4" "    -4.0" "   -20.4" "    -2.7" "     8.5" "    -2.2"
"1979" "   -23.2" "   -29.2" "   -11.4" "    -6.4" "     1.6" "     7.4" "    11.4" "     9.2" "     5.7" "     0.7" "    -7.3" "   -15.8" "    -4.8" "   -23.9" "    -5.4" "     9.3" "    -0.3"
"1980" "   -22.5" "   -15.0" "   -12.7" "    -0.7" "     3.4" "     8.8" "     9.1" "     7.6" "     3.3" "     0.3" "    -5.6" "   -21.6" "    -3.8" "   -17.8" "    -3.3" "     8.5" "    -0.7"
"1981" "   -12.6" "   -14.3" "    -8.2" "    -3.5" "     4.8" "     7.1" "    10.2" "    10.1" "     4.0" "    -1.8" "    -4.7" "   -18.1" "    -2.3" "   -16.2" "    -2.3" "     9.1" "    -0.8"
"1982" "   -30.1" "   -23.4" "   -15.9" "    -7.5" "     1.3" "     7.6" "    10.3" "     7.1" "     3.6" "    -2.0" "   -12.9" "   -15.3" "    -6.4" "   -23.9" "    -7.4" "     8.3" "    -3.8"
"1983" "   -17.6" "   -12.8" "    -8.8" "    -2.7" "     2.0" "     7.8" "    10.9" "     9.3" "     2.5" "    -1.3" "    -6.3" "   -23.7" "    -3.4" "   -15.2" "    -3.2" "     9.3" "    -1.7"
"1984" "   -14.4" "    -8.5" "    -8.1" "    -1.3" "     3.1" "     7.3" "    10.0" "     9.4" "     1.8" "    -2.0" "   -15.6" "   -23.5" "    -3.5" "   -15.5" "    -2.1" "     8.9" "    -5.3"
"1985" "   -16.2" "   -21.1" "    -6.5" "    -2.5" "     3.6" "     5.7" "     9.5" "     7.4" "     1.8" "    -0.9" "   -19.5" "   -12.6" "    -4.3" "   -20.3" "    -1.8" "     7.5" "    -6.2"
"1986" "   -13.3" "   -19.3" "    -5.0" "    -2.4" "     3.7" "     7.8" "    10.3" "     7.9" "     2.5" "    -1.1" "   -14.0" "   -12.2" "    -2.9" "   -15.1" "    -1.2" "     8.7" "    -4.2"
"1987" "   -13.2" "   -10.1" "   -12.4" "    -0.9" "     3.8" "     9.1" "    10.4" "     7.3" "     5.7" "    -0.7" "    -6.1" "   -11.5" "    -1.6" "   -11.8" "    -3.2" "     8.9" "    -0.4"
"1988" "   -19.7" "   -17.8" "    -4.6" "    -1.1" "     4.2" "     9.0" "    10.7" "     9.4" "     4.6" "    -1.2" "    -9.6" "   -15.0" "    -2.6" "   -16.3" "    -0.5" "     9.7" "    -2.1"
"1989" "   -18.0" "   -20.9" "   -17.2" "    -4.1" "     2.6" "     8.2" "    11.3" "    11.4" "     4.4" "    -2.1" "    -9.9" "   -12.9" "    -3.9" "   -18.0" "    -6.2" "    10.3" "    -2.5"
