" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1883" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -19.7" "   -27.7" " NA" " NA" " NA" " NA" " NA"
"1884" "   -29.2" "   -29.7" "   -21.5" "   -10.2" "     0.2" "     6.9" "    10.5" "     7.8" "     2.3" "    -7.5" "   -14.8" "   -13.6" "    -8.2" "   -28.9" "   -10.5" "     8.4" "    -6.7"
"1885" "   -32.8" "   -25.6" "   -18.6" "    -6.7" "     0.6" "     8.2" "     9.3" "     7.6" "     3.7" "    -3.4" "    -6.9" "   -20.8" "    -7.1" "   -24.0" "    -8.2" "     8.4" "    -2.2"
"1886" "   -36.1" "   -30.3" "   -22.8" "    -7.3" "    -1.0" "    11.3" "    12.2" "     8.0" "     1.1" "    -2.5" "   -15.9" "   -24.6" "    -9.0" "   -29.1" "   -10.4" "    10.5" "    -5.8"
"1887" "   -34.3" "   -30.7" "   -24.5" "    -8.4" "     2.3" " NA" " NA" " NA" " NA" " NA" "   -15.6" "   -29.7" " NA" "   -29.9" "   -10.2" " NA" " NA"
"1888" " NA" " NA" "   -24.8" "   -13.6" "    -0.8" "     3.3" " NA" "     6.9" "     7.2" "     0.4" "   -13.1" "   -18.0" " NA" " NA" "   -13.1" " NA" "    -1.8"
"1889" "   -21.2" "   -24.4" "   -13.1" "    -3.7" "     2.1" "     9.0" " NA" "     9.7" "     2.0" "    -1.2" "   -12.1" "   -28.9" " NA" "   -21.2" "    -4.9" " NA" "    -3.8"
"1890" "   -33.2" "   -31.6" "   -21.9" "   -13.5" "    -1.6" "     5.9" "    10.9" "     8.8" "     3.3" "    -0.9" "   -12.1" "   -21.9" "    -9.0" "   -31.2" "   -12.3" "     8.5" "    -3.2"
"1891" "   -27.8" "   -32.5" "   -21.0" "    -4.6" "    -1.7" " NA" "    10.7" " NA" " NA" " NA" " NA" " NA" " NA" "   -27.4" "    -9.1" " NA" " NA"
"1892" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1893" "   -27.6" "   -27.8" "   -22.2" "   -14.5" " NA" " NA" "    11.7" "    10.2" "     3.0" "    -4.7" "   -21.2" "   -31.3" " NA" " NA" " NA" " NA" "    -7.6"
