" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1907" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     7.6" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1908" " NA" " NA" " NA" " NA" " NA" " NA" "     9.3" "     4.8" "     3.3" "    -3.4" " NA" "   -20.0" " NA" " NA" " NA" " NA" " NA"
"1909" "   -32.3" "   -28.5" " NA" "    -9.7" "     0.5" "     8.2" "    11.4" "     8.8" "     4.1" "    -3.5" "   -17.0" "   -24.4" " NA" "   -26.9" " NA" "     9.5" "    -5.5"
"1910" "   -21.5" "   -28.1" "    -7.0" "    -1.8" "    -0.7" "     9.8" "    10.4" " NA" " NA" " NA" " NA" " NA" " NA" "   -24.7" "    -3.2" " NA" " NA"
"1911" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1912" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     2.1" "    -0.7" "    -6.9" "   -19.7" " NA" " NA" " NA" " NA" "    -1.8"
"1913" "   -31.1" "   -23.6" "   -22.5" "    -0.8" "     2.5" "     9.2" "    10.1" "     9.9" "     3.4" "    -5.3" "   -10.1" "   -15.0" "    -6.1" "   -24.8" "    -6.9" "     9.7" "    -4.0"
"1914" "   -22.4" "   -33.1" " NA" "    -4.9" "     3.1" "     8.5" "    12.7" "     6.1" "     3.7" "    -0.7" " NA" " NA" " NA" "   -23.5" " NA" "     9.1" " NA"
"1915" " NA" " NA" " NA" "    -4.2" "     2.0" "     4.7" "     7.8" "     6.9" "     1.6" "    -4.9" "   -12.9" " NA" " NA" " NA" " NA" "     6.5" "    -5.4"
"1916" "   -34.8" "   -22.2" " NA" "    -4.2" "     2.2" "     6.5" "    11.9" "     4.9" "     1.2" "    -3.8" "   -13.0" " NA" " NA" " NA" " NA" "     7.8" "    -5.2"
"1917" " NA" " NA" " NA" "    -6.6" "     1.3" "     4.3" "     9.5" "     6.4" "     3.1" "   -10.1" " NA" " NA" " NA" " NA" " NA" "     6.7" " NA"
"1918" " NA" "   -20.9" "    -5.0" "     1.0" "     2.4" "    12.4" "     7.6" "     7.5" "    -0.9" "    -3.3" " NA" "   -19.3" " NA" " NA" "    -0.5" "     9.2" " NA"
"1919" "   -25.4" "   -31.1" "   -18.3" "    -4.0" " NA" "     9.7" "    10.5" " NA" " NA" " NA" " NA" "   -24.9" " NA" "   -25.3" " NA" " NA" " NA"
"1920" "   -30.2" " NA" "   -18.9" "   -12.9" "     3.0" "     6.5" "     9.7" "     9.3" "     5.1" "     0.0" "    -8.4" "   -15.8" " NA" " NA" "    -9.6" "     8.5" "    -1.1"
"1921" "   -20.0" "   -21.8" "   -19.0" "    -5.7" "     6.4" "    11.7" "    11.5" "     5.7" "     3.8" "    -1.9" "   -15.2" "   -25.7" "    -5.9" "   -19.2" "    -6.1" "     9.6" "    -4.4"
"1922" "   -29.4" "   -35.3" "   -19.7" "    -2.7" "     7.1" "     8.6" "     8.6" "    10.3" "     5.8" "    -1.2" "    -7.3" "   -25.5" "    -6.7" "   -30.1" "    -5.1" "     9.2" "    -0.9"
"1923" "   -24.0" "   -27.6" "   -22.2" "    -6.8" "     4.6" "    10.4" "    13.0" "     8.0" "     4.0" "    -2.9" "    -7.2" "   -13.4" "    -5.3" "   -25.7" "    -8.1" "    10.5" "    -2.0"
"1924" "   -27.6" "   -20.1" "   -13.6" "    -3.7" "    -1.5" "     5.7" "    10.0" "     6.6" "     3.0" "     1.6" "   -13.9" "   -28.0" "    -6.8" "   -20.4" "    -6.3" "     7.4" "    -3.1"
"1925" "   -27.8" "   -25.3" "   -13.1" "    -0.6" "     1.5" "     7.3" "     9.4" "     8.6" "     3.1" "    -6.8" "   -11.7" "   -14.9" "    -5.9" "   -27.0" "    -4.1" "     8.4" "    -5.1"
"1926" "   -20.4" "   -17.9" "   -15.2" "    -5.3" "     3.9" "     5.5" "     9.7" "     6.1" "     1.8" "    -2.5" "   -15.6" "   -23.0" "    -6.1" "   -17.7" "    -5.5" "     7.1" "    -5.4"
"1927" "   -26.8" "   -24.0" "   -12.6" "    -3.3" "     1.3" "     7.8" "    10.7" "     7.9" "     5.1" "    -0.4" "   -16.8" "   -30.2" "    -6.8" "   -24.6" "    -4.9" "     8.8" "    -4.0"
"1928" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" "   -35.3" "   -29.4" "   -14.2" "    -4.1" "    -1.5" "     6.3" "    10.0" "     8.2" "     2.3" "     0.1" "   -12.1" "   -24.5" "    -7.9" " NA" "    -6.6" "     8.2" "    -3.2"
"1930" "   -31.5" "   -18.0" "   -18.0" "    -1.2" "     2.1" "     8.4" "    10.1" "    10.1" "     3.3" "    -4.5" "   -14.2" "   -17.8" "    -5.9" "   -24.7" "    -5.7" "     9.5" "    -5.1"
"1931" "   -19.7" "   -18.4" "   -18.8" "    -3.9" "     0.5" "     9.4" "    11.7" "    10.1" "     5.9" "    -0.1" "   -11.6" "   -15.6" "    -4.2" "   -18.6" "    -7.4" "    10.4" "    -1.9"
"1932" "   -23.7" "   -22.9" "   -20.1" "    -1.9" "     4.4" "    11.3" "    12.0" "    10.2" "     4.7" "    -3.1" "   -14.0" "   -23.4" "    -5.5" "   -20.7" "    -5.9" "    11.2" "    -4.1"
"1933" "   -25.5" "   -25.6" "   -16.6" "    -2.8" "     5.2" "    10.7" "    11.2" "    11.6" "     6.5" "    -4.5" "   -13.6" "   -27.5" "    -5.9" "   -24.8" "    -4.7" "    11.2" "    -3.9"
"1934" "   -22.5" "   -19.1" "   -15.6" "    -3.0" "     7.4" "     9.6" "    10.3" "     7.9" "     0.5" "    -1.2" "    -7.6" "   -21.8" "    -4.6" "   -23.0" "    -3.7" "     9.3" "    -2.8"
"1935" "   -28.2" "   -18.4" " NA" "    -6.2" "     3.1" "     8.6" "    13.1" "     6.8" "     2.2" "    -5.6" "   -19.1" "   -21.5" " NA" "   -22.8" " NA" "     9.5" "    -7.5"
"1936" "   -32.9" "   -36.5" "   -14.1" "    -7.5" "     5.0" "     7.6" "    13.4" "     7.1" "     2.0" "    -5.5" "   -12.0" "   -23.2" "    -8.1" "   -30.3" "    -5.5" "     9.4" "    -5.2"
"1937" "   -35.2" "   -25.4" "   -15.3" "    -3.4" "     3.8" "     7.7" "    11.7" "    10.3" "     2.5" "    -1.7" "   -12.3" "   -22.1" "    -6.6" "   -27.9" "    -5.0" "     9.9" "    -3.8"
"1938" "   -25.5" "   -23.9" "   -11.9" "    -4.3" "     3.4" "     7.5" "     9.4" "     7.5" "     4.5" "    -1.5" "   -13.9" "   -18.9" "    -5.6" "   -23.8" "    -4.3" "     8.1" "    -3.6"
"1939" "   -19.9" "   -32.5" "   -16.2" "    -4.5" "     4.9" "     6.6" "     7.5" "     7.8" "     3.8" "    -4.8" "    -8.8" "   -12.7" "    -5.7" "   -23.8" "    -5.3" "     7.3" "    -3.3"
"1940" "   -25.6" "   -18.7" "   -12.2" "    -6.7" "     2.0" "     4.6" "     8.0" "     6.8" "     4.9" "    -0.5" "   -15.2" "   -19.6" "    -6.0" "   -19.0" "    -5.6" "     6.5" "    -3.6"
"1941" "   -23.7" " NA" " NA" "    -3.3" "     4.6" "     8.7" "    10.5" "     8.9" "     2.9" "    -5.0" " NA" " NA" " NA" " NA" " NA" "     9.4" " NA"
"1942" " NA" " NA" " NA" "    -1.1" "     0.3" "     8.1" "    12.4" "     9.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     9.9" " NA"
"1943" " NA" " NA" " NA" "    -4.1" "     0.3" "     5.0" "     9.7" "     7.5" "     0.9" "    -1.8" " NA" " NA" " NA" " NA" " NA" "     7.4" " NA"
"1944" "   -19.6" "   -24.0" "   -21.1" "    -3.3" "     6.5" "     8.0" "    11.5" "     8.5" "     5.3" "    -0.5" "    -6.8" "   -18.6" "    -4.5" " NA" "    -6.0" "     9.3" "    -0.7"
"1945" "   -20.8" "   -21.7" "    -8.7" "    -4.8" "     1.3" "     7.0" "    11.1" "     9.9" "     3.7" "    -1.1" "   -13.3" "   -23.3" "    -5.1" "   -20.4" "    -4.1" "     9.3" "    -3.6"
"1946" "   -25.4" "   -27.5" "    -9.2" "     0.2" "     2.3" "     7.0" "    11.8" "     9.5" "     4.7" "    -2.2" "   -15.2" "   -23.0" "    -5.6" "   -25.4" "    -2.2" "     9.4" "    -4.2"
"1947" "   -22.1" "   -26.2" "   -16.5" "    -3.2" "     1.5" "     8.6" "    12.6" "    11.4" "     3.3" "     2.3" "   -13.3" "   -20.4" "    -5.2" "   -23.8" "    -6.1" "    10.9" "    -2.6"
"1948" "   -23.8" "   -25.1" "   -19.8" "    -6.7" "     4.8" "     9.0" "    12.3" "    10.4" "     6.5" "    -0.1" "    -8.9" "   -20.8" "    -5.2" "   -23.1" "    -7.2" "    10.6" "    -0.8"
"1949" "   -25.8" "   -27.4" "   -12.7" "     0.1" "     3.8" "     8.3" "    10.5" "    11.5" "     3.7" "    -2.6" "    -5.3" "   -24.5" "    -5.0" "   -24.7" "    -2.9" "    10.1" "    -1.4"
"1950" "   -36.2" "   -23.7" "   -18.2" "    -5.2" "     3.2" "     7.5" "    11.0" "     8.2" "     5.5" "     0.8" "   -14.2" "   -21.5" "    -6.9" "   -28.1" "    -6.7" "     8.9" "    -2.6"
"1951" "   -27.3" "   -21.8" "   -20.4" "    -3.7" "     5.2" "     6.9" "     9.6" "     9.2" "     4.9" "    -1.9" "   -14.0" "   -22.5" "    -6.3" "   -23.5" "    -6.3" "     8.6" "    -3.7"
"1952" "   -27.3" "   -19.3" "   -15.4" "     1.4" "     4.4" "     7.7" "    10.0" "     9.4" "     5.5" "    -1.9" "    -8.1" "   -15.8" "    -4.1" "   -23.0" "    -3.2" "     9.0" "    -1.5"
"1953" "   -22.0" "   -19.9" "   -15.1" "    -4.3" "     2.7" "     9.3" "    11.8" "    12.0" "     4.8" "     1.0" "    -4.2" "   -15.4" "    -3.3" "   -19.2" "    -5.6" "    11.0" "     0.5"
"1954" "   -31.2" "   -12.0" "   -18.2" "    -7.1" "     2.0" "     8.9" "    12.2" "    10.6" "     5.0" " NA" "    -5.3" "   -12.9" " NA" "   -19.5" "    -7.8" "    10.6" " NA"
"1955" "   -22.8" "   -22.1" "   -20.5" "     0.6" "     4.9" "     9.1" "    12.9" "    11.1" "     3.4" "    -1.7" "   -16.3" "   -25.5" "    -5.6" "   -19.3" "    -5.0" "    11.0" "    -4.9"
"1956" "   -23.1" "   -24.1" "   -17.6" "    -7.9" "     3.6" "    11.5" "    10.1" "     9.1" "     3.8" "    -0.3" "   -10.6" "   -22.3" "    -5.7" "   -24.2" "    -7.3" "    10.2" "    -2.4"
