"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1943" " NA" " NA" " NA" "   -11.6" "    -3.9" "     2.2" "     9.5" "     6.8" "     1.9" "    -1.4" "   -13.3" "   -26.7" " NA" " NA" " NA" "     6.2" "    -4.3"
"1944" "   -21.0" "   -29.5" "   -26.5" " NA" "    -1.1" "     2.4" "     6.3" "     8.3" "     3.2" "    -4.1" "   -14.1" "   -24.3" " NA" "   -25.7" " NA" "     5.7" "    -5.0"
"1945" "   -31.3" "   -26.8" "   -18.1" "   -17.7" "    -6.3" "    -0.2" "     7.4" "     6.9" "     0.7" "    -3.3" "   -17.7" "   -29.1" "   -11.3" "   -27.5" "   -14.0" "     4.7" "    -6.8"
"1946" "   -32.3" "   -34.2" "   -16.9" "    -8.9" "    -4.7" "     2.2" "     8.6" "     7.6" "     2.8" "    -6.2" "   -19.4" "   -27.0" "   -10.7" "   -31.9" "   -10.2" "     6.1" "    -7.6"
"1947" "   -32.0" "   -29.7" "   -21.5" "   -21.4" "    -5.5" "     3.4" "     9.6" "     7.0" "     0.8" "     1.3" "   -16.5" "   -28.6" "   -11.1" "   -29.6" "   -16.1" "     6.7" "    -4.8"
"1948" "   -28.7" "   -32.4" "   -28.4" "   -17.0" "    -2.6" "     4.4" "     8.8" "     8.3" "     5.9" "    -1.0" "   -12.0" "   -25.4" "   -10.0" "   -29.9" "   -16.0" "     7.2" "    -2.4"
"1949" "   -29.8" "   -35.1" "   -23.6" "    -6.9" "    -3.8" "     5.0" "     7.3" "     8.1" "     1.9" "    -6.4" "   -14.1" "   -27.1" "   -10.4" "   -30.1" "   -11.4" "     6.8" "    -6.2"
"1950" "   -38.6" "   -30.8" "   -25.2" "   -14.5" "    -1.4" "     0.7" "     6.5" "     5.5" "     3.1" "    -4.4" "   -16.5" "   -28.0" "   -12.0" "   -32.2" "   -13.7" "     4.2" "    -5.9"
"1951" "   -31.5" "   -27.9" "   -22.7" "   -10.6" "    -0.3" "     4.6" "     8.1" "     6.5" "     2.0" "    -6.4" "   -17.7" "   -26.6" "   -10.2" "   -29.1" "   -11.2" "     6.4" "    -7.4"
"1952" "   -30.9" "   -30.0" "   -22.2" "    -5.6" "     0.9" "     4.3" "     9.0" "     7.5" "     3.2" "    -5.8" "   -15.5" "   -19.2" "    -8.7" "   -29.2" "    -9.0" "     6.9" "    -6.0"
"1953" "   -32.1" "   -26.3" "   -20.3" "   -11.0" "    -3.4" "     2.0" "     8.2" "     8.9" "     2.1" "    -3.3" "    -7.2" "   -26.6" "    -9.1" "   -25.9" "   -11.6" "     6.4" "    -2.8"
"1954" "   -37.1" "   -24.8" "   -24.7" "   -15.2" "    -3.4" "     5.3" "     9.6" "     6.3" "     1.6" "    -3.0" "   -12.0" "   -22.5" "   -10.0" "   -29.5" "   -14.4" "     7.1" "    -4.5"
"1955" "   -30.6" "   -30.7" "   -28.2" "    -5.6" "    -0.4" "     7.6" "     9.1" "     8.2" "     2.2" "    -1.7" "   -13.5" "   -29.6" "    -9.4" "   -27.9" "   -11.4" "     8.3" "    -4.3"
"1956" "   -27.9" "   -28.2" "   -25.5" "   -14.3" "    -7.0" "     4.3" "     7.3" "     7.7" "    -0.7" "    -3.5" "   -16.5" "   -30.4" "   -11.2" "   -28.6" "   -15.6" "     6.4" "    -6.9"
"1957" "   -34.2" "   -28.4" "   -19.3" "   -12.1" "    -4.1" "     3.1" "     9.0" "     6.6" "     1.3" "    -2.9" "   -18.0" "   -27.4" "   -10.5" "   -31.0" "   -11.8" "     6.2" "    -6.5"
"1958" "   -27.4" "   -31.2" "   -18.2" "   -10.4" "    -3.9" "     1.1" "     6.8" "     6.3" "     2.4" "    -2.3" "   -17.0" "   -30.9" "   -10.4" "   -28.7" "   -10.8" "     4.7" "    -5.6"
"1959" "   -33.8" "   -28.9" "   -21.9" "   -16.8" "    -3.9" "     3.1" "     8.6" "     6.3" "     2.8" "    -6.5" "   -20.3" "   -20.8" "   -11.0" "   -31.2" "   -14.2" "     6.0" "    -8.0"
"1960" "   -30.0" "   -28.9" "   -26.0" "   -12.9" "    -0.8" "     4.4" "     8.4" "     7.8" "     2.5" "    -4.8" "   -20.1" "   -25.9" "   -10.5" "   -26.6" "   -13.2" "     6.9" "    -7.5"
"1961" "   -32.2" "   -27.8" "   -22.8" "   -13.7" "    -2.6" "     3.6" "     8.0" "     7.4" "     0.5" "    -6.4" "   -14.2" "   -27.5" "   -10.6" "   -28.6" "   -13.0" "     6.3" "    -6.7"
"1962" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1963" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1964" " NA" "   -26.3" "   -29.1" "   -13.3" "    -1.2" "     2.6" "     9.0" "     5.0" "     1.2" " NA" " NA" " NA" " NA" " NA" "   -14.5" "     5.5" " NA"
"1965" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1966" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -4.1" "   -22.7" "   -25.8" " NA" " NA" " NA" " NA" " NA"
"1967" "   -28.9" "   -31.3" "   -23.3" "   -16.3" "    -4.1" "     5.1" "     9.9" "     8.5" "     4.4" "    -4.5" "   -16.6" "   -21.9" "    -9.9" "   -28.7" "   -14.6" "     7.8" "    -5.6"
"1968" "   -32.0" "   -30.0" "   -19.9" "    -9.9" "    -1.4" "     4.6" "     7.7" "     6.0" "     6.6" "    -1.0" "   -13.2" "   -23.9" "    -8.9" "   -28.0" "   -10.4" "     6.1" "    -2.5"
"1969" "   -30.1" "   -22.1" "   -22.3" "    -7.7" "    -4.5" "     2.4" "     7.9" "    10.5" "     1.4" "    -5.3" "   -13.8" "   -18.4" "    -8.5" "   -25.4" "   -11.5" "     6.9" "    -5.9"
"1970" "   -29.1" "   -31.0" "   -22.2" "   -11.9" "    -4.1" "     7.1" "    11.3" "     9.4" "     3.7" " NA" " NA" "   -30.5" " NA" "   -26.2" "   -12.7" "     9.3" " NA"
"1971" "   -29.8" "   -24.3" "   -23.5" "   -11.6" "    -2.2" "     5.3" "     8.1" "     7.6" "     3.3" "    -2.1" "   -17.1" "   -26.8" "    -9.4" "   -28.2" "   -12.4" "     7.0" "    -5.3"
"1972" "   -36.0" "   -34.6" "   -24.0" "   -12.3" "    -1.9" "     3.9" "     6.4" "     7.7" "    -0.3" "    -8.6" "   -18.6" "   -34.4" "   -12.7" "   -32.5" "   -12.7" "     6.0" "    -9.2"
"1973" "   -27.5" "   -31.0" "   -16.1" "   -14.3" "    -1.8" "     3.2" "     8.2" "     9.7" "     2.7" "    -1.6" "   -17.2" "   -30.3" "    -9.7" "   -31.0" "   -10.7" "     7.0" "    -5.4"
