"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1967" " NA" " NA" " NA" "   -17.5" "    -3.5" "     4.7" "     7.4" "     6.1" "     4.5" "    -4.7" "   -18.1" "   -22.0" " NA" " NA" " NA" "     6.1" "    -6.1"
"1968" "   -32.6" "   -30.8" "   -18.7" "   -10.1" "    -1.1" "     3.5" "     5.5" "     3.9" "     4.1" "    -2.8" "   -17.0" "   -27.2" "   -10.3" "   -28.5" "   -10.0" "     4.3" "    -5.2"
"1969" "   -33.7" "   -25.8" "   -23.9" "    -7.0" "    -4.4" "     1.5" "     8.3" "     8.8" "     0.4" "    -6.0" "   -16.2" "   -21.7" "   -10.0" "   -28.9" "   -11.8" "     6.2" "    -7.3"
"1970" "   -29.2" "   -31.0" "   -23.9" "   -11.1" "    -3.3" "     6.7" "    10.2" "     6.7" "     2.4" "    -4.0" "   -15.3" "   -31.5" "   -10.3" "   -27.3" "   -12.8" "     7.9" "    -5.6"
"1971" "   -29.9" "   -24.2" "   -22.8" "    -9.0" "    -1.1" "     7.1" "     7.3" "     7.1" "     2.5" "    -2.3" "   -16.8" "   -26.6" "    -9.1" "   -28.5" "   -11.0" "     7.2" "    -5.5"
"1972" "   -35.9" "   -33.3" "   -22.3" "   -10.0" "     0.2" "     5.5" "     7.0" "     7.5" "    -0.7" "    -7.8" "   -18.6" "   -31.7" "   -11.7" "   -31.9" "   -10.7" "     6.7" "    -9.0"
"1973" "   -24.7" "   -30.4" "   -13.5" "   -11.3" "    -0.4" "     5.2" "     8.5" "     9.9" "     1.2" "    -1.5" "   -17.7" "   -29.8" "    -8.7" "   -28.9" "    -8.4" "     7.9" "    -6.0"
"1974" "   -36.6" "   -32.4" "   -26.4" "   -11.0" "    -2.0" "     5.0" "    11.0" "     6.5" "    -2.0" "    -6.3" "   -11.8" "   -19.0" "   -10.4" "   -32.9" "   -13.1" "     7.5" "    -6.7"
"1975" "   -33.5" "   -27.7" "   -22.6" "    -8.0" "     0.6" "     7.3" "     9.5" "     6.4" "     1.9" "    -4.9" "   -13.0" "   -28.4" "    -9.4" "   -26.7" "   -10.0" "     7.7" "    -5.3"
"1976" "   -30.5" "   -28.4" "   -24.8" "    -5.2" "     0.9" "     7.2" "     8.8" "     7.0" "     1.9" "    -4.4" "   -16.7" "   -32.2" "    -9.7" "   -29.1" "    -9.7" "     7.7" "    -6.4"
"1977" "   -31.0" "   -23.7" "   -17.0" "    -8.2" "     4.9" "     6.9" "     8.7" "     3.8" "     2.1" "    -0.9" "   -14.0" "   -28.1" "    -8.0" "   -29.0" "    -6.8" "     6.5" "    -4.3"
"1978" "   -29.3" "   -25.6" "   -23.4" "   -10.0" "     1.3" "     3.8" "     8.0" "     5.5" "     1.9" "    -3.7" "   -18.9" "   -28.9" "    -9.9" "   -27.7" "   -10.7" "     5.8" "    -6.9"
"1979" "   -31.1" "   -35.6" "   -24.4" "   -10.5" "    -2.2" "     4.4" "     9.4" "     4.1" "     0.9" " NA" "   -15.9" "   -19.2" " NA" "   -31.9" "   -12.4" "     6.0" " NA"
"1980" "   -31.6" "   -26.9" "   -23.5" "    -6.2" "     1.8" "     3.7" "     8.3" "     6.7" "     0.3" "    -5.2" "   -16.7" "   -29.7" "    -9.9" "   -25.9" "    -9.3" "     6.2" "    -7.2"
"1981" "   -24.5" "   -21.3" "   -15.4" "   -13.2" "    -1.3" "     4.7" "    10.0" "     9.3" "     1.6" "    -3.7" "   -10.2" "   -25.4" "    -7.5" "   -25.2" "   -10.0" "     8.0" "    -4.1"
"1982" "   -38.5" "   -28.7" "   -23.3" "   -11.6" "     1.1" "     4.0" "     9.0" "     6.3" "     2.2" "    -1.9" "   -19.2" "   -27.0" "   -10.6" "   -30.9" "   -11.3" "     6.4" "    -6.3"
"1983" "   -26.8" "   -27.8" "   -21.5" "   -11.7" "    -5.3" "     5.7" "     9.9" "    10.2" "     3.3" "    -2.5" "    -7.4" "   -31.6" "    -8.8" "   -27.2" "   -12.8" "     8.6" "    -2.2"
