" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1939" " NA" " NA" "   -25.5" "   -13.1" "    -1.0" "     6.2" "    11.3" "    10.9" "     3.9" "    -5.7" "   -10.9" "   -19.3" " NA" " NA" "   -13.2" "     9.5" "    -4.2"
"1940" "   -25.9" "   -24.2" "   -23.7" "   -11.5" "    -2.1" "     4.6" "    11.2" "    11.6" "     8.2" "    -1.6" "   -14.3" "   -23.3" "    -7.6" "   -23.1" "   -12.4" "     9.1" "    -2.6"
"1941" "   -30.0" "   -24.0" " NA" "    -7.2" "    -0.1" "     7.3" "    11.4" "     6.7" "     3.0" "    -4.2" " NA" "   -24.9" " NA" "   -25.8" " NA" "     8.5" " NA"
"1942" "   -27.8" "   -26.5" "   -17.3" "    -7.6" "    -1.8" "     8.4" "     9.0" "     9.8" "     3.6" "    -0.1" "   -16.4" "   -28.5" "    -7.9" "   -26.4" "    -8.9" "     9.1" "    -4.3"
"1943" "   -31.0" "   -26.8" "   -26.5" "   -12.2" "    -3.1" "     4.3" "    12.1" "    10.1" "     4.6" "     0.2" "   -10.9" "   -25.5" "    -8.7" "   -28.8" "   -13.9" "     8.8" "    -2.0"
"1944" "   -21.3" "   -29.7" "   -25.2" "   -11.6" "    -0.8" "     5.1" "    10.8" "    11.3" "     6.3" "    -2.2" "    -9.9" "   -21.7" "    -7.4" "   -25.5" "   -12.5" "     9.1" "    -1.9"
"1945" "   -30.1" "   -23.1" "   -14.9" "   -13.6" "    -5.7" "     2.4" "     9.6" "    10.3" " NA" " NA" "   -15.1" "   -25.4" " NA" "   -25.0" "   -11.4" "     7.4" " NA"
"1946" "   -31.0" "   -33.1" "   -14.2" "    -8.7" "    -2.9" "     5.6" "    10.6" "     9.6" "     5.9" "    -2.0" "   -13.7" "   -24.4" "    -8.2" "   -29.8" "    -8.6" "     8.6" "    -3.3"
"1947" "   -30.3" "   -28.0" "   -21.0" "   -17.3" "    -4.5" "     4.2" "    11.9" "    11.4" "     4.5" "     3.6" "   -11.1" "   -25.1" "    -8.5" "   -27.6" "   -14.3" "     9.2" "    -1.0"
"1948" "   -28.9" "   -30.1" "   -24.8" "   -12.6" "    -1.8" "     6.3" "    11.5" "    11.6" "     9.2" "     1.7" "    -6.5" "   -20.5" "    -7.1" "   -28.0" "   -13.1" "     9.8" "     1.5"
"1949" "   -27.5" "   -32.0" "   -24.6" "    -8.3" "    -2.5" "     7.8" "    10.0" "    10.4" "     3.5" "    -2.1" "   -13.0" "   -26.1" "    -8.7" "   -26.7" "   -11.8" "     9.4" "    -3.9"
"1950" "   -36.0" "   -30.2" "   -25.9" "   -15.9" "    -3.3" "     2.5" "     9.3" "     7.8" "     4.5" "    -1.5" "   -12.1" "   -25.0" "   -10.5" "   -30.8" "   -15.0" "     6.5" "    -3.0"
"1951" "   -30.6" "   -27.4" "   -20.5" "    -9.6" "     0.9" "     6.7" "    10.4" "     9.3" "     3.8" "    -3.5" "   -14.8" "   -24.6" "    -8.3" "   -27.7" "    -9.7" "     8.8" "    -4.8"
"1952" "   -29.2" "   -27.1" "   -21.1" "    -6.9" "     0.4" "     6.4" "    11.4" "     9.5" "     4.5" "    -3.8" "   -10.6" "   -16.0" "    -6.9" "   -27.0" "    -9.2" "     9.1" "    -3.3"
"1953" "   -29.8" "   -24.9" "   -17.6" "    -8.6" "    -2.5" "     4.9" "    10.2" "    11.4" "     4.2" "    -0.3" "    -6.5" "   -23.7" "    -6.9" "   -23.6" "    -9.6" "     8.8" "    -0.9"
"1954" "   -34.8" "   -22.1" "   -22.8" "   -12.5" "    -2.8" "     7.8" "    11.8" "     9.8" "     4.4" "    -0.3" "   -10.3" "   -21.1" "    -7.7" "   -26.9" "   -12.7" "     9.8" "    -2.1"
"1955" "   -28.4" "   -27.8" "   -25.7" "    -3.8" "     1.6" "    10.2" "    12.9" "    12.7" "     4.6" "     0.1" "   -10.4" "   -26.1" "    -6.7" "   -25.8" "    -9.3" "    11.9" "    -1.9"
"1956" "   -24.6" "   -25.8" "   -24.8" "   -11.0" "    -5.6" "     6.2" "    10.5" "    10.1" "     2.3" "    -0.4" "   -12.7" "   -27.8" "    -8.6" "   -25.5" "   -13.8" "     8.9" "    -3.6"
"1957" "   -32.0" "   -24.7" "   -17.9" "   -10.4" "    -2.1" "     5.4" "    12.6" "     9.8" "     5.7" "    -0.2" "   -14.0" "   -22.9" "    -7.6" "   -28.2" "   -10.1" "     9.3" "    -2.8"
"1958" "   -23.5" "   -29.1" "   -16.7" "    -8.8" "    -3.8" "     3.2" "    10.3" "     8.6" "     5.7" "    -0.3" "   -10.8" "   -26.7" "    -7.7" "   -25.2" "    -9.8" "     7.4" "    -1.8"
"1959" "   -30.4" "   -28.7" "   -21.2" "   -14.2" "    -1.7" "     5.6" "    11.8" "    10.2" "     5.9" "    -3.8" "   -18.0" "   -21.1" "    -8.8" "   -28.6" "   -12.4" "     9.2" "    -5.3"
"1960" "   -25.8" "   -27.5" "   -24.6" "   -11.3" "     0.2" "     8.0" "    10.4" "    10.7" "     5.7" "    -1.6" "   -13.6" "   -25.0" "    -7.9" "   -24.8" "   -11.9" "     9.7" "    -3.2"
"1961" "   -29.2" "   -25.4" "   -19.2" "   -10.2" "    -2.1" "     5.9" "    12.3" "    10.0" "     3.9" "    -1.7" "   -11.0" "   -24.7" "    -7.6" "   -26.5" "   -10.5" "     9.4" "    -2.9"
"1962" "   -32.6" "   -34.3" "   -18.1" "   -12.6" "    -1.4" "     8.1" "    10.3" "     9.2" "     4.8" "     0.5" "   -11.3" "   -25.7" "    -8.6" "   -30.5" "   -10.7" "     9.2" "    -2.0"
"1963" "   -32.1" "   -30.1" "   -25.4" "    -9.8" "    -3.7" "     6.7" "    12.2" "     9.3" "     3.3" "     3.3" "   -10.6" "   -24.4" "    -8.4" "   -29.3" "   -13.0" "     9.4" "    -1.3"
"1964" "   -25.8" "   -25.3" "   -28.9" "   -11.4" "     0.4" "     4.9" "    11.8" "     7.6" "     4.3" "    -2.7" "   -12.6" "   -27.3" "    -8.8" "   -25.2" "   -13.3" "     8.1" "    -3.7"
"1965" "   -30.4" "   -32.1" "   -26.5" "    -9.9" "    -1.5" "     6.5" "     8.0" "     7.8" "     2.3" "    -1.7" "   -15.1" "   -21.3" "    -9.5" "   -29.9" "   -12.6" "     7.4" "    -4.8"
"1966" "   -31.2" "   -26.7" "   -19.9" "    -9.9" "    -3.0" "     6.5" "    11.9" "     9.7" "     5.9" "    -3.4" "   -20.1" "   -26.6" "    -8.9" "   -26.4" "   -10.9" "     9.4" "    -5.9"
"1967" "   -30.0" "   -34.6" "   -24.2" "   -16.1" "    -5.0" "     6.0" "     9.7" "     9.2" "     7.4" "    -1.5" "   -12.6" "   -20.7" "    -9.4" "   -30.4" "   -15.1" "     8.3" "    -2.2"
"1968" "   -30.1" "   -29.1" "   -17.3" "    -7.8" "     0.5" "     5.9" "     8.4" "     7.4" "     8.7" "     0.0" "   -11.9" "   -22.2" "    -7.3" "   -26.6" "    -8.2" "     7.2" "    -1.1"
"1969" "   -25.9" "   -23.5" "   -25.0" "    -8.4" "    -2.5" "     2.7" "    11.4" "    11.6" "     1.9" "    -3.6" "   -11.6" "   -19.3" "    -7.7" "   -23.9" "   -12.0" "     8.6" "    -4.4"
"1970" "   -30.1" "   -31.9" "   -21.7" "   -11.3" "    -4.3" "     7.0" "    12.7" "    11.1" "     5.0" "     0.2" "   -11.4" "   -27.9" "    -8.6" "   -27.1" "   -12.4" "    10.3" "    -2.1"
"1971" "   -29.4" "   -23.2" "   -21.3" "    -8.8" "    -1.7" "     8.2" "     9.4" "     9.3" "     5.8" "     0.5" "   -12.2" "   -23.9" "    -7.3" "   -26.8" "   -10.6" "     9.0" "    -2.0"
"1972" "   -33.2" "   -31.6" "   -22.7" "   -10.0" "     0.0" "     7.2" "     9.6" "     9.6" "     2.3" "    -5.2" "   -15.9" "   -30.5" "   -10.0" "   -29.6" "   -10.9" "     8.8" "    -6.3"
"1973" "   -26.4" "   -29.8" "   -15.9" "   -12.0" "    -1.2" "     6.4" "    10.7" "    13.2" "     4.3" "     1.2" "   -12.3" "   -28.4" "    -7.5" "   -28.9" "    -9.7" "    10.1" "    -2.3"
"1974" "   -33.6" "   -30.1" "   -27.0" "   -11.9" "    -2.7" "     6.2" "    12.3" "     9.1" "     0.9" "    -5.6" "    -8.9" "   -19.4" "    -9.2" "   -30.7" "   -13.9" "     9.2" "    -4.5"
"1975" "   -29.7" "   -25.1" "   -21.6" "   -10.5" "     1.3" "     9.5" "    11.9" "    10.3" "     3.8" "    -0.7" "    -9.1" "   -27.0" "    -7.2" "   -24.7" "   -10.3" "    10.6" "    -2.0"
"1976" "   -30.2" "   -26.5" "   -25.0" "    -6.8" "    -1.2" "     7.7" "    11.2" "    10.1" "     4.6" "    -2.1" "   -13.2" "   -31.6" "    -8.6" "   -27.9" "   -11.0" "     9.7" "    -3.6"
"1977" "   -28.6" "   -24.2" "   -17.4" "    -7.9" "     3.4" "     6.9" "    10.3" "     8.1" "     4.5" "     1.1" "    -9.7" "   -24.1" "    -6.5" "   -28.1" "    -7.3" "     8.4" "    -1.4"
"1978" "   -28.7" "   -25.9" "   -25.1" "   -11.7" "     0.1" "     4.3" "    10.1" "     7.9" "     3.6" "    -2.3" "   -14.9" "   -26.2" "    -9.1" "   -26.2" "   -12.2" "     7.4" "    -4.5"
"1979" "   -29.3" "   -32.5" "   -20.6" "    -9.4" "    -1.4" "     6.5" "    11.9" "     8.1" "     2.4" "    -2.8" "   -13.5" "   -18.6" "    -8.3" "   -29.3" "   -10.5" "     8.8" "    -4.6"
"1980" "   -28.5" "   -27.7" "   -21.2" "    -9.0" "     2.0" "     5.0" "    11.1" "    11.1" "     2.1" "    -3.7" "   -14.5" "   -26.5" "    -8.3" "   -24.9" "    -9.4" "     9.1" "    -5.4"
"1981" "   -23.6" "   -21.1" "   -14.5" "   -11.3" "    -2.2" "     5.9" "    12.5" "    11.7" "     4.5" "    -1.6" "    -6.0" "   -20.6" "    -5.5" "   -23.7" "    -9.3" "    10.0" "    -1.0"
"1982" "   -33.6" "   -27.1" "   -21.9" "   -14.6" "     2.1" "     4.8" "    10.8" "     8.8" "     4.9" "     0.1" "   -13.4" "   -23.1" "    -8.5" "   -27.1" "   -11.5" "     8.1" "    -2.8"
"1983" "   -26.6" "   -26.0" "   -21.2" "   -10.1" "    -5.5" "     6.3" "    12.9" "    12.9" "     6.4" "     0.3" "    -6.8" "   -29.7" "    -7.3" "   -25.2" "   -12.3" "    10.7" "     0.0"
"1984" "   -32.0" "   -20.3" "   -24.2" "    -3.2" "    -0.9" "     7.7" "    11.8" "    12.3" "     2.6" "    -1.0" "   -12.0" "   -27.3" "    -7.2" "   -27.3" "    -9.4" "    10.6" "    -3.5"
"1985" "   -28.1" "   -29.8" "   -19.3" "   -10.4" "     0.8" "     5.6" "    10.1" "     9.3" "     4.7" "    -1.0" "   -16.0" "   -24.6" "    -8.2" "   -28.4" "    -9.6" "     8.3" "    -4.1"
"1986" "   -27.3" "   -27.2" "   -20.5" "    -6.0" "     1.3" "     4.5" "    10.4" "     8.9" "     2.6" "    -2.6" "   -20.6" "   -19.3" "    -8.0" "   -26.4" "    -8.4" "     7.9" "    -6.9"
"1987" "   -22.5" "   -23.5" "   -14.7" "    -5.1" "     1.3" "     8.2" "    11.1" "     9.3" "     6.7" "    -2.3" "   -10.1" "   -17.2" "    -4.9" "   -21.8" "    -6.2" "     9.5" "    -1.9"
"1988" "   -31.3" "   -30.4" "   -19.9" "    -6.6" "     0.6" "     8.2" "    12.5" "    11.4" "     6.0" "    -3.4" "    -9.2" "   -24.7" "    -7.2" "   -26.3" "    -8.6" "    10.7" "    -2.2"
"1989" "   -29.7" "   -27.1" "   -26.0" "   -10.7" "    -0.3" "     6.3" "    13.3" "     9.8" "     4.8" "    -1.0" "   -18.6" "   -29.6" "    -9.1" "   -27.2" "   -12.3" "     9.8" "    -4.9"
"1990" "   -27.6" "   -27.1" "   -16.2" "   -12.0" "    -1.4" "     6.2" "    12.1" "    11.5" "     3.2" "    -2.2" "   -10.4" "   -27.9" "    -7.7" "   -28.1" "    -9.9" "     9.9" "    -3.1"
"1991" "   -31.7" "   -24.3" "   -19.3" "    -5.8" "     1.5" "     9.3" "    12.3" "    11.7" "     4.0" "    -3.8" "   -15.9" "   -23.0" "    -7.1" "   -28.0" "    -7.9" "    11.1" "    -5.2"
"1992" "   -25.5" "   -27.4" "   -22.5" "   -12.1" "    -1.5" "     3.2" "     8.2" "     9.2" "     3.5" " NA" " NA" "   -21.8" " NA" "   -25.3" "   -12.0" "     6.9" " NA"
"1993" "   -26.6" " NA" "   -19.0" "    -9.6" "     0.9" "     4.8" "    11.7" "     7.9" " NA" " NA" "   -16.5" "   -25.0" " NA" " NA" "    -9.2" "     8.1" " NA"
"1994" "   -35.6" "   -32.1" "   -21.2" " NA" " NA" " NA" " NA" "     5.4" "     4.9" "     1.1" " NA" "   -18.3" " NA" "   -30.9" " NA" " NA" " NA"
"1995" "   -24.4" "   -30.1" "   -17.5" "   -12.1" "    -1.8" "     8.3" "     7.4" "    10.0" "     1.9" "    -2.4" "   -19.4" "   -25.4" "    -8.8" "   -24.3" "   -10.5" "     8.6" "    -6.6"
"1996" "   -32.1" "   -26.1" "   -22.2" "   -13.2" "    -3.0" "     6.7" "     8.9" "     9.9" " NA" " NA" "   -14.5" "   -24.5" " NA" "   -27.9" "   -12.8" "     8.5" " NA"
"1997" "   -30.7" "   -28.3" "   -23.7" "   -11.4" "    -5.1" "     6.2" "    11.1" "     8.3" "     4.9" "    -3.0" "   -14.6" "   -21.2" "    -9.0" "   -27.8" "   -13.4" "     8.5" "    -4.2"
"1998" "   -27.5" "   -15.6" "   -19.0" "    -6.9" "    -0.1" "     8.5" "     9.3" "    10.4" "     5.7" "    -0.4" "    -8.4" "   -22.9" "    -5.6" "   -21.4" "    -8.7" "     9.4" "    -1.0"
"1999" "   -27.7" "   -21.4" "   -16.6" "    -4.5" "     1.3" "     7.9" "    10.9" "     9.1" "     4.5" "    -2.9" "   -10.3" "   -19.5" "    -5.8" "   -24.0" "    -6.6" "     9.3" "    -2.9"
"2000" "   -27.7" "   -21.2" "   -13.2" "    -9.8" "     0.9" "     3.3" "     9.3" "     8.4" "     3.2" "    -0.3" "    -8.9" "   -28.4" "    -7.0" "   -22.8" "    -7.4" "     7.0" "    -2.0"
"2001" "   -24.2" "   -28.1" "   -15.8" "    -7.1" "     2.0" "     4.9" "    10.8" "    10.8" "     4.3" "    -1.5" "    -7.6" "   -17.5" "    -5.8" "   -26.9" "    -7.0" "     8.8" "    -1.6"
"2002" "   -28.6" "   -28.9" "   -24.1" "   -10.9" "    -3.7" "     5.6" "    10.3" "    10.4" "     4.7" "    -5.3" "   -15.4" "   -20.3" "    -8.9" "   -25.0" "   -12.9" "     8.8" "    -5.3"
"2003" "   -27.8" "   -34.0" "   -22.1" "   -11.6" "     0.3" "     7.1" "     8.5" "    10.3" "     5.5" "    -2.1" "   -12.4" "   -19.5" "    -8.2" "   -27.4" "   -11.1" "     8.6" "    -3.0"
"2004" "   -33.4" "   -22.1" "   -20.7" "   -11.4" "    -4.9" "     2.2" "     8.3" "     5.2" "     4.5" "    -1.4" "   -11.0" "   -28.5" "    -9.4" "   -25.0" "   -12.3" "     5.2" "    -2.6"
"2005" "   -28.3" "   -26.7" "   -21.4" "    -4.3" "     0.5" "     7.1" "    10.7" "     9.4" "     6.8" "    -0.1" "   -11.6" "   -21.9" "    -6.7" "   -27.8" "    -8.4" "     9.1" "    -1.6"
"2006" "   -22.8" "   -27.3" "   -15.2" "    -4.9" "     0.9" "     5.5" "     9.8" "     8.9" "     3.5" " NA" "   -12.6" "   -18.0" " NA" "   -24.0" "    -6.4" "     8.1" " NA"
"2007" "   -26.4" "   -28.9" "   -21.2" "   -10.9" "     0.6" "     7.1" "    10.9" "     9.1" "     3.9" "    -0.1" "   -11.9" "   -24.4" "    -7.7" "   -24.4" "   -10.5" "     9.0" "    -2.7"
"2008" "   -23.3" "   -28.6" "   -24.4" "   -11.8" "    -2.3" "     5.4" "     9.5" "    11.6" " NA" "    -0.6" "    -8.7" "   -28.3" " NA" "   -25.4" "   -12.8" "     8.8" " NA"
"2009" "   -28.2" "   -26.9" "   -23.5" "    -8.4" " NA" "     7.0" "     8.5" "     7.9" "     7.7" "    -1.9" "    -5.5" "   -22.9" " NA" "   -27.8" " NA" "     7.8" "     0.1"
"2010" "   -23.4" "   -24.7" "   -10.6" "    -3.8" "     1.7" "     5.7" "    11.8" "     9.5" "     3.7" "    -0.5" "    -8.7" "   -19.7" "    -4.9" "   -23.7" "    -4.2" "     9.0" "    -1.8"
"2011" "   -29.1" "   -25.6" "   -25.4" "   -10.3" "    -0.4" "     7.3" "    11.0" "     9.9" "     7.0" "     1.8" "    -9.0" " NA" " NA" "   -24.8" "   -12.0" "     9.4" "    -0.1"
"2012" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     5.7" "    -1.2" "   -13.4" "   -23.3" " NA" " NA" " NA" " NA" "    -3.0"
"2013" "   -31.5" " NA" " NA" "   -14.0" "    -1.6" "     5.5" "    10.7" "     9.2" "     4.9" "    -1.9" "   -13.0" "   -29.4" " NA" " NA" " NA" "     8.5" "    -3.3"
"2014" "   -28.6" "   -27.3" "   -24.4" "   -12.9" "    -0.3" "     7.4" "    10.1" "     9.8" "     4.2" "     0.5" "   -17.2" "   -19.4" "    -8.2" "   -28.4" "   -12.5" "     9.1" "    -4.2"
"2015" "   -28.6" "   -31.2" "   -20.3" "    -9.8" "    -1.4" "     6.7" "    11.5" "     9.7" "     6.7" "    -1.4" "    -9.0" "   -13.4" "    -6.7" "   -26.4" "   -10.5" "     9.3" "    -1.2"
"2016" "   -23.5" "   -27.8" "   -17.4" "   -11.9" "     0.3" "     6.8" "    11.2" "    10.6" "     7.4" "     0.6" "    -4.2" "   -21.2" "    -5.8" "   -21.6" "    -9.7" "     9.5" "     1.3"
